Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:36,,0,,2 (+2),"GOOD JUMPER by BISHOP,BRYSON(in the paint)",BSC 0-2 (+2),,"GOOD JUMPER by BISHOP,BRYSON(in the paint)",1
--,,,,,"ASSIST  by CHILDERS,JOSH",,,"ASSIST  by CHILDERS,JOSH",1
19:08,"TURNOVER  by ELLIS,CHASE",,,,,,,"TURNOVER  by ELLIS,CHASE",1
19:08,,,,,"STEAL  by GREEN,KALEB",,,"STEAL  by GREEN,KALEB",1
19:02,,,,,"MISS LAYUP by GREEN,KALEB(in the paint)",,,"MISS LAYUP by GREEN,KALEB(in the paint)",1
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",1
18:57,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,"REBOUND OFF by BISHOP,BRYSON",,,"REBOUND OFF by BISHOP,BRYSON",1
18:53,,0,,4 (+4),"GOOD JUMPER by BISHOP,BRYSON(in the paint)",BSC 0-4 (+4),,"GOOD JUMPER by BISHOP,BRYSON(in the paint)",1
18:25,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:10,,,,,"MISS JUMPER by BISHOP,BRYSON(in the paint)",,,"MISS JUMPER by BISHOP,BRYSON(in the paint)",1
--,"REBOUND DEF by CLARK,BRYCE",,,,,,,"REBOUND DEF by CLARK,BRYCE",1
17:42,"GOOD JUMPER by ELLIS,CHASE",2,,4 (+2),,Berry 2-4 (+2),,"GOOD JUMPER by ELLIS,CHASE",1
17:25,,,,,"MISS JUMPER by GREEN,KALEB",,,"MISS JUMPER by GREEN,KALEB",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
17:19,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,"REBOUND DEF by JOHNSON,MICHAEL",,,,,,,"REBOUND DEF by JOHNSON,MICHAEL",1
17:07,,,,,"FOUL  by JACKSON,MARTISE",,,"FOUL  by JACKSON,MARTISE",1
16:57,"GOOD LAYUP by ELLIS,CHASE(in the paint)",4,,4,,Berry 4-4 (0),,"GOOD LAYUP by ELLIS,CHASE(in the paint)",1
16:40,,,,,"TURNOVER  by GILLISPIE,JAY",,,"TURNOVER  by GILLISPIE,JAY",1
16:40,"STEAL  by HONROTH,OWEN",,,,,,,"STEAL  by HONROTH,OWEN",1
16:34,"MISS LAYUP by HONROTH,OWEN(in the paint)",,,,,,,"MISS LAYUP by HONROTH,OWEN(in the paint)",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
16:14,,4,,6 (+2),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 4-6 (+2),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
15:57,"MISS JUMPER by ELLIS,CHASE(in the paint)",,,,,,,"MISS JUMPER by ELLIS,CHASE(in the paint)",1
--,"REBOUND OFF by COSTAS,RILEY",,,,,,,"REBOUND OFF by COSTAS,RILEY",1
15:53,"GOOD LAYUP by COSTAS,RILEY(in the paint)",6,,6,,Berry 6-6 (0),,"GOOD LAYUP by COSTAS,RILEY(in the paint)",1
15:27,,6,,9 (+3),"GOOD 3PTR by GREEN,KALEB",BSC 6-9 (+3),,"GOOD 3PTR by GREEN,KALEB",1
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",1
15:08,"MISS JUMPER by JOHNSON,MICHAEL(in the paint)",,,,,,,"MISS JUMPER by JOHNSON,MICHAEL(in the paint)",1
--,"REBOUND OFF by COSTAS,RILEY",,,,,,,"REBOUND OFF by COSTAS,RILEY",1
14:56,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
14:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:56,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",1
14:56,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
14:56,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
14:56,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",1
14:56,,,,,"SUB IN by PATRICK,DYLAN",,,"SUB IN by PATRICK,DYLAN",1
14:56,,,,,"SUB IN by DAVIS,BRODY",,,"SUB IN by DAVIS,BRODY",1
14:56,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
14:56,"SUB OUT by COSTAS,RILEY",,,,,,,"SUB OUT by COSTAS,RILEY",1
14:56,"SUB OUT by CLARK,BRYCE",,,,,,,"SUB OUT by CLARK,BRYCE",1
14:56,"SUB IN by KRUEGER,JORDAN",,,,,,,"SUB IN by KRUEGER,JORDAN",1
14:56,"SUB IN by CAMPBELL,BLAKE",,,,,,,"SUB IN by CAMPBELL,BLAKE",1
14:56,"SUB IN by SEGALL,RYAN",,,,,,,"SUB IN by SEGALL,RYAN",1
14:56,"GOOD FT by JOHNSON,MICHAEL",7,,9 (+2),,Berry 7-9 (+2),,"GOOD FT by JOHNSON,MICHAEL",1
14:56,"GOOD FT by JOHNSON,MICHAEL",8,,9 (+1),,Berry 8-9 (+1),,"GOOD FT by JOHNSON,MICHAEL",1
14:42,,8,,11 (+3),"GOOD JUMPER by PATRICK,DYLAN(in the paint)",BSC 8-11 (+3),,"GOOD JUMPER by PATRICK,DYLAN(in the paint)",1
14:29,"GOOD JUMPER by CAMPBELL,BLAKE(in the paint)",10,,11 (+1),,Berry 10-11 (+1),,"GOOD JUMPER by CAMPBELL,BLAKE(in the paint)",1
14:02,,10,,13 (+3),"GOOD JUMPER by DAVIS,BRODY(in the paint)",BSC 10-13 (+3),,"GOOD JUMPER by DAVIS,BRODY(in the paint)",1
13:42,"TURNOVER  by ELLIS,CHASE",,,,,,,"TURNOVER  by ELLIS,CHASE",1
13:42,,,,,"STEAL  by JACKSON,MARTISE",,,"STEAL  by JACKSON,MARTISE",1
13:28,,10,,15 (+5),"GOOD JUMPER by PATRICK,DYLAN(in the paint)",BSC 10-15 (+5),,"GOOD JUMPER by PATRICK,DYLAN(in the paint)",1
--,,,,,"ASSIST  by DAVIS,BRODY",,,"ASSIST  by DAVIS,BRODY",1
13:28,"FOUL  by KRUEGER,JORDAN",,,,,,,"FOUL  by KRUEGER,JORDAN",1
13:28,,,,,"MISS FT by PATRICK,DYLAN",,,"MISS FT by PATRICK,DYLAN",1
--,"REBOUND DEF by SEGALL,RYAN",,,,,,,"REBOUND DEF by SEGALL,RYAN",1
13:18,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",1
--,,,,,"REBOUND DEF by JACKSON,MARTISE",,,"REBOUND DEF by JACKSON,MARTISE",1
13:01,,,,,"TURNOVER  by DAVIS,BRODY",,,"TURNOVER  by DAVIS,BRODY",1
13:01,"STEAL  by SEGALL,RYAN",,,,,,,"STEAL  by SEGALL,RYAN",1
12:56,"GOOD LAYUP by ELLIS,CHASE(fastbreak)(in the paint)",12,,15 (+3),,Berry 12-15 (+3),,"GOOD LAYUP by ELLIS,CHASE(fastbreak)(in the paint)",1
12:43,,,,,"MISS JUMPER by SPENCE,SAMUEL(in the paint)",,,"MISS JUMPER by SPENCE,SAMUEL(in the paint)",1
--,"REBOUND DEF by KRUEGER,JORDAN",,,,,,,"REBOUND DEF by KRUEGER,JORDAN",1
12:28,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",1
12:28,,,,,"SUB OUT by SPENCE,SAMUEL",,,"SUB OUT by SPENCE,SAMUEL",1
12:28,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",1
12:28,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",1
12:28,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",1
12:28,,,,,"SUB IN by DEAN,NOLAN",,,"SUB IN by DEAN,NOLAN",1
12:28,"SUB OUT by JOHNSON,MICHAEL",,,,,,,"SUB OUT by JOHNSON,MICHAEL",1
12:28,"SUB OUT by ELLIS,CHASE",,,,,,,"SUB OUT by ELLIS,CHASE",1
12:28,"SUB OUT by SEGALL,RYAN",,,,,,,"SUB OUT by SEGALL,RYAN",1
12:28,"SUB IN by HONROTH,OWEN",,,,,,,"SUB IN by HONROTH,OWEN",1
12:28,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
12:28,"SUB IN by CLARK,BRYCE",,,,,,,"SUB IN by CLARK,BRYCE",1
12:16,"TURNOVER  by CAMPBELL,BLAKE",,,,,,,"TURNOVER  by CAMPBELL,BLAKE",1
11:57,"FOUL  by KRUEGER,JORDAN",,,,,,,"FOUL  by KRUEGER,JORDAN",1
11:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:57,,,,,"SUB OUT by PATRICK,DYLAN",,,"SUB OUT by PATRICK,DYLAN",1
11:57,,,,,"SUB OUT by DAVIS,BRODY",,,"SUB OUT by DAVIS,BRODY",1
11:57,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",1
11:57,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
11:57,"SUB OUT by KRUEGER,JORDAN",,,,,,,"SUB OUT by KRUEGER,JORDAN",1
11:57,"SUB IN by CRAFT,JAKE",,,,,,,"SUB IN by CRAFT,JAKE",1
11:49,"FOUL  by CLARK,BRYCE",,,,,,,"FOUL  by CLARK,BRYCE",1
11:46,,,,,"MISS JUMPER by GREEN,KALEB",,,"MISS JUMPER by GREEN,KALEB",1
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",1
11:42,,,,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
11:42,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",1
11:13,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
10:52,,,,,"MISS LAYUP by GARRIDO,BRANDAN(in the paint)",,,"MISS LAYUP by GARRIDO,BRANDAN(in the paint)",1
--,"REBOUND DEF by CRAFT,JAKE",,,,,,,"REBOUND DEF by CRAFT,JAKE",1
10:40,"GOOD LAYUP by CLARK,BRYCE(in the paint)",14,,15 (+1),,Berry 14-15 (+1),,"GOOD LAYUP by CLARK,BRYCE(in the paint)",1
10:21,"FOUL  by CAMPBELL,BLAKE",,,,,,,"FOUL  by CAMPBELL,BLAKE",1
10:17,,,,,"TURNOVER  by GARRIDO,BRANDAN",,,"TURNOVER  by GARRIDO,BRANDAN",1
10:17,"STEAL  by COSTAS,RILEY",,,,,,,"STEAL  by COSTAS,RILEY",1
10:10,,,,,"FOUL  by GREEN,KALEB",,,"FOUL  by GREEN,KALEB",1
10:10,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",1
10:10,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",1
10:10,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
10:10,"SUB IN by ELLIS,CHASE",,,,,,,"SUB IN by ELLIS,CHASE",1
10:00,"MISS 3PTR by ELLIS,CHASE",,,,,,,"MISS 3PTR by ELLIS,CHASE",1
--,,,,,"REBOUND DEF by GARRIDO,BRANDAN",,,"REBOUND DEF by GARRIDO,BRANDAN",1
09:45,,,,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",1
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",1
09:41,,,,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",1
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",1
09:37,,14,,17 (+3),"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BSC 14-17 (+3),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
09:26,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
09:26,,,,,"SUB OUT by DEAN,NOLAN",,,"SUB OUT by DEAN,NOLAN",1
09:26,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",1
09:26,,,,,"SUB IN by BISHOP,BRYSON",,,"SUB IN by BISHOP,BRYSON",1
09:26,"SUB OUT by CLARK,BRYCE",,,,,,,"SUB OUT by CLARK,BRYCE",1
09:26,"SUB IN by SEGALL,RYAN",,,,,,,"SUB IN by SEGALL,RYAN",1
09:09,"MISS 3PTR by CRAFT,JAKE",,,,,,,"MISS 3PTR by CRAFT,JAKE",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
08:55,,14,,20 (+6),"GOOD 3PTR by GARRIDO,BRANDAN",BSC 14-20 (+6),,"GOOD 3PTR by GARRIDO,BRANDAN",1
--,,,,,"ASSIST  by CHILDERS,JOSH",,,"ASSIST  by CHILDERS,JOSH",1
08:35,"GOOD LAYUP by SEGALL,RYAN(in the paint)",16,,20 (+4),,Berry 16-20 (+4),,"GOOD LAYUP by SEGALL,RYAN(in the paint)",1
--,"ASSIST  by CAMPBELL,BLAKE",,,,,,,"ASSIST  by CAMPBELL,BLAKE",1
08:10,,16,,22 (+6),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 16-22 (+6),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
07:36,"GOOD DUNK by ELLIS,CHASE(in the paint)",18,,22 (+4),,Berry 18-22 (+4),,"GOOD DUNK by ELLIS,CHASE(in the paint)",1
07:29,,,,,"MISS JUMPER by JACKSON,MARTISE(in the paint)",,,"MISS JUMPER by JACKSON,MARTISE(in the paint)",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
07:17,"TURNOVER  by CAMPBELL,BLAKE",,,,,,,"TURNOVER  by CAMPBELL,BLAKE",1
07:17,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:17,,,,,"SUB OUT by GARRIDO,BRANDAN",,,"SUB OUT by GARRIDO,BRANDAN",1
07:17,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
07:17,,,,,"SUB IN by PATRICK,DYLAN",,,"SUB IN by PATRICK,DYLAN",1
07:17,,,,,"SUB IN by THOMPSON,CHRISTIAN",,,"SUB IN by THOMPSON,CHRISTIAN",1
07:17,"SUB OUT by CAMPBELL,BLAKE",,,,,,,"SUB OUT by CAMPBELL,BLAKE",1
07:17,"SUB OUT by CRAFT,JAKE",,,,,,,"SUB OUT by CRAFT,JAKE",1
07:17,"SUB IN by JOHNSON,MICHAEL",,,,,,,"SUB IN by JOHNSON,MICHAEL",1
07:17,"SUB IN by HONROTH,OWEN",,,,,,,"SUB IN by HONROTH,OWEN",1
07:05,"FOUL  by SEGALL,RYAN",,,,,,,"FOUL  by SEGALL,RYAN",1
06:56,,,,,"TURNOVER  by THOMPSON,CHRISTIAN",,,"TURNOVER  by THOMPSON,CHRISTIAN",1
06:56,"STEAL  by JOHNSON,MICHAEL",,,,,,,"STEAL  by JOHNSON,MICHAEL",1
06:50,"TURNOVER  by HONROTH,OWEN",,,,,,,"TURNOVER  by HONROTH,OWEN",1
06:50,,,,,"STEAL  by PATRICK,DYLAN",,,"STEAL  by PATRICK,DYLAN",1
