Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:41,"GOOD LAYUP by IGBANU,PROMISE(in the paint)",2 (+2),,0,,COV 2-0 (-2),,"GOOD LAYUP by IGBANU,PROMISE(in the paint)",1
19:28,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",1
--,"REBOUND DEF by IGBANU,PROMISE",,,,,,,"REBOUND DEF by IGBANU,PROMISE",1
19:10,"GOOD 3PTR by IGBANU,PROMISE",5 (+5),,0,,COV 5-0 (-5),,"GOOD 3PTR by IGBANU,PROMISE",1
18:51,"FOUL  by IGBANU,PROMISE",,,,,,,"FOUL  by IGBANU,PROMISE",1
18:31,"FOUL  by IGBANU,PROMISE",,,,,,,"FOUL  by IGBANU,PROMISE",1
18:31,,5 (+4),,1,"GOOD FT by CHILDERS,JOSH",BSC 5-1 (-4),,"GOOD FT by CHILDERS,JOSH",1
18:31,"SUB OUT by IGBANU,PROMISE",,,,,,,"SUB OUT by IGBANU,PROMISE",1
18:31,"SUB IN by WITT,ELI",,,,,,,"SUB IN by WITT,ELI",1
18:31,,5 (+3),,2,"GOOD FT by CHILDERS,JOSH",BSC 5-2 (-3),,"GOOD FT by CHILDERS,JOSH",1
18:26,"TURNOVER  by PEARLMAN,LOGAN",,,,,,,"TURNOVER  by PEARLMAN,LOGAN",1
18:26,,,,,"STEAL  by JACKSON,MARTISE",,,"STEAL  by JACKSON,MARTISE",1
18:22,,5 (+1),,4,"GOOD LAYUP by GREEN,KALEB(fastbreak)(in the paint)",BSC 5-4 (-1),,"GOOD LAYUP by GREEN,KALEB(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by JACKSON,MARTISE",,,"ASSIST  by JACKSON,MARTISE",1
18:05,"TURNOVER  by NOEL,MALCOLM",,,,,,,"TURNOVER  by NOEL,MALCOLM",1
18:05,,5,,6 (+1),"GOOD JUMPER by CHILDERS,JOSH(in the paint)",BSC 5-6 (+1),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",1
18:05,"GOOD 3PTR by GERNATT,JONATHAN",8 (+2),,6,,COV 8-6 (-2),,"GOOD 3PTR by GERNATT,JONATHAN",1
--,"ASSIST  by NOEL,MALCOLM",,,,,,,"ASSIST  by NOEL,MALCOLM",1
17:51,"FOUL  by NOEL,MALCOLM",,,,,,,"FOUL  by NOEL,MALCOLM",1
17:28,,8,,8,"GOOD JUMPER by BISHOP,BRYSON(in the paint)",BSC 8-8 (0),,"GOOD JUMPER by BISHOP,BRYSON(in the paint)",1
17:01,"MISS 3PTR by WITT,ELI",,,,,,,"MISS 3PTR by WITT,ELI",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
16:50,"FOUL  by WITT,ELI",,,,,,,"FOUL  by WITT,ELI",1
16:29,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:29,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",1
16:29,,,,,"SUB IN by PATRICK,DYLAN",,,"SUB IN by PATRICK,DYLAN",1
16:29,"SUB OUT by CROWDEN,LUKE",,,,,,,"SUB OUT by CROWDEN,LUKE",1
16:29,"SUB OUT by NOEL,MALCOLM",,,,,,,"SUB OUT by NOEL,MALCOLM",1
16:29,"SUB OUT by GERNATT,JONATHAN",,,,,,,"SUB OUT by GERNATT,JONATHAN",1
16:29,"SUB OUT by WITT,ELI",,,,,,,"SUB OUT by WITT,ELI",1
16:29,"SUB IN by HOOD,GUS",,,,,,,"SUB IN by HOOD,GUS",1
16:29,"SUB IN by HESTER,CHARLIE",,,,,,,"SUB IN by HESTER,CHARLIE",1
16:29,"SUB IN by MATHIS,WALKER",,,,,,,"SUB IN by MATHIS,WALKER",1
16:29,"SUB IN by ST. GERMAIN,MICHAEL",,,,,,,"SUB IN by ST. GERMAIN,MICHAEL",1
16:17,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",1
--,"REBOUND DEF by CHRISTIANSEN,EVERRET",,,,,,,"REBOUND DEF by CHRISTIANSEN,EVERRET",1
16:10,"TURNOVER  by ST. GERMAIN,MICHAEL",,,,,,,"TURNOVER  by ST. GERMAIN,MICHAEL",1
16:10,,,,,"STEAL  by BISHOP,BRYSON",,,"STEAL  by BISHOP,BRYSON",1
16:03,,,,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
16:02,"FOUL  by HOOD,GUS",,,,,,,"FOUL  by HOOD,GUS",1
16:02,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
16:02,,8,,9 (+1),"GOOD FT by CHILDERS,JOSH",BSC 8-9 (+1),,"GOOD FT by CHILDERS,JOSH",1
16:02,,,,,"MISS FT by CHILDERS,JOSH",,,"MISS FT by CHILDERS,JOSH",1
--,"REBOUND DEF by HESTER,CHARLIE",,,,,,,"REBOUND DEF by HESTER,CHARLIE",1
16:02,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",1
16:02,,,,,"SUB IN by DEAN,NOLAN",,,"SUB IN by DEAN,NOLAN",1
15:44,"TURNOVER  by MATHIS,WALKER",,,,,,,"TURNOVER  by MATHIS,WALKER",1
15:44,,,,,"STEAL  by PATRICK,DYLAN",,,"STEAL  by PATRICK,DYLAN",1
15:36,,,,,"MISS 3PTR by DEAN,NOLAN",,,"MISS 3PTR by DEAN,NOLAN",1
--,"REBOUND DEF by PEARLMAN,LOGAN",,,,,,,"REBOUND DEF by PEARLMAN,LOGAN",1
15:24,"TURNOVER  by PEARLMAN,LOGAN",,,,,,,"TURNOVER  by PEARLMAN,LOGAN",1
15:24,,,,,"STEAL  by CHILDERS,JOSH",,,"STEAL  by CHILDERS,JOSH",1
15:16,"FOUL  by HESTER,CHARLIE",,,,,,,"FOUL  by HESTER,CHARLIE",1
14:51,,8,,11 (+3),"GOOD JUMPER by DEAN,NOLAN",BSC 8-11 (+3),,"GOOD JUMPER by DEAN,NOLAN",1
14:44,"MISS JUMPER by ST. GERMAIN,MICHAEL(in the paint)",,,,,,,"MISS JUMPER by ST. GERMAIN,MICHAEL(in the paint)",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
14:20,,,,,"MISS JUMPER by BISHOP,BRYSON",,,"MISS JUMPER by BISHOP,BRYSON",1
--,"REBOUND DEF by HESTER,CHARLIE",,,,,,,"REBOUND DEF by HESTER,CHARLIE",1
14:05,"GOOD 3PTR by HESTER,CHARLIE",11,,11,,COV 11-11 (0),,"GOOD 3PTR by HESTER,CHARLIE",1
13:57,,11,,13 (+2),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 11-13 (+2),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
12:56,,,,,"FOUL  by SPENCE,SAMUEL",,,"FOUL  by SPENCE,SAMUEL",1
12:56,,,,,"SUB OUT by PATRICK,DYLAN",,,"SUB OUT by PATRICK,DYLAN",1
12:56,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",1
12:56,,,,,"SUB IN by DAVIS,BRODY",,,"SUB IN by DAVIS,BRODY",1
12:56,"SUB OUT by HOOD,GUS",,,,,,,"SUB OUT by HOOD,GUS",1
12:56,"SUB IN by CROWDEN,LUKE",,,,,,,"SUB IN by CROWDEN,LUKE",1
12:56,"SUB IN by NOEL,MALCOLM",,,,,,,"SUB IN by NOEL,MALCOLM",1
12:56,"GOOD FT by PEARLMAN,LOGAN",12,,13 (+1),,COV 12-13 (+1),,"GOOD FT by PEARLMAN,LOGAN",1
12:56,"GOOD FT by PEARLMAN,LOGAN",13,,13,,COV 13-13 (0),,"GOOD FT by PEARLMAN,LOGAN",1
12:56,"SUB OUT by PEARLMAN,LOGAN",,,,,,,"SUB OUT by PEARLMAN,LOGAN",1
