Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
18:08,"FOUL  by WRIGHT,THOMAS",,,,,,,"FOUL  by WRIGHT,THOMAS",1
18:00,,,,,"TURNOVER  by CHILDERS,JOSH",,,"TURNOVER  by CHILDERS,JOSH",1
17:45,"FOUL  by ZERADJANIN,MILOS",,,,,,,"FOUL  by ZERADJANIN,MILOS",1
17:45,"TURNOVER  by ZERADJANIN,MILOS",,,,,,,"TURNOVER  by ZERADJANIN,MILOS",1
17:33,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",1
--,"REBOUND DEF by WRIGHT,THOMAS",,,,,,,"REBOUND DEF by WRIGHT,THOMAS",1
17:08,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
17:08,"GOOD FT by SHEPHERD,ANDREW",9 (+5),,4,,MUW 9-4 (-5),,"GOOD FT by SHEPHERD,ANDREW",1
17:08,"GOOD FT by SHEPHERD,ANDREW",10 (+6),,4,,MUW 10-4 (-6),,"GOOD FT by SHEPHERD,ANDREW",1
16:54,,,,,"MISS 3PTR by GILLISPIE,JAY",,,"MISS 3PTR by GILLISPIE,JAY",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
16:46,,,,,"MISS JUMPER by GLOVER,CAM",,,"MISS JUMPER by GLOVER,CAM",1
--,"REBOUND DEF by ZERADJANIN,MILOS",,,,,,,"REBOUND DEF by ZERADJANIN,MILOS",1
16:35,"TURNOVER  by HOPKINS,BRYE",,,,,,,"TURNOVER  by HOPKINS,BRYE",1
16:35,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",1
16:35,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
16:35,,,,,"SUB IN by GLOVER,COLIN",,,"SUB IN by GLOVER,COLIN",1
16:35,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",1
16:21,,,,,"MISS JUMPER by GLOVER,COLIN(in the paint)",,,"MISS JUMPER by GLOVER,COLIN(in the paint)",1
--,"REBOUND DEF by WRIGHT,SHON",,,,,,,"REBOUND DEF by WRIGHT,SHON",1
16:05,"MISS LAYUP by WRIGHT,THOMAS(in the paint)",,,,,,,"MISS LAYUP by WRIGHT,THOMAS(in the paint)",1
--,,,,,"REBOUND DEF by BISHOP,BRYSON",,,"REBOUND DEF by BISHOP,BRYSON",1
16:00,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,"REBOUND OFF by GLOVER,COLIN",,,"REBOUND OFF by GLOVER,COLIN",1
15:55,,10 (+4),,6,"GOOD LAYUP by GLOVER,COLIN(in the paint)",BSC 10-6 (-4),,"GOOD LAYUP by GLOVER,COLIN(in the paint)",1
15:37,"MISS LAYUP by HOPKINS,BRYE(in the paint)",,,,,,,"MISS LAYUP by HOPKINS,BRYE(in the paint)",1
--,,,,,"REBOUND DEF by GLOVER,CAM",,,"REBOUND DEF by GLOVER,CAM",1
15:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:21,,,,,"SUB OUT by GLOVER,CAM",,,"SUB OUT by GLOVER,CAM",1
15:21,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",1
15:21,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
15:21,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",1
15:21,,,,,"SUB IN by DEAN,NOLAN",,,"SUB IN by DEAN,NOLAN",1
15:21,,,,,"SUB IN by DAVIS,BRODY",,,"SUB IN by DAVIS,BRODY",1
15:05,,,,,"MISS 3PTR by SPENCE,SAMUEL",,,"MISS 3PTR by SPENCE,SAMUEL",1
--,"REBOUND DEF by ZERADJANIN,MILOS",,,,,,,"REBOUND DEF by ZERADJANIN,MILOS",1
14:46,,,,,"FOUL TECH by DAVIS,BRODY",,,"FOUL TECH by DAVIS,BRODY",1
14:46,"GOOD FT by ZERADJANIN,MILOS",11 (+5),,6,,MUW 11-6 (-5),,"GOOD FT by ZERADJANIN,MILOS",1
14:34,"GOOD 3PTR by SHEPHERD,ANDREW",14 (+8),,6,,MUW 14-6 (-8),,"GOOD 3PTR by SHEPHERD,ANDREW",1
--,"ASSIST  by ZERADJANIN,MILOS",,,,,,,"ASSIST  by ZERADJANIN,MILOS",1
14:26,,,,,"MISS 3PTR by DEAN,NOLAN",,,"MISS 3PTR by DEAN,NOLAN",1
--,"REBOUND DEF by HOPKINS,BRYE",,,,,,,"REBOUND DEF by HOPKINS,BRYE",1
14:08,"GOOD JUMPER by ZERADJANIN,MILOS(in the paint)",16 (+10),,6,,MUW 16-6 (-10),,"GOOD JUMPER by ZERADJANIN,MILOS(in the paint)",1
13:55,,,,,"MISS 3PTR by GLOVER,COLIN",,,"MISS 3PTR by GLOVER,COLIN",1
--,"REBOUND DEF by WRIGHT,SHON",,,,,,,"REBOUND DEF by WRIGHT,SHON",1
13:41,"GOOD 3PTR by ZERADJANIN,MILOS",19 (+13),,6,,MUW 19-6 (-13),,"GOOD 3PTR by ZERADJANIN,MILOS",1
--,"ASSIST  by HOPKINS,BRYE",,,,,,,"ASSIST  by HOPKINS,BRYE",1
13:39,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:39,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",1
13:39,,,,,"SUB OUT by SPENCE,SAMUEL",,,"SUB OUT by SPENCE,SAMUEL",1
13:39,,,,,"SUB OUT by DAVIS,BRODY",,,"SUB OUT by DAVIS,BRODY",1
13:39,,,,,"SUB IN by GLOVER,CAM",,,"SUB IN by GLOVER,CAM",1
13:39,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",1
13:39,,,,,"SUB IN by THOMPSON,CHRISTIAN",,,"SUB IN by THOMPSON,CHRISTIAN",1
13:39,,,,,"SUB OUT by GLOVER,COLIN",,,"SUB OUT by GLOVER,COLIN",1
13:39,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",1
13:30,"FOUL  by HOPKINS,BRYE",,,,,,,"FOUL  by HOPKINS,BRYE",1
13:26,,,,,"TURNOVER  by THOMPSON,CHRISTIAN",,,"TURNOVER  by THOMPSON,CHRISTIAN",1
13:26,"STEAL  by WRIGHT,THOMAS",,,,,,,"STEAL  by WRIGHT,THOMAS",1
13:19,"MISS 3PTR by WRIGHT,SHON",,,,,,,"MISS 3PTR by WRIGHT,SHON",1
--,,,,,"REBOUND DEF by GLOVER,CAM",,,"REBOUND DEF by GLOVER,CAM",1
13:08,,19 (+11),,8,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",BSC 19-8 (-11),,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",1
--,,,,,"ASSIST  by GREEN,KALEB",,,"ASSIST  by GREEN,KALEB",1
12:54,"MISS 3PTR by SHEPHERD,ANDREW",,,,,,,"MISS 3PTR by SHEPHERD,ANDREW",1
--,,,,,"REBOUND DEF by GREEN,KALEB",,,"REBOUND DEF by GREEN,KALEB",1
12:44,,,,,"MISS 3PTR by GLOVER,CAM",,,"MISS 3PTR by GLOVER,CAM",1
--,"REBOUND DEF by WRIGHT,THOMAS",,,,,,,"REBOUND DEF by WRIGHT,THOMAS",1
12:40,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",1
12:40,,,,,"SUB OUT by DEAN,NOLAN",,,"SUB OUT by DEAN,NOLAN",1
12:40,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",1
12:40,,,,,"SUB IN by BISHOP,BRYSON",,,"SUB IN by BISHOP,BRYSON",1
12:31,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",21 (+13),,8,,MUW 21-8 (-13),,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",1
12:27,,,,,"TURNOVER  by GLOVER,CAM",,,"TURNOVER  by GLOVER,CAM",1
12:16,"MISS JUMPER by WRIGHT,SHON",,,,,,,"MISS JUMPER by WRIGHT,SHON",1
12:16,,,,,"BLOCK  by THOMPSON,CHRISTIAN",,,"BLOCK  by THOMPSON,CHRISTIAN",1
--,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",,,"REBOUND DEF by THOMPSON,CHRISTIAN",1
12:07,"FOUL  by WRIGHT,SHON",,,,,,,"FOUL  by WRIGHT,SHON",1
12:07,,,,,"SUB OUT by THOMPSON,CHRISTIAN",,,"SUB OUT by THOMPSON,CHRISTIAN",1
