Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
03:54,"GOOD FT by DOSS,DARIUN",35 (+3),,32,,MUW 35-32 (-3),,"GOOD FT by DOSS,DARIUN",1
03:54,"GOOD FT by DOSS,DARIUN",36 (+4),,32,,MUW 36-32 (-4),,"GOOD FT by DOSS,DARIUN",1
03:36,,36 (+2),,34,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",BSC 36-34 (-2),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",1
03:19,"MISS JUMPER by DOSS,DARIUN(in the paint)",,,,,,,"MISS JUMPER by DOSS,DARIUN(in the paint)",1
--,,,,,"REBOUND DEF by SPENCE,SAMUEL",,,"REBOUND DEF by SPENCE,SAMUEL",1
03:10,,36,,36,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",BSC 36-36 (0),,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",1
02:57,"MISS JUMPER by DOSS,DARIUN",,,,,,,"MISS JUMPER by DOSS,DARIUN",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
02:46,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
02:45,"FOUL  by WRIGHT,THOMAS",,,,,,,"FOUL  by WRIGHT,THOMAS",1
02:45,,,,,"MISS FT by CHILDERS,JOSH",,,"MISS FT by CHILDERS,JOSH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:45,,,,,"SUB OUT by SPENCE,SAMUEL",,,"SUB OUT by SPENCE,SAMUEL",1
02:45,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",1
02:45,,,,,"SUB IN by GLOVER,COLIN",,,"SUB IN by GLOVER,COLIN",1
02:45,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",1
02:45,"SUB OUT by WRIGHT,THOMAS",,,,,,,"SUB OUT by WRIGHT,THOMAS",1
02:45,"SUB IN by SMITHEY,TYSON",,,,,,,"SUB IN by SMITHEY,TYSON",1
02:45,,,,,"MISS FT by CHILDERS,JOSH",,,"MISS FT by CHILDERS,JOSH",1
--,"REBOUND DEF by DOSS,DARIUN",,,,,,,"REBOUND DEF by DOSS,DARIUN",1
02:13,,,,,"FOUL  by GLOVER,CAM",,,"FOUL  by GLOVER,CAM",1
02:13,"GOOD FT by ZERADJANIN,MILOS",37 (+1),,36,,MUW 37-36 (-1),,"GOOD FT by ZERADJANIN,MILOS",1
02:13,"GOOD FT by ZERADJANIN,MILOS",38 (+2),,36,,MUW 38-36 (-2),,"GOOD FT by ZERADJANIN,MILOS",1
02:01,,38,,38,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",BSC 38-38 (0),,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",1
01:46,"MISS 3PTR by CAUSEY,QUINTIYUS",,,,,,,"MISS 3PTR by CAUSEY,QUINTIYUS",1
--,,,,,"REBOUND DEF by GREEN,KALEB",,,"REBOUND DEF by GREEN,KALEB",1
01:39,,38,,41 (+3),"GOOD 3PTR by GLOVER,CAM",BSC 38-41 (+3),,"GOOD 3PTR by GLOVER,CAM",1
--,,,,,"ASSIST  by GREEN,KALEB",,,"ASSIST  by GREEN,KALEB",1
01:20,"MISS JUMPER by DOSS,DARIUN",,,,,,,"MISS JUMPER by DOSS,DARIUN",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
01:13,,38,,43 (+5),"GOOD LAYUP by GLOVER,CAM(in the paint)",BSC 38-43 (+5),,"GOOD LAYUP by GLOVER,CAM(in the paint)",1
00:51,,,,,"FOUL  by GLOVER,CAM",,,"FOUL  by GLOVER,CAM",1
00:51,"GOOD FT by CAUSEY,QUINTIYUS",39,,43 (+4),,MUW 39-43 (+4),,"GOOD FT by CAUSEY,QUINTIYUS",1
00:51,"GOOD FT by CAUSEY,QUINTIYUS",40,,43 (+3),,MUW 40-43 (+3),,"GOOD FT by CAUSEY,QUINTIYUS",1
00:39,,,,,"TURNOVER  by GREEN,KALEB",,,"TURNOVER  by GREEN,KALEB",1
00:39,"STEAL  by DOSS,DARIUN",,,,,,,"STEAL  by DOSS,DARIUN",1
00:26,,,,,"FOUL  by GREEN,KALEB",,,"FOUL  by GREEN,KALEB",1
00:26,"GOOD FT by CAUSEY,QUINTIYUS",41,,43 (+2),,MUW 41-43 (+2),,"GOOD FT by CAUSEY,QUINTIYUS",1
00:26,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",1
00:26,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",1
00:26,"GOOD FT by CAUSEY,QUINTIYUS",42,,43 (+1),,MUW 42-43 (+1),,"GOOD FT by CAUSEY,QUINTIYUS",1
00:03,,,,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",1
00:03,"BLOCK  by SMITHEY,TYSON",,,,,,,"BLOCK  by SMITHEY,TYSON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:00,,,,,"MISS LAYUP by GLOVER,COLIN(in the paint)",,,"MISS LAYUP by GLOVER,COLIN(in the paint)",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
20:00,,,,,"SUB OUT by GLOVER,COLIN",,,"SUB OUT by GLOVER,COLIN",2
20:00,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",2
20:00,,,,,"SUB OUT by SPENCE,SAMUEL",,,"SUB OUT by SPENCE,SAMUEL",2
20:00,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",2
20:00,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",2
20:00,,,,,"SUB IN by BISHOP,BRYSON",,,"SUB IN by BISHOP,BRYSON",2
20:00,"SUB OUT by CAUSEY,QUINTIYUS",,,,,,,"SUB OUT by CAUSEY,QUINTIYUS",2
20:00,"SUB OUT by DOSS,DARIUN",,,,,,,"SUB OUT by DOSS,DARIUN",2
20:00,"SUB OUT by SMITHEY,TYSON",,,,,,,"SUB OUT by SMITHEY,TYSON",2
20:00,"SUB IN by HOPKINS,BRYE",,,,,,,"SUB IN by HOPKINS,BRYE",2
20:00,"SUB IN by WRIGHT,SHON",,,,,,,"SUB IN by WRIGHT,SHON",2
20:00,"SUB IN by WRIGHT,THOMAS",,,,,,,"SUB IN by WRIGHT,THOMAS",2
19:44,"MISS JUMPER by ZERADJANIN,MILOS(in the paint)",,,,,,,"MISS JUMPER by ZERADJANIN,MILOS(in the paint)",2
--,,,,,"REBOUND DEF by BISHOP,BRYSON",,,"REBOUND DEF by BISHOP,BRYSON",2
19:31,"FOUL  by WRIGHT,THOMAS",,,,,,,"FOUL  by WRIGHT,THOMAS",2
19:31,"SUB OUT by WRIGHT,THOMAS",,,,,,,"SUB OUT by WRIGHT,THOMAS",2
19:31,"SUB IN by DUKES,JOSH",,,,,,,"SUB IN by DUKES,JOSH",2
19:31,,42,,45 (+3),"GOOD JUMPER by CHILDERS,JOSH(in the paint)",BSC 42-45 (+3),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",2
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",2
19:23,"TURNOVER  by DUKES,JOSH",,,,,,,"TURNOVER  by DUKES,JOSH",2
19:18,,42,,47 (+5),"GOOD JUMPER by GLOVER,CAM",BSC 42-47 (+5),,"GOOD JUMPER by GLOVER,CAM",2
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",2
19:03,"GOOD JUMPER by WRIGHT,SHON",44,,47 (+3),,MUW 44-47 (+3),,"GOOD JUMPER by WRIGHT,SHON",2
18:55,,,,,"MISS JUMPER by JACKSON,MARTISE(in the paint)",,,"MISS JUMPER by JACKSON,MARTISE(in the paint)",2
--,"REBOUND DEF by WRIGHT,SHON",,,,,,,"REBOUND DEF by WRIGHT,SHON",2
18:43,"MISS JUMPER by ZERADJANIN,MILOS(in the paint)",,,,,,,"MISS JUMPER by ZERADJANIN,MILOS(in the paint)",2
--,"REBOUND OFF by ZERADJANIN,MILOS",,,,,,,"REBOUND OFF by ZERADJANIN,MILOS",2
18:40,"MISS JUMPER by ZERADJANIN,MILOS(in the paint)",,,,,,,"MISS JUMPER by ZERADJANIN,MILOS(in the paint)",2
--,"REBOUND OFF by ZERADJANIN,MILOS",,,,,,,"REBOUND OFF by ZERADJANIN,MILOS",2
18:32,"GOOD 3PTR by SHEPHERD,ANDREW",47,,47,,MUW 47-47 (0),,"GOOD 3PTR by SHEPHERD,ANDREW",2
--,"ASSIST  by DUKES,JOSH",,,,,,,"ASSIST  by DUKES,JOSH",2
18:15,,,,,"TURNOVER  by CHILDERS,JOSH",,,"TURNOVER  by CHILDERS,JOSH",2
18:01,"GOOD JUMPER by WRIGHT,SHON(in the paint)",49 (+2),,47,,MUW 49-47 (-2),,"GOOD JUMPER by WRIGHT,SHON(in the paint)",2
17:53,"FOUL  by HOPKINS,BRYE",,,,,,,"FOUL  by HOPKINS,BRYE",2
17:51,,49,,50 (+1),"GOOD 3PTR by GLOVER,CAM",BSC 49-50 (+1),,"GOOD 3PTR by GLOVER,CAM",2
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",2
17:22,"MISS JUMPER by SHEPHERD,ANDREW(in the paint)",,,,,,,"MISS JUMPER by SHEPHERD,ANDREW(in the paint)",2
--,"REBOUND OFF by HOPKINS,BRYE",,,,,,,"REBOUND OFF by HOPKINS,BRYE",2
17:21,,,,,"FOUL  by JACKSON,MARTISE",,,"FOUL  by JACKSON,MARTISE",2
17:21,"MISS JUMPER by HOPKINS,BRYE(in the paint)",,,,,,,"MISS JUMPER by HOPKINS,BRYE(in the paint)",2
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",2
17:21,,49,,52 (+3),"GOOD LAYUP by CHILDERS,JOSH(fastbreak)(in the paint)",BSC 49-52 (+3),,"GOOD LAYUP by CHILDERS,JOSH(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GILLISPIE,JAY",,,"ASSIST  by GILLISPIE,JAY",2
17:15,"TURNOVER  by DUKES,JOSH",,,,,,,"TURNOVER  by DUKES,JOSH",2
17:15,,,,,"STEAL  by GILLISPIE,JAY",,,"STEAL  by GILLISPIE,JAY",2
17:05,,49,,54 (+5),"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BSC 49-54 (+5),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",2
16:55,"MISS 3PTR by SHEPHERD,ANDREW",,,,,,,"MISS 3PTR by SHEPHERD,ANDREW",2
--,"REBOUND OFF by WRIGHT,SHON",,,,,,,"REBOUND OFF by WRIGHT,SHON",2
16:50,"GOOD LAYUP by WRIGHT,SHON(in the paint)",51,,54 (+3),,MUW 51-54 (+3),,"GOOD LAYUP by WRIGHT,SHON(in the paint)",2
16:37,"FOUL  by HOPKINS,BRYE",,,,,,,"FOUL  by HOPKINS,BRYE",2
16:35,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",2
16:35,,,,,"SUB IN by GLOVER,COLIN",,,"SUB IN by GLOVER,COLIN",2
16:35,"SUB OUT by HOPKINS,BRYE",,,,,,,"SUB OUT by HOPKINS,BRYE",2
16:35,"SUB IN by SMITHEY,TYSON",,,,,,,"SUB IN by SMITHEY,TYSON",2
16:32,,,,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",2
--,"REBOUND DEF by SMITHEY,TYSON",,,,,,,"REBOUND DEF by SMITHEY,TYSON",2
16:16,"TURNOVER  by SMITHEY,TYSON",,,,,,,"TURNOVER  by SMITHEY,TYSON",2
16:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:16,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
16:16,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",2
16:16,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",2
16:05,,51,,56 (+5),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 51-56 (+5),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
--,,,,,"ASSIST  by SPENCE,SAMUEL",,,"ASSIST  by SPENCE,SAMUEL",2
15:51,"TURNOVER  by SHEPHERD,ANDREW",,,,,,,"TURNOVER  by SHEPHERD,ANDREW",2
15:51,,,,,"STEAL  by GLOVER,CAM",,,"STEAL  by GLOVER,CAM",2
15:42,,,,,"MISS 3PTR by GLOVER,CAM",,,"MISS 3PTR by GLOVER,CAM",2
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",2
15:37,,,,,"MISS 3PTR by SPENCE,SAMUEL",,,"MISS 3PTR by SPENCE,SAMUEL",2
--,"REBOUND DEF by SMITHEY,TYSON",,,,,,,"REBOUND DEF by SMITHEY,TYSON",2
15:21,"GOOD 3PTR by ZERADJANIN,MILOS",54,,56 (+2),,MUW 54-56 (+2),,"GOOD 3PTR by ZERADJANIN,MILOS",2
15:07,"FOUL  by DUKES,JOSH",,,,,,,"FOUL  by DUKES,JOSH",2
15:07,,,,,"SUB OUT by GLOVER,CAM",,,"SUB OUT by GLOVER,CAM",2
15:07,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",2
15:07,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",2
15:07,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",2
15:07,,,,,"SUB IN by DEAN,NOLAN",,,"SUB IN by DEAN,NOLAN",2
15:07,,,,,"SUB IN by DAVIS,BRODY",,,"SUB IN by DAVIS,BRODY",2
14:56,,,,,"MISS JUMPER by GREEN,KALEB(in the paint)",,,"MISS JUMPER by GREEN,KALEB(in the paint)",2
--,,,,,"REBOUND OFF by GREEN,KALEB",,,"REBOUND OFF by GREEN,KALEB",2
14:52,,54,,58 (+4),"GOOD LAYUP by GREEN,KALEB(in the paint)",BSC 54-58 (+4),,"GOOD LAYUP by GREEN,KALEB(in the paint)",2
14:29,"GOOD JUMPER by DUKES,JOSH(in the paint)",56,,58 (+2),,MUW 56-58 (+2),,"GOOD JUMPER by DUKES,JOSH(in the paint)",2
14:13,,,,,"MISS LAYUP by DAVIS,BRODY(in the paint)",,,"MISS LAYUP by DAVIS,BRODY(in the paint)",2
--,"REBOUND DEF by WRIGHT,SHON",,,,,,,"REBOUND DEF by WRIGHT,SHON",2
13:56,"MISS JUMPER by WRIGHT,SHON(in the paint)",,,,,,,"MISS JUMPER by WRIGHT,SHON(in the paint)",2
--,"REBOUND OFF by WRIGHT,SHON",,,,,,,"REBOUND OFF by WRIGHT,SHON",2
13:53,"SUB OUT by DUKES,JOSH",,,,,,,"SUB OUT by DUKES,JOSH",2
13:53,"SUB IN by CAUSEY,QUINTIYUS",,,,,,,"SUB IN by CAUSEY,QUINTIYUS",2
13:48,"MISS 3PTR by SHEPHERD,ANDREW",,,,,,,"MISS 3PTR by SHEPHERD,ANDREW",2
--,,,,,"REBOUND DEF by SPENCE,SAMUEL",,,"REBOUND DEF by SPENCE,SAMUEL",2
13:39,,,,,"MISS JUMPER by GREEN,KALEB(in the paint)",,,"MISS JUMPER by GREEN,KALEB(in the paint)",2
--,"REBOUND DEF by SMITHEY,TYSON",,,,,,,"REBOUND DEF by SMITHEY,TYSON",2
13:24,"GOOD LAYUP by SMITHEY,TYSON(in the paint)",58,,58,,MUW 58-58 (0),,"GOOD LAYUP by SMITHEY,TYSON(in the paint)",2
--,"ASSIST  by CAUSEY,QUINTIYUS",,,,,,,"ASSIST  by CAUSEY,QUINTIYUS",2
13:18,"FOUL  by SMITHEY,TYSON",,,,,,,"FOUL  by SMITHEY,TYSON",2
13:18,,,,,"MISS FT by DEAN,NOLAN(fastbreak)",,,"MISS FT by DEAN,NOLAN(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:18,,,,,"SUB OUT by GLOVER,COLIN",,,"SUB OUT by GLOVER,COLIN",2
13:18,,,,,"SUB OUT by SPENCE,SAMUEL",,,"SUB OUT by SPENCE,SAMUEL",2
13:18,,,,,"SUB IN by GLOVER,CAM",,,"SUB IN by GLOVER,CAM",2
13:18,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",2
13:18,,58,,59 (+1),"GOOD FT by DEAN,NOLAN(fastbreak)",BSC 58-59 (+1),,"GOOD FT by DEAN,NOLAN(fastbreak)",2
12:56,"MISS JUMPER by SHEPHERD,ANDREW",,,,,,,"MISS JUMPER by SHEPHERD,ANDREW",2
--,"REBOUND OFF by WRIGHT,SHON",,,,,,,"REBOUND OFF by WRIGHT,SHON",2
12:56,,,,,"FOUL  by DAVIS,BRODY",,,"FOUL  by DAVIS,BRODY",2
12:52,"GOOD 3PTR by CAUSEY,QUINTIYUS",61 (+2),,59,,MUW 61-59 (-2),,"GOOD 3PTR by CAUSEY,QUINTIYUS",2
--,"ASSIST  by ZERADJANIN,MILOS",,,,,,,"ASSIST  by ZERADJANIN,MILOS",2
12:39,,,,,"TURNOVER  by GILLISPIE,JAY",,,"TURNOVER  by GILLISPIE,JAY",2
12:22,"MISS 3PTR by CAUSEY,QUINTIYUS",,,,,,,"MISS 3PTR by CAUSEY,QUINTIYUS",2
--,,,,,"REBOUND DEF by DAVIS,BRODY",,,"REBOUND DEF by DAVIS,BRODY",2
12:13,,,,,"TURNOVER  by DAVIS,BRODY",,,"TURNOVER  by DAVIS,BRODY",2
12:13,,,,,"SUB OUT by DAVIS,BRODY",,,"SUB OUT by DAVIS,BRODY",2
12:13,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",2
12:01,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",2
12:01,"GOOD FT by WRIGHT,SHON",62 (+3),,59,,MUW 62-59 (-3),,"GOOD FT by WRIGHT,SHON",2
12:01,,,,,"SUB OUT by DEAN,NOLAN",,,"SUB OUT by DEAN,NOLAN",2
12:01,,,,,"SUB IN by BISHOP,BRYSON",,,"SUB IN by BISHOP,BRYSON",2
12:01,"GOOD FT by WRIGHT,SHON",63 (+4),,59,,MUW 63-59 (-4),,"GOOD FT by WRIGHT,SHON",2
11:50,,,,,"TURNOVER  by CHILDERS,JOSH",,,"TURNOVER  by CHILDERS,JOSH",2
11:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:50,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",2
11:50,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",2
11:50,"SUB OUT by SHEPHERD,ANDREW",,,,,,,"SUB OUT by SHEPHERD,ANDREW",2
11:50,"SUB IN by EVANS,CHRIS",,,,,,,"SUB IN by EVANS,CHRIS",2
11:24,"MISS JUMPER by ZERADJANIN,MILOS",,,,,,,"MISS JUMPER by ZERADJANIN,MILOS",2
--,,,,,"REBOUND DEF by BISHOP,BRYSON",,,"REBOUND DEF by BISHOP,BRYSON",2
11:20,,,,,"TURNOVER  by BISHOP,BRYSON",,,"TURNOVER  by BISHOP,BRYSON",2
11:20,"STEAL  by WRIGHT,SHON",,,,,,,"STEAL  by WRIGHT,SHON",2
11:16,"GOOD LAYUP by WRIGHT,SHON(fastbreak)(in the paint)",65 (+6),,59,,MUW 65-59 (-6),,"GOOD LAYUP by WRIGHT,SHON(fastbreak)(in the paint)",2
11:08,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",2
11:08,,,,,"TURNOVER  by GILLISPIE,JAY",,,"TURNOVER  by GILLISPIE,JAY",2
10:57,"MISS 3PTR by CAUSEY,QUINTIYUS",,,,,,,"MISS 3PTR by CAUSEY,QUINTIYUS",2
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",2
10:45,,,,,"MISS JUMPER by GLOVER,CAM(in the paint)",,,"MISS JUMPER by GLOVER,CAM(in the paint)",2
--,"REBOUND DEF by EVANS,CHRIS",,,,,,,"REBOUND DEF by EVANS,CHRIS",2
10:27,"MISS LAYUP by CAUSEY,QUINTIYUS(in the paint)",,,,,,,"MISS LAYUP by CAUSEY,QUINTIYUS(in the paint)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:16,,,,,"FOUL  by JACKSON,MARTISE",,,"FOUL  by JACKSON,MARTISE",2
10:16,"GOOD FT by WRIGHT,SHON",66 (+7),,59,,MUW 66-59 (-7),,"GOOD FT by WRIGHT,SHON",2
10:16,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",2
10:16,,,,,"SUB IN by GLOVER,COLIN",,,"SUB IN by GLOVER,COLIN",2
10:16,"GOOD FT by WRIGHT,SHON",67 (+8),,59,,MUW 67-59 (-8),,"GOOD FT by WRIGHT,SHON",2
09:59,,67 (+6),,61,"GOOD LAYUP by GLOVER,CAM(in the paint)",BSC 67-61 (-6),,"GOOD LAYUP by GLOVER,CAM(in the paint)",2
09:59,"FOUL  by ZERADJANIN,MILOS",,,,,,,"FOUL  by ZERADJANIN,MILOS",2
09:59,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",2
09:59,,,,,"SUB IN by BARNETT,CHARLIE",,,"SUB IN by BARNETT,CHARLIE",2
09:59,,,,,"MISS FT by GLOVER,CAM",,,"MISS FT by GLOVER,CAM",2
--,"REBOUND DEF by EVANS,CHRIS",,,,,,,"REBOUND DEF by EVANS,CHRIS",2
09:47,"MISS 3PTR by EVANS,CHRIS",,,,,,,"MISS 3PTR by EVANS,CHRIS",2
--,"REBOUND OFF by SMITHEY,TYSON",,,,,,,"REBOUND OFF by SMITHEY,TYSON",2
09:41,"MISS JUMPER by CAUSEY,QUINTIYUS(in the paint)",,,,,,,"MISS JUMPER by CAUSEY,QUINTIYUS(in the paint)",2
--,"REBOUND OFF by SMITHEY,TYSON",,,,,,,"REBOUND OFF by SMITHEY,TYSON",2
09:36,"MISS LAYUP by SMITHEY,TYSON(in the paint)",,,,,,,"MISS LAYUP by SMITHEY,TYSON(in the paint)",2
--,"REBOUND OFF by WRIGHT,SHON",,,,,,,"REBOUND OFF by WRIGHT,SHON",2
09:32,"GOOD LAYUP by WRIGHT,SHON(in the paint)",69 (+8),,61,,MUW 69-61 (-8),,"GOOD LAYUP by WRIGHT,SHON(in the paint)",2
09:24,,69 (+5),,64,"GOOD 3PTR by GLOVER,CAM",BSC 69-64 (-5),,"GOOD 3PTR by GLOVER,CAM",2
--,,,,,"ASSIST  by CHILDERS,JOSH",,,"ASSIST  by CHILDERS,JOSH",2
09:02,"MISS 3PTR by CAUSEY,QUINTIYUS",,,,,,,"MISS 3PTR by CAUSEY,QUINTIYUS",2
--,"REBOUND OFF by CAUSEY,QUINTIYUS",,,,,,,"REBOUND OFF by CAUSEY,QUINTIYUS",2
08:55,"GOOD LAYUP by WRIGHT,SHON(in the paint)",71 (+7),,64,,MUW 71-64 (-7),,"GOOD LAYUP by WRIGHT,SHON(in the paint)",2
--,"ASSIST  by EVANS,CHRIS",,,,,,,"ASSIST  by EVANS,CHRIS",2
08:44,,,,,"MISS 3PTR by GLOVER,CAM",,,"MISS 3PTR by GLOVER,CAM",2
--,,,,,"REBOUND OFF by JACKSON,MARTISE",,,"REBOUND OFF by JACKSON,MARTISE",2
08:39,,71 (+5),,66,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 71-66 (-5),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
--,,,,,"ASSIST  by JACKSON,MARTISE",,,"ASSIST  by JACKSON,MARTISE",2
08:29,,,,,"FOUL  by JACKSON,MARTISE",,,"FOUL  by JACKSON,MARTISE",2
08:29,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",2
08:29,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",2
08:29,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",2
08:29,,,,,"SUB IN by DAVIS,BRODY",,,"SUB IN by DAVIS,BRODY",2
08:16,"MISS LAYUP by ZERADJANIN,MILOS(in the paint)",,,,,,,"MISS LAYUP by ZERADJANIN,MILOS(in the paint)",2
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",2
08:09,,71 (+2),,69,"GOOD 3PTR by BARNETT,CHARLIE",BSC 71-69 (-2),,"GOOD 3PTR by BARNETT,CHARLIE",2
--,,,,,"ASSIST  by GLOVER,CAM",,,"ASSIST  by GLOVER,CAM",2
07:51,,,,,"FOUL  by DAVIS,BRODY",,,"FOUL  by DAVIS,BRODY",2
07:51,,,,,"SUB OUT by GLOVER,COLIN",,,"SUB OUT by GLOVER,COLIN",2
07:51,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",2
07:51,"SUB OUT by EVANS,CHRIS",,,,,,,"SUB OUT by EVANS,CHRIS",2
07:51,"SUB IN by SHEPHERD,ANDREW",,,,,,,"SUB IN by SHEPHERD,ANDREW",2
07:51,"GOOD FT by WRIGHT,SHON",72 (+3),,69,,MUW 72-69 (-3),,"GOOD FT by WRIGHT,SHON",2
07:51,"MISS FT by WRIGHT,SHON",,,,,,,"MISS FT by WRIGHT,SHON",2
--,,,,,"REBOUND DEF by DAVIS,BRODY",,,"REBOUND DEF by DAVIS,BRODY",2
07:42,,72 (+1),,71,"GOOD LAYUP by GLOVER,CAM(in the paint)",BSC 72-71 (-1),,"GOOD LAYUP by GLOVER,CAM(in the paint)",2
07:29,"GOOD 3PTR by SHEPHERD,ANDREW",75 (+4),,71,,MUW 75-71 (-4),,"GOOD 3PTR by SHEPHERD,ANDREW",2
--,"ASSIST  by CAUSEY,QUINTIYUS",,,,,,,"ASSIST  by CAUSEY,QUINTIYUS",2
07:20,,,,,"MISS 3PTR by GLOVER,CAM",,,"MISS 3PTR by GLOVER,CAM",2
--,"REBOUND DEF by WRIGHT,SHON",,,,,,,"REBOUND DEF by WRIGHT,SHON",2
07:01,"GOOD LAYUP by WRIGHT,SHON(in the paint)",77 (+6),,71,,MUW 77-71 (-6),,"GOOD LAYUP by WRIGHT,SHON(in the paint)",2
06:46,,,,,"MISS 3PTR by GREEN,KALEB",,,"MISS 3PTR by GREEN,KALEB",2
--,"REBOUND DEF by WRIGHT,SHON",,,,,,,"REBOUND DEF by WRIGHT,SHON",2
06:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
06:40,,,,,"SUB OUT by BARNETT,CHARLIE",,,"SUB OUT by BARNETT,CHARLIE",2
06:40,,,,,"SUB OUT by DAVIS,BRODY",,,"SUB OUT by DAVIS,BRODY",2
06:40,,,,,"SUB IN by GLOVER,COLIN",,,"SUB IN by GLOVER,COLIN",2
