Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
19:29,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
19:00,,,,,"MISS LAYUP by ELLIS,CHASE(in the paint)",,,"MISS LAYUP by ELLIS,CHASE(in the paint)",1
19:00,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
18:49,"TURNOVER  by JACKSON,MARTISE",,,,,,,"TURNOVER  by JACKSON,MARTISE",1
18:49,,,,,"STEAL  by BENHAM,BRAXTON",,,"STEAL  by BENHAM,BRAXTON",1
18:46,"FOUL  by GLOVER,CAM",,,,,,,"FOUL  by GLOVER,CAM",1
18:46,,,,,"MISS FT by BENHAM,BRAXTON(fastbreak)",,,"MISS FT by BENHAM,BRAXTON(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:46,,0,,1 (+1),"GOOD FT by BENHAM,BRAXTON(fastbreak)",Berry 0-1 (-1),,"GOOD FT by BENHAM,BRAXTON(fastbreak)",1
18:21,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",2 (+1),,1,,BSC 2-1 (+1),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",1
17:49,,,,,"MISS 3PTR by CAMPBELL,BLAKE",,,"MISS 3PTR by CAMPBELL,BLAKE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:32,"MISS JUMPER by GLOVER,CAM",,,,,,,"MISS JUMPER by GLOVER,CAM",1
17:32,,,,,"BLOCK  by BENHAM,BRAXTON",,,"BLOCK  by BENHAM,BRAXTON",1
--,,,,,"REBOUND DEF by CAMPBELL,BLAKE",,,"REBOUND DEF by CAMPBELL,BLAKE",1
17:27,,,,,"TURNOVER  by COSTAS,RILEY",,,"TURNOVER  by COSTAS,RILEY",1
17:27,"STEAL  by JACKSON,MARTISE",,,,,,,"STEAL  by JACKSON,MARTISE",1
17:15,"GOOD JUMPER by JACKSON,MARTISE(fastbreak)(in the paint)",4 (+3),,1,,BSC 4-1 (+3),,"GOOD JUMPER by JACKSON,MARTISE(fastbreak)(in the paint)",1
17:06,"FOUL  by GLOVER,CAM",,,,,,,"FOUL  by GLOVER,CAM",1
17:00,,,,,"TURNOVER  by BENHAM,BRAXTON",,,"TURNOVER  by BENHAM,BRAXTON",1
16:46,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",1
--,,,,,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1
16:26,,4 (+1),,3,"GOOD LAYUP by CAMPBELL,BLAKE(in the paint)",Berry 4-3 (+1),,"GOOD LAYUP by CAMPBELL,BLAKE(in the paint)",1
--,,,,,"ASSIST  by CLARK,BRYCE",,,"ASSIST  by CLARK,BRYCE",1
16:17,"GOOD JUMPER by GLOVER,CAM",6 (+3),,3,,BSC 6-3 (+3),,"GOOD JUMPER by GLOVER,CAM",1
15:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:58,,,,,"SUB OUT by BENHAM,BRAXTON",,,"SUB OUT by BENHAM,BRAXTON",1
15:58,,,,,"SUB OUT by COSTAS,RILEY",,,"SUB OUT by COSTAS,RILEY",1
15:58,,,,,"SUB OUT by CLARK,BRYCE",,,"SUB OUT by CLARK,BRYCE",1
15:58,,,,,"SUB IN by JOHNSON,MICHAEL",,,"SUB IN by JOHNSON,MICHAEL",1
15:58,,,,,"SUB IN by HONROTH,OWEN",,,"SUB IN by HONROTH,OWEN",1
15:58,,,,,"SUB IN by SEGALL,RYAN",,,"SUB IN by SEGALL,RYAN",1
15:58,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
15:58,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
15:58,"SUB IN by SPENCE,SAMUEL",,,,,,,"SUB IN by SPENCE,SAMUEL",1
15:58,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",1
15:54,,,,,"TURNOVER  by HONROTH,OWEN",,,"TURNOVER  by HONROTH,OWEN",1
15:54,"STEAL  by PATRICK,DYLAN",,,,,,,"STEAL  by PATRICK,DYLAN",1
15:41,"MISS JUMPER by SPENCE,SAMUEL(in the paint)",,,,,,,"MISS JUMPER by SPENCE,SAMUEL(in the paint)",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
15:31,,,,,"TURNOVER  by ELLIS,CHASE",,,"TURNOVER  by ELLIS,CHASE",1
15:31,"STEAL  by PATRICK,DYLAN",,,,,,,"STEAL  by PATRICK,DYLAN",1
15:22,"TURNOVER  by PATRICK,DYLAN",,,,,,,"TURNOVER  by PATRICK,DYLAN",1
15:22,,,,,"STEAL  by ELLIS,CHASE",,,"STEAL  by ELLIS,CHASE",1
15:19,,6 (+1),,5,"GOOD JUMPER by ELLIS,CHASE(in the paint)",Berry 6-5 (+1),,"GOOD JUMPER by ELLIS,CHASE(in the paint)",1
14:53,"TURNOVER  by GLOVER,CAM",,,,,,,"TURNOVER  by GLOVER,CAM",1
14:53,,,,,"STEAL  by ELLIS,CHASE",,,"STEAL  by ELLIS,CHASE",1
14:33,,6,,8 (+2),"GOOD 3PTR by HONROTH,OWEN",Berry 6-8 (-2),,"GOOD 3PTR by HONROTH,OWEN",1
