Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by PATRICK,DYLAN",,,,,,,"REBOUND OFF by PATRICK,DYLAN",1
14:27,"MISS LAYUP by PATRICK,DYLAN(in the paint)",,,,,,,"MISS LAYUP by PATRICK,DYLAN(in the paint)",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
14:20,,,,,"MISS JUMPER by LITTLE ,JAMES(in the paint)",,,"MISS JUMPER by LITTLE ,JAMES(in the paint)",1
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",1
14:09,"TURNOVER  by BARNETT,CHARLIE",,,,,,,"TURNOVER  by BARNETT,CHARLIE",1
14:09,,,,,"STEAL  by WATSON,DOUG",,,"STEAL  by WATSON,DOUG",1
14:04,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",1
14:04,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",1
14:04,"FOUL  by PATRICK,DYLAN",,,,,,,"FOUL  by PATRICK,DYLAN",1
14:04,,6 (+1),,5,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 6-5 (+1),,"GOOD FT by WATSON,DOUG(fastbreak)",1
14:04,,,,,"MISS FT by WATSON,DOUG(fastbreak)",,,"MISS FT by WATSON,DOUG(fastbreak)",1
--,"REBOUND DEF by DAVIS,BRODY",,,,,,,"REBOUND DEF by DAVIS,BRODY",1
14:00,"MISS 3PTR by SPENCE,SAMUEL",,,,,,,"MISS 3PTR by SPENCE,SAMUEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:48,,,,,"SUB OUT by GORTON,MACK",,,"SUB OUT by GORTON,MACK",1
13:48,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
13:48,"SUB OUT by BARNETT,CHARLIE",,,,,,,"SUB OUT by BARNETT,CHARLIE",1
13:48,"SUB IN by GLOVER,CAM",,,,,,,"SUB IN by GLOVER,CAM",1
13:48,"GOOD JUMPER by GLOVER,CAM",8 (+3),,5,,BSC 8-5 (+3),,"GOOD JUMPER by GLOVER,CAM",1
13:48,,,,,"MISS JUMPER by RUCKER,CAM",,,"MISS JUMPER by RUCKER,CAM",1
--,"REBOUND DEF by PATRICK,DYLAN",,,,,,,"REBOUND DEF by PATRICK,DYLAN",1
13:41,"TURNOVER  by PATRICK,DYLAN",,,,,,,"TURNOVER  by PATRICK,DYLAN",1
13:26,,8 (+1),,7,"GOOD LAYUP by LITTLE ,JAMES(in the paint)",Mill 8-7 (+1),,"GOOD LAYUP by LITTLE ,JAMES(in the paint)",1
13:18,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
13:18,"SUB OUT by SPENCE,SAMUEL",,,,,,,"SUB OUT by SPENCE,SAMUEL",1
13:18,"SUB OUT by PATRICK,DYLAN",,,,,,,"SUB OUT by PATRICK,DYLAN",1
13:18,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
13:18,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
13:18,,,,,"SUB OUT by ROTH,DREW",,,"SUB OUT by ROTH,DREW",1
13:18,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
13:18,"SUB IN by THOMPSON,CHRISTIAN",,,,,,,"SUB IN by THOMPSON,CHRISTIAN",1
13:10,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
13:10,,,,,"FOUL  by URSIN,AARON",,,"FOUL  by URSIN,AARON",1
13:10,"MISS JUMPER by GLOVER,CAM",,,,,,,"MISS JUMPER by GLOVER,CAM",1
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",1
13:10,,,,,"MISS JUMPER by URSIN,AARON",,,"MISS JUMPER by URSIN,AARON",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
12:25,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",10 (+3),,7,,BSC 10-7 (+3),,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",1
11:56,"GOOD FT by GILLISPIE,JAY",11 (+4),,7,,BSC 11-7 (+4),,"GOOD FT by GILLISPIE,JAY",1
11:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:48,,,,,"FOUL  by URSIN,AARON",,,"FOUL  by URSIN,AARON",1
11:48,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
11:48,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
11:48,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
11:48,,,,,"SUB IN by BONNECAZE,STEWART",,,"SUB IN by BONNECAZE,STEWART",1
11:48,,,,,"SUB IN by GORTON,MACK",,,"SUB IN by GORTON,MACK",1
11:48,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",1
11:48,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
11:48,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
11:48,"SUB OUT by THOMPSON,CHRISTIAN",,,,,,,"SUB OUT by THOMPSON,CHRISTIAN",1
11:48,"SUB IN by DEAN,NOLAN",,,,,,,"SUB IN by DEAN,NOLAN",1
11:47,,,,,"MISS 3PTR by GORTON,MACK",,,"MISS 3PTR by GORTON,MACK",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
11:32,"MISS 3PTR by DEAN,NOLAN",,,,,,,"MISS 3PTR by DEAN,NOLAN",1
--,,,,,"REBOUND DEF by GORTON,MACK",,,"REBOUND DEF by GORTON,MACK",1
11:14,,,,,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",,,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",1
--,"REBOUND DEF by GREEN,KALEB",,,,,,,"REBOUND DEF by GREEN,KALEB",1
11:02,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
10:47,,,,,"MISS LAYUP by GORTON,MACK(in the paint)",,,"MISS LAYUP by GORTON,MACK(in the paint)",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
10:38,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by BONNECAZE,STEWART",,,"REBOUND DEF by BONNECAZE,STEWART",1
10:30,,,,,"MISS DUNK by LITTLE ,JAMES(in the paint)",,,"MISS DUNK by LITTLE ,JAMES(in the paint)",1
10:30,"BLOCK  by GILLISPIE,JAY",,,,,,,"BLOCK  by GILLISPIE,JAY",1
--,"REBOUND DEF by GLOVER,CAM",,,,,,,"REBOUND DEF by GLOVER,CAM",1
10:15,"GOOD 3PTR by DEAN,NOLAN",14 (+7),,7,,BSC 14-7 (+7),,"GOOD 3PTR by DEAN,NOLAN",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
10:00,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
10:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:00,,,,,"SUB OUT by LITTLE ,JAMES",,,"SUB OUT by LITTLE ,JAMES",1
10:00,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
10:00,,,,,"SUB OUT by GORTON,MACK",,,"SUB OUT by GORTON,MACK",1
10:00,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
10:00,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",1
10:00,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
09:44,,14 (+5),,9,"GOOD JUMPER by URSIN,AARON(in the paint)",Mill 14-9 (+5),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
--,,,,,"ASSIST  by WATSON,DOUG",,,"ASSIST  by WATSON,DOUG",1
09:24,"GOOD 3PTR by GLOVER,CAM",17 (+8),,9,,BSC 17-9 (+8),,"GOOD 3PTR by GLOVER,CAM",1
09:08,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
09:08,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
09:08,"SUB IN by SPENCE,SAMUEL",,,,,,,"SUB IN by SPENCE,SAMUEL",1
09:06,,17 (+5),,12,"GOOD 3PTR by WATSON,DOUG",Mill 17-12 (+5),,"GOOD 3PTR by WATSON,DOUG",1
--,,,,,"ASSIST  by URSIN,AARON",,,"ASSIST  by URSIN,AARON",1
08:49,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",19 (+7),,12,,BSC 19-12 (+7),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",1
08:32,,,,,"MISS JUMPER by URSIN,AARON",,,"MISS JUMPER by URSIN,AARON",1
