Time Remaining,HUNTINGD,Away Team Score,Play Team Indicator,Home Team Score,BIRMINGH,Game Score,Team Indicator,Play,Period
17:47,,0,,9 (+9),"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BIRMINGH 0-9 (+9),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
17:36,"GOOD JUMPER by JOHNS,NATE",2,,9 (+7),,HUNTINGD 2-9 (+7),,"GOOD JUMPER by JOHNS,NATE",1
--,"ASSIST  by PAGE,SAM",,,,,,,"ASSIST  by PAGE,SAM",1
17:28,,,,,"MISS LAYUP by CHILDERS,JOSH",,,"MISS LAYUP by CHILDERS,JOSH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:16,"MISS 3PTR by HAWKINS,DAQUAN",,,,,,,"MISS 3PTR by HAWKINS,DAQUAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:52,,2,,11 (+9),"GOOD LAYUP by BISHOP,BRYSON(in the paint)",BIRMINGH 2-11 (+9),,"GOOD LAYUP by BISHOP,BRYSON(in the paint)",1
--,,,,,"ASSIST  by CHILDERS,JOSH",,,"ASSIST  by CHILDERS,JOSH",1
16:42,"TURNOVER  by HAWKINS,DAQUAN",,,,,,,"TURNOVER  by HAWKINS,DAQUAN",1
16:11,,,,,"MISS LAYUP by CHILDERS,JOSH",,,"MISS LAYUP by CHILDERS,JOSH",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
16:02,"GOOD LAYUP by PAGE,SAM(in the paint)",4,,11 (+7),,HUNTINGD 4-11 (+7),,"GOOD LAYUP by PAGE,SAM(in the paint)",1
--,"ASSIST  by JOHNS,NATE",,,,,,,"ASSIST  by JOHNS,NATE",1
15:47,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:14,,,,,"MISS JUMPER by DAVIS,BRODY",,,"MISS JUMPER by DAVIS,BRODY",1
--,"REBOUND DEF by GOOLESBY,TATE",,,,,,,"REBOUND DEF by GOOLESBY,TATE",1
14:52,"GOOD LAYUP by GOOLESBY,TATE(in the paint)",6,,11 (+5),,HUNTINGD 6-11 (+5),,"GOOD LAYUP by GOOLESBY,TATE(in the paint)",1
14:48,,6,,13 (+7),"GOOD LAYUP by DAVIS,BRODY(in the paint)",BIRMINGH 6-13 (+7),,"GOOD LAYUP by DAVIS,BRODY(in the paint)",1
14:35,"MISS LAYUP by GARDNER,MAX",,,,,,,"MISS LAYUP by GARDNER,MAX",1
--,"REBOUND OFF by DUMAS,CHASE",,,,,,,"REBOUND OFF by DUMAS,CHASE",1
14:29,"GOOD LAYUP by DUMAS,CHASE(in the paint)",8,,13 (+5),,HUNTINGD 8-13 (+5),,"GOOD LAYUP by DUMAS,CHASE(in the paint)",1
14:12,,,,,"FOUL  by DAVIS,BRODY",,,"FOUL  by DAVIS,BRODY",1
14:12,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
14:12,"TURNOVER  by AUTIN,JEREMY",,,,,,,"TURNOVER  by AUTIN,JEREMY",1
14:12,,,,,"STEAL  by BARNETT,CHARLIE",,,"STEAL  by BARNETT,CHARLIE",1
14:12,,,,,"MISS LAYUP by DAVIS,BRODY",,,"MISS LAYUP by DAVIS,BRODY",1
--,,,,,"REBOUND OFF by SPENCE,SAMUEL",,,"REBOUND OFF by SPENCE,SAMUEL",1
14:12,,,,,"MISS 3PTR by BARNETT,CHARLIE",,,"MISS 3PTR by BARNETT,CHARLIE",1
--,,,,,"REBOUND OFF by DAVIS,BRODY",,,"REBOUND OFF by DAVIS,BRODY",1
14:12,,,,,"MISS LAYUP by DAVIS,BRODY",,,"MISS LAYUP by DAVIS,BRODY",1
--,"REBOUND DEF by MURPHY,MYLES",,,,,,,"REBOUND DEF by MURPHY,MYLES",1
14:12,"FOUL  by DUMAS,CHASE",,,,,,,"FOUL  by DUMAS,CHASE",1
13:59,,8,,15 (+7),"GOOD LAYUP by GLOVER,COLIN(in the paint)",BIRMINGH 8-15 (+7),,"GOOD LAYUP by GLOVER,COLIN(in the paint)",1
13:53,,,,,"STEAL  by GLOVER,COLIN",,,"STEAL  by GLOVER,COLIN",1
13:33,,8,,17 (+9),"GOOD LAYUP by GLOVER,COLIN(in the paint)",BIRMINGH 8-17 (+9),,"GOOD LAYUP by GLOVER,COLIN(in the paint)",1
13:26,"GOOD JUMPER by DUMAS,CHASE",10,,17 (+7),,HUNTINGD 10-17 (+7),,"GOOD JUMPER by DUMAS,CHASE",1
12:55,,10,,19 (+9),"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",BIRMINGH 10-19 (+9),,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",1
12:48,"GOOD LAYUP by KNOX,RASHAWN(in the paint)",12,,19 (+7),,HUNTINGD 12-19 (+7),,"GOOD LAYUP by KNOX,RASHAWN(in the paint)",1
12:32,,,,,"MISS 3PTR by BARNETT,CHARLIE",,,"MISS 3PTR by BARNETT,CHARLIE",1
--,"REBOUND DEF by MURPHY,MYLES",,,,,,,"REBOUND DEF by MURPHY,MYLES",1
12:21,,,,,"STEAL  by BARNETT,CHARLIE",,,"STEAL  by BARNETT,CHARLIE",1
12:15,,12,,21 (+9),"GOOD LAYUP by BARNETT,CHARLIE(in the paint)",BIRMINGH 12-21 (+9),,"GOOD LAYUP by BARNETT,CHARLIE(in the paint)",1
11:59,"GOOD 3PTR by KNOX,RASHAWN",15,,21 (+6),,HUNTINGD 15-21 (+6),,"GOOD 3PTR by KNOX,RASHAWN",1
11:40,,,,,"TURNOVER  by BARNETT,CHARLIE",,,"TURNOVER  by BARNETT,CHARLIE",1
11:37,"STEAL  by DUMAS,CHASE",,,,,,,"STEAL  by DUMAS,CHASE",1
11:22,"GOOD JUMPER by DUMAS,CHASE",17,,21 (+4),,HUNTINGD 17-21 (+4),,"GOOD JUMPER by DUMAS,CHASE",1
