Time Remaining,HUNTINGD,Away Team Score,Play Team Indicator,Home Team Score,BIRMINGH,Game Score,Team Indicator,Play,Period
16:55,"MISS 3PTR by PAGE,SAM",,,,,,,"MISS 3PTR by PAGE,SAM",2
--,"REBOUND OFF by PAGE,SAM",,,,,,,"REBOUND OFF by PAGE,SAM",2
16:46,"MISS LAYUP by GARDNER,MAX",,,,,,,"MISS LAYUP by GARDNER,MAX",2
--,,,,,"REBOUND DEF by BISHOP,BRYSON",,,"REBOUND DEF by BISHOP,BRYSON",2
16:38,,,,,"MISS 3PTR by SPENCE,SAMUEL",,,"MISS 3PTR by SPENCE,SAMUEL",2
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",2
16:17,"MISS LAYUP by PAGE,SAM",,,,,,,"MISS LAYUP by PAGE,SAM",2
16:04,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",2
16:04,"GOOD FT by PAGE,SAM",47,,61 (+14),,HUNTINGD 47-61 (+14),,"GOOD FT by PAGE,SAM",2
16:04,"GOOD FT by PAGE,SAM",48,,61 (+13),,HUNTINGD 48-61 (+13),,"GOOD FT by PAGE,SAM",2
16:04,,,,,"MISS 3PTR by GLOVER,CAM",,,"MISS 3PTR by GLOVER,CAM",2
--,,,,,"REBOUND OFF by SPENCE,SAMUEL",,,"REBOUND OFF by SPENCE,SAMUEL",2
16:04,,,,,"MISS LAYUP by DAVIS,BRODY",,,"MISS LAYUP by DAVIS,BRODY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:04,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
16:04,,,,,"SUB IN by BARNETT,CHARLIE",,,"SUB IN by BARNETT,CHARLIE",2
16:04,,,,,"SUB IN by DAVIS,BRODY",,,"SUB IN by DAVIS,BRODY",2
16:04,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",2
16:04,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",2
15:58,"MISS JUMPER by GARDNER,MAX",,,,,,,"MISS JUMPER by GARDNER,MAX",2
--,,,,,"REBOUND DEF by GLOVER,COLIN",,,"REBOUND DEF by GLOVER,COLIN",2
15:44,"STEAL  by MURPHY,MYLES",,,,,,,"STEAL  by MURPHY,MYLES",2
15:28,"MISS 3PTR by KNOX,RASHAWN",,,,,,,"MISS 3PTR by KNOX,RASHAWN",2
--,,,,,"REBOUND DEF by DAVIS,BRODY",,,"REBOUND DEF by DAVIS,BRODY",2
15:05,,,,,"FOUL  by GLOVER,COLIN",,,"FOUL  by GLOVER,COLIN",2
14:59,"MISS 3PTR by AUTIN,JEREMY",,,,,,,"MISS 3PTR by AUTIN,JEREMY",2
14:59,,,,,"BLOCK  by DAVIS,BRODY",,,"BLOCK  by DAVIS,BRODY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:17,,48,,64 (+16),"GOOD 3PTR by GLOVER,CAM",BIRMINGH 48-64 (+16),,"GOOD 3PTR by GLOVER,CAM",2
13:51,"GOOD 3PTR by DUMAS,CHASE",51,,64 (+13),,HUNTINGD 51-64 (+13),,"GOOD 3PTR by DUMAS,CHASE",2
--,"ASSIST  by MURPHY,MYLES",,,,,,,"ASSIST  by MURPHY,MYLES",2
12:55,"MISS 3PTR by DUMAS,CHASE",,,,,,,"MISS 3PTR by DUMAS,CHASE",2
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",2
12:35,"FOUL  by DUMAS,CHASE",,,,,,,"FOUL  by DUMAS,CHASE",2
12:35,,,,,"MISS FT by THOMPSON,CHRISTIAN",,,"MISS FT by THOMPSON,CHRISTIAN",2
12:35,,,,,"MISS FT by THOMPSON,CHRISTIAN",,,"MISS FT by THOMPSON,CHRISTIAN",2
--,"REBOUND DEF by TOWNSEND,MARCUS",,,,,,,"REBOUND DEF by TOWNSEND,MARCUS",2
12:19,"MISS LAYUP by DUMAS,CHASE",,,,,,,"MISS LAYUP by DUMAS,CHASE",2
12:19,,,,,"BLOCK  by THOMPSON,CHRISTIAN",,,"BLOCK  by THOMPSON,CHRISTIAN",2
--,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",,,"REBOUND DEF by THOMPSON,CHRISTIAN",2
12:10,,,,,"MISS LAYUP by GLOVER,CAM",,,"MISS LAYUP by GLOVER,CAM",2
--,,,,,"REBOUND OFF by THOMPSON,CHRISTIAN",,,"REBOUND OFF by THOMPSON,CHRISTIAN",2
11:52,,51,,66 (+15),"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",BIRMINGH 51-66 (+15),,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",2
11:41,"FOUL  by HICKS,RICHIE",,,,,,,"FOUL  by HICKS,RICHIE",2
11:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:41,"MISS FT by AUTIN,JEREMY",,,,,,,"MISS FT by AUTIN,JEREMY",2
11:41,"GOOD FT by AUTIN,JEREMY",52,,66 (+14),,HUNTINGD 52-66 (+14),,"GOOD FT by AUTIN,JEREMY",2
11:41,"SUB IN by HARDEN,REESE",,,,,,,"SUB IN by HARDEN,REESE",2
11:41,"SUB IN by TOWNSEND,MARCUS",,,,,,,"SUB IN by TOWNSEND,MARCUS",2
11:41,"SUB IN by MURPHY,MYLES",,,,,,,"SUB IN by MURPHY,MYLES",2
11:41,"SUB IN by KNOX,RASHAWN",,,,,,,"SUB IN by KNOX,RASHAWN",2
11:41,"SUB IN by AUTIN,JEREMY",,,,,,,"SUB IN by AUTIN,JEREMY",2
11:41,"SUB IN by DUMAS,CHASE",,,,,,,"SUB IN by DUMAS,CHASE",2
11:41,"SUB OUT by DUMAS,CHASE",,,,,,,"SUB OUT by DUMAS,CHASE",2
11:41,"SUB OUT by PAGE,SAM",,,,,,,"SUB OUT by PAGE,SAM",2
11:41,"SUB OUT by JOHNS,NATE",,,,,,,"SUB OUT by JOHNS,NATE",2
11:41,"SUB OUT by GARDNER,MAX",,,,,,,"SUB OUT by GARDNER,MAX",2
11:41,"SUB OUT by GOOLESBY,TATE",,,,,,,"SUB OUT by GOOLESBY,TATE",2
11:41,"SUB OUT by HAWKINS,DAQUAN",,,,,,,"SUB OUT by HAWKINS,DAQUAN",2
11:41,,,,,"SUB IN by THOMPSON,CHRISTIAN",,,"SUB IN by THOMPSON,CHRISTIAN",2
11:41,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",2
11:41,,,,,"SUB IN by BISHOP,BRYSON",,,"SUB IN by BISHOP,BRYSON",2
11:41,,,,,"SUB OUT by DAVIS,BRODY",,,"SUB OUT by DAVIS,BRODY",2
11:41,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",2
11:41,,,,,"SUB OUT by BARNETT,CHARLIE",,,"SUB OUT by BARNETT,CHARLIE",2
11:37,,52,,68 (+16),"GOOD LAYUP by BISHOP,BRYSON(in the paint)",BIRMINGH 52-68 (+16),,"GOOD LAYUP by BISHOP,BRYSON(in the paint)",2
--,,,,,"ASSIST  by GLOVER,CAM",,,"ASSIST  by GLOVER,CAM",2
11:13,"MISS LAYUP by AUTIN,JEREMY",,,,,,,"MISS LAYUP by AUTIN,JEREMY",2
11:13,,,,,"BLOCK  by THOMPSON,CHRISTIAN",,,"BLOCK  by THOMPSON,CHRISTIAN",2
--,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",,,"REBOUND DEF by THOMPSON,CHRISTIAN",2
10:55,,52,,71 (+19),"GOOD 3PTR by BISHOP,BRYSON",BIRMINGH 52-71 (+19),,"GOOD 3PTR by BISHOP,BRYSON",2
--,,,,,"ASSIST  by GLOVER,CAM",,,"ASSIST  by GLOVER,CAM",2
10:46,"MISS LAYUP by KNOX,RASHAWN",,,,,,,"MISS LAYUP by KNOX,RASHAWN",2
10:35,,,,,"FOUL  by GLOVER,CAM",,,"FOUL  by GLOVER,CAM",2
10:35,"MISS FT by KNOX,RASHAWN",,,,,,,"MISS FT by KNOX,RASHAWN",2
10:05,"GOOD 3PTR by PAGE,SAM",55,,71 (+16),,HUNTINGD 55-71 (+16),,"GOOD 3PTR by PAGE,SAM",2
--,"ASSIST  by GARDNER,MAX",,,,,,,"ASSIST  by GARDNER,MAX",2
09:52,,,,,"TURNOVER  by BISHOP,BRYSON",,,"TURNOVER  by BISHOP,BRYSON",2
09:47,"STEAL  by GARDNER,MAX",,,,,,,"STEAL  by GARDNER,MAX",2
09:44,"MISS 3PTR by GOOLESBY,TATE",,,,,,,"MISS 3PTR by GOOLESBY,TATE",2
--,"REBOUND OFF by GARDNER,MAX",,,,,,,"REBOUND OFF by GARDNER,MAX",2
09:36,"GOOD LAYUP by GARDNER,MAX(in the paint)",57,,71 (+14),,HUNTINGD 57-71 (+14),,"GOOD LAYUP by GARDNER,MAX(in the paint)",2
09:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
09:36,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
09:36,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",2
09:36,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",2
09:28,,,,,"MISS LAYUP by GILLISPIE,JAY",,,"MISS LAYUP by GILLISPIE,JAY",2
09:21,"FOUL  by KNIGHT,GRIFFIN",,,,,,,"FOUL  by KNIGHT,GRIFFIN",2
09:21,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",2
09:21,,57,,72 (+15),"GOOD FT by GILLISPIE,JAY",BIRMINGH 57-72 (+15),,"GOOD FT by GILLISPIE,JAY",2
09:21,"MISS 3PTR by PAGE,SAM",,,,,,,"MISS 3PTR by PAGE,SAM",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:21,,57,,74 (+17),"GOOD LAYUP by GREEN,KALEB(in the paint)",BIRMINGH 57-74 (+17),,"GOOD LAYUP by GREEN,KALEB(in the paint)",2
09:21,"BLOCK  by AUTIN,JEREMY",,,,,,,"BLOCK  by AUTIN,JEREMY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:21,,,,,"MISS LAYUP by GREEN,KALEB",,,"MISS LAYUP by GREEN,KALEB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:21,,,,,"MISS LAYUP by GLOVER,CAM",,,"MISS LAYUP by GLOVER,CAM",2
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",2
09:21,"FOUL  by GARDNER,MAX",,,,,,,"FOUL  by GARDNER,MAX",2
09:06,,57,,76 (+19),"GOOD LAYUP by GLOVER,COLIN(in the paint)",BIRMINGH 57-76 (+19),,"GOOD LAYUP by GLOVER,COLIN(in the paint)",2
08:49,"MISS JUMPER by JOHNS,NATE",,,,,,,"MISS JUMPER by JOHNS,NATE",2
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",2
08:45,"STEAL  by PAGE,SAM",,,,,,,"STEAL  by PAGE,SAM",2
08:37,"MISS LAYUP by GARDNER,MAX",,,,,,,"MISS LAYUP by GARDNER,MAX",2
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",2
08:24,"FOUL  by HAWKINS,DAQUAN",,,,,,,"FOUL  by HAWKINS,DAQUAN",2
08:24,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:32,,,,,"MISS 3PTR by GILLISPIE,JAY",,,"MISS 3PTR by GILLISPIE,JAY",2
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",2
07:20,,57,,78 (+21),"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BIRMINGH 57-78 (+21),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",2
07:19,"FOUL  by PAGE,SAM",,,,,,,"FOUL  by PAGE,SAM",2
07:19,,57,,79 (+22),"GOOD FT by GILLISPIE,JAY",BIRMINGH 57-79 (+22),,"GOOD FT by GILLISPIE,JAY",2
07:13,,,,,"STEAL  by PATRICK,DYLAN",,,"STEAL  by PATRICK,DYLAN",2
07:08,"TURNOVER  by PAGE,SAM",,,,,,,"TURNOVER  by PAGE,SAM",2
07:04,,57,,81 (+24),"GOOD LAYUP by PATRICK,DYLAN(in the paint)",BIRMINGH 57-81 (+24),,"GOOD LAYUP by PATRICK,DYLAN(in the paint)",2
06:51,"GOOD JUMPER by JOHNS,NATE",59,,81 (+22),,HUNTINGD 59-81 (+22),,"GOOD JUMPER by JOHNS,NATE",2
06:39,,,,,"MISS 3PTR by GLOVER,COLIN",,,"MISS 3PTR by GLOVER,COLIN",2
--,,,,,"REBOUND OFF by GLOVER,COLIN",,,"REBOUND OFF by GLOVER,COLIN",2
06:33,,,,,"FOUL  by GLOVER,COLIN",,,"FOUL  by GLOVER,COLIN",2
06:33,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",2
06:33,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",2
06:16,"TURNOVER  by GOOLESBY,TATE",,,,,,,"TURNOVER  by GOOLESBY,TATE",2
05:54,,59,,83 (+24),"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",BIRMINGH 59-83 (+24),,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",2
--,,,,,"ASSIST  by JACKSON,MARTISE",,,"ASSIST  by JACKSON,MARTISE",2
05:29,"MISS 3PTR by GOOLESBY,TATE",,,,,,,"MISS 3PTR by GOOLESBY,TATE",2
--,,,,,"REBOUND DEF by GREEN,KALEB",,,"REBOUND DEF by GREEN,KALEB",2
05:09,,,,,"MISS LAYUP by THOMPSON,CHRISTIAN",,,"MISS LAYUP by THOMPSON,CHRISTIAN",2
05:09,"BLOCK  by GARDNER,MAX",,,,,,,"BLOCK  by GARDNER,MAX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:54,,,,,"MISS LAYUP by THOMPSON,CHRISTIAN",,,"MISS LAYUP by THOMPSON,CHRISTIAN",2
--,,,,,"REBOUND OFF by THOMPSON,CHRISTIAN",,,"REBOUND OFF by THOMPSON,CHRISTIAN",2
04:49,,59,,85 (+26),"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",BIRMINGH 59-85 (+26),,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",2
04:35,"TURNOVER  by KNOX,RASHAWN",,,,,,,"TURNOVER  by KNOX,RASHAWN",2
04:32,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",2
04:32,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",2
04:32,,,,,"SUB OUT by GLOVER,CAM",,,"SUB OUT by GLOVER,CAM",2
04:32,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",2
04:04,,,,,"MISS LAYUP by THOMPSON,CHRISTIAN",,,"MISS LAYUP by THOMPSON,CHRISTIAN",2
03:55,"FOUL  by DUMAS,CHASE",,,,,,,"FOUL  by DUMAS,CHASE",2
03:55,,59,,86 (+27),"GOOD FT by THOMPSON,CHRISTIAN",BIRMINGH 59-86 (+27),,"GOOD FT by THOMPSON,CHRISTIAN",2
03:55,,59,,87 (+28),"GOOD FT by THOMPSON,CHRISTIAN",BIRMINGH 59-87 (+28),,"GOOD FT by THOMPSON,CHRISTIAN",2
03:55,"MISS LAYUP by MURPHY,MYLES",,,,,,,"MISS LAYUP by MURPHY,MYLES",2
--,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",,,"REBOUND DEF by THOMPSON,CHRISTIAN",2
03:48,,59,,90 (+31),"GOOD 3PTR by BARNETT,CHARLIE",BIRMINGH 59-90 (+31),,"GOOD 3PTR by BARNETT,CHARLIE",2
--,,,,,"ASSIST  by DEAN,NOLAN",,,"ASSIST  by DEAN,NOLAN",2
03:29,"MISS 3PTR by LINVILLE,AUSTIN",,,,,,,"MISS 3PTR by LINVILLE,AUSTIN",2
--,"REBOUND OFF by DUMAS,CHASE",,,,,,,"REBOUND OFF by DUMAS,CHASE",2
03:20,"MISS JUMPER by DUMAS,CHASE",,,,,,,"MISS JUMPER by DUMAS,CHASE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:57,,,,,"MISS LAYUP by DAVIS,RANDALL",,,"MISS LAYUP by DAVIS,RANDALL",2
--,"REBOUND DEF by MURPHY,MYLES",,,,,,,"REBOUND DEF by MURPHY,MYLES",2
02:49,"GOOD JUMPER by VESS,WYATT",61,,90 (+29),,HUNTINGD 61-90 (+29),,"GOOD JUMPER by VESS,WYATT",2
02:30,,,,,"FOUL  by DAVIS,BRODY",,,"FOUL  by DAVIS,BRODY",2
02:21,"MISS 3PTR by LINVILLE,AUSTIN",,,,,,,"MISS 3PTR by LINVILLE,AUSTIN",2
--,"REBOUND OFF by LINVILLE,AUSTIN",,,,,,,"REBOUND OFF by LINVILLE,AUSTIN",2
02:05,,,,,"FOUL  by DAVIS,RANDALL",,,"FOUL  by DAVIS,RANDALL",2
02:05,"GOOD FT by MURPHY,MYLES",62,,90 (+28),,HUNTINGD 62-90 (+28),,"GOOD FT by MURPHY,MYLES",2
02:05,"MISS FT by MURPHY,MYLES",,,,,,,"MISS FT by MURPHY,MYLES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:05,"MISS FT by MURPHY,MYLES",,,,,,,"MISS FT by MURPHY,MYLES",2
--,,,,,"REBOUND DEF by TRAPP,REED",,,"REBOUND DEF by TRAPP,REED",2
01:48,,,,,"TURNOVER  by TRAPP,REED",,,"TURNOVER  by TRAPP,REED",2
01:38,"GOOD 3PTR by LINVILLE,AUSTIN",65,,90 (+25),,HUNTINGD 65-90 (+25),,"GOOD 3PTR by LINVILLE,AUSTIN",2
--,"ASSIST  by MURPHY,MYLES",,,,,,,"ASSIST  by MURPHY,MYLES",2
01:22,,,,,"MISS DUNK by DAVIS,RANDALL",,,"MISS DUNK by DAVIS,RANDALL",2
01:22,"BLOCK  by DUMAS,CHASE",,,,,,,"BLOCK  by DUMAS,CHASE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:00,"FOUL  by DUMAS,CHASE",,,,,,,"FOUL  by DUMAS,CHASE",2
01:00,,,,,"MISS FT by DAVIS,RANDALL",,,"MISS FT by DAVIS,RANDALL",2
01:00,,,,,"MISS FT by DAVIS,RANDALL",,,"MISS FT by DAVIS,RANDALL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:00,"MISS 3PTR by GARDNER,MAX",,,,,,,"MISS 3PTR by GARDNER,MAX",2
--,"REBOUND OFF by GARDNER,MAX",,,,,,,"REBOUND OFF by GARDNER,MAX",2
01:00,"GOOD JUMPER by GARDNER,MAX",67,,90 (+23),,HUNTINGD 67-90 (+23),,"GOOD JUMPER by GARDNER,MAX",2
00:55,,,,,"MISS JUMPER by DEAN,NOLAN",,,"MISS JUMPER by DEAN,NOLAN",2
--,"REBOUND DEF by LINVILLE,AUSTIN",,,,,,,"REBOUND DEF by LINVILLE,AUSTIN",2
00:47,,,,,"FOUL  by DAVIS,RANDALL",,,"FOUL  by DAVIS,RANDALL",2
00:47,"MISS FT by MURPHY,MYLES",,,,,,,"MISS FT by MURPHY,MYLES",2
00:47,"GOOD FT by MURPHY,MYLES",68,,90 (+22),,HUNTINGD 68-90 (+22),,"GOOD FT by MURPHY,MYLES",2
00:20,,,,,"MISS 3PTR by TRAPP,REED",,,"MISS 3PTR by TRAPP,REED",2
--,,,,,"REBOUND OFF by DAVIS,RANDALL",,,"REBOUND OFF by DAVIS,RANDALL",2
00:14,,,,,"MISS 3PTR by BARNETT,CHARLIE",,,"MISS 3PTR by BARNETT,CHARLIE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:08,"MISS 3PTR by MURPHY,MYLES",,,,,,,"MISS 3PTR by MURPHY,MYLES",2
--,"REBOUND OFF by AUTIN,JEREMY",,,,,,,"REBOUND OFF by AUTIN,JEREMY",2
00:08,"GOOD LAYUP by AUTIN,JEREMY(in the paint)",70,,90 (+20),,HUNTINGD 70-90 (+20),,"GOOD LAYUP by AUTIN,JEREMY(in the paint)",2
00:08,,,,,"FOUL  by DAVIS,RANDALL",,,"FOUL  by DAVIS,RANDALL",2
00:08,,,,,"FOUL  by TRAPP,REED",,,"FOUL  by TRAPP,REED",2
00:08,"GOOD FT by KNIGHT,GRIFFIN",71,,90 (+19),,HUNTINGD 71-90 (+19),,"GOOD FT by KNIGHT,GRIFFIN",2
