Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,PUM,Game Score,Team Indicator,Play,Period
16:38,,9 (+2),,7,"GOOD JUMPER by JOLLY,RYAN(in the paint)",PUM 9-7 (+2),,"GOOD JUMPER by JOLLY,RYAN(in the paint)",1
16:25,"GOOD 3PTR by GLOVER,CAM",12 (+5),,7,,BSCM 12-7 (+5),,"GOOD 3PTR by GLOVER,CAM",1
16:03,,,,,"MISS JUMPER by RICHTER,WILL",,,"MISS JUMPER by RICHTER,WILL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:59,"SUB IN by SPENCE,SAMUEL",,,,,,,"SUB IN by SPENCE,SAMUEL",1
15:59,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",1
15:59,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
15:59,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
15:59,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
15:59,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
15:59,,,,,"SUB IN by NORMAN,HUNTER",,,"SUB IN by NORMAN,HUNTER",1
15:59,,,,,"SUB IN by PALMER,AARON",,,"SUB IN by PALMER,AARON",1
15:59,,,,,"SUB IN by REARDON,NOAH",,,"SUB IN by REARDON,NOAH",1
15:59,,,,,"SUB OUT by BEAGLE,GARRETT",,,"SUB OUT by BEAGLE,GARRETT",1
15:59,,,,,"SUB OUT by CLEMENTS-OWENS,ORRY",,,"SUB OUT by CLEMENTS-OWENS,ORRY",1
15:59,,,,,"SUB OUT by RICHTER,WILL",,,"SUB OUT by RICHTER,WILL",1
15:46,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",1
--,"REBOUND OFF by GLOVER,COLIN",,,,,,,"REBOUND OFF by GLOVER,COLIN",1
15:43,,,,,"FOUL  by PALMER,AARON",,,"FOUL  by PALMER,AARON",1
15:43,"GOOD FT by GLOVER,COLIN",13 (+6),,7,,BSCM 13-7 (+6),,"GOOD FT by GLOVER,COLIN",1
15:43,"MISS FT by GLOVER,COLIN",,,,,,,"MISS FT by GLOVER,COLIN",1
--,,,,,"REBOUND DEF by JOLLY,RYAN",,,"REBOUND DEF by JOLLY,RYAN",1
15:24,"FOUL  by DAVIS,BRODY",,,,,,,"FOUL  by DAVIS,BRODY",1
15:24,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",1
15:24,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",1
15:02,,,,,"MISS JUMPER by PALMER,AARON",,,"MISS JUMPER by PALMER,AARON",1
--,,,,,"REBOUND OFF by STIMPSON,ANDREW",,,"REBOUND OFF by STIMPSON,ANDREW",1
14:58,,13 (+4),,9,"GOOD JUMPER by NORMAN,HUNTER(in the paint)",PUM 13-9 (+4),,"GOOD JUMPER by NORMAN,HUNTER(in the paint)",1
--,,,,,"ASSIST  by STIMPSON,ANDREW",,,"ASSIST  by STIMPSON,ANDREW",1
14:44,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:40,"TURNOVER  by SPENCE,SAMUEL",,,,,,,"TURNOVER  by SPENCE,SAMUEL",1
14:20,,,,,"MISS JUMPER by STIMPSON,ANDREW",,,"MISS JUMPER by STIMPSON,ANDREW",1
--,"REBOUND DEF by GLOVER,COLIN",,,,,,,"REBOUND DEF by GLOVER,COLIN",1
14:10,,,,,"SUB IN by DEAN,DEVIN",,,"SUB IN by DEAN,DEVIN",1
14:10,,,,,"SUB OUT by STIMPSON,ANDREW",,,"SUB OUT by STIMPSON,ANDREW",1
14:07,,,,,"FOUL  by DEAN,DEVIN",,,"FOUL  by DEAN,DEVIN",1
14:07,"GOOD FT by DAVIS,BRODY",14 (+5),,9,,BSCM 14-9 (+5),,"GOOD FT by DAVIS,BRODY",1
14:07,"GOOD FT by DAVIS,BRODY",15 (+6),,9,,BSCM 15-9 (+6),,"GOOD FT by DAVIS,BRODY",1
14:07,"SUB IN by BARNETT,CHARLIE",,,,,,,"SUB IN by BARNETT,CHARLIE",1
14:07,"SUB OUT by GLOVER,CAM",,,,,,,"SUB OUT by GLOVER,CAM",1
13:51,,,,,"MISS JUMPER by PALMER,AARON",,,"MISS JUMPER by PALMER,AARON",1
--,,,,,"REBOUND OFF by NORMAN,HUNTER",,,"REBOUND OFF by NORMAN,HUNTER",1
13:45,"FOUL  by PATRICK,DYLAN",,,,,,,"FOUL  by PATRICK,DYLAN",1
13:45,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
13:45,"SUB IN by THOMPSON,CHRISTIAN",,,,,,,"SUB IN by THOMPSON,CHRISTIAN",1
13:45,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
13:45,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",1
13:36,,,,,"MISS JUMPER by NORMAN,HUNTER",,,"MISS JUMPER by NORMAN,HUNTER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:29,,,,,"SUB IN by HELENBROOK,JOE",,,"SUB IN by HELENBROOK,JOE",1
13:29,,,,,"SUB OUT by JOLLY,RYAN",,,"SUB OUT by JOLLY,RYAN",1
13:24,"MISS 3PTR by JACKSON,MARTISE",,,,,,,"MISS 3PTR by JACKSON,MARTISE",1
--,,,,,"REBOUND DEF by DEAN,DEVIN",,,"REBOUND DEF by DEAN,DEVIN",1
13:16,,,,,"TURNOVER  by PALMER,AARON",,,"TURNOVER  by PALMER,AARON",1
13:14,"STEAL  by JACKSON,MARTISE",,,,,,,"STEAL  by JACKSON,MARTISE",1
12:56,,,,,"FOUL  by PALMER,AARON",,,"FOUL  by PALMER,AARON",1
12:56,,,,,"SUB IN by BEAGLE,GARRETT",,,"SUB IN by BEAGLE,GARRETT",1
12:56,,,,,"SUB OUT by PALMER,AARON",,,"SUB OUT by PALMER,AARON",1
12:53,"GOOD 3PTR by BARNETT,CHARLIE",18 (+9),,9,,BSCM 18-9 (+9),,"GOOD 3PTR by BARNETT,CHARLIE",1
--,"ASSIST  by PATRICK,DYLAN",,,,,,,"ASSIST  by PATRICK,DYLAN",1
12:29,,,,,"MISS 3PTR by REARDON,NOAH",,,"MISS 3PTR by REARDON,NOAH",1
--,,,,,"REBOUND OFF by HELENBROOK,JOE",,,"REBOUND OFF by HELENBROOK,JOE",1
12:14,,18 (+7),,11,"GOOD JUMPER by HELENBROOK,JOE",PUM 18-11 (+7),,"GOOD JUMPER by HELENBROOK,JOE",1
11:52,"GOOD 3PTR by BARNETT,CHARLIE",21 (+10),,11,,BSCM 21-11 (+10),,"GOOD 3PTR by BARNETT,CHARLIE",1
--,"ASSIST  by PATRICK,DYLAN",,,,,,,"ASSIST  by PATRICK,DYLAN",1
11:33,,,,,"MISS JUMPER by DEAN,DEVIN",,,"MISS JUMPER by DEAN,DEVIN",1
11:33,"BLOCK  by THOMPSON,CHRISTIAN",,,,,,,"BLOCK  by THOMPSON,CHRISTIAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:30,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:30,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
11:30,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
11:30,"SUB IN by GLOVER,CAM",,,,,,,"SUB IN by GLOVER,CAM",1
11:30,"SUB OUT by PATRICK,DYLAN",,,,,,,"SUB OUT by PATRICK,DYLAN",1
11:30,"SUB OUT by SPENCE,SAMUEL",,,,,,,"SUB OUT by SPENCE,SAMUEL",1
11:30,"SUB OUT by THOMPSON,CHRISTIAN",,,,,,,"SUB OUT by THOMPSON,CHRISTIAN",1
11:30,,,,,"SUB IN by JOLLY,RYAN",,,"SUB IN by JOLLY,RYAN",1
11:30,,,,,"SUB OUT by NORMAN,HUNTER",,,"SUB OUT by NORMAN,HUNTER",1
11:27,,,,,"MISS LAYUP by DEAN,DEVIN",,,"MISS LAYUP by DEAN,DEVIN",1
--,,,,,"REBOUND OFF by HELENBROOK,JOE",,,"REBOUND OFF by HELENBROOK,JOE",1
11:25,,21 (+8),,13,"GOOD LAYUP by HELENBROOK,JOE(in the paint)",PUM 21-13 (+8),,"GOOD LAYUP by HELENBROOK,JOE(in the paint)",1
11:17,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by BEAGLE,GARRETT",,,"REBOUND DEF by BEAGLE,GARRETT",1
11:02,,,,,"MISS JUMPER by REARDON,NOAH",,,"MISS JUMPER by REARDON,NOAH",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
10:47,"MISS 3PTR by BARNETT,CHARLIE",,,,,,,"MISS 3PTR by BARNETT,CHARLIE",1
--,,,,,"REBOUND DEF by HELENBROOK,JOE",,,"REBOUND DEF by HELENBROOK,JOE",1
10:40,,21 (+6),,15,"GOOD LAYUP by JOLLY,RYAN(fastbreak)(in the paint)",PUM 21-15 (+6),,"GOOD LAYUP by JOLLY,RYAN(fastbreak)(in the paint)",1
10:40,"FOUL  by BARNETT,CHARLIE",,,,,,,"FOUL  by BARNETT,CHARLIE",1
10:40,,,,,"MISS FT by JOLLY,RYAN",,,"MISS FT by JOLLY,RYAN",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
10:40,"SUB IN by BISHOP,BRYSON",,,,,,,"SUB IN by BISHOP,BRYSON",1
10:40,"SUB OUT by BARNETT,CHARLIE",,,,,,,"SUB OUT by BARNETT,CHARLIE",1
10:40,,,,,"SUB IN by RICHTER,WILL",,,"SUB IN by RICHTER,WILL",1
10:40,,,,,"SUB OUT by REARDON,NOAH",,,"SUB OUT by REARDON,NOAH",1
10:19,"TURNOVER  by GLOVER,CAM",,,,,,,"TURNOVER  by GLOVER,CAM",1
10:18,,,,,"STEAL  by RICHTER,WILL",,,"STEAL  by RICHTER,WILL",1
10:13,"FOUL  by BISHOP,BRYSON",,,,,,,"FOUL  by BISHOP,BRYSON",1
10:13,,21 (+5),,16,"GOOD FT by JOLLY,RYAN",PUM 21-16 (+5),,"GOOD FT by JOLLY,RYAN",1
10:13,,21 (+4),,17,"GOOD FT by JOLLY,RYAN",PUM 21-17 (+4),,"GOOD FT by JOLLY,RYAN",1
10:01,"MISS LAYUP by GLOVER,CAM",,,,,,,"MISS LAYUP by GLOVER,CAM",1
--,,,,,"REBOUND DEF by JOLLY,RYAN",,,"REBOUND DEF by JOLLY,RYAN",1
09:49,,21 (+1),,20,"GOOD 3PTR by HELENBROOK,JOE",PUM 21-20 (+1),,"GOOD 3PTR by HELENBROOK,JOE",1
--,,,,,"ASSIST  by DEAN,DEVIN",,,"ASSIST  by DEAN,DEVIN",1
09:48,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:48,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
09:48,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
09:30,,,,,"FOUL  by HELENBROOK,JOE",,,"FOUL  by HELENBROOK,JOE",1
09:30,"MISS FT by CHILDERS,JOSH",,,,,,,"MISS FT by CHILDERS,JOSH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:30,"GOOD FT by CHILDERS,JOSH",22 (+2),,20,,BSCM 22-20 (+2),,"GOOD FT by CHILDERS,JOSH",1
09:15,,22,,22,"GOOD JUMPER by HELENBROOK,JOE",PUM 22-22 (0),,"GOOD JUMPER by HELENBROOK,JOE",1
09:07,"MISS LAYUP by GLOVER,COLIN",,,,,,,"MISS LAYUP by GLOVER,COLIN",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
09:05,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",1
09:05,,,,,"BLOCK  by HELENBROOK,JOE",,,"BLOCK  by HELENBROOK,JOE",1
--,,,,,"REBOUND DEF by BEAGLE,GARRETT",,,"REBOUND DEF by BEAGLE,GARRETT",1
08:47,,22,,24 (+2),"GOOD LAYUP by JOLLY,RYAN(in the paint)",PUM 22-24 (-2),,"GOOD LAYUP by JOLLY,RYAN(in the paint)",1
08:34,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",1
--,,,,,"REBOUND DEF by HELENBROOK,JOE",,,"REBOUND DEF by HELENBROOK,JOE",1
08:26,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
08:26,,22,,25 (+3),"GOOD FT by JOLLY,RYAN",PUM 22-25 (-3),,"GOOD FT by JOLLY,RYAN",1
08:26,,22,,26 (+4),"GOOD FT by JOLLY,RYAN",PUM 22-26 (-4),,"GOOD FT by JOLLY,RYAN",1
08:26,,,,,"SUB IN by STIMPSON,ANDREW",,,"SUB IN by STIMPSON,ANDREW",1
08:26,,,,,"SUB IN by CLEMENTS-OWENS,ORRY",,,"SUB IN by CLEMENTS-OWENS,ORRY",1
08:26,,,,,"SUB OUT by DEAN,DEVIN",,,"SUB OUT by DEAN,DEVIN",1
08:26,,,,,"SUB OUT by HELENBROOK,JOE",,,"SUB OUT by HELENBROOK,JOE",1
08:11,,,,,"FOUL  by STIMPSON,ANDREW",,,"FOUL  by STIMPSON,ANDREW",1
08:11,"MISS FT by CHILDERS,JOSH",,,,,,,"MISS FT by CHILDERS,JOSH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:11,"GOOD FT by CHILDERS,JOSH",23,,26 (+3),,BSCM 23-26 (-3),,"GOOD FT by CHILDERS,JOSH",1
08:11,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",1
08:11,"SUB IN by BARNETT,CHARLIE",,,,,,,"SUB IN by BARNETT,CHARLIE",1
08:11,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",1
08:11,"SUB OUT by GLOVER,CAM",,,,,,,"SUB OUT by GLOVER,CAM",1
07:49,,,,,"TURNOVER  by JOLLY,RYAN",,,"TURNOVER  by JOLLY,RYAN",1
07:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:49,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",1
07:49,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
07:42,"TURNOVER  by PATRICK,DYLAN",,,,,,,"TURNOVER  by PATRICK,DYLAN",1
07:42,,,,,"STEAL  by RICHTER,WILL",,,"STEAL  by RICHTER,WILL",1
07:32,,,,,"MISS 3PTR by RICHTER,WILL",,,"MISS 3PTR by RICHTER,WILL",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
07:27,,,,,"SUB IN by PALMER,AARON",,,"SUB IN by PALMER,AARON",1
07:27,,,,,"SUB OUT by BEAGLE,GARRETT",,,"SUB OUT by BEAGLE,GARRETT",1
07:13,"MISS JUMPER by BARNETT,CHARLIE",,,,,,,"MISS JUMPER by BARNETT,CHARLIE",1
--,,,,,"REBOUND DEF by PALMER,AARON",,,"REBOUND DEF by PALMER,AARON",1
06:56,,23,,28 (+5),"GOOD JUMPER by PALMER,AARON(in the paint)",PUM 23-28 (-5),,"GOOD JUMPER by PALMER,AARON(in the paint)",1
--,,,,,"ASSIST  by STIMPSON,ANDREW",,,"ASSIST  by STIMPSON,ANDREW",1
06:46,"MISS 3PTR by BARNETT,CHARLIE",,,,,,,"MISS 3PTR by BARNETT,CHARLIE",1
--,,,,,"REBOUND DEF by CLEMENTS-OWENS,ORRY",,,"REBOUND DEF by CLEMENTS-OWENS,ORRY",1
06:29,,,,,"TURNOVER  by JOLLY,RYAN",,,"TURNOVER  by JOLLY,RYAN",1
06:28,"STEAL  by BARNETT,CHARLIE",,,,,,,"STEAL  by BARNETT,CHARLIE",1
06:20,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
06:20,"SUB IN by THOMPSON,CHRISTIAN",,,,,,,"SUB IN by THOMPSON,CHRISTIAN",1
06:20,"SUB IN by GLOVER,CAM",,,,,,,"SUB IN by GLOVER,CAM",1
06:20,"SUB IN by SPENCE,SAMUEL",,,,,,,"SUB IN by SPENCE,SAMUEL",1
06:20,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
06:20,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
06:20,"SUB OUT by BARNETT,CHARLIE",,,,,,,"SUB OUT by BARNETT,CHARLIE",1
06:07,,,,,"TURNOVER  by PALMER,AARON",,,"TURNOVER  by PALMER,AARON",1
06:05,"STEAL  by GLOVER,COLIN",,,,,,,"STEAL  by GLOVER,COLIN",1
05:54,"GOOD JUMPER by PATRICK,DYLAN(in the paint)",25,,28 (+3),,BSCM 25-28 (-3),,"GOOD JUMPER by PATRICK,DYLAN(in the paint)",1
05:34,,,,,"TURNOVER  by JOLLY,RYAN",,,"TURNOVER  by JOLLY,RYAN",1
05:32,"STEAL  by GLOVER,CAM",,,,,,,"STEAL  by GLOVER,CAM",1
05:28,"MISS LAYUP by GLOVER,CAM",,,,,,,"MISS LAYUP by GLOVER,CAM",1
05:28,,,,,"BLOCK  by PALMER,AARON",,,"BLOCK  by PALMER,AARON",1
--,"REBOUND OFF by GLOVER,CAM",,,,,,,"REBOUND OFF by GLOVER,CAM",1
05:25,"GOOD LAYUP by GLOVER,CAM(in the paint)",27,,28 (+1),,BSCM 27-28 (-1),,"GOOD LAYUP by GLOVER,CAM(in the paint)",1
05:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:25,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
05:25,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",1
05:25,,,,,"SUB IN by NORMAN,HUNTER",,,"SUB IN by NORMAN,HUNTER",1
05:25,,,,,"SUB IN by REARDON,NOAH",,,"SUB IN by REARDON,NOAH",1
05:25,,,,,"SUB IN by BEAGLE,GARRETT",,,"SUB IN by BEAGLE,GARRETT",1
05:25,,,,,"SUB OUT by JOLLY,RYAN",,,"SUB OUT by JOLLY,RYAN",1
05:25,,,,,"SUB OUT by PALMER,AARON",,,"SUB OUT by PALMER,AARON",1
05:25,,,,,"SUB OUT by RICHTER,WILL",,,"SUB OUT by RICHTER,WILL",1
04:58,,,,,"MISS 3PTR by NORMAN,HUNTER",,,"MISS 3PTR by NORMAN,HUNTER",1
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",1
04:48,"TURNOVER  by GLOVER,CAM",,,,,,,"TURNOVER  by GLOVER,CAM",1
04:48,"FOUL  by GLOVER,CAM",,,,,,,"FOUL  by GLOVER,CAM",1
04:30,,27,,31 (+4),"GOOD 3PTR by CLEMENTS-OWENS,ORRY",PUM 27-31 (-4),,"GOOD 3PTR by CLEMENTS-OWENS,ORRY",1
--,,,,,"ASSIST  by STIMPSON,ANDREW",,,"ASSIST  by STIMPSON,ANDREW",1
04:04,"GOOD 3PTR by GLOVER,CAM",30,,31 (+1),,BSCM 30-31 (-1),,"GOOD 3PTR by GLOVER,CAM",1
03:28,,,,,"MISS LAYUP by BEAGLE,GARRETT",,,"MISS LAYUP by BEAGLE,GARRETT",1
--,"REBOUND DEF by THOMPSON,CHRISTIAN",,,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",1
03:21,"GOOD LAYUP by THOMPSON,CHRISTIAN(fastbreak)(in the paint)",32 (+1),,31,,BSCM 32-31 (+1),,"GOOD LAYUP by THOMPSON,CHRISTIAN(fastbreak)(in the paint)",1
--,"ASSIST  by JACKSON,MARTISE",,,,,,,"ASSIST  by JACKSON,MARTISE",1
02:50,,,,,"TURNOVER  by NORMAN,HUNTER",,,"TURNOVER  by NORMAN,HUNTER",1
02:50,,,,,"FOUL  by NORMAN,HUNTER",,,"FOUL  by NORMAN,HUNTER",1
02:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
02:50,"SUB IN by BISHOP,BRYSON",,,,,,,"SUB IN by BISHOP,BRYSON",1
02:50,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
02:50,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
02:50,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
02:50,"SUB OUT by THOMPSON,CHRISTIAN",,,,,,,"SUB OUT by THOMPSON,CHRISTIAN",1
02:50,"SUB OUT by PATRICK,DYLAN",,,,,,,"SUB OUT by PATRICK,DYLAN",1
02:50,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
02:50,"SUB OUT by SPENCE,SAMUEL",,,,,,,"SUB OUT by SPENCE,SAMUEL",1
02:50,,,,,"SUB IN by PALMER,AARON",,,"SUB IN by PALMER,AARON",1
02:50,,,,,"SUB IN by HELENBROOK,JOE",,,"SUB IN by HELENBROOK,JOE",1
02:50,,,,,"SUB OUT by CLEMENTS-OWENS,ORRY",,,"SUB OUT by CLEMENTS-OWENS,ORRY",1
02:50,,,,,"SUB OUT by BEAGLE,GARRETT",,,"SUB OUT by BEAGLE,GARRETT",1
02:22,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
02:17,"MISS LAYUP by GILLISPIE,JAY",,,,,,,"MISS LAYUP by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by PALMER,AARON",,,"REBOUND DEF by PALMER,AARON",1
02:02,,,,,"MISS LAYUP by REARDON,NOAH",,,"MISS LAYUP by REARDON,NOAH",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
01:57,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
01:57,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
01:57,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
01:57,,,,,"SUB IN by JOLLY,RYAN",,,"SUB IN by JOLLY,RYAN",1
01:57,,,,,"SUB OUT by NORMAN,HUNTER",,,"SUB OUT by NORMAN,HUNTER",1
01:45,,,,,"TURNOVER  by PALMER,AARON",,,"TURNOVER  by PALMER,AARON",1
01:45,,,,,"FOUL  by PALMER,AARON",,,"FOUL  by PALMER,AARON",1
01:24,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",1
--,,,,,"REBOUND DEF by PALMER,AARON",,,"REBOUND DEF by PALMER,AARON",1
01:18,"FOUL  by GLOVER,CAM",,,,,,,"FOUL  by GLOVER,CAM",1
01:18,,,,,"MISS FT by STIMPSON,ANDREW",,,"MISS FT by STIMPSON,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:18,,,,,"MISS FT by STIMPSON,ANDREW",,,"MISS FT by STIMPSON,ANDREW",1
--,"REBOUND DEF by PATRICK,DYLAN",,,,,,,"REBOUND DEF by PATRICK,DYLAN",1
01:18,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",1
01:18,"SUB OUT by GLOVER,CAM",,,,,,,"SUB OUT by GLOVER,CAM",1
01:18,,,,,"SUB IN by BEAGLE,GARRETT",,,"SUB IN by BEAGLE,GARRETT",1
01:18,,,,,"SUB OUT by PALMER,AARON",,,"SUB OUT by PALMER,AARON",1
01:09,,,,,"FOUL  by BEAGLE,GARRETT",,,"FOUL  by BEAGLE,GARRETT",1
01:09,"GOOD FT by JACKSON,MARTISE",33 (+2),,31,,BSCM 33-31 (+2),,"GOOD FT by JACKSON,MARTISE",1
01:09,"GOOD FT by JACKSON,MARTISE",34 (+3),,31,,BSCM 34-31 (+3),,"GOOD FT by JACKSON,MARTISE",1
