Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,LAGRANGE,Game Score,Team Indicator,Play,Period
15:58,"SUB OUT by GLOVER,CAM",,,,,,,"SUB OUT by GLOVER,CAM",1
15:58,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
15:58,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",1
15:58,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
15:52,,,,,"MISS 3PTR by COFIELD,GABE",,,"MISS 3PTR by COFIELD,GABE",1
--,"REBOUND DEF by GREEN,KALEB",,,,,,,"REBOUND DEF by GREEN,KALEB",1
15:39,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",6,,7 (+1),,BIRMINGH 6-7 (-1),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,"ASSIST  by GREEN,KALEB",,,,,,,"ASSIST  by GREEN,KALEB",1
15:20,,,,,"MISS 3PTR by HILL,ZAC",,,"MISS 3PTR by HILL,ZAC",1
--,,,,,"REBOUND OFF by COFIELD,GABE",,,"REBOUND OFF by COFIELD,GABE",1
15:06,,,,,"MISS 3PTR by EDWARDS,BERSHARD",,,"MISS 3PTR by EDWARDS,BERSHARD",1
--,"REBOUND DEF by GREEN,KALEB",,,,,,,"REBOUND DEF by GREEN,KALEB",1
14:56,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",1
--,"REBOUND OFF by PATRICK,DYLAN",,,,,,,"REBOUND OFF by PATRICK,DYLAN",1
14:35,"MISS 3PTR by PATRICK,DYLAN",,,,,,,"MISS 3PTR by PATRICK,DYLAN",1
--,,,,,"REBOUND DEF by EDWARDS,BERSHARD",,,"REBOUND DEF by EDWARDS,BERSHARD",1
14:24,,,,,"MISS 3PTR by EDWARDS,BERSHARD",,,"MISS 3PTR by EDWARDS,BERSHARD",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:08,,,,,"FOUL  by COFIELD,GABE",,,"FOUL  by COFIELD,GABE",1
14:08,"GOOD LAYUP by GLOVER,CAM(in the paint)",8 (+1),,7,,BIRMINGH 8-7 (+1),,"GOOD LAYUP by GLOVER,CAM(in the paint)",1
13:45,,,,,"MISS 3PTR by SMITH,KYLE",,,"MISS 3PTR by SMITH,KYLE",1
--,,,,,"REBOUND OFF by SMITH,KYLE",,,"REBOUND OFF by SMITH,KYLE",1
13:27,,,,,"MISS 3PTR by SMITH,KYLE",,,"MISS 3PTR by SMITH,KYLE",1
--,"REBOUND DEF by GREEN,KALEB",,,,,,,"REBOUND DEF by GREEN,KALEB",1
13:11,,8,,9 (+1),"GOOD JUMPER by EDWARDS,BERSHARD",LAGRANGE 8-9 (-1),,"GOOD JUMPER by EDWARDS,BERSHARD",1
12:45,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",10 (+1),,9,,BIRMINGH 10-9 (+1),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
12:13,,10,,12 (+2),"GOOD 3PTR by SMITH,KYLE",LAGRANGE 10-12 (-2),,"GOOD 3PTR by SMITH,KYLE",1
--,,,,,"ASSIST  by ODEN,ISAIAH",,,"ASSIST  by ODEN,ISAIAH",1
11:42,"MISS 3PTR by SPENCE,SAMUEL",,,,,,,"MISS 3PTR by SPENCE,SAMUEL",1
--,,,,,"REBOUND DEF by EDWARDS,BERSHARD",,,"REBOUND DEF by EDWARDS,BERSHARD",1
11:24,,10,,14 (+4),"GOOD JUMPER by EDWARDS,BERSHARD",LAGRANGE 10-14 (-4),,"GOOD JUMPER by EDWARDS,BERSHARD",1
11:05,"MISS 3PTR by BARNETT,CHARLIE",,,,,,,"MISS 3PTR by BARNETT,CHARLIE",1
--,,,,,"REBOUND DEF by ODEN,ISAIAH",,,"REBOUND DEF by ODEN,ISAIAH",1
10:45,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:45,,,,,"MISS 3PTR by LYONS,CAMERIN",,,"MISS 3PTR by LYONS,CAMERIN",1
--,,,,,"REBOUND OFF by SCOTT,BRODIE",,,"REBOUND OFF by SCOTT,BRODIE",1
10:45,,,,,"TURNOVER  by SCOTT,BRODIE",,,"TURNOVER  by SCOTT,BRODIE",1
10:45,"MISS 3PTR by BISHOP,BRYSON",,,,,,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,"REBOUND DEF by SMITH,KYLE",,,"REBOUND DEF by SMITH,KYLE",1
10:45,,,,,"MISS 3PTR by HILL,ZAC",,,"MISS 3PTR by HILL,ZAC",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:45,,,,,"FOUL  by SMITH,KYLE",,,"FOUL  by SMITH,KYLE",1
10:45,"MISS FT by GILLISPIE,JAY",,,,,,,"MISS FT by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",1
10:45,,,,,"SUB IN by SMITH,KYLE",,,"SUB IN by SMITH,KYLE",1
10:45,,,,,"SUB IN by EVANS,GRANT",,,"SUB IN by EVANS,GRANT",1
10:45,,,,,"SUB IN by ODEN,ISAIAH",,,"SUB IN by ODEN,ISAIAH",1
10:45,,,,,"SUB OUT by COFIELD,GABE",,,"SUB OUT by COFIELD,GABE",1
10:45,,,,,"SUB OUT by DOLHANCYK,COOPER",,,"SUB OUT by DOLHANCYK,COOPER",1
10:45,,,,,"SUB OUT by EDWARDS,BERSHARD",,,"SUB OUT by EDWARDS,BERSHARD",1
10:23,,,,,"TURNOVER  by EVANS,GRANT",,,"TURNOVER  by EVANS,GRANT",1
10:14,"STEAL  by BISHOP,BRYSON",,,,,,,"STEAL  by BISHOP,BRYSON",1
10:10,,,,,"FOUL  by SCOTT,BRODIE",,,"FOUL  by SCOTT,BRODIE",1
10:10,"GOOD LAYUP by GLOVER,CAM(in the paint)",12,,14 (+2),,BIRMINGH 12-14 (-2),,"GOOD LAYUP by GLOVER,CAM(in the paint)",1
10:10,,,,,"FOUL  by HILL,ZAC",,,"FOUL  by HILL,ZAC",1
10:06,,,,,"TURNOVER  by HILL,ZAC",,,"TURNOVER  by HILL,ZAC",1
09:52,"GOOD JUMPER by GLOVER,CAM",14,,14,,BIRMINGH 14-14 (0),,"GOOD JUMPER by GLOVER,CAM",1
09:22,,14,,16 (+2),"GOOD LAYUP by SCOTT,BRODIE(in the paint)",LAGRANGE 14-16 (-2),,"GOOD LAYUP by SCOTT,BRODIE(in the paint)",1
09:07,"MISS 3PTR by BISHOP,BRYSON",,,,,,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,"REBOUND DEF by EVANS,GRANT",,,"REBOUND DEF by EVANS,GRANT",1
08:53,,,,,"MISS 3PTR by HILL,ZAC",,,"MISS 3PTR by HILL,ZAC",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
08:39,,,,,"FOUL  by SCOTT,BRODIE",,,"FOUL  by SCOTT,BRODIE",1
08:39,"GOOD FT by CHILDERS,JOSH",15,,16 (+1),,BIRMINGH 15-16 (-1),,"GOOD FT by CHILDERS,JOSH",1
08:39,,15,,18 (+3),"GOOD DUNK by HILL,ZAC(in the paint)",LAGRANGE 15-18 (-3),,"GOOD DUNK by HILL,ZAC(in the paint)",1
--,,,,,"ASSIST  by EDWARDS,BERSHARD",,,"ASSIST  by EDWARDS,BERSHARD",1
08:39,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
08:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
08:39,,15,,19 (+4),"GOOD FT by HILL,ZAC",LAGRANGE 15-19 (-4),,"GOOD FT by HILL,ZAC",1
08:39,"GOOD 3PTR by GLOVER,COLIN",18,,19 (+1),,BIRMINGH 18-19 (-1),,"GOOD 3PTR by GLOVER,COLIN",1
--,"ASSIST  by GLOVER,CAM",,,,,,,"ASSIST  by GLOVER,CAM",1
08:39,,18,,21 (+3),"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",LAGRANGE 18-21 (-3),,"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",1
08:39,,,,,"FOUL  by HILL,ZAC",,,"FOUL  by HILL,ZAC",1
08:39,"GOOD FT by GILLISPIE,JAY",19,,21 (+2),,BIRMINGH 19-21 (-2),,"GOOD FT by GILLISPIE,JAY",1
08:39,"MISS FT by GILLISPIE,JAY",,,,,,,"MISS FT by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",1
08:39,"BLOCK  by THOMPSON,CHRISTIAN",,,,,,,"BLOCK  by THOMPSON,CHRISTIAN",1
08:39,,,,,"MISS 3PTR by SMITH,KYLE",,,"MISS 3PTR by SMITH,KYLE",1
--,,,,,"REBOUND OFF by SMITH,KYLE",,,"REBOUND OFF by SMITH,KYLE",1
08:39,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
08:39,"SUB IN by THOMPSON,CHRISTIAN",,,,,,,"SUB IN by THOMPSON,CHRISTIAN",1
08:39,"SUB IN by GLOVER,CAM",,,,,,,"SUB IN by GLOVER,CAM",1
08:39,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
08:39,"SUB OUT by PATRICK,DYLAN",,,,,,,"SUB OUT by PATRICK,DYLAN",1
08:39,"SUB OUT by SPENCE,SAMUEL",,,,,,,"SUB OUT by SPENCE,SAMUEL",1
08:39,,,,,"SUB IN by COFIELD,GABE",,,"SUB IN by COFIELD,GABE",1
08:39,,,,,"SUB IN by DOLHANCYK,COOPER",,,"SUB IN by DOLHANCYK,COOPER",1
08:39,,,,,"SUB IN by EDWARDS,BERSHARD",,,"SUB IN by EDWARDS,BERSHARD",1
08:39,,,,,"SUB OUT by SMITH,KYLE",,,"SUB OUT by SMITH,KYLE",1
08:39,,,,,"SUB OUT by EVANS,GRANT",,,"SUB OUT by EVANS,GRANT",1
08:39,,,,,"SUB OUT by ODEN,ISAIAH",,,"SUB OUT by ODEN,ISAIAH",1
08:34,,19,,24 (+5),"GOOD 3PTR by EDWARDS,BERSHARD",LAGRANGE 19-24 (-5),,"GOOD 3PTR by EDWARDS,BERSHARD",1
--,,,,,"ASSIST  by SMITH,KYLE",,,"ASSIST  by SMITH,KYLE",1
08:08,"TURNOVER  by GLOVER,COLIN",,,,,,,"TURNOVER  by GLOVER,COLIN",1
07:41,,,,,"MISS 3PTR by DOLHANCYK,COOPER",,,"MISS 3PTR by DOLHANCYK,COOPER",1
--,"REBOUND DEF by THOMPSON,CHRISTIAN",,,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",1
07:31,"TURNOVER  by GREEN,KALEB",,,,,,,"TURNOVER  by GREEN,KALEB",1
07:14,,,,,"TURNOVER  by SMITH,KYLE",,,"TURNOVER  by SMITH,KYLE",1
05:50,"GOOD LAYUP by GLOVER,CAM(in the paint)",21,,24 (+3),,BIRMINGH 21-24 (-3),,"GOOD LAYUP by GLOVER,CAM(in the paint)",1
05:25,,,,,"MISS 3PTR by DOLHANCYK,COOPER",,,"MISS 3PTR by DOLHANCYK,COOPER",1
--,"REBOUND DEF by THOMPSON,CHRISTIAN",,,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",1
05:13,"TURNOVER  by THOMPSON,CHRISTIAN",,,,,,,"TURNOVER  by THOMPSON,CHRISTIAN",1
05:10,,,,,"STEAL  by COFIELD,GABE",,,"STEAL  by COFIELD,GABE",1
04:53,,21,,26 (+5),"GOOD JUMPER by LYONS,CAMERIN",LAGRANGE 21-26 (-5),,"GOOD JUMPER by LYONS,CAMERIN",1
04:33,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
04:33,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",1
04:33,"FOUL  by GREEN,KALEB",,,,,,,"FOUL  by GREEN,KALEB",1
04:33,,,,,"TURNOVER  by DOLHANCYK,COOPER",,,"TURNOVER  by DOLHANCYK,COOPER",1
04:18,"GOOD LAYUP by GLOVER,CAM(in the paint)",23,,26 (+3),,BIRMINGH 23-26 (-3),,"GOOD LAYUP by GLOVER,CAM(in the paint)",1
04:04,,,,,"MISS 3PTR by EDWARDS,BERSHARD",,,"MISS 3PTR by EDWARDS,BERSHARD",1
--,"REBOUND DEF by DAVIS,BRODY",,,,,,,"REBOUND DEF by DAVIS,BRODY",1
03:52,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",1
--,"REBOUND OFF by DAVIS,BRODY",,,,,,,"REBOUND OFF by DAVIS,BRODY",1
03:25,,23,,28 (+5),"GOOD JUMPER by EDWARDS,BERSHARD",LAGRANGE 23-28 (-5),,"GOOD JUMPER by EDWARDS,BERSHARD",1
03:19,"GOOD 3PTR by GREEN,KALEB",26,,28 (+2),,BIRMINGH 26-28 (-2),,"GOOD 3PTR by GREEN,KALEB",1
--,"ASSIST  by GLOVER,CAM",,,,,,,"ASSIST  by GLOVER,CAM",1
02:59,,26,,30 (+4),"GOOD JUMPER by LYONS,CAMERIN",LAGRANGE 26-30 (-4),,"GOOD JUMPER by LYONS,CAMERIN",1
02:37,"GOOD JUMPER by GLOVER,CAM",28,,30 (+2),,BIRMINGH 28-30 (-2),,"GOOD JUMPER by GLOVER,CAM",1
02:16,,28,,31 (+3),"GOOD FT by LYONS,CAMERIN",LAGRANGE 28-31 (-3),,"GOOD FT by LYONS,CAMERIN",1
02:14,,28,,32 (+4),"GOOD FT by LYONS,CAMERIN",LAGRANGE 28-32 (-4),,"GOOD FT by LYONS,CAMERIN",1
02:04,"FOUL  by GLOVER,COLIN",,,,,,,"FOUL  by GLOVER,COLIN",1
02:04,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
01:58,"MISS LAYUP by GLOVER,CAM",,,,,,,"MISS LAYUP by GLOVER,CAM",1
01:58,,,,,"BLOCK  by PETTIGREW,ISAIAH",,,"BLOCK  by PETTIGREW,ISAIAH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:38,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",1
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",1
01:23,,,,,"FOUL  by PETTIGREW,ISAIAH",,,"FOUL  by PETTIGREW,ISAIAH",1
01:23,"GOOD FT by GILLISPIE,JAY",29,,32 (+3),,BIRMINGH 29-32 (-3),,"GOOD FT by GILLISPIE,JAY",1
01:23,"GOOD 3PTR by GLOVER,CAM",32,,32,,BIRMINGH 32-32 (0),,"GOOD 3PTR by GLOVER,CAM",1
01:04,,,,,"MISS 3PTR by DOLHANCYK,COOPER",,,"MISS 3PTR by DOLHANCYK,COOPER",1
--,,,,,"REBOUND OFF by PETTIGREW,ISAIAH",,,"REBOUND OFF by PETTIGREW,ISAIAH",1
00:54,,32,,34 (+2),"GOOD JUMPER by EDWARDS,BERSHARD",LAGRANGE 32-34 (-2),,"GOOD JUMPER by EDWARDS,BERSHARD",1
--,,,,,"ASSIST  by PETTIGREW,ISAIAH",,,"ASSIST  by PETTIGREW,ISAIAH",1
00:43,"MISS LAYUP by GILLISPIE,JAY",,,,,,,"MISS LAYUP by GILLISPIE,JAY",1
00:43,,,,,"BLOCK  by PETTIGREW,ISAIAH",,,"BLOCK  by PETTIGREW,ISAIAH",1
--,,,,,"REBOUND DEF by PETTIGREW,ISAIAH",,,"REBOUND DEF by PETTIGREW,ISAIAH",1
00:27,,32,,37 (+5),"GOOD 3PTR by LYONS,CAMERIN",LAGRANGE 32-37 (-5),,"GOOD 3PTR by LYONS,CAMERIN",1
--,,,,,"ASSIST  by EDWARDS,BERSHARD",,,"ASSIST  by EDWARDS,BERSHARD",1
00:14,"MISS 3PTR by BISHOP,BRYSON",,,,,,,"MISS 3PTR by BISHOP,BRYSON",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
00:03,"GOOD 3PTR by GLOVER,CAM",35,,37 (+2),,BIRMINGH 35-37 (-2),,"GOOD 3PTR by GLOVER,CAM",1
--,"ASSIST  by GILLISPIE,JAY",,,,,,,"ASSIST  by GILLISPIE,JAY",1
00:03,,,,,"MISS 3PTR by SMITH,KYLE",,,"MISS 3PTR by SMITH,KYLE",1
--,"REBOUND DEF by DAVIS,BRODY",,,,,,,"REBOUND DEF by DAVIS,BRODY",1
00:03,"TURNOVER  by DAVIS,BRODY",,,,,,,"TURNOVER  by DAVIS,BRODY",1
00:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:00,,,,,"MISS 3PTR by DOLHANCYK,COOPER",,,"MISS 3PTR by DOLHANCYK,COOPER",1
--,,,,,"REBOUND OFF by DOLHANCYK,COOPER",,,"REBOUND OFF by DOLHANCYK,COOPER",1
19:42,"GOOD JUMPER by GILLISPIE,JAY",37,,37,,BIRMINGH 37-37 (0),,"GOOD JUMPER by GILLISPIE,JAY",2
19:28,,37,,39 (+2),"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",LAGRANGE 37-39 (-2),,"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",2
19:12,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",39,,39,,BIRMINGH 39-39 (0),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
18:54,,,,,"MISS 3PTR by EDWARDS,BERSHARD",,,"MISS 3PTR by EDWARDS,BERSHARD",2
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",2
18:42,"TURNOVER  by BISHOP,BRYSON",,,,,,,"TURNOVER  by BISHOP,BRYSON",2
18:40,,,,,"STEAL  by COFIELD,GABE",,,"STEAL  by COFIELD,GABE",2
18:33,,39,,41 (+2),"GOOD LAYUP by LYONS,CAMERIN(in the paint)",LAGRANGE 39-41 (-2),,"GOOD LAYUP by LYONS,CAMERIN(in the paint)",2
18:23,"MISS 3PTR by CHILDERS,JOSH",,,,,,,"MISS 3PTR by CHILDERS,JOSH",2
--,,,,,"REBOUND DEF by COFIELD,GABE",,,"REBOUND DEF by COFIELD,GABE",2
18:16,,,,,"TURNOVER  by COFIELD,GABE",,,"TURNOVER  by COFIELD,GABE",2
18:12,"STEAL  by BISHOP,BRYSON",,,,,,,"STEAL  by BISHOP,BRYSON",2
18:10,,,,,"FOUL  by COFIELD,GABE",,,"FOUL  by COFIELD,GABE",2
18:01,"GOOD LAYUP by GLOVER,CAM(in the paint)",41,,41,,BIRMINGH 41-41 (0),,"GOOD LAYUP by GLOVER,CAM(in the paint)",2
17:45,,,,,"MISS 3PTR by DOLHANCYK,COOPER",,,"MISS 3PTR by DOLHANCYK,COOPER",2
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",2
17:32,"GOOD 3PTR by GLOVER,CAM",44 (+3),,41,,BIRMINGH 44-41 (+3),,"GOOD 3PTR by GLOVER,CAM",2
17:22,,,,,"TURNOVER  by HILL,ZAC",,,"TURNOVER  by HILL,ZAC",2
17:00,"MISS 3PTR by CHILDERS,JOSH",,,,,,,"MISS 3PTR by CHILDERS,JOSH",2
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",2
16:44,,44 (+1),,43,"GOOD LAYUP by HILL,ZAC(in the paint)",LAGRANGE 44-43 (+1),,"GOOD LAYUP by HILL,ZAC(in the paint)",2
--,,,,,"ASSIST  by EDWARDS,BERSHARD",,,"ASSIST  by EDWARDS,BERSHARD",2
16:35,"MISS 3PTR by CHILDERS,JOSH",,,,,,,"MISS 3PTR by CHILDERS,JOSH",2
16:35,,,,,"BLOCK  by COFIELD,GABE",,,"BLOCK  by COFIELD,GABE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:16,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",2
--,,,,,"REBOUND DEF by COFIELD,GABE",,,"REBOUND DEF by COFIELD,GABE",2
15:58,,44,,45 (+1),"GOOD LAYUP by DOLHANCYK,COOPER(in the paint)",LAGRANGE 44-45 (-1),,"GOOD LAYUP by DOLHANCYK,COOPER(in the paint)",2
--,,,,,"ASSIST  by EDWARDS,BERSHARD",,,"ASSIST  by EDWARDS,BERSHARD",2
15:49,,,,,"TURNOVER  by DOLHANCYK,COOPER",,,"TURNOVER  by DOLHANCYK,COOPER",2
15:24,"MISS 3PTR by SPENCE,SAMUEL",,,,,,,"MISS 3PTR by SPENCE,SAMUEL",2
--,,,,,"REBOUND DEF by COFIELD,GABE",,,"REBOUND DEF by COFIELD,GABE",2
15:14,,,,,"MISS 3PTR by DOLHANCYK,COOPER",,,"MISS 3PTR by DOLHANCYK,COOPER",2
--,"REBOUND DEF by GLOVER,CAM",,,,,,,"REBOUND DEF by GLOVER,CAM",2
14:55,"GOOD LAYUP by GLOVER,CAM(in the paint)",46 (+1),,45,,BIRMINGH 46-45 (+1),,"GOOD LAYUP by GLOVER,CAM(in the paint)",2
14:38,,,,,"MISS 3PTR by COFIELD,GABE",,,"MISS 3PTR by COFIELD,GABE",2
--,"REBOUND DEF by SPENCE,SAMUEL",,,,,,,"REBOUND DEF by SPENCE,SAMUEL",2
14:29,"GOOD LAYUP by GREEN,KALEB(in the paint)",48 (+3),,45,,BIRMINGH 48-45 (+3),,"GOOD LAYUP by GREEN,KALEB(in the paint)",2
14:13,,48 (+1),,47,"GOOD LAYUP by HILL,ZAC(in the paint)",LAGRANGE 48-47 (+1),,"GOOD LAYUP by HILL,ZAC(in the paint)",2
14:04,"GOOD LAYUP by SPENCE,SAMUEL(in the paint)",50 (+3),,47,,BIRMINGH 50-47 (+3),,"GOOD LAYUP by SPENCE,SAMUEL(in the paint)",2
13:52,"FOUL  by GREEN,KALEB",,,,,,,"FOUL  by GREEN,KALEB",2
13:52,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
13:52,,50 (+2),,48,"GOOD FT by HILL,ZAC",LAGRANGE 50-48 (+2),,"GOOD FT by HILL,ZAC",2
13:39,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",2
--,"REBOUND OFF by DAVIS,BRODY",,,,,,,"REBOUND OFF by DAVIS,BRODY",2
13:23,,,,,"STEAL  by SMITH,KYLE",,,"STEAL  by SMITH,KYLE",2
13:17,"TURNOVER  by GREEN,KALEB",,,,,,,"TURNOVER  by GREEN,KALEB",2
13:13,"BLOCK  by GREEN,KALEB",,,,,,,"BLOCK  by GREEN,KALEB",2
--,"REBOUND DEF by GREEN,KALEB",,,,,,,"REBOUND DEF by GREEN,KALEB",2
12:58,"MISS 3PTR by SPENCE,SAMUEL",,,,,,,"MISS 3PTR by SPENCE,SAMUEL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:37,"FOUL  by GLOVER,COLIN",,,,,,,"FOUL  by GLOVER,COLIN",2
12:36,,,,,"MISS 3PTR by LYONS,CAMERIN",,,"MISS 3PTR by LYONS,CAMERIN",2
--,"REBOUND DEF by DAVIS,BRODY",,,,,,,"REBOUND DEF by DAVIS,BRODY",2
12:36,"MISS 3PTR by SPENCE,SAMUEL",,,,,,,"MISS 3PTR by SPENCE,SAMUEL",2
--,"REBOUND OFF by DAVIS,BRODY",,,,,,,"REBOUND OFF by DAVIS,BRODY",2
