Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,HC-MBK,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by PATRICK,DYLAN",,,,,,,"REBOUND OFF by PATRICK,DYLAN",1
14:20,,,,,"FOUL  by PATTON,LUKE",,,"FOUL  by PATTON,LUKE",1
14:20,"GOOD FT by DAVIS,BRODY",3,,6 (+3),,BSCM 3-6 (-3),,"GOOD FT by DAVIS,BRODY",1
14:20,"GOOD FT by DAVIS,BRODY",4,,6 (+2),,BSCM 4-6 (-2),,"GOOD FT by DAVIS,BRODY",1
14:10,,,,,"TURNOVER  by MCMULLIN,COLTON",,,"TURNOVER  by MCMULLIN,COLTON",1
13:48,"MISS LAYUP by PATRICK,DYLAN",,,,,,,"MISS LAYUP by PATRICK,DYLAN",1
--,,,,,"REBOUND DEF by TORRES,JADEN",,,"REBOUND DEF by TORRES,JADEN",1
13:45,,,,,"TURNOVER  by TORRES,JADEN",,,"TURNOVER  by TORRES,JADEN",1
13:44,"STEAL  by PATRICK,DYLAN",,,,,,,"STEAL  by PATRICK,DYLAN",1
13:40,"GOOD 3PTR by BISHOP,BRYSON",7 (+1),,6,,BSCM 7-6 (+1),,"GOOD 3PTR by BISHOP,BRYSON",1
--,"ASSIST  by GREEN,KALEB",,,,,,,"ASSIST  by GREEN,KALEB",1
13:27,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:24,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
13:24,"SUB OUT by SPENCE,SAMUEL",,,,,,,"SUB OUT by SPENCE,SAMUEL",1
13:06,"TURNOVER  by DAVIS,BRODY",,,,,,,"TURNOVER  by DAVIS,BRODY",1
13:06,"FOUL  by DAVIS,BRODY",,,,,,,"FOUL  by DAVIS,BRODY",1
12:53,,,,,"MISS LAYUP by DEITHLOFF,TYLER",,,"MISS LAYUP by DEITHLOFF,TYLER",1
--,"REBOUND DEF by GREEN,KALEB",,,,,,,"REBOUND DEF by GREEN,KALEB",1
12:40,"MISS LAYUP by DAVIS,BRODY",,,,,,,"MISS LAYUP by DAVIS,BRODY",1
12:40,,,,,"BLOCK  by SQUIRES,CALEB",,,"BLOCK  by SQUIRES,CALEB",1
--,"REBOUND OFF by DAVIS,BRODY",,,,,,,"REBOUND OFF by DAVIS,BRODY",1
12:33,"GOOD TIPIN by DAVIS,BRODY(in the paint)",9 (+3),,6,,BSCM 9-6 (+3),,"GOOD TIPIN by DAVIS,BRODY(in the paint)",1
12:28,,,,,"MISS LAYUP by DEITHLOFF,TYLER",,,"MISS LAYUP by DEITHLOFF,TYLER",1
--,,,,,"REBOUND OFF by PATTON,LUKE",,,"REBOUND OFF by PATTON,LUKE",1
12:23,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
11:59,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:56,,,,,"FOUL  by SQUIRES,CALEB",,,"FOUL  by SQUIRES,CALEB",1
11:56,,,,,"SUB IN by MAYO,DREW",,,"SUB IN by MAYO,DREW",1
11:56,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",1
11:56,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",1
11:56,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",1
11:56,,,,,"SUB OUT by PATTON,LUKE",,,"SUB OUT by PATTON,LUKE",1
11:56,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",1
11:56,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
11:56,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",1
11:51,"GOOD JUMPER by PATRICK,DYLAN",11 (+5),,6,,BSCM 11-6 (+5),,"GOOD JUMPER by PATRICK,DYLAN",1
11:25,,11 (+3),,8,"GOOD LAYUP by BERRY,COLTEN(in the paint)",HC-MBK 11-8 (+3),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
11:14,"MISS 3PTR by BARNETT,CHARLIE",,,,,,,"MISS 3PTR by BARNETT,CHARLIE",1
