Time Remaining,PIED,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
02:10,"SUB IN by HELENBROOK,JOE",,,,,,,"SUB IN by HELENBROOK,JOE",1
02:10,"GOOD FT by REARDON,NOAH(fastbreak)",30,,39 (+9),,PIED 30-39 (+9),,"GOOD FT by REARDON,NOAH(fastbreak)",1
02:10,"MISS FT by REARDON,NOAH(fastbreak)",,,,,,,"MISS FT by REARDON,NOAH(fastbreak)",1
02:10,,,,,"SUB OUT by GLOVER,COLIN",,,"SUB OUT by GLOVER,COLIN",1
02:10,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
01:49,,,,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",1
--,,,,,"REBOUND OFF by JACKSON,MARTISE",,,"REBOUND OFF by JACKSON,MARTISE",1
01:39,,,,,"MISS JUMPER by CHILDERS,JOSH",,,"MISS JUMPER by CHILDERS,JOSH",1
--,"REBOUND DEF by RICHTER,WILL",,,,,,,"REBOUND DEF by RICHTER,WILL",1
01:33,"GOOD 3PTR by RICHTER,WILL",33,,39 (+6),,PIED 33-39 (+6),,"GOOD 3PTR by RICHTER,WILL",1
--,"ASSIST  by REARDON,NOAH",,,,,,,"ASSIST  by REARDON,NOAH",1
01:23,"FOUL  by HELENBROOK,JOE",,,,,,,"FOUL  by HELENBROOK,JOE",1
01:23,"SUB OUT by HELENBROOK,JOE",,,,,,,"SUB OUT by HELENBROOK,JOE",1
01:23,"SUB IN by STIMPSON,ANDREW",,,,,,,"SUB IN by STIMPSON,ANDREW",1
01:23,,33,,40 (+7),"GOOD FT by GILLISPIE,JAY",BSC 33-40 (+7),,"GOOD FT by GILLISPIE,JAY",1
01:23,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",1
--,"REBOUND DEF by REARDON,NOAH",,,,,,,"REBOUND DEF by REARDON,NOAH",1
01:08,"MISS 3PTR by PALMER,AARON",,,,,,,"MISS 3PTR by PALMER,AARON",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
01:01,,,,,"MISS 3PTR by GLOVER,CAM",,,"MISS 3PTR by GLOVER,CAM",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
00:56,,,,,"MISS 3PTR by JACKSON,MARTISE",,,"MISS 3PTR by JACKSON,MARTISE",1
--,"REBOUND DEF by NORMAN,HUNTER",,,,,,,"REBOUND DEF by NORMAN,HUNTER",1
00:34,"MISS 3PTR by REARDON,NOAH",,,,,,,"MISS 3PTR by REARDON,NOAH",1
--,,,,,"REBOUND DEF by BISHOP,BRYSON",,,"REBOUND DEF by BISHOP,BRYSON",1
00:05,,,,,"TURNOVER  by GLOVER,CAM",,,"TURNOVER  by GLOVER,CAM",1
00:05,"STEAL  by RICHTER,WILL",,,,,,,"STEAL  by RICHTER,WILL",1
00:01,"MISS 3PTR by RICHTER,WILL",,,,,,,"MISS 3PTR by RICHTER,WILL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",2
20:00,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",2
20:00,"SUB OUT by REARDON,NOAH",,,,,,,"SUB OUT by REARDON,NOAH",2
20:00,"SUB OUT by PALMER,AARON",,,,,,,"SUB OUT by PALMER,AARON",2
20:00,"SUB OUT by NORMAN,HUNTER",,,,,,,"SUB OUT by NORMAN,HUNTER",2
20:00,"SUB IN by CLEMENTS-OWENS,ORRY",,,,,,,"SUB IN by CLEMENTS-OWENS,ORRY",2
20:00,"SUB IN by JOLLY,RYAN",,,,,,,"SUB IN by JOLLY,RYAN",2
20:00,"SUB IN by BEAGLE,GARRETT",,,,,,,"SUB IN by BEAGLE,GARRETT",2
19:53,,,,,"TURNOVER  by GLOVER,CAM",,,"TURNOVER  by GLOVER,CAM",2
19:53,"STEAL  by RICHTER,WILL",,,,,,,"STEAL  by RICHTER,WILL",2
19:50,,,,,"FOUL  by GREEN,KALEB",,,"FOUL  by GREEN,KALEB",2
19:46,"MISS JUMPER by JOLLY,RYAN",,,,,,,"MISS JUMPER by JOLLY,RYAN",2
--,,,,,"REBOUND DEF by GLOVER,CAM",,,"REBOUND DEF by GLOVER,CAM",2
19:35,,33,,42 (+9),"GOOD JUMPER by GLOVER,CAM(in the paint)",BSC 33-42 (+9),,"GOOD JUMPER by GLOVER,CAM(in the paint)",2
19:15,"MISS LAYUP by BEAGLE,GARRETT(in the paint)",,,,,,,"MISS LAYUP by BEAGLE,GARRETT(in the paint)",2
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",2
19:00,,,,,"MISS 3PTR by GREEN,KALEB",,,"MISS 3PTR by GREEN,KALEB",2
--,"REBOUND DEF by JOLLY,RYAN",,,,,,,"REBOUND DEF by JOLLY,RYAN",2
18:51,"GOOD JUMPER by JOLLY,RYAN(in the paint)",35,,42 (+7),,PIED 35-42 (+7),,"GOOD JUMPER by JOLLY,RYAN(in the paint)",2
18:39,,,,,"MISS 3PTR by GREEN,KALEB",,,"MISS 3PTR by GREEN,KALEB",2
--,"REBOUND DEF by STIMPSON,ANDREW",,,,,,,"REBOUND DEF by STIMPSON,ANDREW",2
18:34,"TURNOVER  by CLEMENTS-OWENS,ORRY",,,,,,,"TURNOVER  by CLEMENTS-OWENS,ORRY",2
18:29,,,,,"MISS 3PTR by GLOVER,CAM",,,"MISS 3PTR by GLOVER,CAM",2
--,"REBOUND DEF by JOLLY,RYAN",,,,,,,"REBOUND DEF by JOLLY,RYAN",2
18:22,"GOOD LAYUP by RICHTER,WILL(in the paint)",37,,42 (+5),,PIED 37-42 (+5),,"GOOD LAYUP by RICHTER,WILL(in the paint)",2
--,"ASSIST  by JOLLY,RYAN",,,,,,,"ASSIST  by JOLLY,RYAN",2
18:15,,,,,"MISS LAYUP by GLOVER,CAM(in the paint)",,,"MISS LAYUP by GLOVER,CAM(in the paint)",2
--,"REBOUND DEF by BEAGLE,GARRETT",,,,,,,"REBOUND DEF by BEAGLE,GARRETT",2
18:07,"GOOD LAYUP by CLEMENTS-OWENS,ORRY(fastbreak)(in the paint)",39,,42 (+3),,PIED 39-42 (+3),,"GOOD LAYUP by CLEMENTS-OWENS,ORRY(fastbreak)(in the paint)",2
--,"ASSIST  by STIMPSON,ANDREW",,,,,,,"ASSIST  by STIMPSON,ANDREW",2
18:07,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
18:07,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
18:07,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",2
18:07,,,,,"SUB OUT by GLOVER,CAM",,,"SUB OUT by GLOVER,CAM",2
18:07,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",2
18:07,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",2
18:07,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",2
18:07,,,,,"SUB IN by BARNETT,CHARLIE",,,"SUB IN by BARNETT,CHARLIE",2
18:07,,,,,"SUB IN by GLOVER,COLIN",,,"SUB IN by GLOVER,COLIN",2
18:07,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",2
18:07,,,,,"SUB IN by PATRICK,DYLAN",,,"SUB IN by PATRICK,DYLAN",2
18:07,,,,,"SUB IN by DAVIS,BRODY",,,"SUB IN by DAVIS,BRODY",2
17:49,,,,,"TURNOVER  by PATRICK,DYLAN",,,"TURNOVER  by PATRICK,DYLAN",2
17:49,"STEAL  by RICHTER,WILL",,,,,,,"STEAL  by RICHTER,WILL",2
17:39,"GOOD LAYUP by BEAGLE,GARRETT(in the paint)",41,,42 (+1),,PIED 41-42 (+1),,"GOOD LAYUP by BEAGLE,GARRETT(in the paint)",2
--,"ASSIST  by JOLLY,RYAN",,,,,,,"ASSIST  by JOLLY,RYAN",2
17:19,,,,,"MISS 3PTR by GLOVER,COLIN",,,"MISS 3PTR by GLOVER,COLIN",2
--,"REBOUND DEF by STIMPSON,ANDREW",,,,,,,"REBOUND DEF by STIMPSON,ANDREW",2
17:19,,,,,"FOUL  by DAVIS,BRODY",,,"FOUL  by DAVIS,BRODY",2
16:59,"MISS 3PTR by JOLLY,RYAN",,,,,,,"MISS 3PTR by JOLLY,RYAN",2
--,,,,,"REBOUND DEF by DAVIS,BRODY",,,"REBOUND DEF by DAVIS,BRODY",2
16:46,,,,,"MISS JUMPER by PATRICK,DYLAN(in the paint)",,,"MISS JUMPER by PATRICK,DYLAN(in the paint)",2
--,,,,,"REBOUND OFF by DAVIS,BRODY",,,"REBOUND OFF by DAVIS,BRODY",2
16:40,,,,,"MISS JUMPER by DAVIS,BRODY(in the paint)",,,"MISS JUMPER by DAVIS,BRODY(in the paint)",2
--,"REBOUND DEF by JOLLY,RYAN",,,,,,,"REBOUND DEF by JOLLY,RYAN",2
16:36,"GOOD LAYUP by STIMPSON,ANDREW(fastbreak)(in the paint)",43 (+1),,42,,PIED 43-42 (-1),,"GOOD LAYUP by STIMPSON,ANDREW(fastbreak)(in the paint)",2
--,"ASSIST  by JOLLY,RYAN",,,,,,,"ASSIST  by JOLLY,RYAN",2
16:30,,43,,44 (+1),"GOOD LAYUP by DAVIS,BRODY(in the paint)",BSC 43-44 (+1),,"GOOD LAYUP by DAVIS,BRODY(in the paint)",2
--,,,,,"ASSIST  by PATRICK,DYLAN",,,"ASSIST  by PATRICK,DYLAN",2
16:13,"MISS LAYUP by JOLLY,RYAN(in the paint)",,,,,,,"MISS LAYUP by JOLLY,RYAN(in the paint)",2
--,"REBOUND OFF by BEAGLE,GARRETT",,,,,,,"REBOUND OFF by BEAGLE,GARRETT",2
16:11,,,,,"FOUL  by DAVIS,BRODY",,,"FOUL  by DAVIS,BRODY",2
16:11,"GOOD FT by BEAGLE,GARRETT",44,,44,,PIED 44-44 (0),,"GOOD FT by BEAGLE,GARRETT",2
16:11,,,,,"SUB OUT by BARNETT,CHARLIE",,,"SUB OUT by BARNETT,CHARLIE",2
16:11,,,,,"SUB OUT by SPENCE,SAMUEL",,,"SUB OUT by SPENCE,SAMUEL",2
16:11,,,,,"SUB OUT by DAVIS,BRODY",,,"SUB OUT by DAVIS,BRODY",2
16:11,,,,,"SUB IN by GLOVER,CAM",,,"SUB IN by GLOVER,CAM",2
16:11,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",2
16:11,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",2
16:10,"MISS FT by BEAGLE,GARRETT",,,,,,,"MISS FT by BEAGLE,GARRETT",2
--,,,,,"REBOUND DEF by GLOVER,CAM",,,"REBOUND DEF by GLOVER,CAM",2
16:00,,,,,"MISS 3PTR by GLOVER,COLIN",,,"MISS 3PTR by GLOVER,COLIN",2
--,"REBOUND DEF by STIMPSON,ANDREW",,,,,,,"REBOUND DEF by STIMPSON,ANDREW",2
15:51,"MISS JUMPER by CLEMENTS-OWENS,ORRY(in the paint)",,,,,,,"MISS JUMPER by CLEMENTS-OWENS,ORRY(in the paint)",2
15:51,,,,,"BLOCK  by PATRICK,DYLAN",,,"BLOCK  by PATRICK,DYLAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:51,,,,,"SUB OUT by GLOVER,COLIN",,,"SUB OUT by GLOVER,COLIN",2
15:51,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",2
15:43,"GOOD JUMPER by STIMPSON,ANDREW(in the paint)",46 (+2),,44,,PIED 46-44 (-2),,"GOOD JUMPER by STIMPSON,ANDREW(in the paint)",2
15:21,,,,,"MISS LAYUP by JACKSON,MARTISE(in the paint)",,,"MISS LAYUP by JACKSON,MARTISE(in the paint)",2
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",2
15:21,"FOUL  by STIMPSON,ANDREW",,,,,,,"FOUL  by STIMPSON,ANDREW",2
15:21,"SUB OUT by BEAGLE,GARRETT",,,,,,,"SUB OUT by BEAGLE,GARRETT",2
15:21,"SUB IN by PALMER,AARON",,,,,,,"SUB IN by PALMER,AARON",2
15:21,,,,,"TURNOVER  by JACKSON,MARTISE",,,"TURNOVER  by JACKSON,MARTISE",2
15:21,"STEAL  by JOLLY,RYAN",,,,,,,"STEAL  by JOLLY,RYAN",2
15:16,"TURNOVER  by PALMER,AARON",,,,,,,"TURNOVER  by PALMER,AARON",2
15:16,,,,,"STEAL  by GLOVER,CAM",,,"STEAL  by GLOVER,CAM",2
15:10,,,,,"TURNOVER  by JACKSON,MARTISE",,,"TURNOVER  by JACKSON,MARTISE",2
15:10,"STEAL  by CLEMENTS-OWENS,ORRY",,,,,,,"STEAL  by CLEMENTS-OWENS,ORRY",2
15:00,"GOOD LAYUP by STIMPSON,ANDREW(in the paint)",48 (+4),,44,,PIED 48-44 (-4),,"GOOD LAYUP by STIMPSON,ANDREW(in the paint)",2
--,"ASSIST  by PALMER,AARON",,,,,,,"ASSIST  by PALMER,AARON",2
14:46,,48 (+2),,46,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BSC 48-46 (-2),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",2
--,,,,,"ASSIST  by GLOVER,CAM",,,"ASSIST  by GLOVER,CAM",2
14:46,"FOUL  by PALMER,AARON",,,,,,,"FOUL  by PALMER,AARON",2
14:46,,,,,"SUB OUT by PATRICK,DYLAN",,,"SUB OUT by PATRICK,DYLAN",2
14:46,,,,,"SUB IN by BISHOP,BRYSON",,,"SUB IN by BISHOP,BRYSON",2
14:46,"SUB OUT by JOLLY,RYAN",,,,,,,"SUB OUT by JOLLY,RYAN",2
14:46,"SUB OUT by RICHTER,WILL",,,,,,,"SUB OUT by RICHTER,WILL",2
14:46,"SUB IN by HELENBROOK,JOE",,,,,,,"SUB IN by HELENBROOK,JOE",2
14:46,"SUB IN by REARDON,NOAH",,,,,,,"SUB IN by REARDON,NOAH",2
14:46,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",2
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",2
14:40,,,,,"TURNOVER  by GILLISPIE,JAY",,,"TURNOVER  by GILLISPIE,JAY",2
14:15,"MISS JUMPER by HELENBROOK,JOE(in the paint)",,,,,,,"MISS JUMPER by HELENBROOK,JOE(in the paint)",2
14:15,,,,,"BLOCK  by JACKSON,MARTISE",,,"BLOCK  by JACKSON,MARTISE",2
--,,,,,"REBOUND DEF by JACKSON,MARTISE",,,"REBOUND DEF by JACKSON,MARTISE",2
13:59,,48,,48,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",BSC 48-48 (0),,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",2
13:36,"SUB OUT by HELENBROOK,JOE",,,,,,,"SUB OUT by HELENBROOK,JOE",2
13:36,"SUB IN by JOLLY,RYAN",,,,,,,"SUB IN by JOLLY,RYAN",2
13:31,"GOOD JUMPER by STIMPSON,ANDREW(in the paint)",50 (+2),,48,,PIED 50-48 (-2),,"GOOD JUMPER by STIMPSON,ANDREW(in the paint)",2
13:11,,,,,"MISS 3PTR by GLOVER,CAM",,,"MISS 3PTR by GLOVER,CAM",2
--,"REBOUND DEF by PALMER,AARON",,,,,,,"REBOUND DEF by PALMER,AARON",2
13:02,"MISS 3PTR by CLEMENTS-OWENS,ORRY",,,,,,,"MISS 3PTR by CLEMENTS-OWENS,ORRY",2
--,,,,,"REBOUND DEF by GLOVER,CAM",,,"REBOUND DEF by GLOVER,CAM",2
12:55,,,,,"TURNOVER  by GLOVER,CAM",,,"TURNOVER  by GLOVER,CAM",2
12:55,"STEAL  by STIMPSON,ANDREW",,,,,,,"STEAL  by STIMPSON,ANDREW",2
12:51,"GOOD LAYUP by CLEMENTS-OWENS,ORRY(fastbreak)(in the paint)",52 (+4),,48,,PIED 52-48 (-4),,"GOOD LAYUP by CLEMENTS-OWENS,ORRY(fastbreak)(in the paint)",2
--,"ASSIST  by STIMPSON,ANDREW",,,,,,,"ASSIST  by STIMPSON,ANDREW",2
12:37,,52 (+1),,51,"GOOD 3PTR by BISHOP,BRYSON",BSC 52-51 (-1),,"GOOD 3PTR by BISHOP,BRYSON",2
--,,,,,"ASSIST  by GILLISPIE,JAY",,,"ASSIST  by GILLISPIE,JAY",2
12:12,"MISS LAYUP by JOLLY,RYAN(in the paint)",,,,,,,"MISS LAYUP by JOLLY,RYAN(in the paint)",2
12:12,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",2
--,,,,,"REBOUND DEF by JACKSON,MARTISE",,,"REBOUND DEF by JACKSON,MARTISE",2
12:06,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",2
--,"REBOUND DEF by STIMPSON,ANDREW",,,,,,,"REBOUND DEF by STIMPSON,ANDREW",2
12:05,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",2
12:05,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",2
12:05,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",2
11:42,"MISS JUMPER by STIMPSON,ANDREW(in the paint)",,,,,,,"MISS JUMPER by STIMPSON,ANDREW(in the paint)",2
--,,,,,"REBOUND DEF by SPENCE,SAMUEL",,,"REBOUND DEF by SPENCE,SAMUEL",2
11:31,,52,,54 (+2),"GOOD 3PTR by SPENCE,SAMUEL",BSC 52-54 (+2),,"GOOD 3PTR by SPENCE,SAMUEL",2
--,,,,,"ASSIST  by GLOVER,CAM",,,"ASSIST  by GLOVER,CAM",2
11:16,"GOOD LAYUP by REARDON,NOAH(in the paint)",54,,54,,PIED 54-54 (0),,"GOOD LAYUP by REARDON,NOAH(in the paint)",2
--,"ASSIST  by CLEMENTS-OWENS,ORRY",,,,,,,"ASSIST  by CLEMENTS-OWENS,ORRY",2
11:04,,,,,"TURNOVER  by JACKSON,MARTISE",,,"TURNOVER  by JACKSON,MARTISE",2
11:04,"STEAL  by STIMPSON,ANDREW",,,,,,,"STEAL  by STIMPSON,ANDREW",2
10:50,"GOOD 3PTR by CLEMENTS-OWENS,ORRY",57 (+3),,54,,PIED 57-54 (-3),,"GOOD 3PTR by CLEMENTS-OWENS,ORRY",2
10:33,,57 (+1),,56,"GOOD JUMPER by JACKSON,MARTISE(in the paint)",BSC 57-56 (-1),,"GOOD JUMPER by JACKSON,MARTISE(in the paint)",2
10:11,"GOOD JUMPER by PALMER,AARON(in the paint)",59 (+3),,56,,PIED 59-56 (-3),,"GOOD JUMPER by PALMER,AARON(in the paint)",2
--,"ASSIST  by CLEMENTS-OWENS,ORRY",,,,,,,"ASSIST  by CLEMENTS-OWENS,ORRY",2
10:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
10:08,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:08,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",2
10:08,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",2
10:08,"SUB OUT by JOLLY,RYAN",,,,,,,"SUB OUT by JOLLY,RYAN",2
10:08,"SUB OUT by PALMER,AARON",,,,,,,"SUB OUT by PALMER,AARON",2
10:08,"SUB IN by BEAGLE,GARRETT",,,,,,,"SUB IN by BEAGLE,GARRETT",2
10:08,"SUB IN by NORMAN,HUNTER",,,,,,,"SUB IN by NORMAN,HUNTER",2
09:56,,,,,"TURNOVER  by CHILDERS,JOSH",,,"TURNOVER  by CHILDERS,JOSH",2
09:56,"STEAL  by BEAGLE,GARRETT",,,,,,,"STEAL  by BEAGLE,GARRETT",2
09:38,"MISS LAYUP by CLEMENTS-OWENS,ORRY(in the paint)",,,,,,,"MISS LAYUP by CLEMENTS-OWENS,ORRY(in the paint)",2
--,"REBOUND OFF by BEAGLE,GARRETT",,,,,,,"REBOUND OFF by BEAGLE,GARRETT",2
09:34,"GOOD LAYUP by BEAGLE,GARRETT(in the paint)",61 (+5),,56,,PIED 61-56 (-5),,"GOOD LAYUP by BEAGLE,GARRETT(in the paint)",2
09:29,,,,,"TURNOVER  by GLOVER,CAM",,,"TURNOVER  by GLOVER,CAM",2
09:29,"STEAL  by BEAGLE,GARRETT",,,,,,,"STEAL  by BEAGLE,GARRETT",2
09:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
09:09,"GOOD JUMPER by REARDON,NOAH(in the paint)",63 (+7),,56,,PIED 63-56 (-7),,"GOOD JUMPER by REARDON,NOAH(in the paint)",2
08:49,,63 (+5),,58,"GOOD JUMPER by GLOVER,CAM(in the paint)",BSC 63-58 (-5),,"GOOD JUMPER by GLOVER,CAM(in the paint)",2
08:27,"TURNOVER  by NORMAN,HUNTER",,,,,,,"TURNOVER  by NORMAN,HUNTER",2
08:27,,,,,"STEAL  by BISHOP,BRYSON",,,"STEAL  by BISHOP,BRYSON",2
08:21,,63 (+3),,60,"GOOD LAYUP by CHILDERS,JOSH(fastbreak)(in the paint)",BSC 63-60 (-3),,"GOOD LAYUP by CHILDERS,JOSH(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",2
08:01,"MISS LAYUP by BEAGLE,GARRETT(in the paint)",,,,,,,"MISS LAYUP by BEAGLE,GARRETT(in the paint)",2
08:01,,,,,"BLOCK  by SPENCE,SAMUEL",,,"BLOCK  by SPENCE,SAMUEL",2
--,,,,,"REBOUND DEF by SPENCE,SAMUEL",,,"REBOUND DEF by SPENCE,SAMUEL",2
07:55,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",2
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",2
07:41,,63 (+1),,62,"GOOD JUMPER by BISHOP,BRYSON(in the paint)",BSC 63-62 (-1),,"GOOD JUMPER by BISHOP,BRYSON(in the paint)",2
07:34,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
07:34,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:34,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",2
07:34,,,,,"SUB OUT by SPENCE,SAMUEL",,,"SUB OUT by SPENCE,SAMUEL",2
07:34,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",2
07:34,,,,,"SUB IN by GLOVER,COLIN",,,"SUB IN by GLOVER,COLIN",2
07:34,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",2
07:34,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",2
07:33,,,,,"TURNOVER  by GLOVER,CAM",,,"TURNOVER  by GLOVER,CAM",2
07:26,"SUB OUT by CLEMENTS-OWENS,ORRY",,,,,,,"SUB OUT by CLEMENTS-OWENS,ORRY",2
07:26,"SUB OUT by REARDON,NOAH",,,,,,,"SUB OUT by REARDON,NOAH",2
07:26,"SUB OUT by BEAGLE,GARRETT",,,,,,,"SUB OUT by BEAGLE,GARRETT",2
07:26,"SUB IN by JOLLY,RYAN",,,,,,,"SUB IN by JOLLY,RYAN",2
07:26,"SUB IN by RICHTER,WILL",,,,,,,"SUB IN by RICHTER,WILL",2
07:26,"SUB IN by PALMER,AARON",,,,,,,"SUB IN by PALMER,AARON",2
07:23,"MISS JUMPER by NORMAN,HUNTER(in the paint)",,,,,,,"MISS JUMPER by NORMAN,HUNTER(in the paint)",2
--,,,,,"REBOUND DEF by JACKSON,MARTISE",,,"REBOUND DEF by JACKSON,MARTISE",2
07:22,,,,,"FOUL  by GLOVER,COLIN",,,"FOUL  by GLOVER,COLIN",2
07:22,"FOUL  by PALMER,AARON",,,,,,,"FOUL  by PALMER,AARON",2
07:07,,63,,65 (+2),"GOOD 3PTR by GLOVER,COLIN",BSC 63-65 (+2),,"GOOD 3PTR by GLOVER,COLIN",2
--,,,,,"ASSIST  by GLOVER,CAM",,,"ASSIST  by GLOVER,CAM",2
06:45,"MISS JUMPER by PALMER,AARON(in the paint)",,,,,,,"MISS JUMPER by PALMER,AARON(in the paint)",2
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",2
06:35,,63,,67 (+4),"GOOD JUMPER by GILLISPIE,JAY(in the paint)",BSC 63-67 (+4),,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",2
05:44,,,,,"FOUL  by GLOVER,COLIN",,,"FOUL  by GLOVER,COLIN",2
05:44,"GOOD FT by JOLLY,RYAN",64,,67 (+3),,PIED 64-67 (+3),,"GOOD FT by JOLLY,RYAN",2
05:44,"SUB OUT by PALMER,AARON",,,,,,,"SUB OUT by PALMER,AARON",2
05:44,"SUB OUT by NORMAN,HUNTER",,,,,,,"SUB OUT by NORMAN,HUNTER",2
05:44,"SUB IN by CLEMENTS-OWENS,ORRY",,,,,,,"SUB IN by CLEMENTS-OWENS,ORRY",2
05:44,"SUB IN by BEAGLE,GARRETT",,,,,,,"SUB IN by BEAGLE,GARRETT",2
05:44,"GOOD FT by JOLLY,RYAN",65,,67 (+2),,PIED 65-67 (+2),,"GOOD FT by JOLLY,RYAN",2
05:41,"FOUL  by BEAGLE,GARRETT",,,,,,,"FOUL  by BEAGLE,GARRETT",2
05:32,,,,,"MISS FT by GLOVER,CAM(fastbreak)",,,"MISS FT by GLOVER,CAM(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:32,,,,,"MISS FT by GLOVER,CAM(fastbreak)",,,"MISS FT by GLOVER,CAM(fastbreak)",2
--,"REBOUND DEF by STIMPSON,ANDREW",,,,,,,"REBOUND DEF by STIMPSON,ANDREW",2
05:08,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",2
05:08,"GOOD FT by BEAGLE,GARRETT",66,,67 (+1),,PIED 66-67 (+1),,"GOOD FT by BEAGLE,GARRETT",2
05:08,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",2
05:08,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",2
05:08,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",2
05:08,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",2
05:08,"GOOD FT by BEAGLE,GARRETT",67,,67,,PIED 67-67 (0),,"GOOD FT by BEAGLE,GARRETT",2
04:57,,67,,70 (+3),"GOOD 3PTR by GLOVER,COLIN",BSC 67-70 (+3),,"GOOD 3PTR by GLOVER,COLIN",2
--,,,,,"ASSIST  by GLOVER,CAM",,,"ASSIST  by GLOVER,CAM",2
