Time Remaining,PCC,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:47,,0,,2 (+2),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 0-2 (+2),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
19:26,"MISS 3PTR by GERDTS,LIAM",,,,,,,"MISS 3PTR by GERDTS,LIAM",1
--,,,,,"REBOUND DEF by JACKSON,MARTISE",,,"REBOUND DEF by JACKSON,MARTISE",1
19:18,,,,,"MISS 3PTR by GLOVER,CAM",,,"MISS 3PTR by GLOVER,CAM",1
--,"REBOUND DEF by GERDTS,LIAM",,,,,,,"REBOUND DEF by GERDTS,LIAM",1
18:58,"GOOD 3PTR by LEWIS,AUSTIN",3 (+1),,2,,PCC 3-2 (-1),,"GOOD 3PTR by LEWIS,AUSTIN",1
18:48,,3,,4 (+1),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 3-4 (+1),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
18:13,,3,,6 (+3),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 3-6 (+3),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
17:49,,3,,8 (+5),"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BSC 3-8 (+5),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
17:40,"GOOD 3PTR by LEWIS,AUSTIN",6,,8 (+2),,PCC 6-8 (+2),,"GOOD 3PTR by LEWIS,AUSTIN",1
17:04,"FOUL  by GERDTS,LIAM",,,,,,,"FOUL  by GERDTS,LIAM",1
17:04,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",1
17:04,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
17:04,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",1
17:04,,,,,"SUB IN by GLOVER,COLIN",,,"SUB IN by GLOVER,COLIN",1
17:04,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",1
17:04,,,,,"SUB IN by DEAN,NOLAN",,,"SUB IN by DEAN,NOLAN",1
17:04,,,,,"MISS JUMPER by CHILDERS,JOSH",,,"MISS JUMPER by CHILDERS,JOSH",1
