Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:37,"TURNOVER  by GREEN,KALEB",,,,,,,"TURNOVER  by GREEN,KALEB",1
19:37,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
19:04,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
18:53,"GOOD 3PTR by GREEN,KALEB",3 (+3),,0,,BSC 3-0 (+3),,"GOOD 3PTR by GREEN,KALEB",1
--,"ASSIST  by JACKSON,MARTISE",,,,,,,"ASSIST  by JACKSON,MARTISE",1
18:24,,,,,"MISS 3PTR by WILSON,DREW",,,"MISS 3PTR by WILSON,DREW",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
18:17,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
18:17,,,,,"STEAL  by RAYMER,COLBY",,,"STEAL  by RAYMER,COLBY",1
17:55,,,,,"TURNOVER  by WILSON,DREW",,,"TURNOVER  by WILSON,DREW",1
17:55,"STEAL  by DEAN,NOLAN",,,,,,,"STEAL  by DEAN,NOLAN",1
17:53,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",5 (+5),,0,,BSC 5-0 (+5),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
17:53,,,,,"SUB OUT by RAYMER,COLBY",,,"SUB OUT by RAYMER,COLBY",1
17:53,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
17:36,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by DEAN,NOLAN",,,,,,,"REBOUND DEF by DEAN,NOLAN",1
17:25,"MISS LAYUP by JACKSON,MARTISE(in the paint)",,,,,,,"MISS LAYUP by JACKSON,MARTISE(in the paint)",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
17:12,"TURNOVER  by JACKSON,MARTISE",,,,,,,"TURNOVER  by JACKSON,MARTISE",1
17:12,,,,,"STEAL  by TAYLOR,MARSHALL",,,"STEAL  by TAYLOR,MARSHALL",1
16:45,,,,,"MISS 3PTR by WILSON,DREW",,,"MISS 3PTR by WILSON,DREW",1
--,"REBOUND DEF by DEAN,NOLAN",,,,,,,"REBOUND DEF by DEAN,NOLAN",1
16:40,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
16:40,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
16:38,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
16:38,"SUB OUT by DEAN,NOLAN",,,,,,,"SUB OUT by DEAN,NOLAN",1
16:38,"SUB IN by SPENCE,SAMUEL",,,,,,,"SUB IN by SPENCE,SAMUEL",1
16:38,"SUB IN by BISHOP,BRYSON",,,,,,,"SUB IN by BISHOP,BRYSON",1
16:19,,5 (+3),,2,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",Centre 5-2 (+3),,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",1
16:13,"TURNOVER  by GREEN,KALEB",,,,,,,"TURNOVER  by GREEN,KALEB",1
16:10,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
16:10,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
16:10,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
16:10,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
16:10,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",1
16:10,"SUB IN by DEAN,NOLAN",,,,,,,"SUB IN by DEAN,NOLAN",1
16:10,"SUB IN by THOMPSON,CHRISTIAN",,,,,,,"SUB IN by THOMPSON,CHRISTIAN",1
16:01,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",1
--,"REBOUND DEF by BISHOP,BRYSON",,,,,,,"REBOUND DEF by BISHOP,BRYSON",1
15:43,"MISS 3PTR by SPENCE,SAMUEL",,,,,,,"MISS 3PTR by SPENCE,SAMUEL",1
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",1
15:33,,5 (+1),,4,"GOOD LAYUP by WILSON,DREW(in the paint)",Centre 5-4 (+1),,"GOOD LAYUP by WILSON,DREW(in the paint)",1
15:13,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
15:13,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
15:08,"MISS 3PTR by BISHOP,BRYSON",,,,,,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:07,"FOUL  by SPENCE,SAMUEL",,,,,,,"FOUL  by SPENCE,SAMUEL",1
14:17,,,,,"MISS JUMPER by TAYLOR,MARSHALL",,,"MISS JUMPER by TAYLOR,MARSHALL",1
--,"REBOUND DEF by SPENCE,SAMUEL",,,,,,,"REBOUND DEF by SPENCE,SAMUEL",1
13:50,"MISS JUMPER by DEAN,NOLAN",,,,,,,"MISS JUMPER by DEAN,NOLAN",1
--,"REBOUND OFF by SPENCE,SAMUEL",,,,,,,"REBOUND OFF by SPENCE,SAMUEL",1
13:44,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",7 (+3),,4,,BSC 7-4 (+3),,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",1
--,"ASSIST  by SPENCE,SAMUEL",,,,,,,"ASSIST  by SPENCE,SAMUEL",1
13:18,,7,,7,"GOOD 3PTR by STINNETT,CADE",Centre 7-7 (0),,"GOOD 3PTR by STINNETT,CADE",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
12:58,"MISS JUMPER by DEAN,NOLAN",,,,,,,"MISS JUMPER by DEAN,NOLAN",1
--,,,,,"REBOUND DEF by KNOCHELMANN,PETE",,,"REBOUND DEF by KNOCHELMANN,PETE",1
12:45,,7,,10 (+3),"GOOD 3PTR by WILSON,DREW",Centre 7-10 (-3),,"GOOD 3PTR by WILSON,DREW",1
--,,,,,"ASSIST  by TAYLOR,MARSHALL",,,"ASSIST  by TAYLOR,MARSHALL",1
12:32,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
12:32,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
12:32,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",1
12:32,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
12:32,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
12:32,,,,,"SUB IN by JONES,KAM",,,"SUB IN by JONES,KAM",1
12:32,,,,,"SUB IN by RAYMER,COLBY",,,"SUB IN by RAYMER,COLBY",1
12:32,"SUB OUT by SPENCE,SAMUEL",,,,,,,"SUB OUT by SPENCE,SAMUEL",1
12:32,"SUB OUT by PATRICK,DYLAN",,,,,,,"SUB OUT by PATRICK,DYLAN",1
12:32,"SUB OUT by DEAN,NOLAN",,,,,,,"SUB OUT by DEAN,NOLAN",1
12:32,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
12:32,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
12:32,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
12:16,,,,,"FOUL  by RAYMER,COLBY",,,"FOUL  by RAYMER,COLBY",1
12:02,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",9,,10 (+1),,BSC 9-10 (-1),,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",1
11:20,,9,,12 (+3),"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 9-12 (-3),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
11:12,,,,,"FOUL  by RAYMER,COLBY",,,"FOUL  by RAYMER,COLBY",1
11:03,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:03,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
11:03,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
11:03,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
11:03,"SUB OUT by THOMPSON,CHRISTIAN",,,,,,,"SUB OUT by THOMPSON,CHRISTIAN",1
11:03,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",1
11:03,"SUB IN by BARNETT,CHARLIE",,,,,,,"SUB IN by BARNETT,CHARLIE",1
11:03,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
11:03,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
11:01,"MISS LAYUP by BARNETT,CHARLIE(in the paint)",,,,,,,"MISS LAYUP by BARNETT,CHARLIE(in the paint)",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
10:52,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
10:52,,,,,"MISS FT by RAYMER,COLBY",,,"MISS FT by RAYMER,COLBY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:52,,9,,13 (+4),"GOOD FT by RAYMER,COLBY",Centre 9-13 (-4),,"GOOD FT by RAYMER,COLBY",1
10:46,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",11,,13 (+2),,BSC 11-13 (-2),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,"ASSIST  by BARNETT,CHARLIE",,,,,,,"ASSIST  by BARNETT,CHARLIE",1
10:23,,,,,"MISS LAYUP by RAYMER,COLBY(in the paint)",,,"MISS LAYUP by RAYMER,COLBY(in the paint)",1
10:23,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
10:11,"GOOD 3PTR by BARNETT,CHARLIE",14 (+1),,13,,BSC 14-13 (+1),,"GOOD 3PTR by BARNETT,CHARLIE",1
--,"ASSIST  by GREEN,KALEB",,,,,,,"ASSIST  by GREEN,KALEB",1
09:49,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
09:39,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",1
09:39,,,,,"STEAL  by TAYLOR,MARSHALL",,,"STEAL  by TAYLOR,MARSHALL",1
09:26,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
09:26,"STEAL  by JACKSON,MARTISE",,,,,,,"STEAL  by JACKSON,MARTISE",1
09:06,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",1
09:06,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
09:06,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
09:06,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
09:06,,,,,"SUB OUT by JONES,KAM",,,"SUB OUT by JONES,KAM",1
09:06,,,,,"SUB OUT by RAYMER,COLBY",,,"SUB OUT by RAYMER,COLBY",1
09:06,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",1
09:06,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
