Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,HUNTINGD,Game Score,Team Indicator,Play,Period
19:33,"GOOD JUMPER by GLOVER,CAM",2 (+2),,0,,BIRMINGH 2-0 (+2),,"GOOD JUMPER by GLOVER,CAM",1
19:14,,,,,"MISS JUMPER by JOHNS,NATE",,,"MISS JUMPER by JOHNS,NATE",1
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",1
19:06,"MISS 3PTR by JACKSON,MARTISE",,,,,,,"MISS 3PTR by JACKSON,MARTISE",1
--,,,,,"REBOUND DEF by GARDNER,MAX",,,"REBOUND DEF by GARDNER,MAX",1
18:42,,,,,"MISS LAYUP by GOOLESBY,TATE",,,"MISS LAYUP by GOOLESBY,TATE",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
18:26,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by GARDNER,MAX",,,"REBOUND DEF by GARDNER,MAX",1
18:06,,,,,"MISS 3PTR by GOOLESBY,TATE",,,"MISS 3PTR by GOOLESBY,TATE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:02,,,,,"FOUL  by HAWKINS,DAQUAN",,,"FOUL  by HAWKINS,DAQUAN",1
17:38,"TURNOVER  by JACKSON,MARTISE",,,,,,,"TURNOVER  by JACKSON,MARTISE",1
17:23,,,,,"MISS LAYUP by JOHNS,NATE",,,"MISS LAYUP by JOHNS,NATE",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
17:13,"GOOD LAYUP by GLOVER,COLIN(fastbreak)(in the paint)",4 (+4),,0,,BIRMINGH 4-0 (+4),,"GOOD LAYUP by GLOVER,COLIN(fastbreak)(in the paint)",1
16:42,,,,,"MISS JUMPER by GARDNER,MAX",,,"MISS JUMPER by GARDNER,MAX",1
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",1
16:34,,,,,"FOUL  by JOHNS,NATE",,,"FOUL  by JOHNS,NATE",1
16:34,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",1
16:34,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
16:34,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
16:34,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
16:34,,,,,"SUB IN by DUMAS,CHASE",,,"SUB IN by DUMAS,CHASE",1
16:34,,,,,"SUB IN by KNOX,RASHAWN",,,"SUB IN by KNOX,RASHAWN",1
