Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
15:56,"SUB IN by DEAN,NOLAN",,,,,,,"SUB IN by DEAN,NOLAN",1
15:56,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",1
15:22,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
14:56,"GOOD JUMPER by DEAN,NOLAN(in the paint)",11 (+1),,10,,BSC 11-10 (+1),,"GOOD JUMPER by DEAN,NOLAN(in the paint)",1
14:42,,,,,"TURNOVER  by SEGALL,RYAN",,,"TURNOVER  by SEGALL,RYAN",1
14:42,"STEAL  by DAVIS,BRODY",,,,,,,"STEAL  by DAVIS,BRODY",1
14:37,"GOOD LAYUP by GILLISPIE,JAY(fastbreak)(in the paint)",13 (+3),,10,,BSC 13-10 (+3),,"GOOD LAYUP by GILLISPIE,JAY(fastbreak)(in the paint)",1
--,"ASSIST  by JACKSON,MARTISE",,,,,,,"ASSIST  by JACKSON,MARTISE",1
14:24,,,,,"MISS 3PTR by JOHNSON,MICHAEL",,,"MISS 3PTR by JOHNSON,MICHAEL",1
--,,,,,"REBOUND OFF by SEGALL,RYAN",,,"REBOUND OFF by SEGALL,RYAN",1
14:01,,13,,13,"GOOD 3PTR by CAMPBELL,BLAKE",Berry 13-13 (0),,"GOOD 3PTR by CAMPBELL,BLAKE",1
--,,,,,"ASSIST  by ELLIS,CHASE",,,"ASSIST  by ELLIS,CHASE",1
13:37,"GOOD 3PTR by GILLISPIE,JAY",16 (+3),,13,,BSC 16-13 (+3),,"GOOD 3PTR by GILLISPIE,JAY",1
--,"ASSIST  by PATRICK,DYLAN",,,,,,,"ASSIST  by PATRICK,DYLAN",1
13:22,,16 (+1),,15,"GOOD JUMPER by CAMPBELL,BLAKE(in the paint)",Berry 16-15 (+1),,"GOOD JUMPER by CAMPBELL,BLAKE(in the paint)",1
13:22,"FOUL  by DAVIS,BRODY",,,,,,,"FOUL  by DAVIS,BRODY",1
13:22,,,,,"MISS FT by CAMPBELL,BLAKE",,,"MISS FT by CAMPBELL,BLAKE",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
13:12,"GOOD LAYUP by PATRICK,DYLAN(in the paint)",18 (+3),,15,,BSC 18-15 (+3),,"GOOD LAYUP by PATRICK,DYLAN(in the paint)",1
--,"ASSIST  by DAVIS,BRODY",,,,,,,"ASSIST  by DAVIS,BRODY",1
12:50,,,,,"MISS JUMPER by JOHNSON,MICHAEL(in the paint)",,,"MISS JUMPER by JOHNSON,MICHAEL(in the paint)",1
12:50,"BLOCK  by DEAN,NOLAN",,,,,,,"BLOCK  by DEAN,NOLAN",1
--,,,,,"REBOUND OFF by JOHNSON,MICHAEL",,,"REBOUND OFF by JOHNSON,MICHAEL",1
12:43,,18 (+1),,17,"GOOD LAYUP by JOHNSON,MICHAEL(in the paint)",Berry 18-17 (+1),,"GOOD LAYUP by JOHNSON,MICHAEL(in the paint)",1
12:38,"MISS 3PTR by JACKSON,MARTISE",,,,,,,"MISS 3PTR by JACKSON,MARTISE",1
--,,,,,"REBOUND DEF by JOHNSON,MICHAEL",,,"REBOUND DEF by JOHNSON,MICHAEL",1
12:32,,18,,19 (+1),"GOOD DUNK by CAMPBELL,BLAKE(fastbreak)(in the paint)",Berry 18-19 (-1),,"GOOD DUNK by CAMPBELL,BLAKE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,MICHAEL",,,"ASSIST  by JOHNSON,MICHAEL",1
12:32,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
12:32,,,,,"SUB OUT by ELLIS,CHASE",,,"SUB OUT by ELLIS,CHASE",1
12:32,,,,,"SUB OUT by SEGALL,RYAN",,,"SUB OUT by SEGALL,RYAN",1
12:32,,,,,"SUB IN by BENHAM,BRAXTON",,,"SUB IN by BENHAM,BRAXTON",1
12:32,,,,,"SUB IN by CLARK,BRYCE",,,"SUB IN by CLARK,BRYCE",1
12:32,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
12:32,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
12:32,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
12:32,"SUB IN by SPENCE,SAMUEL",,,,,,,"SUB IN by SPENCE,SAMUEL",1
12:32,,18,,20 (+2),"GOOD FT by CAMPBELL,BLAKE(fastbreak)",Berry 18-20 (-2),,"GOOD FT by CAMPBELL,BLAKE(fastbreak)",1
12:18,"MISS LAYUP by DEAN,NOLAN(in the paint)",,,,,,,"MISS LAYUP by DEAN,NOLAN(in the paint)",1
12:18,,,,,"BLOCK  by CAMPBELL,BLAKE",,,"BLOCK  by CAMPBELL,BLAKE",1
--,"REBOUND OFF by DEAN,NOLAN",,,,,,,"REBOUND OFF by DEAN,NOLAN",1
12:13,"MISS LAYUP by DEAN,NOLAN(in the paint)",,,,,,,"MISS LAYUP by DEAN,NOLAN(in the paint)",1
--,,,,,"REBOUND DEF by CLARK,BRYCE",,,"REBOUND DEF by CLARK,BRYCE",1
12:05,"FOUL  by DAVIS,BRODY",,,,,,,"FOUL  by DAVIS,BRODY",1
12:05,,,,,"MISS FT by BENHAM,BRAXTON",,,"MISS FT by BENHAM,BRAXTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:05,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
12:05,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
12:05,,18,,21 (+3),"GOOD FT by BENHAM,BRAXTON",Berry 18-21 (-3),,"GOOD FT by BENHAM,BRAXTON",1
11:43,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
11:43,,,,,"BLOCK  by CLARK,BRYCE",,,"BLOCK  by CLARK,BRYCE",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
11:35,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"REBOUND DEF by JOHNSON,MICHAEL",,,"REBOUND DEF by JOHNSON,MICHAEL",1
11:17,,,,,"MISS LAYUP by CAMPBELL,BLAKE(in the paint)",,,"MISS LAYUP by CAMPBELL,BLAKE(in the paint)",1
--,"REBOUND DEF by SPENCE,SAMUEL",,,,,,,"REBOUND DEF by SPENCE,SAMUEL",1
11:11,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"REBOUND DEF by CLARK,BRYCE",,,"REBOUND DEF by CLARK,BRYCE",1
11:03,,,,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",1
11:03,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:03,,,,,"SUB OUT by KRUEGER,JORDAN",,,"SUB OUT by KRUEGER,JORDAN",1
11:03,,,,,"SUB OUT by CAMPBELL,BLAKE",,,"SUB OUT by CAMPBELL,BLAKE",1
11:03,,,,,"SUB OUT by JOHNSON,MICHAEL",,,"SUB OUT by JOHNSON,MICHAEL",1
11:03,,,,,"SUB IN by HONROTH,OWEN",,,"SUB IN by HONROTH,OWEN",1
