Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,MUW,Game Score,Team Indicator,Play,Period
19:44,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
19:24,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",2 (+2),,0,,BSC 2-0 (+2),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
19:01,,,,,"MISS JUMPER by WRIGHT,THOMAS(in the paint)",,,"MISS JUMPER by WRIGHT,THOMAS(in the paint)",1
--,"REBOUND DEF by BISHOP,BRYSON",,,,,,,"REBOUND DEF by BISHOP,BRYSON",1
18:36,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
18:31,,,,,"TURNOVER  by WERNER,CHARLIE",,,"TURNOVER  by WERNER,CHARLIE",1
18:31,"STEAL  by JACKSON,MARTISE",,,,,,,"STEAL  by JACKSON,MARTISE",1
18:31,,,,,"SUB OUT by WERNER,CHARLIE",,,"SUB OUT by WERNER,CHARLIE",1
18:31,,,,,"SUB IN by ZERADJANIN,MILOS",,,"SUB IN by ZERADJANIN,MILOS",1
18:28,,,,,"MISS JUMPER by HOPKINS,BRYE",,,"MISS JUMPER by HOPKINS,BRYE",1
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",1
18:20,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",1
18:10,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",1
18:10,,,,,"TURNOVER  by HOPKINS,BRYE",,,"TURNOVER  by HOPKINS,BRYE",1
18:06,"TURNOVER  by BISHOP,BRYSON",,,,,,,"TURNOVER  by BISHOP,BRYSON",1
17:52,,,,,"MISS LAYUP by WRIGHT,SHON(in the paint)",,,"MISS LAYUP by WRIGHT,SHON(in the paint)",1
--,,,,,"REBOUND OFF by WRIGHT,THOMAS",,,"REBOUND OFF by WRIGHT,THOMAS",1
17:44,,2,,2,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",MUW 2-2 (0),,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",1
17:25,"GOOD 3PTR by BISHOP,BRYSON",5 (+3),,2,,BSC 5-2 (+3),,"GOOD 3PTR by BISHOP,BRYSON",1
--,"ASSIST  by GLOVER,CAM",,,,,,,"ASSIST  by GLOVER,CAM",1
17:08,,,,,"MISS LAYUP by SHEPHERD,ANDREW(in the paint)",,,"MISS LAYUP by SHEPHERD,ANDREW(in the paint)",1
--,,,,,"REBOUND OFF by WRIGHT,THOMAS",,,"REBOUND OFF by WRIGHT,THOMAS",1
16:50,,5 (+1),,4,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",MUW 5-4 (+1),,"GOOD LAYUP by WRIGHT,THOMAS(in the paint)",1
16:48,,,,,"FOUL  by HOPKINS,BRYE",,,"FOUL  by HOPKINS,BRYE",1
16:44,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
16:41,,5,,7 (+2),"GOOD 3PTR by SHEPHERD,ANDREW",MUW 5-7 (-2),,"GOOD 3PTR by SHEPHERD,ANDREW",1
--,,,,,"ASSIST  by WRIGHT,SHON",,,"ASSIST  by WRIGHT,SHON",1
16:29,,,,,"FOUL  by WRIGHT,SHON",,,"FOUL  by WRIGHT,SHON",1
16:14,,,,,"MISS JUMPER by WRIGHT,THOMAS",,,"MISS JUMPER by WRIGHT,THOMAS",1
--,"REBOUND DEF by GLOVER,COLIN",,,,,,,"REBOUND DEF by GLOVER,COLIN",1
16:03,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:59,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
15:59,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
15:59,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",1
15:59,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
15:59,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
