Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:48,,0,,2 (+2),"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BSC 0-2 (+2),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
--,,,,,"ASSIST  by CHILDERS,JOSH",,,"ASSIST  by CHILDERS,JOSH",1
19:48,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
19:48,,0,,3 (+3),"GOOD FT by GILLISPIE,JAY",BSC 0-3 (+3),,"GOOD FT by GILLISPIE,JAY",1
19:33,"MISS LAYUP by WEAVER,BRADEN(in the paint)",,,,,,,"MISS LAYUP by WEAVER,BRADEN(in the paint)",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
19:23,"FOUL  by COBB,DANIEL",,,,,,,"FOUL  by COBB,DANIEL",1
19:23,,,,,"MISS FT by GLOVER,CAM",,,"MISS FT by GLOVER,CAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:23,,0,,4 (+4),"GOOD FT by GLOVER,CAM",BSC 0-4 (+4),,"GOOD FT by GLOVER,CAM",1
19:02,"MISS JUMPER by BERRY,COLTEN(in the paint)",,,,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
18:52,,0,,6 (+6),"GOOD JUMPER by JACKSON,MARTISE(in the paint)",BSC 0-6 (+6),,"GOOD JUMPER by JACKSON,MARTISE(in the paint)",1
18:33,"GOOD LAYUP by WEAVER,BRADEN(in the paint)",2,,6 (+4),,Hend 2-6 (+4),,"GOOD LAYUP by WEAVER,BRADEN(in the paint)",1
18:03,,,,,"TURNOVER  by CHILDERS,JOSH",,,"TURNOVER  by CHILDERS,JOSH",1
18:01,"GOOD LAYUP by COBB,DANIEL(in the paint)",4,,6 (+2),,Hend 4-6 (+2),,"GOOD LAYUP by COBB,DANIEL(in the paint)",1
18:01,,,,,"FOUL  by GREEN,KALEB",,,"FOUL  by GREEN,KALEB",1
18:01,"MISS FT by COBB,DANIEL",,,,,,,"MISS FT by COBB,DANIEL",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
18:01,,,,,"MISS 3PTR by JACKSON,MARTISE",,,"MISS 3PTR by JACKSON,MARTISE",1
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",1
17:24,"MISS LAYUP by WEAVER,BRADEN(in the paint)",,,,,,,"MISS LAYUP by WEAVER,BRADEN(in the paint)",1
--,,,,,"REBOUND DEF by GREEN,KALEB",,,"REBOUND DEF by GREEN,KALEB",1
17:14,,4,,8 (+4),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 4-8 (+4),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"ASSIST  by JACKSON,MARTISE",,,"ASSIST  by JACKSON,MARTISE",1
16:51,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",6,,8 (+2),,Hend 6-8 (+2),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
16:35,,,,,"MISS 3PTR by GILLISPIE,JAY",,,"MISS 3PTR by GILLISPIE,JAY",1
--,"REBOUND DEF by WEAVER,BRADEN",,,,,,,"REBOUND DEF by WEAVER,BRADEN",1
16:33,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",1
16:33,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
16:33,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",1
16:33,,,,,"SUB IN by PATRICK,DYLAN",,,"SUB IN by PATRICK,DYLAN",1
16:16,"MISS LAYUP by BERRY,COLTEN(in the paint)",,,,,,,"MISS LAYUP by BERRY,COLTEN(in the paint)",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
16:09,,,,,"MISS LAYUP by JACKSON,MARTISE(in the paint)",,,"MISS LAYUP by JACKSON,MARTISE(in the paint)",1
