Time Remaining,MSPM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
15:17,,,,,"FOUL  by COURSON,TYLER",,,"FOUL  by COURSON,TYLER",2
15:04,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by COURSON,TYLER",,,"REBOUND DEF by COURSON,TYLER",2
14:57,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",2
14:53,,,,,"MISS JUMPER by DAVIS,ALEX",,,"MISS JUMPER by DAVIS,ALEX",2
--,,,,,"REBOUND OFF by SMITH,CONNOR",,,"REBOUND OFF by SMITH,CONNOR",2
14:45,,,,,"MISS LAYUP by BATES,ROMELLO",,,"MISS LAYUP by BATES,ROMELLO",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
14:36,"GOOD JUMPER by MCELVEEN,MAC(in the paint)",43 (+9),,34,,MSPM 43-34 (+9),,"GOOD JUMPER by MCELVEEN,MAC(in the paint)",2
14:22,,,,,"MISS 3PTR by BATES,ROMELLO",,,"MISS 3PTR by BATES,ROMELLO",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
13:55,"SUB IN by DEILLIEU,RYAN",,,,,,,"SUB IN by DEILLIEU,RYAN",2
13:55,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
13:55,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",2
13:55,,,,,"SUB OUT by SMITH,CONNOR",,,"SUB OUT by SMITH,CONNOR",2
13:47,"MISS 3PTR by MCELVEEN,MAC",,,,,,,"MISS 3PTR by MCELVEEN,MAC",2
--,,,,,"REBOUND DEF by DAVIS,ALEX",,,"REBOUND DEF by DAVIS,ALEX",2
13:40,,,,,"MISS 3PTR by COURSON,TYLER",,,"MISS 3PTR by COURSON,TYLER",2
--,,,,,"REBOUND OFF by PERRY,WILL",,,"REBOUND OFF by PERRY,WILL",2
13:31,"FOUL  by MCELVEEN,MAC",,,,,,,"FOUL  by MCELVEEN,MAC",2
13:31,,43 (+8),,35,"GOOD FT by ROHLFS,VICTOR",OUM 43-35 (+8),,"GOOD FT by ROHLFS,VICTOR",2
13:31,,,,,"MISS FT by ROHLFS,VICTOR",,,"MISS FT by ROHLFS,VICTOR",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
13:31,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",2
13:31,,,,,"SUB OUT by COURSON,TYLER",,,"SUB OUT by COURSON,TYLER",2
13:18,"MISS LAYUP by ROBERTSON,MARC",,,,,,,"MISS LAYUP by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
13:10,,,,,"MISS 3PTR by ROHLFS,VICTOR",,,"MISS 3PTR by ROHLFS,VICTOR",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
12:54,,,,,"MISS JUMPER by DAVIS,ALEX",,,"MISS JUMPER by DAVIS,ALEX",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
12:46,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",2
12:46,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,2
12:46,,,,,FOUL  by TEAM,,,FOUL  by TEAM,2
12:46,"GOOD FT by ROBERTSON,MARC",44 (+9),,35,,MSPM 44-35 (+9),,"GOOD FT by ROBERTSON,MARC",2
12:46,"GOOD FT by ROBERTSON,MARC",45 (+10),,35,,MSPM 45-35 (+10),,"GOOD FT by ROBERTSON,MARC",2
12:46,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",2
12:46,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
12:46,,,,,"SUB IN by MARCO,JOE",,,"SUB IN by MARCO,JOE",2
12:46,,,,,"SUB IN by OVERSTREET,SEAN",,,"SUB IN by OVERSTREET,SEAN",2
12:46,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",2
12:46,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",2
12:20,,45 (+8),,37,"GOOD LAYUP by BATES,ROMELLO(in the paint)",OUM 45-37 (+8),,"GOOD LAYUP by BATES,ROMELLO(in the paint)",2
--,,,,,"ASSIST  by ROHLFS,VICTOR",,,"ASSIST  by ROHLFS,VICTOR",2
12:01,"MISS 3PTR by DEILLIEU,RYAN",,,,,,,"MISS 3PTR by DEILLIEU,RYAN",2
--,,,,,"REBOUND DEF by ROHLFS,VICTOR",,,"REBOUND DEF by ROHLFS,VICTOR",2
11:53,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",2
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",2
11:22,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",47 (+10),,37,,MSPM 47-37 (+10),,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",2
11:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:15,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",2
11:15,,,,,"SUB IN by COURSON,TYLER",,,"SUB IN by COURSON,TYLER",2
11:15,,,,,"SUB IN by DAVIS,ALEX",,,"SUB IN by DAVIS,ALEX",2
11:15,,,,,"SUB OUT by OVERSTREET,SEAN",,,"SUB OUT by OVERSTREET,SEAN",2
11:15,,,,,"SUB OUT by MARCO,JOE",,,"SUB OUT by MARCO,JOE",2
11:15,,,,,"SUB OUT by ROHLFS,VICTOR",,,"SUB OUT by ROHLFS,VICTOR",2
11:04,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",2
--,,,,,"REBOUND OFF by PERRY,WILL",,,"REBOUND OFF by PERRY,WILL",2
10:59,,,,,"MISS JUMPER by PERRY,WILL",,,"MISS JUMPER by PERRY,WILL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:58,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
10:58,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",2
10:45,"MISS JUMPER by MCELVEEN,MAC",,,,,,,"MISS JUMPER by MCELVEEN,MAC",2
--,,,,,"REBOUND DEF by BATES,ROMELLO",,,"REBOUND DEF by BATES,ROMELLO",2
10:37,,47 (+7),,40,"GOOD 3PTR by SMITH,CONNOR",OUM 47-40 (+7),,"GOOD 3PTR by SMITH,CONNOR",2
--,,,,,"ASSIST  by BATES,ROMELLO",,,"ASSIST  by BATES,ROMELLO",2
10:15,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
09:58,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",2
09:58,,47 (+6),,41,"GOOD FT by BATES,ROMELLO",OUM 47-41 (+6),,"GOOD FT by BATES,ROMELLO",2
09:58,,47 (+5),,42,"GOOD FT by BATES,ROMELLO",OUM 47-42 (+5),,"GOOD FT by BATES,ROMELLO",2
09:58,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
09:58,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
09:58,,,,,"SUB IN by ROHLFS,VICTOR",,,"SUB IN by ROHLFS,VICTOR",2
09:58,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",2
09:39,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
09:39,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
09:22,,47 (+3),,44,"GOOD JUMPER by DAVIS,ALEX",OUM 47-44 (+3),,"GOOD JUMPER by DAVIS,ALEX",2
08:57,"MISS 3PTR by BERGER,RYAN",,,,,,,"MISS 3PTR by BERGER,RYAN",2
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",2
08:54,,,,,"FOUL  by COURSON,TYLER",,,"FOUL  by COURSON,TYLER",2
08:54,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:54,"GOOD FT by GILLIGAN,TULLY",48 (+4),,44,,MSPM 48-44 (+4),,"GOOD FT by GILLIGAN,TULLY",2
08:54,"GOOD FT by GILLIGAN,TULLY",49 (+5),,44,,MSPM 49-44 (+5),,"GOOD FT by GILLIGAN,TULLY",2
08:40,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
08:40,,,,,"MISS FT by ROHLFS,VICTOR",,,"MISS FT by ROHLFS,VICTOR",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:40,,,,,"MISS FT by ROHLFS,VICTOR",,,"MISS FT by ROHLFS,VICTOR",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
08:06,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",2
08:05,,,,,"STEAL  by BATES,ROMELLO",,,"STEAL  by BATES,ROMELLO",2
07:56,,,,,"FOUL  by DAVIS,ALEX",,,"FOUL  by DAVIS,ALEX",2
07:56,,,,,"TURNOVER  by DAVIS,ALEX",,,"TURNOVER  by DAVIS,ALEX",2
07:27,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by ROHLFS,VICTOR",,,"REBOUND DEF by ROHLFS,VICTOR",2
07:20,,49 (+3),,46,"GOOD JUMPER by BATES,ROMELLO(fastbreak)(in the paint)",OUM 49-46 (+3),,"GOOD JUMPER by BATES,ROMELLO(fastbreak)(in the paint)",2
07:20,"FOUL  by DEILLIEU,RYAN",,,,,,,"FOUL  by DEILLIEU,RYAN",2
07:20,,49 (+2),,47,"GOOD FT by BATES,ROMELLO",OUM 49-47 (+2),,"GOOD FT by BATES,ROMELLO",2
07:20,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
07:20,"SUB OUT by DEILLIEU,RYAN",,,,,,,"SUB OUT by DEILLIEU,RYAN",2
06:45,,,,,"FOUL  by COURSON,TYLER",,,"FOUL  by COURSON,TYLER",2
06:45,"GOOD FT by GILLIGAN,TULLY",50 (+3),,47,,MSPM 50-47 (+3),,"GOOD FT by GILLIGAN,TULLY",2
06:45,"GOOD FT by GILLIGAN,TULLY",51 (+4),,47,,MSPM 51-47 (+4),,"GOOD FT by GILLIGAN,TULLY",2
06:45,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",2
06:45,,,,,"SUB OUT by COURSON,TYLER",,,"SUB OUT by COURSON,TYLER",2
06:34,,51 (+2),,49,"GOOD LAYUP by DAVIS,ALEX(in the paint)",OUM 51-49 (+2),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",2
06:34,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
06:34,,51 (+1),,50,"GOOD FT by DAVIS,ALEX",OUM 51-50 (+1),,"GOOD FT by DAVIS,ALEX",2
06:16,,,,,"FOUL  by BATES,ROMELLO",,,"FOUL  by BATES,ROMELLO",2
06:16,"GOOD FT by GILLIGAN,TULLY",52 (+2),,50,,MSPM 52-50 (+2),,"GOOD FT by GILLIGAN,TULLY",2
06:16,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
06:07,,,,,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
05:38,"GOOD JUMPER by MCELVEEN,MAC",54 (+4),,50,,MSPM 54-50 (+4),,"GOOD JUMPER by MCELVEEN,MAC",2
05:28,,,,,"MISS 3PTR by ROHLFS,VICTOR",,,"MISS 3PTR by ROHLFS,VICTOR",2
--,,,,,"REBOUND OFF by DAVIS,ALEX",,,"REBOUND OFF by DAVIS,ALEX",2
05:23,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
05:23,,,,,"MISS FT by DAVIS,ALEX",,,"MISS FT by DAVIS,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:23,,,,,"MISS FT by DAVIS,ALEX",,,"MISS FT by DAVIS,ALEX",2
--,,,,,"REBOUND OFF by DAVIS,ALEX",,,"REBOUND OFF by DAVIS,ALEX",2
05:23,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",2
05:23,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
05:15,,,,,"FOUL  by DAVIS,ALEX",,,"FOUL  by DAVIS,ALEX",2
05:15,,,,,"TURNOVER  by DAVIS,ALEX",,,"TURNOVER  by DAVIS,ALEX",2
05:15,,,,,"SUB IN by ROMAGUERA,COLE",,,"SUB IN by ROMAGUERA,COLE",2
05:15,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",2
04:46,"TURNOVER  by AUBERT,DUSTIN",,,,,,,"TURNOVER  by AUBERT,DUSTIN",2
04:45,,,,,"STEAL  by PERRY,WILL",,,"STEAL  by PERRY,WILL",2
04:38,,,,,"MISS JUMPER by SMITH,CONNOR",,,"MISS JUMPER by SMITH,CONNOR",2
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",2
04:22,"MISS JUMPER by MCELVEEN,MAC",,,,,,,"MISS JUMPER by MCELVEEN,MAC",2
--,,,,,"REBOUND DEF by ROHLFS,VICTOR",,,"REBOUND DEF by ROHLFS,VICTOR",2
04:06,"FOUL  by AUBERT,DUSTIN",,,,,,,"FOUL  by AUBERT,DUSTIN",2
04:06,,54 (+3),,51,"GOOD FT by BATES,ROMELLO",OUM 54-51 (+3),,"GOOD FT by BATES,ROMELLO",2
04:06,,54 (+2),,52,"GOOD FT by BATES,ROMELLO",OUM 54-52 (+2),,"GOOD FT by BATES,ROMELLO",2
04:06,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
04:06,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",2
04:06,,,,,"SUB IN by COURSON,TYLER",,,"SUB IN by COURSON,TYLER",2
04:06,,,,,"SUB IN by DAVIS,ALEX",,,"SUB IN by DAVIS,ALEX",2
04:06,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",2
04:06,,,,,"SUB OUT by ROMAGUERA,COLE",,,"SUB OUT by ROMAGUERA,COLE",2
03:43,,,,,"FOUL  by ROHLFS,VICTOR",,,"FOUL  by ROHLFS,VICTOR",2
03:43,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:43,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by DAVIS,ALEX",,,"REBOUND DEF by DAVIS,ALEX",2
03:31,,,,,"TURNOVER  by COURSON,TYLER",,,"TURNOVER  by COURSON,TYLER",2
03:31,"STEAL  by MCELVEEN,MAC",,,,,,,"STEAL  by MCELVEEN,MAC",2
03:28,"GOOD DUNK by MCELVEEN,MAC(fastbreak)(in the paint)",56 (+4),,52,,MSPM 56-52 (+4),,"GOOD DUNK by MCELVEEN,MAC(fastbreak)(in the paint)",2
03:28,,,,,"FOUL  by COURSON,TYLER",,,"FOUL  by COURSON,TYLER",2
03:28,"MISS FT by MCELVEEN,MAC",,,,,,,"MISS FT by MCELVEEN,MAC",2
--,,,,,"REBOUND DEF by ROHLFS,VICTOR",,,"REBOUND DEF by ROHLFS,VICTOR",2
03:28,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",2
03:28,,,,,"SUB OUT by COURSON,TYLER",,,"SUB OUT by COURSON,TYLER",2
03:27,"FOUL  by FREBIS,RONNIE",,,,,,,"FOUL  by FREBIS,RONNIE",2
03:27,,56 (+3),,53,"GOOD FT by ROHLFS,VICTOR",OUM 56-53 (+3),,"GOOD FT by ROHLFS,VICTOR",2
03:27,,56 (+2),,54,"GOOD FT by ROHLFS,VICTOR",OUM 56-54 (+2),,"GOOD FT by ROHLFS,VICTOR",2
02:56,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,"REBOUND OFF by FREBIS,RONNIE",,,,,,,"REBOUND OFF by FREBIS,RONNIE",2
02:32,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by ROHLFS,VICTOR",,,"REBOUND DEF by ROHLFS,VICTOR",2
02:22,,,,,"MISS JUMPER by DAVIS,ALEX",,,"MISS JUMPER by DAVIS,ALEX",2
--,"REBOUND DEF by MCELVEEN,MAC",,,,,,,"REBOUND DEF by MCELVEEN,MAC",2
01:59,,,,,"FOUL  by SMITH,CONNOR",,,"FOUL  by SMITH,CONNOR",2
01:59,"MISS FT by MCELVEEN,MAC",,,,,,,"MISS FT by MCELVEEN,MAC",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:59,"GOOD FT by MCELVEEN,MAC",57 (+3),,54,,MSPM 57-54 (+3),,"GOOD FT by MCELVEEN,MAC",2
01:33,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",2
01:33,,57 (+2),,55,"GOOD FT by ROHLFS,VICTOR",OUM 57-55 (+2),,"GOOD FT by ROHLFS,VICTOR",2
01:33,,57 (+1),,56,"GOOD FT by ROHLFS,VICTOR",OUM 57-56 (+1),,"GOOD FT by ROHLFS,VICTOR",2
01:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:08,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",2
01:08,,,,,"STEAL  by PERRY,WILL",,,"STEAL  by PERRY,WILL",2
01:08,"FOUL  by MCELVEEN,MAC",,,,,,,"FOUL  by MCELVEEN,MAC",2
01:08,,,,,"MISS FT by PERRY,WILL",,,"MISS FT by PERRY,WILL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:08,,,,,"MISS FT by PERRY,WILL",,,"MISS FT by PERRY,WILL",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
01:00,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
00:52,,,,,"FOUL  by BATES,ROMELLO",,,"FOUL  by BATES,ROMELLO",2
00:52,,,,,"TURNOVER  by BATES,ROMELLO",,,"TURNOVER  by BATES,ROMELLO",2
00:31,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:22,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by BATES,ROMELLO",,,"REBOUND DEF by BATES,ROMELLO",2
00:19,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
00:19,,,,,"MISS FT by BATES,ROMELLO",,,"MISS FT by BATES,ROMELLO",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:19,,57,,57,"GOOD FT by BATES,ROMELLO",OUM 57-57 (0),,"GOOD FT by BATES,ROMELLO",2
00:19,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:11,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
00:03,,,,,"MISS LAYUP by ROHLFS,VICTOR",,,"MISS LAYUP by ROHLFS,VICTOR",2
--,,,,,"REBOUND OFF by PERRY,WILL",,,"REBOUND OFF by PERRY,WILL",2
00:01,,,,,"MISS TIPIN by PERRY,WILL",,,"MISS TIPIN by PERRY,WILL",2
--,"REBOUND DEF by MCELVEEN,MAC",,,,,,,"REBOUND DEF by MCELVEEN,MAC",2
05:00,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",3
05:00,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",3
05:00,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",3
05:00,,,,,"SUB IN by BATES,ROMELLO",,,"SUB IN by BATES,ROMELLO",3
05:00,,,,,"SUB OUT by COURSON,TYLER",,,"SUB OUT by COURSON,TYLER",3
05:00,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",3
04:44,,,,,"FOUL  by ROHLFS,VICTOR",,,"FOUL  by ROHLFS,VICTOR",3
04:44,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",3
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,3
04:44,"GOOD FT by GILLIGAN,TULLY",58 (+1),,57,,MSPM 58-57 (+1),,"GOOD FT by GILLIGAN,TULLY",3
04:23,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",3
--,,,,,"REBOUND OFF by BATES,ROMELLO",,,"REBOUND OFF by BATES,ROMELLO",3
04:19,,58,,59 (+1),"GOOD JUMPER by BATES,ROMELLO(in the paint)",OUM 58-59 (-1),,"GOOD JUMPER by BATES,ROMELLO(in the paint)",3
03:51,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",3
03:49,,,,,"STEAL  by ROHLFS,VICTOR",,,"STEAL  by ROHLFS,VICTOR",3
03:43,,58,,61 (+3),"GOOD LAYUP by DAVIS,ALEX(in the paint)",OUM 58-61 (-3),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",3
--,,,,,"ASSIST  by ROHLFS,VICTOR",,,"ASSIST  by ROHLFS,VICTOR",3
03:16,"MISS LAYUP by KASTNER,MURRAY",,,,,,,"MISS LAYUP by KASTNER,MURRAY",3
03:16,,,,,"BLOCK  by ROHLFS,VICTOR",,,"BLOCK  by ROHLFS,VICTOR",3
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",3
03:11,,58,,63 (+5),"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",OUM 58-63 (-5),,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",3
02:45,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",3
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",3
02:40,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",60,,63 (+3),,MSPM 60-63 (-3),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",3
02:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
02:40,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",3
02:40,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",3
02:32,,,,,"TURNOVER  by BATES,ROMELLO",,,"TURNOVER  by BATES,ROMELLO",3
02:32,"STEAL  by MCELVEEN,MAC",,,,,,,"STEAL  by MCELVEEN,MAC",3
02:26,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",62,,63 (+1),,MSPM 62-63 (-1),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",3
--,"ASSIST  by MCELVEEN,MAC",,,,,,,"ASSIST  by MCELVEEN,MAC",3
02:01,,,,,"MISS 3PTR by ROHLFS,VICTOR",,,"MISS 3PTR by ROHLFS,VICTOR",3
--,,,,,"REBOUND OFF by DAVIS,ALEX",,,"REBOUND OFF by DAVIS,ALEX",3
01:25,,,,,"MISS LAYUP by PERRY,WILL",,,"MISS LAYUP by PERRY,WILL",3
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",3
01:05,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
01:03,"FOUL  by MCELVEEN,MAC",,,,,,,"FOUL  by MCELVEEN,MAC",3
01:03,,62,,64 (+2),"GOOD FT by ROHLFS,VICTOR",OUM 62-64 (-2),,"GOOD FT by ROHLFS,VICTOR",3
01:03,,62,,65 (+3),"GOOD FT by ROHLFS,VICTOR",OUM 62-65 (-3),,"GOOD FT by ROHLFS,VICTOR",3
00:47,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",3
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",3
00:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
00:28,"FOUL  by MCELVEEN,MAC",,,,,,,"FOUL  by MCELVEEN,MAC",3
00:28,,62,,66 (+4),"GOOD FT by BATES,ROMELLO",OUM 62-66 (-4),,"GOOD FT by BATES,ROMELLO",3
00:28,,,,,"MISS FT by BATES,ROMELLO",,,"MISS FT by BATES,ROMELLO",3
--,,,,,"REBOUND OFF by ROHLFS,VICTOR",,,"REBOUND OFF by ROHLFS,VICTOR",3
00:20,,,,,"TURNOVER  by ROHLFS,VICTOR",,,"TURNOVER  by ROHLFS,VICTOR",3
00:19,"STEAL  by MCELVEEN,MAC",,,,,,,"STEAL  by MCELVEEN,MAC",3
00:16,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",3
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",3
00:13,"GOOD TIPIN by BERGER,RYAN(fastbreak)(in the paint)",64,,66 (+2),,MSPM 64-66 (-2),,"GOOD TIPIN by BERGER,RYAN(fastbreak)(in the paint)",3
00:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
00:07,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",3
00:07,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",3
00:06,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",3
00:06,,,,,"MISS FT by BATES,ROMELLO",,,"MISS FT by BATES,ROMELLO",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
