Time Remaining,STOCKTON,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
16:41,,,,,"MISS LAYUP by FREBIS,RONNIE",,,"MISS LAYUP by FREBIS,RONNIE",1
16:41,"BLOCK  by USUWA,NNAMDI",,,,,,,"BLOCK  by USUWA,NNAMDI",1
--,"REBOUND DEF by JOHNSON,KEVIN",,,,,,,"REBOUND DEF by JOHNSON,KEVIN",1
16:35,"MISS LAYUP by JOHNSON,KEVIN",,,,,,,"MISS LAYUP by JOHNSON,KEVIN",1
--,"REBOUND OFF by USUWA,NNAMDI",,,,,,,"REBOUND OFF by USUWA,NNAMDI",1
16:32,"GOOD JUMPER by USUWA,NNAMDI",8,,8,,STOCKTON 8-8 (0),,"GOOD JUMPER by USUWA,NNAMDI",1
16:06,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
16:05,"STEAL  by BLAMON,JOSH",,,,,,,"STEAL  by BLAMON,JOSH",1
16:01,"MISS LAYUP by JOHNSON,RAMEEL",,,,,,,"MISS LAYUP by JOHNSON,RAMEEL",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
15:55,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,"REBOUND DEF by BLAMON,JOSH",,,,,,,"REBOUND DEF by BLAMON,JOSH",1
15:46,"MISS 3PTR by BLAMON,JOSH",,,,,,,"MISS 3PTR by BLAMON,JOSH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:42,"SUB IN by WILLIAMS,JAMES",,,,,,,"SUB IN by WILLIAMS,JAMES",1
15:42,"SUB IN by WOODARD,ANTHONY",,,,,,,"SUB IN by WOODARD,ANTHONY",1
15:42,"SUB OUT by USUWA,NNAMDI",,,,,,,"SUB OUT by USUWA,NNAMDI",1
15:42,"SUB OUT by BLAMON,JOSH",,,,,,,"SUB OUT by BLAMON,JOSH",1
15:42,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
15:42,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
15:42,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
15:42,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
15:12,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
15:07,"FOUL  by JOHNSON,KEVIN",,,,,,,"FOUL  by JOHNSON,KEVIN",1
15:07,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:07,,8,,9 (+1),"GOOD FT by GERCHOW,ALEX",MILLSAPS 8-9 (+1),,"GOOD FT by GERCHOW,ALEX",1
14:50,"GOOD JUMPER by WOODARD,ANTHONY(in the paint)",10 (+1),,9,,STOCKTON 10-9 (-1),,"GOOD JUMPER by WOODARD,ANTHONY(in the paint)",1
14:49,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
14:49,"MISS FT by WOODARD,ANTHONY",,,,,,,"MISS FT by WOODARD,ANTHONY",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
14:49,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
14:49,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
14:49,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
14:49,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
14:19,,10,,11 (+1),"GOOD JUMPER by KASTNER,MURRAY",MILLSAPS 10-11 (+1),,"GOOD JUMPER by KASTNER,MURRAY",1
14:05,"TURNOVER  by JOHNSON,KEVIN",,,,,,,"TURNOVER  by JOHNSON,KEVIN",1
14:04,,,,,"STEAL  by MCELVEEN,MAC",,,"STEAL  by MCELVEEN,MAC",1
13:48,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",1
13:45,,,,,"MISS JUMPER by MCELVEEN,MAC",,,"MISS JUMPER by MCELVEEN,MAC",1
--,"REBOUND DEF by JOHNSON,RAMEEL",,,,,,,"REBOUND DEF by JOHNSON,RAMEEL",1
13:36,"GOOD 3PTR by JOHNSON,KEVIN",13 (+2),,11,,STOCKTON 13-11 (-2),,"GOOD 3PTR by JOHNSON,KEVIN",1
13:13,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",1
--,"REBOUND DEF by JOHNSON,RAMEEL",,,,,,,"REBOUND DEF by JOHNSON,RAMEEL",1
13:04,"MISS 3PTR by WILLIAMS,JAMES",,,,,,,"MISS 3PTR by WILLIAMS,JAMES",1
--,"REBOUND OFF by JOHNSON,RAMEEL",,,,,,,"REBOUND OFF by JOHNSON,RAMEEL",1
12:56,"MISS LAYUP by JOHNSON,KEVIN",,,,,,,"MISS LAYUP by JOHNSON,KEVIN",1
--,"REBOUND OFF by WOODARD,ANTHONY",,,,,,,"REBOUND OFF by WOODARD,ANTHONY",1
12:55,"GOOD JUMPER by WOODARD,ANTHONY(in the paint)",15 (+4),,11,,STOCKTON 15-11 (-4),,"GOOD JUMPER by WOODARD,ANTHONY(in the paint)",1
12:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:49,"SUB IN by USUWA,NNAMDI",,,,,,,"SUB IN by USUWA,NNAMDI",1
12:49,"SUB IN by BLAMON,JOSH",,,,,,,"SUB IN by BLAMON,JOSH",1
12:49,"SUB IN by PERRY,MIKE",,,,,,,"SUB IN by PERRY,MIKE",1
12:49,"SUB OUT by SUHR,RICH",,,,,,,"SUB OUT by SUHR,RICH",1
12:49,"SUB OUT by JOHNSON,RAMEEL",,,,,,,"SUB OUT by JOHNSON,RAMEEL",1
12:49,"SUB OUT by JOHNSON,KEVIN",,,,,,,"SUB OUT by JOHNSON,KEVIN",1
12:49,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
12:49,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
12:27,,,,,"MISS JUMPER by FREBIS,RONNIE",,,"MISS JUMPER by FREBIS,RONNIE",1
12:27,"BLOCK  by USUWA,NNAMDI",,,,,,,"BLOCK  by USUWA,NNAMDI",1
--,"REBOUND DEF by WILLIAMS,JAMES",,,,,,,"REBOUND DEF by WILLIAMS,JAMES",1
12:22,"GOOD LAYUP by WILLIAMS,JAMES(in the paint)",17 (+6),,11,,STOCKTON 17-11 (-6),,"GOOD LAYUP by WILLIAMS,JAMES(in the paint)",1
11:50,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:27,"MISS 3PTR by WILLIAMS,JAMES",,,,,,,"MISS 3PTR by WILLIAMS,JAMES",1
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",1
11:02,,17 (+3),,14,"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 17-14 (-3),,"GOOD 3PTR by KASTNER,MURRAY",1
--,,,,,"ASSIST  by GERCHOW,ALEX",,,"ASSIST  by GERCHOW,ALEX",1
10:43,"TURNOVER  by USUWA,NNAMDI",,,,,,,"TURNOVER  by USUWA,NNAMDI",1
10:43,"FOUL  by USUWA,NNAMDI",,,,,,,"FOUL  by USUWA,NNAMDI",1
10:43,"SUB IN by JOHNSON,RAMEEL",,,,,,,"SUB IN by JOHNSON,RAMEEL",1
10:43,"SUB OUT by WOODARD,ANTHONY",,,,,,,"SUB OUT by WOODARD,ANTHONY",1
10:43,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
10:43,,,,,"SUB IN by HANTSAD,RAJAN",,,"SUB IN by HANTSAD,RAJAN",1
10:43,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
10:43,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
10:23,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",1
10:22,"STEAL  by JOHNSON,RAMEEL",,,,,,,"STEAL  by JOHNSON,RAMEEL",1
10:20,"MISS LAYUP by JOHNSON,RAMEEL",,,,,,,"MISS LAYUP by JOHNSON,RAMEEL",1
--,"REBOUND OFF by USUWA,NNAMDI",,,,,,,"REBOUND OFF by USUWA,NNAMDI",1
10:17,"GOOD TIPIN by USUWA,NNAMDI(in the paint)",19 (+5),,14,,STOCKTON 19-14 (-5),,"GOOD TIPIN by USUWA,NNAMDI(in the paint)",1
09:53,,,,,"MISS JUMPER by MCELVEEN,MAC",,,"MISS JUMPER by MCELVEEN,MAC",1
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",1
09:50,,19 (+3),,16,"GOOD JUMPER by FREBIS,RONNIE(in the paint)",MILLSAPS 19-16 (-3),,"GOOD JUMPER by FREBIS,RONNIE(in the paint)",1
09:33,"GOOD JUMPER by JOHNSON,RAMEEL",21 (+5),,16,,STOCKTON 21-16 (-5),,"GOOD JUMPER by JOHNSON,RAMEEL",1
09:16,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",1
09:16,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",1
09:16,,,,,"SUB IN by DEILLIEU,RYAN",,,"SUB IN by DEILLIEU,RYAN",1
09:16,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
08:58,"MISS 3PTR by BLAMON,JOSH",,,,,,,"MISS 3PTR by BLAMON,JOSH",1
--,"REBOUND OFF by USUWA,NNAMDI",,,,,,,"REBOUND OFF by USUWA,NNAMDI",1
08:53,"SUB IN by SUHR,RICH",,,,,,,"SUB IN by SUHR,RICH",1
08:53,"SUB IN by JOHNSON,KEVIN",,,,,,,"SUB IN by JOHNSON,KEVIN",1
08:53,"SUB OUT by WILLIAMS,JAMES",,,,,,,"SUB OUT by WILLIAMS,JAMES",1
08:53,"SUB OUT by PERRY,MIKE",,,,,,,"SUB OUT by PERRY,MIKE",1
08:52,"GOOD LAYUP by USUWA,NNAMDI(in the paint)",23 (+7),,16,,STOCKTON 23-16 (-7),,"GOOD LAYUP by USUWA,NNAMDI(in the paint)",1
--,"ASSIST  by BLAMON,JOSH",,,,,,,"ASSIST  by BLAMON,JOSH",1
08:23,,,,,"TURNOVER  by DEILLIEU,RYAN",,,"TURNOVER  by DEILLIEU,RYAN",1
08:23,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
08:23,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
08:23,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
08:23,,,,,"SUB OUT by HANTSAD,RAJAN",,,"SUB OUT by HANTSAD,RAJAN",1
08:11,"GOOD 3PTR by SUHR,RICH",26 (+10),,16,,STOCKTON 26-16 (-10),,"GOOD 3PTR by SUHR,RICH",1
--,"ASSIST  by BLAMON,JOSH",,,,,,,"ASSIST  by BLAMON,JOSH",1
07:40,,26 (+8),,18,"GOOD JUMPER by FREBIS,RONNIE(in the paint)",MILLSAPS 26-18 (-8),,"GOOD JUMPER by FREBIS,RONNIE(in the paint)",1
07:13,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
07:13,"GOOD FT by BLAMON,JOSH",27 (+9),,18,,STOCKTON 27-18 (-9),,"GOOD FT by BLAMON,JOSH",1
07:13,"GOOD FT by BLAMON,JOSH",28 (+10),,18,,STOCKTON 28-18 (-10),,"GOOD FT by BLAMON,JOSH",1
07:02,,,,,"TURNOVER  by DEILLIEU,RYAN",,,"TURNOVER  by DEILLIEU,RYAN",1
07:01,"STEAL  by JOHNSON,RAMEEL",,,,,,,"STEAL  by JOHNSON,RAMEEL",1
06:54,"GOOD LAYUP by JOHNSON,RAMEEL(in the paint)",30 (+12),,18,,STOCKTON 30-18 (-12),,"GOOD LAYUP by JOHNSON,RAMEEL(in the paint)",1
06:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:54,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
06:54,,,,,"SUB OUT by DEILLIEU,RYAN",,,"SUB OUT by DEILLIEU,RYAN",1
06:20,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
06:20,"BLOCK  by USUWA,NNAMDI",,,,,,,"BLOCK  by USUWA,NNAMDI",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:03,"MISS 3PTR by BLAMON,JOSH",,,,,,,"MISS 3PTR by BLAMON,JOSH",1
--,"REBOUND OFF by USUWA,NNAMDI",,,,,,,"REBOUND OFF by USUWA,NNAMDI",1
05:57,"GOOD LAYUP by BLAMON,JOSH(in the paint)",32 (+14),,18,,STOCKTON 32-18 (-14),,"GOOD LAYUP by BLAMON,JOSH(in the paint)",1
--,"ASSIST  by JOHNSON,RAMEEL",,,,,,,"ASSIST  by JOHNSON,RAMEEL",1
05:48,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
05:48,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
05:48,,,,,"SUB IN by FILLINGIM,DANIEL",,,"SUB IN by FILLINGIM,DANIEL",1
05:48,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
05:48,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
05:33,"MISS 3PTR by SUHR,RICH",,,,,,,"MISS 3PTR by SUHR,RICH",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
05:08,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
05:07,"STEAL  by BLAMON,JOSH",,,,,,,"STEAL  by BLAMON,JOSH",1
05:05,"GOOD LAYUP by BLAMON,JOSH(fastbreak)(in the paint)",34 (+16),,18,,STOCKTON 34-18 (-16),,"GOOD LAYUP by BLAMON,JOSH(fastbreak)(in the paint)",1
04:24,,34 (+14),,20,"GOOD JUMPER by BERGER,RYAN",MILLSAPS 34-20 (-14),,"GOOD JUMPER by BERGER,RYAN",1
04:02,"MISS 3PTR by SUHR,RICH",,,,,,,"MISS 3PTR by SUHR,RICH",1
--,,,,,"REBOUND DEF by FILLINGIM,DANIEL",,,"REBOUND DEF by FILLINGIM,DANIEL",1
03:56,,,,,"MISS LAYUP by ROBERTSON,MARC",,,"MISS LAYUP by ROBERTSON,MARC",1
03:56,"BLOCK  by JOHNSON,KEVIN",,,,,,,"BLOCK  by JOHNSON,KEVIN",1
--,"REBOUND DEF by SUHR,RICH",,,,,,,"REBOUND DEF by SUHR,RICH",1
03:49,"MISS JUMPER by BLAMON,JOSH",,,,,,,"MISS JUMPER by BLAMON,JOSH",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
03:46,"FOUL  by USUWA,NNAMDI",,,,,,,"FOUL  by USUWA,NNAMDI",1
03:46,"SUB IN by WILLIAMS,JAMES",,,,,,,"SUB IN by WILLIAMS,JAMES",1
03:46,"SUB IN by WOODARD,ANTHONY",,,,,,,"SUB IN by WOODARD,ANTHONY",1
03:46,"SUB OUT by USUWA,NNAMDI",,,,,,,"SUB OUT by USUWA,NNAMDI",1
03:46,"SUB OUT by BLAMON,JOSH",,,,,,,"SUB OUT by BLAMON,JOSH",1
03:46,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
03:46,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
03:30,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
03:24,,34 (+12),,22,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",MILLSAPS 34-22 (-12),,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",1
03:07,"TURNOVER  by JOHNSON,KEVIN",,,,,,,"TURNOVER  by JOHNSON,KEVIN",1
03:06,,,,,"STEAL  by FILLINGIM,DANIEL",,,"STEAL  by FILLINGIM,DANIEL",1
03:00,"FOUL  by JOHNSON,KEVIN",,,,,,,"FOUL  by JOHNSON,KEVIN",1
03:00,"SUB IN by PERRY,MIKE",,,,,,,"SUB IN by PERRY,MIKE",1
03:00,"SUB OUT by JOHNSON,KEVIN",,,,,,,"SUB OUT by JOHNSON,KEVIN",1
02:50,,34 (+9),,25,"GOOD 3PTR by FILLINGIM,DANIEL",MILLSAPS 34-25 (-9),,"GOOD 3PTR by FILLINGIM,DANIEL",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
02:28,"MISS 3PTR by SUHR,RICH",,,,,,,"MISS 3PTR by SUHR,RICH",1
--,,,,,"REBOUND DEF by KASTNER,MURRAY",,,"REBOUND DEF by KASTNER,MURRAY",1
02:17,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
02:10,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
01:44,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,"REBOUND DEF by JOHNSON,RAMEEL",,,,,,,"REBOUND DEF by JOHNSON,RAMEEL",1
01:33,"GOOD 3PTR by WILLIAMS,JAMES",37 (+12),,25,,STOCKTON 37-25 (-12),,"GOOD 3PTR by WILLIAMS,JAMES",1
--,"ASSIST  by PERRY,MIKE",,,,,,,"ASSIST  by PERRY,MIKE",1
00:49,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
00:48,"STEAL  by WOODARD,ANTHONY",,,,,,,"STEAL  by WOODARD,ANTHONY",1
00:41,"MISS LAYUP by JOHNSON,RAMEEL",,,,,,,"MISS LAYUP by JOHNSON,RAMEEL",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
00:06,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:56,"MISS JUMPER by SUHR,RICH",,,,,,,"MISS JUMPER by SUHR,RICH",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
19:36,,37 (+10),,27,"GOOD JUMPER by FREBIS,RONNIE",MILLSAPS 37-27 (-10),,"GOOD JUMPER by FREBIS,RONNIE",2
19:17,"MISS 3PTR by BLAMON,JOSH",,,,,,,"MISS 3PTR by BLAMON,JOSH",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
18:50,"FOUL  by BLAMON,JOSH",,,,,,,"FOUL  by BLAMON,JOSH",2
18:50,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:50,,37 (+9),,28,"GOOD FT by BERGER,RYAN",MILLSAPS 37-28 (-9),,"GOOD FT by BERGER,RYAN",2
18:32,"MISS LAYUP by USUWA,NNAMDI",,,,,,,"MISS LAYUP by USUWA,NNAMDI",2
--,"REBOUND OFF by USUWA,NNAMDI",,,,,,,"REBOUND OFF by USUWA,NNAMDI",2
18:30,"GOOD JUMPER by USUWA,NNAMDI(in the paint)",39 (+11),,28,,STOCKTON 39-28 (-11),,"GOOD JUMPER by USUWA,NNAMDI(in the paint)",2
18:13,,,,,"MISS 3PTR by BERGER,RYAN",,,"MISS 3PTR by BERGER,RYAN",2
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",2
17:51,,,,,"MISS 3PTR by FREBIS,RONNIE",,,"MISS 3PTR by FREBIS,RONNIE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
17:22,"MISS LAYUP by BLAMON,JOSH",,,,,,,"MISS LAYUP by BLAMON,JOSH",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
17:04,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND DEF by SUHR,RICH",,,,,,,"REBOUND DEF by SUHR,RICH",2
16:47,"TURNOVER  by JOHNSON,RAMEEL",,,,,,,"TURNOVER  by JOHNSON,RAMEEL",2
16:47,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
16:47,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",2
16:47,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
16:47,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",2
16:47,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
16:47,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
16:28,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",2
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",2
16:14,,39 (+8),,31,"GOOD 3PTR by MCELVEEN,MAC",MILLSAPS 39-31 (-8),,"GOOD 3PTR by MCELVEEN,MAC",2
--,,,,,"ASSIST  by GERCHOW,ALEX",,,"ASSIST  by GERCHOW,ALEX",2
15:52,"GOOD LAYUP by USUWA,NNAMDI(in the paint)",41 (+10),,31,,STOCKTON 41-31 (-10),,"GOOD LAYUP by USUWA,NNAMDI(in the paint)",2
--,"ASSIST  by SUHR,RICH",,,,,,,"ASSIST  by SUHR,RICH",2
15:22,,41 (+8),,33,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 41-33 (-8),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",2
15:20,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",2
15:20,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",2
15:20,"SUB IN by WILLIAMS,JAMES",,,,,,,"SUB IN by WILLIAMS,JAMES",2
15:20,"SUB OUT by JOHNSON,RAMEEL",,,,,,,"SUB OUT by JOHNSON,RAMEEL",2
15:08,"GOOD JUMPER by WILLIAMS,JAMES",43 (+10),,33,,STOCKTON 43-33 (-10),,"GOOD JUMPER by WILLIAMS,JAMES",2
--,"ASSIST  by JOHNSON,KEVIN",,,,,,,"ASSIST  by JOHNSON,KEVIN",2
14:51,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",2
--,"REBOUND DEF by JOHNSON,KEVIN",,,,,,,"REBOUND DEF by JOHNSON,KEVIN",2
