Time Remaining,CENTMEN,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
16:45,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
16:45,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
16:38,"MISS 3PTR by BLOUNT,JONATHAN",,,,,,,"MISS 3PTR by BLOUNT,JONATHAN",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
16:15,,,,,"MISS LAYUP by AUBERT,DUSTIN",,,"MISS LAYUP by AUBERT,DUSTIN",1
16:15,"BLOCK  by DEMOUCHET,KENDALL",,,,,,,"BLOCK  by DEMOUCHET,KENDALL",1
--,"REBOUND DEF by WILLIAMS,DONOVAN",,,,,,,"REBOUND DEF by WILLIAMS,DONOVAN",1
16:07,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
16:07,"MISS FT by CHERAMIE,CADEN",,,,,,,"MISS FT by CHERAMIE,CADEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:07,"MISS FT by CHERAMIE,CADEN",,,,,,,"MISS FT by CHERAMIE,CADEN",1
16:07,"MISS FT by CHERAMIE,CADEN",,,,,,,"MISS FT by CHERAMIE,CADEN",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
15:49,,4,,7 (+3),"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 4-7 (+3),,"GOOD 3PTR by KASTNER,MURRAY",1
15:35,"MISS 3PTR by CHERAMIE,CADEN",,,,,,,"MISS 3PTR by CHERAMIE,CADEN",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
15:24,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
15:24,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
15:17,"SUB IN by PAWSAT,BROOKS",,,,,,,"SUB IN by PAWSAT,BROOKS",1
15:17,"SUB OUT by CHERAMIE,CADEN",,,,,,,"SUB OUT by CHERAMIE,CADEN",1
15:17,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
15:17,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
14:49,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",1
--,"REBOUND DEF by PAWSAT,BROOKS",,,,,,,"REBOUND DEF by PAWSAT,BROOKS",1
14:41,"TURNOVER  by BLOUNT,JONATHAN",,,,,,,"TURNOVER  by BLOUNT,JONATHAN",1
14:39,,,,,"STEAL  by GERCHOW,ALEX",,,"STEAL  by GERCHOW,ALEX",1
14:21,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,"REBOUND DEF by DEMOUCHET,KENDALL",,,,,,,"REBOUND DEF by DEMOUCHET,KENDALL",1
14:06,"GOOD JUMPER by DEMOUCHET,KENDALL",6,,7 (+1),,CENTMEN 6-7 (+1),,"GOOD JUMPER by DEMOUCHET,KENDALL",1
13:41,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
13:39,"FOUL  by PAWSAT,BROOKS",,,,,,,"FOUL  by PAWSAT,BROOKS",1
13:39,"SUB IN by SAPP,JAMES",,,,,,,"SUB IN by SAPP,JAMES",1
13:39,"SUB IN by WHITAKER,ISAIAH",,,,,,,"SUB IN by WHITAKER,ISAIAH",1
13:39,"SUB OUT by WILLIAMS,DONOVAN",,,,,,,"SUB OUT by WILLIAMS,DONOVAN",1
13:39,"SUB OUT by BROWNING,JAIRUS",,,,,,,"SUB OUT by BROWNING,JAIRUS",1
13:39,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
13:39,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
13:36,,,,,"TURNOVER  by FREBIS,RONNIE",,,"TURNOVER  by FREBIS,RONNIE",1
13:21,"MISS JUMPER by DEMOUCHET,KENDALL",,,,,,,"MISS JUMPER by DEMOUCHET,KENDALL",1
--,"REBOUND OFF by SAPP,JAMES",,,,,,,"REBOUND OFF by SAPP,JAMES",1
13:15,"MISS JUMPER by PAWSAT,BROOKS",,,,,,,"MISS JUMPER by PAWSAT,BROOKS",1
--,"REBOUND OFF by DEMOUCHET,KENDALL",,,,,,,"REBOUND OFF by DEMOUCHET,KENDALL",1
13:12,"GOOD LAYUP by DEMOUCHET,KENDALL(in the paint)",8 (+1),,7,,CENTMEN 8-7 (-1),,"GOOD LAYUP by DEMOUCHET,KENDALL(in the paint)",1
13:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:45,,8,,10 (+2),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 8-10 (+2),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
12:35,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",1
12:20,"TURNOVER  by PAWSAT,BROOKS",,,,,,,"TURNOVER  by PAWSAT,BROOKS",1
12:18,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",1
12:17,"SUB IN by CUETO,JUSTIN",,,,,,,"SUB IN by CUETO,JUSTIN",1
12:17,"SUB OUT by PAWSAT,BROOKS",,,,,,,"SUB OUT by PAWSAT,BROOKS",1
12:17,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
12:17,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
12:00,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,"REBOUND DEF by DEMOUCHET,KENDALL",,,,,,,"REBOUND DEF by DEMOUCHET,KENDALL",1
11:52,"TURNOVER  by DEMOUCHET,KENDALL",,,,,,,"TURNOVER  by DEMOUCHET,KENDALL",1
11:51,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",1
11:49,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",1
11:49,"BLOCK  by SAPP,JAMES",,,,,,,"BLOCK  by SAPP,JAMES",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:36,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",1
11:30,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by DEMOUCHET,KENDALL",,,,,,,"REBOUND DEF by DEMOUCHET,KENDALL",1
11:20,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",1
11:20,"SUB IN by WILLIAMS,DONOVAN",,,,,,,"SUB IN by WILLIAMS,DONOVAN",1
11:20,"SUB OUT by DEMOUCHET,KENDALL",,,,,,,"SUB OUT by DEMOUCHET,KENDALL",1
11:10,"TURNOVER  by WILLIAMS,DONOVAN",,,,,,,"TURNOVER  by WILLIAMS,DONOVAN",1
11:09,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
11:06,,,,,"MISS LAYUP by ROBERTSON,MARC",,,"MISS LAYUP by ROBERTSON,MARC",1
--,"REBOUND DEF by CUETO,JUSTIN",,,,,,,"REBOUND DEF by CUETO,JUSTIN",1
10:56,"GOOD 3PTR by CUETO,JUSTIN",11 (+1),,10,,CENTMEN 11-10 (-1),,"GOOD 3PTR by CUETO,JUSTIN",1
--,"ASSIST  by BLOUNT,JONATHAN",,,,,,,"ASSIST  by BLOUNT,JONATHAN",1
10:21,,11,,12 (+1),"GOOD JUMPER by FREBIS,RONNIE",MILLSAPS 11-12 (+1),,"GOOD JUMPER by FREBIS,RONNIE",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
09:59,"GOOD JUMPER by SAPP,JAMES(in the paint)",13 (+1),,12,,CENTMEN 13-12 (-1),,"GOOD JUMPER by SAPP,JAMES(in the paint)",1
09:39,,13,,14 (+1),"GOOD JUMPER by FREBIS,RONNIE(in the paint)",MILLSAPS 13-14 (+1),,"GOOD JUMPER by FREBIS,RONNIE(in the paint)",1
09:39,"FOUL  by WHITAKER,ISAIAH",,,,,,,"FOUL  by WHITAKER,ISAIAH",1
09:39,,13,,15 (+2),"GOOD FT by FREBIS,RONNIE",MILLSAPS 13-15 (+2),,"GOOD FT by FREBIS,RONNIE",1
09:39,"SUB IN by CHERAMIE,CADEN",,,,,,,"SUB IN by CHERAMIE,CADEN",1
09:39,"SUB IN by BROWNING,JAIRUS",,,,,,,"SUB IN by BROWNING,JAIRUS",1
09:39,"SUB OUT by CUETO,JUSTIN",,,,,,,"SUB OUT by CUETO,JUSTIN",1
09:39,"SUB OUT by WHITAKER,ISAIAH",,,,,,,"SUB OUT by WHITAKER,ISAIAH",1
09:39,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
09:39,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
09:39,,,,,"SUB IN by HANTSAD,RAJAN",,,"SUB IN by HANTSAD,RAJAN",1
09:39,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
09:39,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
09:39,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
09:13,"GOOD 3PTR by BROWNING,JAIRUS",16 (+1),,15,,CENTMEN 16-15 (-1),,"GOOD 3PTR by BROWNING,JAIRUS",1
08:38,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",1
08:31,,16,,17 (+1),"GOOD JUMPER by GILLIGAN,TULLY(in the paint)",MILLSAPS 16-17 (+1),,"GOOD JUMPER by GILLIGAN,TULLY(in the paint)",1
08:06,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",1
08:06,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
08:06,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
07:49,"MISS JUMPER by SAPP,JAMES",,,,,,,"MISS JUMPER by SAPP,JAMES",1
--,,,,,"REBOUND DEF by HANTSAD,RAJAN",,,"REBOUND DEF by HANTSAD,RAJAN",1
07:42,,,,,"TURNOVER  by HANTSAD,RAJAN",,,"TURNOVER  by HANTSAD,RAJAN",1
07:42,"SUB IN by PAWSAT,BROOKS",,,,,,,"SUB IN by PAWSAT,BROOKS",1
07:42,"SUB OUT by BLOUNT,JONATHAN",,,,,,,"SUB OUT by BLOUNT,JONATHAN",1
07:38,"TURNOVER  by WILLIAMS,DONOVAN",,,,,,,"TURNOVER  by WILLIAMS,DONOVAN",1
07:33,,,,,"MISS 3PTR by HANTSAD,RAJAN",,,"MISS 3PTR by HANTSAD,RAJAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:21,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
07:21,,,,,"SUB OUT by HANTSAD,RAJAN",,,"SUB OUT by HANTSAD,RAJAN",1
06:54,"GOOD LAYUP by WILLIAMS,DONOVAN(in the paint)",18 (+1),,17,,CENTMEN 18-17 (-1),,"GOOD LAYUP by WILLIAMS,DONOVAN(in the paint)",1
--,"ASSIST  by PAWSAT,BROOKS",,,,,,,"ASSIST  by PAWSAT,BROOKS",1
06:29,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
06:29,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:18,"GOOD LAYUP by WILLIAMS,DONOVAN(in the paint)",20 (+3),,17,,CENTMEN 20-17 (-3),,"GOOD LAYUP by WILLIAMS,DONOVAN(in the paint)",1
--,"ASSIST  by CHERAMIE,CADEN",,,,,,,"ASSIST  by CHERAMIE,CADEN",1
05:50,,20,,20,"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 20-20 (0),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
05:40,"TURNOVER  by WILLIAMS,DONOVAN",,,,,,,"TURNOVER  by WILLIAMS,DONOVAN",1
05:40,"SUB IN by BLOUNT,JONATHAN",,,,,,,"SUB IN by BLOUNT,JONATHAN",1
05:40,"SUB OUT by SAPP,JAMES",,,,,,,"SUB OUT by SAPP,JAMES",1
05:23,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:08,"GOOD LAYUP by WILLIAMS,DONOVAN(in the paint)",22 (+2),,20,,CENTMEN 22-20 (-2),,"GOOD LAYUP by WILLIAMS,DONOVAN(in the paint)",1
04:49,,22,,22,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLSAPS 22-22 (0),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
04:40,"TURNOVER  by BROWNING,JAIRUS",,,,,,,"TURNOVER  by BROWNING,JAIRUS",1
04:36,,,,,"STEAL  by AUBERT,DUSTIN",,,"STEAL  by AUBERT,DUSTIN",1
04:30,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:26,"SUB IN by DEMOUCHET,KENDALL",,,,,,,"SUB IN by DEMOUCHET,KENDALL",1
04:26,"SUB OUT by PAWSAT,BROOKS",,,,,,,"SUB OUT by PAWSAT,BROOKS",1
04:26,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
04:26,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
04:26,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
04:26,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
04:15,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",1
04:09,"TURNOVER  by WILLIAMS,DONOVAN",,,,,,,"TURNOVER  by WILLIAMS,DONOVAN",1
04:07,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
04:03,,22,,25 (+3),"GOOD 3PTR by MCELVEEN,MAC",MILLSAPS 22-25 (+3),,"GOOD 3PTR by MCELVEEN,MAC",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
03:43,"SUB IN by CUETO,JUSTIN",,,,,,,"SUB IN by CUETO,JUSTIN",1
03:43,"SUB OUT by CHERAMIE,CADEN",,,,,,,"SUB OUT by CHERAMIE,CADEN",1
03:43,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
03:43,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
03:32,"MISS 3PTR by CUETO,JUSTIN",,,,,,,"MISS 3PTR by CUETO,JUSTIN",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
03:15,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,"REBOUND DEF by WILLIAMS,DONOVAN",,,,,,,"REBOUND DEF by WILLIAMS,DONOVAN",1
02:56,"MISS JUMPER by DEMOUCHET,KENDALL",,,,,,,"MISS JUMPER by DEMOUCHET,KENDALL",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
02:53,"FOUL  by DEMOUCHET,KENDALL",,,,,,,"FOUL  by DEMOUCHET,KENDALL",1
02:53,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
02:53,,,,,"SUB IN by DEILLIEU,RYAN",,,"SUB IN by DEILLIEU,RYAN",1
02:53,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
02:53,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
02:19,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,"REBOUND DEF by BLOUNT,JONATHAN",,,,,,,"REBOUND DEF by BLOUNT,JONATHAN",1
02:02,"GOOD LAYUP by DEMOUCHET,KENDALL(in the paint)",24,,25 (+1),,CENTMEN 24-25 (+1),,"GOOD LAYUP by DEMOUCHET,KENDALL(in the paint)",1
01:47,,24,,28 (+4),"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 24-28 (+4),,"GOOD 3PTR by KASTNER,MURRAY",1
--,,,,,"ASSIST  by DEILLIEU,RYAN",,,"ASSIST  by DEILLIEU,RYAN",1
01:28,"TURNOVER  by WILLIAMS,DONOVAN",,,,,,,"TURNOVER  by WILLIAMS,DONOVAN",1
01:28,"SUB IN by NTAGHA,SARO",,,,,,,"SUB IN by NTAGHA,SARO",1
01:28,"SUB OUT by WILLIAMS,DONOVAN",,,,,,,"SUB OUT by WILLIAMS,DONOVAN",1
01:12,,24,,30 (+6),"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 24-30 (+6),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
01:07,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:35,"MISS JUMPER by BLOUNT,JONATHAN",,,,,,,"MISS JUMPER by BLOUNT,JONATHAN",1
--,"REBOUND OFF by BLOUNT,JONATHAN",,,,,,,"REBOUND OFF by BLOUNT,JONATHAN",1
00:30,"GOOD LAYUP by BLOUNT,JONATHAN(in the paint)",26,,30 (+4),,CENTMEN 26-30 (+4),,"GOOD LAYUP by BLOUNT,JONATHAN(in the paint)",1
00:03,"FOUL  by DEMOUCHET,KENDALL",,,,,,,"FOUL  by DEMOUCHET,KENDALL",1
00:03,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:03,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",1
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",1
00:03,,26,,32 (+6),"GOOD JUMPER by GILLIGAN,TULLY",MILLSAPS 26-32 (+6),,"GOOD JUMPER by GILLIGAN,TULLY",1
00:03,"SUB IN by WILLIAMS,DONOVAN",,,,,,,"SUB IN by WILLIAMS,DONOVAN",1
00:03,"SUB IN by PAWSAT,BROOKS",,,,,,,"SUB IN by PAWSAT,BROOKS",1
00:03,"SUB OUT by NTAGHA,SARO",,,,,,,"SUB OUT by NTAGHA,SARO",1
00:03,"SUB OUT by DEMOUCHET,KENDALL",,,,,,,"SUB OUT by DEMOUCHET,KENDALL",1
00:03,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
00:03,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
00:03,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
00:03,,,,,"SUB OUT by DEILLIEU,RYAN",,,"SUB OUT by DEILLIEU,RYAN",1
19:51,"GOOD 3PTR by BROWNING,JAIRUS",29,,32 (+3),,CENTMEN 29-32 (+3),,"GOOD 3PTR by BROWNING,JAIRUS",2
--,"ASSIST  by CHERAMIE,CADEN",,,,,,,"ASSIST  by CHERAMIE,CADEN",2
19:33,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",2
--,"REBOUND DEF by DEMOUCHET,KENDALL",,,,,,,"REBOUND DEF by DEMOUCHET,KENDALL",2
19:03,"MISS LAYUP by WILLIAMS,DONOVAN",,,,,,,"MISS LAYUP by WILLIAMS,DONOVAN",2
19:03,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",2
--,"REBOUND OFF by WILLIAMS,DONOVAN",,,,,,,"REBOUND OFF by WILLIAMS,DONOVAN",2
18:58,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
18:58,"GOOD FT by WILLIAMS,DONOVAN",30,,32 (+2),,CENTMEN 30-32 (+2),,"GOOD FT by WILLIAMS,DONOVAN",2
18:58,"GOOD FT by WILLIAMS,DONOVAN",31,,32 (+1),,CENTMEN 31-32 (+1),,"GOOD FT by WILLIAMS,DONOVAN",2
18:44,"FOUL  by BROWNING,JAIRUS",,,,,,,"FOUL  by BROWNING,JAIRUS",2
18:29,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",2
18:28,"STEAL  by CHERAMIE,CADEN",,,,,,,"STEAL  by CHERAMIE,CADEN",2
18:27,"TURNOVER  by CHERAMIE,CADEN",,,,,,,"TURNOVER  by CHERAMIE,CADEN",2
18:25,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",2
18:08,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",2
--,"REBOUND DEF by WILLIAMS,DONOVAN",,,,,,,"REBOUND DEF by WILLIAMS,DONOVAN",2
17:59,"MISS 3PTR by BROWNING,JAIRUS",,,,,,,"MISS 3PTR by BROWNING,JAIRUS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:26,,,,,"MISS 3PTR by GILLIGAN,TULLY",,,"MISS 3PTR by GILLIGAN,TULLY",2
--,"REBOUND DEF by WILLIAMS,DONOVAN",,,,,,,"REBOUND DEF by WILLIAMS,DONOVAN",2
17:10,"TURNOVER  by BROWNING,JAIRUS",,,,,,,"TURNOVER  by BROWNING,JAIRUS",2
17:10,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
17:10,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
16:57,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",2
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",2
16:53,"FOUL  by DEMOUCHET,KENDALL",,,,,,,"FOUL  by DEMOUCHET,KENDALL",2
16:53,,31,,33 (+2),"GOOD FT by GERCHOW,ALEX",MILLSAPS 31-33 (+2),,"GOOD FT by GERCHOW,ALEX",2
16:53,,31,,34 (+3),"GOOD FT by GERCHOW,ALEX",MILLSAPS 31-34 (+3),,"GOOD FT by GERCHOW,ALEX",2
16:53,"SUB IN by PAWSAT,BROOKS",,,,,,,"SUB IN by PAWSAT,BROOKS",2
16:53,"SUB OUT by DEMOUCHET,KENDALL",,,,,,,"SUB OUT by DEMOUCHET,KENDALL",2
16:40,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
16:40,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",2
16:40,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
16:16,"GOOD JUMPER by BROWNING,JAIRUS",33,,34 (+1),,CENTMEN 33-34 (+1),,"GOOD JUMPER by BROWNING,JAIRUS",2
15:55,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",2
15:55,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",2
