Time Remaining,MCMB1314,Away Team Score,Play Team Indicator,Home Team Score,UDMB1314,Game Score,Team Indicator,Play,Period
13:40,,,,,"STEAL  by WILSON,NATE",,,"STEAL  by WILSON,NATE",1
13:33,SUB IN by 0,,,,,,,SUB IN by 0,1
13:33,SUB OUT by 0,,,,,,,SUB OUT by 0,1
13:32,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
13:32,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
13:32,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
13:32,"SUB OUT by HANTSAD,RAJAN",,,,,,,"SUB OUT by HANTSAD,RAJAN",1
13:32,,,,,"SUB IN by SARRAT,MICHAEL",,,"SUB IN by SARRAT,MICHAEL",1
13:32,,,,,"SUB OUT by WILSON,NATE",,,"SUB OUT by WILSON,NATE",1
13:28,,,,,"TURNOVER  by MALONE,KYM",,,"TURNOVER  by MALONE,KYM",1
13:27,"STEAL  by GERCHOW,ALEX",,,,,,,"STEAL  by GERCHOW,ALEX",1
13:21,,,,,"FOUL  by ALDAZ,STEVEN",,,"FOUL  by ALDAZ,STEVEN",1
12:57,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",14 (+1),,13,,MCMB1314 14-13 (+1),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
12:47,,,,,"TURNOVER  by DAVIDSON,ROSS",,,"TURNOVER  by DAVIDSON,ROSS",1
12:31,SUB IN by 0,,,,,,,SUB IN by 0,1
12:31,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
12:20,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",1
12:20,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",1
12:04,,,,,"TURNOVER  by ALDAZ,STEVEN",,,"TURNOVER  by ALDAZ,STEVEN",1
12:02,"STEAL  by GERCHOW,ALEX",,,,,,,"STEAL  by GERCHOW,ALEX",1
11:57,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
11:57,SUB OUT by 0,,,,,,,SUB OUT by 0,1
11:47,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:40,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",1
11:40,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
11:29,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",16 (+3),,13,,MCMB1314 16-13 (+3),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",1
11:06,SUB IN by 0,,,,,,,SUB IN by 0,1
11:06,SUB IN by 0,,,,,,,SUB IN by 0,1
11:06,SUB OUT by 0,,,,,,,SUB OUT by 0,1
11:06,SUB OUT by 0,,,,,,,SUB OUT by 0,1
11:04,,,,,"FOUL  by MALONE,KYM",,,"FOUL  by MALONE,KYM",1
11:04,,,,,"TURNOVER  by MALONE,KYM",,,"TURNOVER  by MALONE,KYM",1
10:55,"GOOD JUMPER by MCELVEEN,MAC",18 (+5),,13,,MCMB1314 18-13 (+5),,"GOOD JUMPER by MCELVEEN,MAC",1
10:54,,,,,"SUB IN by HAMPSON,MICHAEL",,,"SUB IN by HAMPSON,MICHAEL",1
10:54,,,,,"SUB OUT by ABEL,TAYLOR",,,"SUB OUT by ABEL,TAYLOR",1
10:44,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
10:44,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
10:44,"SUB IN by DEILLIEU,RYAN",,,,,,,"SUB IN by DEILLIEU,RYAN",1
10:44,"SUB OUT by MCELVEEN,MAC",,,,,,,"SUB OUT by MCELVEEN,MAC",1
10:44,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
10:44,,,,,"SUB IN by WILSON,NATE",,,"SUB IN by WILSON,NATE",1
10:44,,,,,"SUB OUT by SARRAT,MICHAEL",,,"SUB OUT by SARRAT,MICHAEL",1
10:39,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",1
10:39,,,,,"MISS FT by WYATT,AARON",,,"MISS FT by WYATT,AARON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:39,,18 (+4),,14,"GOOD FT by WYATT,AARON",UDMB1314 18-14 (+4),,"GOOD FT by WYATT,AARON",1
10:23,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",1
10:21,,,,,"STEAL  by DAVIDSON,ROSS",,,"STEAL  by DAVIDSON,ROSS",1
10:20,"SUB IN by HANTSAD,RAJAN",,,,,,,"SUB IN by HANTSAD,RAJAN",1
10:20,SUB OUT by 0,,,,,,,SUB OUT by 0,1
10:16,,18 (+2),,16,"GOOD JUMPER by WILSON,NATE(fastbreak)(in the paint)",UDMB1314 18-16 (+2),,"GOOD JUMPER by WILSON,NATE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by DAVIDSON,ROSS",,,"ASSIST  by DAVIDSON,ROSS",1
10:01,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND DEF by WILSON,NATE",,,"REBOUND DEF by WILSON,NATE",1
09:39,,,,,"MISS 3PTR by WILSON,NATE",,,"MISS 3PTR by WILSON,NATE",1
--,,,,,"REBOUND OFF by WYATT,AARON",,,"REBOUND OFF by WYATT,AARON",1
09:34,,,,,"FOUL  by WYATT,AARON",,,"FOUL  by WYATT,AARON",1
09:34,,,,,"TURNOVER  by WYATT,AARON",,,"TURNOVER  by WYATT,AARON",1
09:14,,,,,"FOUL  by MALONE,KYM",,,"FOUL  by MALONE,KYM",1
09:14,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
09:14,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
09:14,,,,,"SUB IN by BLACKBURN,BLAINE",,,"SUB IN by BLACKBURN,BLAINE",1
09:14,,,,,"SUB OUT by MALONE,KYM",,,"SUB OUT by MALONE,KYM",1
09:00,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by WYATT,AARON",,,"REBOUND DEF by WYATT,AARON",1
08:43,,,,,"MISS JUMPER by WYATT,AARON",,,"MISS JUMPER by WYATT,AARON",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
08:33,"GOOD JUMPER by DEILLIEU,RYAN",20 (+4),,16,,MCMB1314 20-16 (+4),,"GOOD JUMPER by DEILLIEU,RYAN",1
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",1
08:33,,,,,"SUB IN by ABEL,TAYLOR",,,"SUB IN by ABEL,TAYLOR",1
08:33,,,,,"SUB OUT by HAMPSON,MICHAEL",,,"SUB OUT by HAMPSON,MICHAEL",1
08:13,,,,,"MISS JUMPER by DAVIDSON,ROSS",,,"MISS JUMPER by DAVIDSON,ROSS",1
--,,,,,"REBOUND OFF by WYATT,AARON",,,"REBOUND OFF by WYATT,AARON",1
08:02,,,,,"MISS 3PTR by ALDAZ,STEVEN",,,"MISS 3PTR by ALDAZ,STEVEN",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
07:53,"MISS 3PTR by DEILLIEU,RYAN",,,,,,,"MISS 3PTR by DEILLIEU,RYAN",1
--,,,,,"REBOUND DEF by WILSON,NATE",,,"REBOUND DEF by WILSON,NATE",1
07:36,,,,,"TURNOVER  by ALDAZ,STEVEN",,,"TURNOVER  by ALDAZ,STEVEN",1
07:34,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",1
07:25,"MISS 3PTR by BERGER,RYAN",,,,,,,"MISS 3PTR by BERGER,RYAN",1
--,,,,,"REBOUND DEF by WILSON,NATE",,,"REBOUND DEF by WILSON,NATE",1
07:10,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
07:10,SUB IN by 0,,,,,,,SUB IN by 0,1
07:10,SUB IN by 0,,,,,,,SUB IN by 0,1
07:10,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
07:10,SUB OUT by 0,,,,,,,SUB OUT by 0,1
07:10,"SUB OUT by HANTSAD,RAJAN",,,,,,,"SUB OUT by HANTSAD,RAJAN",1
07:10,,,,,"SUB IN by ALDAZ,STEVEN",,,"SUB IN by ALDAZ,STEVEN",1
07:10,,,,,"SUB OUT by WILSON,NATE",,,"SUB OUT by WILSON,NATE",1
06:59,,,,,"MISS 3PTR by BLACKBURN,BLAINE",,,"MISS 3PTR by BLACKBURN,BLAINE",1
--,,,,,"REBOUND OFF by WYATT,AARON",,,"REBOUND OFF by WYATT,AARON",1
06:45,,,,,"TURNOVER  by DAVIDSON,ROSS",,,"TURNOVER  by DAVIDSON,ROSS",1
06:42,"STEAL  by BERGER,RYAN",,,,,,,"STEAL  by BERGER,RYAN",1
06:40,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",22 (+6),,16,,MCMB1314 22-16 (+6),,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",1
--,"ASSIST  by BERGER,RYAN",,,,,,,"ASSIST  by BERGER,RYAN",1
06:40,,,,,"FOUL  by ALDAZ,STEVEN",,,"FOUL  by ALDAZ,STEVEN",1
06:40,"GOOD FT by GILLIGAN,TULLY",23 (+7),,16,,MCMB1314 23-16 (+7),,"GOOD FT by GILLIGAN,TULLY",1
06:40,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
06:40,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
06:40,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",1
06:40,"SUB OUT by DEILLIEU,RYAN",,,,,,,"SUB OUT by DEILLIEU,RYAN",1
06:40,,,,,"SUB IN by KAISER,TOM",,,"SUB IN by KAISER,TOM",1
06:40,,,,,"SUB IN by GONZALES,ISAAK",,,"SUB IN by GONZALES,ISAAK",1
06:40,,,,,"SUB IN by GONZALEZ,LORENZO",,,"SUB IN by GONZALEZ,LORENZO",1
06:40,,,,,"SUB OUT by WYATT,AARON",,,"SUB OUT by WYATT,AARON",1
06:40,,,,,"SUB OUT by ALDAZ,STEVEN",,,"SUB OUT by ALDAZ,STEVEN",1
06:40,,,,,"SUB OUT by DAVIDSON,ROSS",,,"SUB OUT by DAVIDSON,ROSS",1
06:24,,23 (+5),,18,"GOOD JUMPER by KAISER,TOM(in the paint)",UDMB1314 23-18 (+5),,"GOOD JUMPER by KAISER,TOM(in the paint)",1
--,,,,,"ASSIST  by WILSON,NATE",,,"ASSIST  by WILSON,NATE",1
06:19,,,,,"SUB IN by WYATT,AARON",,,"SUB IN by WYATT,AARON",1
06:19,,,,,"SUB OUT by GONZALES,ISAAK",,,"SUB OUT by GONZALES,ISAAK",1
06:14,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
06:14,SUB IN by 0,,,,,,,SUB IN by 0,1
06:14,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
06:00,,,,,"MISS 3PTR by WILSON,NATE",,,"MISS 3PTR by WILSON,NATE",1
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",1
05:57,,,,,"TURNOVER  by KAISER,TOM",,,"TURNOVER  by KAISER,TOM",1
05:57,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",1
05:57,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
05:43,"MISS 3PTR by BERGER,RYAN",,,,,,,"MISS 3PTR by BERGER,RYAN",1
--,,,,,"REBOUND DEF by WYATT,AARON",,,"REBOUND DEF by WYATT,AARON",1
05:29,,,,,"MISS 3PTR by GONZALEZ,LORENZO",,,"MISS 3PTR by GONZALEZ,LORENZO",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:26,,,,,"SUB IN by SARRAT,MICHAEL",,,"SUB IN by SARRAT,MICHAEL",1
05:26,,,,,"SUB OUT by WYATT,AARON",,,"SUB OUT by WYATT,AARON",1
05:05,SUB IN by 0,,,,,,,SUB IN by 0,1
05:05,SUB OUT by 0,,,,,,,SUB OUT by 0,1
05:05,,,,,"SUB IN by GARATE,VICTOR",,,"SUB IN by GARATE,VICTOR",1
05:05,,,,,"SUB OUT by BLACKBURN,BLAINE",,,"SUB OUT by BLACKBURN,BLAINE",1
04:58,,23 (+3),,20,"GOOD LAYUP by WILSON,NATE(in the paint)",UDMB1314 23-20 (+3),,"GOOD LAYUP by WILSON,NATE(in the paint)",1
--,,,,,"ASSIST  by BLACKBURN,BLAINE",,,"ASSIST  by BLACKBURN,BLAINE",1
04:43,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by WILSON,NATE",,,"REBOUND DEF by WILSON,NATE",1
04:29,,23 (+1),,22,"GOOD LAYUP by WILSON,NATE(in the paint)",UDMB1314 23-22 (+1),,"GOOD LAYUP by WILSON,NATE(in the paint)",1
04:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:20,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
04:20,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
03:51,"MISS LAYUP by KASTNER,MURRAY",,,,,,,"MISS LAYUP by KASTNER,MURRAY",1
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",1
03:47,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",1
03:47,,,,,"BLOCK  by KAISER,TOM",,,"BLOCK  by KAISER,TOM",1
--,,,,,"REBOUND DEF by KAISER,TOM",,,"REBOUND DEF by KAISER,TOM",1
03:47,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
03:47,,23,,23,"GOOD FT by GONZALEZ,LORENZO",UDMB1314 23-23 (0),,"GOOD FT by GONZALEZ,LORENZO",1
03:47,,23,,24 (+1),"GOOD FT by GONZALEZ,LORENZO",UDMB1314 23-24 (-1),,"GOOD FT by GONZALEZ,LORENZO",1
03:47,,,,,"SUB IN by WYATT,AARON",,,"SUB IN by WYATT,AARON",1
03:47,,,,,"SUB IN by DAVIDSON,ROSS",,,"SUB IN by DAVIDSON,ROSS",1
03:47,,,,,"SUB OUT by KAISER,TOM",,,"SUB OUT by KAISER,TOM",1
03:47,,,,,"SUB OUT by WILSON,NATE",,,"SUB OUT by WILSON,NATE",1
03:39,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
03:39,"SUB IN by HANTSAD,RAJAN",,,,,,,"SUB IN by HANTSAD,RAJAN",1
03:39,SUB OUT by 0,,,,,,,SUB OUT by 0,1
03:39,SUB OUT by 0,,,,,,,SUB OUT by 0,1
03:39,,,,,"SUB IN by WILSON,NATE",,,"SUB IN by WILSON,NATE",1
03:39,,,,,"SUB OUT by MALONE,KYM",,,"SUB OUT by MALONE,KYM",1
03:28,"MISS 3PTR by GILLIGAN,TULLY",,,,,,,"MISS 3PTR by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by GONZALEZ,LORENZO",,,"REBOUND DEF by GONZALEZ,LORENZO",1
03:16,,,,,"MISS 3PTR by BLACKBURN,BLAINE",,,"MISS 3PTR by BLACKBURN,BLAINE",1
--,,,,,"REBOUND OFF by DAVIDSON,ROSS",,,"REBOUND OFF by DAVIDSON,ROSS",1
03:02,,,,,"TURNOVER  by SARRAT,MICHAEL",,,"TURNOVER  by SARRAT,MICHAEL",1
03:01,"STEAL  by KASTNER,MURRAY",,,,,,,"STEAL  by KASTNER,MURRAY",1
02:56,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
02:55,,,,,"STEAL  by DAVIDSON,ROSS",,,"STEAL  by DAVIDSON,ROSS",1
02:51,,23,,26 (+3),"GOOD LAYUP by WYATT,AARON(fastbreak)(in the paint)",UDMB1314 23-26 (-3),,"GOOD LAYUP by WYATT,AARON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by DAVIDSON,ROSS",,,"ASSIST  by DAVIDSON,ROSS",1
02:51,,,,,"SUB IN by BLACKBURN,BLAINE",,,"SUB IN by BLACKBURN,BLAINE",1
02:51,,,,,"SUB OUT by GARATE,VICTOR",,,"SUB OUT by GARATE,VICTOR",1
02:30,"MISS 3PTR by MCELVEEN,MAC",,,,,,,"MISS 3PTR by MCELVEEN,MAC",1
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",1
02:25,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",1
02:17,,,,,"FOUL  by DAVIDSON,ROSS",,,"FOUL  by DAVIDSON,ROSS",1
02:17,"MISS FT by GERCHOW,ALEX",,,,,,,"MISS FT by GERCHOW,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:17,"GOOD FT by GERCHOW,ALEX",24,,26 (+2),,MCMB1314 24-26 (-2),,"GOOD FT by GERCHOW,ALEX",1
02:17,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
02:17,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
02:17,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
02:17,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
01:57,,24,,29 (+5),"GOOD 3PTR by SARRAT,MICHAEL",UDMB1314 24-29 (-5),,"GOOD 3PTR by SARRAT,MICHAEL",1
--,,,,,"ASSIST  by BLACKBURN,BLAINE",,,"ASSIST  by BLACKBURN,BLAINE",1
01:51,SUB IN by 0,,,,,,,SUB IN by 0,1
01:51,SUB OUT by 0,,,,,,,SUB OUT by 0,1
01:51,,,,,"SUB IN by GARATE,VICTOR",,,"SUB IN by GARATE,VICTOR",1
01:51,,,,,"SUB OUT by WILSON,NATE",,,"SUB OUT by WILSON,NATE",1
01:37,,,,,"FOUL  by DAVIDSON,ROSS",,,"FOUL  by DAVIDSON,ROSS",1
01:37,"GOOD FT by GERCHOW,ALEX",25,,29 (+4),,MCMB1314 25-29 (-4),,"GOOD FT by GERCHOW,ALEX",1
01:37,"MISS FT by GERCHOW,ALEX",,,,,,,"MISS FT by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by DAVIDSON,ROSS",,,"REBOUND DEF by DAVIDSON,ROSS",1
01:37,,,,,"SUB IN by BAMBACE,SEAN",,,"SUB IN by BAMBACE,SEAN",1
01:37,,,,,"SUB OUT by BLACKBURN,BLAINE",,,"SUB OUT by BLACKBURN,BLAINE",1
