Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
19:58,,,,,"TURNOVER  by BOYD,CHRIS",,,"TURNOVER  by BOYD,CHRIS",1
19:46,,,,,"FOUL  by TURNER,MICAH",,,"FOUL  by TURNER,MICAH",1
19:46,"GOOD FT by GILLIGAN,TULLY",1 (+1),,0,,MILLSAPS 1-0 (+1),,"GOOD FT by GILLIGAN,TULLY",1
19:46,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
19:21,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",1
19:20,,,,,"STEAL  by DELANEY,JAKE",,,"STEAL  by DELANEY,JAKE",1
19:06,,1,,2 (+1),"GOOD JUMPER by MCGRIFF,COLTON",CCM 1-2 (-1),,"GOOD JUMPER by MCGRIFF,COLTON",1
18:47,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by BOYD,CHRIS",,,"REBOUND DEF by BOYD,CHRIS",1
18:30,,1,,5 (+4),"GOOD 3PTR by MCGRIFF,COLTON",CCM 1-5 (-4),,"GOOD 3PTR by MCGRIFF,COLTON",1
--,,,,,"ASSIST  by FRIERSON,NATE",,,"ASSIST  by FRIERSON,NATE",1
18:22,,,,,"FOUL  by DELANEY,JAKE",,,"FOUL  by DELANEY,JAKE",1
18:12,"GOOD 3PTR by ROBERTSON,MARC",4,,5 (+1),,MILLSAPS 4-5 (-1),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by FREBIS,RONNIE",,,,,,,"ASSIST  by FREBIS,RONNIE",1
17:52,,4,,7 (+3),"GOOD LAYUP by BOYD,CHRIS(in the paint)",CCM 4-7 (-3),,"GOOD LAYUP by BOYD,CHRIS(in the paint)",1
17:30,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",1
17:29,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",6,,7 (+1),,MILLSAPS 6-7 (-1),,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",1
--,"ASSIST  by BERGER,RYAN",,,,,,,"ASSIST  by BERGER,RYAN",1
17:29,,,,,"FOUL  by FRIERSON,NATE",,,"FOUL  by FRIERSON,NATE",1
17:29,"GOOD FT by KASTNER,MURRAY",7,,7,,MILLSAPS 7-7 (0),,"GOOD FT by KASTNER,MURRAY",1
17:07,,,,,"MISS 3PTR by MCGRIFF,COLTON",,,"MISS 3PTR by MCGRIFF,COLTON",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
16:59,"GOOD 3PTR by ROBERTSON,MARC",10 (+3),,7,,MILLSAPS 10-7 (+3),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
16:39,,,,,"MISS 3PTR by MCGRIFF,COLTON",,,"MISS 3PTR by MCGRIFF,COLTON",1
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",1
16:24,,,,,"FOUL  by FRIERSON,NATE",,,"FOUL  by FRIERSON,NATE",1
16:24,"SUB IN by DEILLIEU,RYAN",,,,,,,"SUB IN by DEILLIEU,RYAN",1
16:24,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
16:24,,,,,"SUB IN by BURNS,RYAN",,,"SUB IN by BURNS,RYAN",1
16:24,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",1
16:24,,,,,"SUB OUT by DELANEY,JAKE",,,"SUB OUT by DELANEY,JAKE",1
16:24,,,,,"SUB OUT by TURNER,MICAH",,,"SUB OUT by TURNER,MICAH",1
16:19,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by BURNS,RYAN",,,"REBOUND DEF by BURNS,RYAN",1
16:06,,,,,"MISS LAYUP by BURNS,RYAN",,,"MISS LAYUP by BURNS,RYAN",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
15:48,"MISS JUMPER by FREBIS,RONNIE",,,,,,,"MISS JUMPER by FREBIS,RONNIE",1
--,,,,,"REBOUND DEF by PHELPS,BEN",,,"REBOUND DEF by PHELPS,BEN",1
15:32,,10,,10,"GOOD 3PTR by PHELPS,BEN",CCM 10-10 (0),,"GOOD 3PTR by PHELPS,BEN",1
--,,,,,"ASSIST  by FRIERSON,NATE",,,"ASSIST  by FRIERSON,NATE",1
15:08,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
15:06,,,,,"STEAL  by BURNS,RYAN",,,"STEAL  by BURNS,RYAN",1
15:04,,10,,13 (+3),"GOOD 3PTR by PHELPS,BEN",CCM 10-13 (-3),,"GOOD 3PTR by PHELPS,BEN",1
--,,,,,"ASSIST  by BURNS,RYAN",,,"ASSIST  by BURNS,RYAN",1
14:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:59,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
14:59,"SUB IN by FILLINGIM,DANIEL",,,,,,,"SUB IN by FILLINGIM,DANIEL",1
14:59,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",1
14:59,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
14:59,,,,,"SUB IN by ENGBERS,BRYANT",,,"SUB IN by ENGBERS,BRYANT",1
14:59,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",1
14:46,"GOOD 3PTR by DEILLIEU,RYAN",13,,13,,MILLSAPS 13-13 (0),,"GOOD 3PTR by DEILLIEU,RYAN",1
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",1
14:31,,,,,"TURNOVER  by MCGRIFF,COLTON",,,"TURNOVER  by MCGRIFF,COLTON",1
