Time Remaining,SEWANEEM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by MCELVEEN,MAC",,,"ASSIST  by MCELVEEN,MAC",2
12:15,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",2
12:11,"GOOD FT by BORN,CLAY",31,,39 (+8),,SEWANEEM 31-39 (+8),,"GOOD FT by BORN,CLAY",2
12:11,"GOOD FT by BORN,CLAY",32,,39 (+7),,SEWANEEM 32-39 (+7),,"GOOD FT by BORN,CLAY",2
12:11,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
12:11,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
12:11,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
12:11,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
11:52,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
11:36,,32,,41 (+9),"GOOD JUMPER by KASTNER,MURRAY",MILLSAPS 32-41 (+9),,"GOOD JUMPER by KASTNER,MURRAY",2
11:20,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
11:08,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
10:53,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",2
10:37,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
10:04,,,,,"MISS JUMPER by MCELVEEN,MAC",,,"MISS JUMPER by MCELVEEN,MAC",2
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",2
10:01,,32,,43 (+11),"GOOD LAYUP by ROBERTSON,MARC(in the paint)",MILLSAPS 32-43 (+11),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",2
09:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
09:54,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
09:54,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
09:30,"GOOD LAYUP by CARTER,KESHONN(in the paint)",34,,43 (+9),,SEWANEEM 34-43 (+9),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",2
09:03,,34,,46 (+12),"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 34-46 (+12),,"GOOD 3PTR by KASTNER,MURRAY",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
08:40,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
08:40,"GOOD FT by CARTER,KESHONN",35,,46 (+11),,SEWANEEM 35-46 (+11),,"GOOD FT by CARTER,KESHONN",2
08:40,"GOOD FT by CARTER,KESHONN",36,,46 (+10),,SEWANEEM 36-46 (+10),,"GOOD FT by CARTER,KESHONN",2
08:40,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
08:40,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
08:40,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
08:40,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",2
08:23,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
08:08,"GOOD JUMPER by CARTER,KESHONN(in the paint)",38,,46 (+8),,SEWANEEM 38-46 (+8),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
--,"ASSIST  by CALDWELL,MARCELLUS",,,,,,,"ASSIST  by CALDWELL,MARCELLUS",2
08:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:30,,38,,48 (+10),"GOOD JUMPER by BERGER,RYAN",MILLSAPS 38-48 (+10),,"GOOD JUMPER by BERGER,RYAN",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
07:12,"GOOD JUMPER by CARTER,KESHONN",40,,48 (+8),,SEWANEEM 40-48 (+8),,"GOOD JUMPER by CARTER,KESHONN",2
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",2
06:36,,40,,51 (+11),"GOOD 3PTR by AUBERT,DUSTIN",MILLSAPS 40-51 (+11),,"GOOD 3PTR by AUBERT,DUSTIN",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
06:14,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",2
--,,,,,"REBOUND DEF by KASTNER,MURRAY",,,"REBOUND DEF by KASTNER,MURRAY",2
06:06,,,,,"MISS LAYUP by MCELVEEN,MAC",,,"MISS LAYUP by MCELVEEN,MAC",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:59,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",2
05:59,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
05:59,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
05:59,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
05:59,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
05:37,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
05:03,"GOOD 3PTR by CALDWELL,MARCELLUS",43,,51 (+8),,SEWANEEM 43-51 (+8),,"GOOD 3PTR by CALDWELL,MARCELLUS",2
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",2
05:00,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:27,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by AUBERT,DUSTIN",,,"REBOUND OFF by AUBERT,DUSTIN",2
03:49,,43,,53 (+10),"GOOD JUMPER by BERGER,RYAN",MILLSAPS 43-53 (+10),,"GOOD JUMPER by BERGER,RYAN",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
03:35,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
03:30,,43,,55 (+12),"GOOD DUNK by MCELVEEN,MAC(in the paint)",MILLSAPS 43-55 (+12),,"GOOD DUNK by MCELVEEN,MAC(in the paint)",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
03:20,"GOOD JUMPER by CALDWELL,MARCELLUS",45,,55 (+10),,SEWANEEM 45-55 (+10),,"GOOD JUMPER by CALDWELL,MARCELLUS",2
03:17,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:46,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
02:36,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
02:36,"GOOD FT by BORN,LEO",46,,55 (+9),,SEWANEEM 46-55 (+9),,"GOOD FT by BORN,LEO",2
02:36,"MISS FT by BORN,LEO",,,,,,,"MISS FT by BORN,LEO",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
02:20,,46,,57 (+11),"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 46-57 (+11),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
02:02,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
02:02,,,,,"BLOCK  by BERGER,RYAN",,,"BLOCK  by BERGER,RYAN",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
01:59,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
01:59,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
01:59,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
01:59,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
01:59,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
01:59,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
01:59,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
01:59,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
01:59,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
01:53,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
01:53,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
01:53,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
01:41,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
01:41,,46,,58 (+12),"GOOD FT by ROBERTSON,MARC",MILLSAPS 46-58 (+12),,"GOOD FT by ROBERTSON,MARC",2
01:41,,46,,59 (+13),"GOOD FT by ROBERTSON,MARC",MILLSAPS 46-59 (+13),,"GOOD FT by ROBERTSON,MARC",2
01:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:41,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
01:41,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
01:41,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
01:41,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
01:30,"GOOD JUMPER by CALDWELL,MARCELLUS",48,,59 (+11),,SEWANEEM 48-59 (+11),,"GOOD JUMPER by CALDWELL,MARCELLUS",2
01:21,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",2
01:21,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
01:12,"MISS LAYUP by BORN,CLAY",,,,,,,"MISS LAYUP by BORN,CLAY",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
01:01,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",2
01:00,"STEAL  by WILLIAMS,JORDEN",,,,,,,"STEAL  by WILLIAMS,JORDEN",2
00:58,"GOOD LAYUP by WILLIAMS,JORDEN(fastbreak)(in the paint)",50,,59 (+9),,SEWANEEM 50-59 (+9),,"GOOD LAYUP by WILLIAMS,JORDEN(fastbreak)(in the paint)",2
00:56,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",2
00:56,"GOOD FT by WILLIAMS,JORDEN",51,,59 (+8),,SEWANEEM 51-59 (+8),,"GOOD FT by WILLIAMS,JORDEN",2
00:56,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
00:56,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
00:56,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
00:56,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",2
00:52,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
00:52,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",2
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",2
00:52,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
00:52,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
00:45,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
00:45,,51,,60 (+9),"GOOD FT by KASTNER,MURRAY",MILLSAPS 51-60 (+9),,"GOOD FT by KASTNER,MURRAY",2
00:45,,51,,61 (+10),"GOOD FT by KASTNER,MURRAY",MILLSAPS 51-61 (+10),,"GOOD FT by KASTNER,MURRAY",2
00:40,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
00:37,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
00:37,,51,,62 (+11),"GOOD FT by GILLIGAN,TULLY",MILLSAPS 51-62 (+11),,"GOOD FT by GILLIGAN,TULLY",2
00:37,,51,,63 (+12),"GOOD FT by GILLIGAN,TULLY",MILLSAPS 51-63 (+12),,"GOOD FT by GILLIGAN,TULLY",2
00:30,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
