Time Remaining,MILSAP,Away Team Score,Play Team Indicator,Home Team Score,RC,Game Score,Team Indicator,Play,Period
19:43,,,,,"MISS JUMPER by GREDIC,KWAMERE",,,"MISS JUMPER by GREDIC,KWAMERE",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
19:31,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:05,,0,,2 (+2),"GOOD JUMPER by LOWE,O'DARIUS",RC 0-2 (-2),,"GOOD JUMPER by LOWE,O'DARIUS",1
--,,,,,"ASSIST  by GREDIC,KWAMERE",,,"ASSIST  by GREDIC,KWAMERE",1
18:41,"GOOD 3PTR by KASTNER,MURRAY",3 (+1),,2,,MILSAP 3-2 (+1),,"GOOD 3PTR by KASTNER,MURRAY",1
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",1
18:11,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",1
18:00,,,,,"MISS 3PTR by GREDIC,KWAMERE",,,"MISS 3PTR by GREDIC,KWAMERE",1
--,,,,,"REBOUND OFF by THOMPSON,SHUN",,,"REBOUND OFF by THOMPSON,SHUN",1
17:57,,,,,"MISS JUMPER by THOMPSON,SHUN",,,"MISS JUMPER by THOMPSON,SHUN",1
--,"REBOUND DEF by FILLINGIM,DANIEL",,,,,,,"REBOUND DEF by FILLINGIM,DANIEL",1
17:57,,,,,"FOUL  by LOWE,O'DARIUS",,,"FOUL  by LOWE,O'DARIUS",1
17:56,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
17:43,,3,,4 (+1),"GOOD JUMPER by CLARK,JUSTYCE",RC 3-4 (-1),,"GOOD JUMPER by CLARK,JUSTYCE",1
--,,,,,"ASSIST  by GREDIC,KWAMERE",,,"ASSIST  by GREDIC,KWAMERE",1
17:14,"GOOD LAYUP by BERGER,RYAN(in the paint)",5 (+1),,4,,MILSAP 5-4 (+1),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
17:02,,5,,6 (+1),"GOOD JUMPER by CLARK,JUSTYCE",RC 5-6 (-1),,"GOOD JUMPER by CLARK,JUSTYCE",1
--,,,,,"ASSIST  by GREDIC,KWAMERE",,,"ASSIST  by GREDIC,KWAMERE",1
16:30,"GOOD JUMPER by GILLIGAN,TULLY",7 (+1),,6,,MILSAP 7-6 (+1),,"GOOD JUMPER by GILLIGAN,TULLY",1
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",1
16:12,,7,,8 (+1),"GOOD LAYUP by LOWE,O'DARIUS(in the paint)",RC 7-8 (-1),,"GOOD LAYUP by LOWE,O'DARIUS(in the paint)",1
--,,,,,"ASSIST  by GREDIC,KWAMERE",,,"ASSIST  by GREDIC,KWAMERE",1
15:57,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:08,"FOUL  by FREBIS,RONNIE",,,,,,,"FOUL  by FREBIS,RONNIE",1
14:52,,,,,"MISS JUMPER by CLARK,JUSTYCE",,,"MISS JUMPER by CLARK,JUSTYCE",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
14:49,,,,,"FOUL  by THOMPSON,SHUN",,,"FOUL  by THOMPSON,SHUN",1
14:49,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",1
14:49,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
14:49,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
14:49,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
14:33,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",1
14:08,,7,,11 (+4),"GOOD 3PTR by BIRKS,ANDREW",RC 7-11 (-4),,"GOOD 3PTR by BIRKS,ANDREW",1
--,,,,,"ASSIST  by GREDIC,KWAMERE",,,"ASSIST  by GREDIC,KWAMERE",1
13:48,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
13:46,,,,,"STEAL  by CLARK,JUSTYCE",,,"STEAL  by CLARK,JUSTYCE",1
13:41,,,,,"MISS JUMPER by CLARK,JUSTYCE",,,"MISS JUMPER by CLARK,JUSTYCE",1
--,,,,,"REBOUND OFF by LOWE,O'DARIUS",,,"REBOUND OFF by LOWE,O'DARIUS",1
13:38,,7,,13 (+6),"GOOD JUMPER by LOWE,O'DARIUS",RC 7-13 (-6),,"GOOD JUMPER by LOWE,O'DARIUS",1
13:03,"GOOD JUMPER by KASTNER,MURRAY",9,,13 (+4),,MILSAP 9-13 (-4),,"GOOD JUMPER by KASTNER,MURRAY",1
12:40,,,,,"MISS 3PTR by BIRKS,ANDREW",,,"MISS 3PTR by BIRKS,ANDREW",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:16,"GOOD JUMPER by GILLIGAN,TULLY",11,,13 (+2),,MILSAP 11-13 (-2),,"GOOD JUMPER by GILLIGAN,TULLY",1
11:57,,,,,"MISS JUMPER by BOWENS,JOHNATHAN",,,"MISS JUMPER by BOWENS,JOHNATHAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:57,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",1
11:57,,11,,14 (+3),"GOOD FT by BOWENS,JOHNATHAN",RC 11-14 (-3),,"GOOD FT by BOWENS,JOHNATHAN",1
11:57,,11,,15 (+4),"GOOD FT by BOWENS,JOHNATHAN",RC 11-15 (-4),,"GOOD FT by BOWENS,JOHNATHAN",1
11:44,"GOOD 3PTR by ROBERTSON,MARC",14,,15 (+1),,MILSAP 14-15 (-1),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by AUBERT,DUSTIN",,,,,,,"ASSIST  by AUBERT,DUSTIN",1
11:23,,,,,"MISS 3PTR by THOMPSON,SHUN",,,"MISS 3PTR by THOMPSON,SHUN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:23,"FOUL  by AUBERT,DUSTIN",,,,,,,"FOUL  by AUBERT,DUSTIN",1
11:23,,,,,"MISS FT by THOMPSON,SHUN",,,"MISS FT by THOMPSON,SHUN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:23,,,,,"MISS FT by THOMPSON,SHUN",,,"MISS FT by THOMPSON,SHUN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:23,,,,,"MISS FT by THOMPSON,SHUN",,,"MISS FT by THOMPSON,SHUN",1
--,,,,,"REBOUND OFF by STUCKEY,CURTIS",,,"REBOUND OFF by STUCKEY,CURTIS",1
11:20,"FOUL  by MCELVEEN,MAC",,,,,,,"FOUL  by MCELVEEN,MAC",1
11:01,,,,,"MISS FT by STUCKEY,CURTIS",,,"MISS FT by STUCKEY,CURTIS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:54,,14,,16 (+2),"GOOD FT by STUCKEY,CURTIS",RC 14-16 (-2),,"GOOD FT by STUCKEY,CURTIS",1
10:47,,,,,"MISS 3PTR by BIRKS,ANDREW",,,"MISS 3PTR by BIRKS,ANDREW",1
--,,,,,"REBOUND OFF by STUCKEY,CURTIS",,,"REBOUND OFF by STUCKEY,CURTIS",1
10:39,,14,,18 (+4),"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",RC 14-18 (-4),,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",1
10:33,"GOOD JUMPER by ROBERTSON,MARC",16,,18 (+2),,MILSAP 16-18 (-2),,"GOOD JUMPER by ROBERTSON,MARC",1
10:32,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
10:12,,,,,"MISS JUMPER by STUCKEY,CURTIS",,,"MISS JUMPER by STUCKEY,CURTIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:08,"GOOD 3PTR by ROBERTSON,MARC",19 (+1),,18,,MILSAP 19-18 (+1),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by AUBERT,DUSTIN",,,,,,,"ASSIST  by AUBERT,DUSTIN",1
10:08,,,,,"SUB IN by MYERS,ETHAN",,,"SUB IN by MYERS,ETHAN",1
10:08,,,,,"SUB IN by ANDERSON,PAUL",,,"SUB IN by ANDERSON,PAUL",1
10:08,,,,,"SUB IN by STUCKEY,CURTIS",,,"SUB IN by STUCKEY,CURTIS",1
10:08,,,,,"SUB IN by BOWENS,JOHNATHAN",,,"SUB IN by BOWENS,JOHNATHAN",1
10:08,,,,,"SUB OUT by BIRKS,ANDREW",,,"SUB OUT by BIRKS,ANDREW",1
10:08,,,,,"SUB OUT by CLARK,JUSTYCE",,,"SUB OUT by CLARK,JUSTYCE",1
10:08,,,,,"SUB OUT by THOMPSON,SHUN",,,"SUB OUT by THOMPSON,SHUN",1
10:08,,,,,"SUB OUT by LOWE,O'DARIUS",,,"SUB OUT by LOWE,O'DARIUS",1
09:57,,,,,"TURNOVER  by MYERS,ETHAN",,,"TURNOVER  by MYERS,ETHAN",1
09:45,"GOOD LAYUP by BERGER,RYAN(in the paint)",21 (+3),,18,,MILSAP 21-18 (+3),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
09:24,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
09:17,,,,,"FOUL  by ANDERSON,PAUL",,,"FOUL  by ANDERSON,PAUL",1
08:51,"GOOD JUMPER by BERGER,RYAN",23 (+5),,18,,MILSAP 23-18 (+5),,"GOOD JUMPER by BERGER,RYAN",1
08:28,,,,,"TURNOVER  by GREDIC,KWAMERE",,,"TURNOVER  by GREDIC,KWAMERE",1
08:27,"STEAL  by DETILLIEU,RYAN",,,,,,,"STEAL  by DETILLIEU,RYAN",1
08:20,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
08:20,"SUB IN by DETILLIEU,RYAN",,,,,,,"SUB IN by DETILLIEU,RYAN",1
08:20,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
08:20,"SUB OUT by MCELVEEN,MAC",,,,,,,"SUB OUT by MCELVEEN,MAC",1
08:20,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
08:20,,,,,"SUB IN by LOWE,O'DARIUS",,,"SUB IN by LOWE,O'DARIUS",1
08:20,,,,,"SUB OUT by MYERS,ETHAN",,,"SUB OUT by MYERS,ETHAN",1
08:10,,,,,"MISS 3PTR by MYERS,ETHAN",,,"MISS 3PTR by MYERS,ETHAN",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
07:58,,,,,"FOUL  by MYERS,ETHAN",,,"FOUL  by MYERS,ETHAN",1
07:48,,,,,"SUB IN by MYERS,ETHAN",,,"SUB IN by MYERS,ETHAN",1
07:48,,,,,"SUB OUT by BOWENS,JOHNATHAN",,,"SUB OUT by BOWENS,JOHNATHAN",1
07:46,"MISS 3PTR by BERGER,RYAN",,,,,,,"MISS 3PTR by BERGER,RYAN",1
--,,,,,"REBOUND DEF by LOWE,O'DARIUS",,,"REBOUND DEF by LOWE,O'DARIUS",1
07:34,,23 (+3),,20,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",RC 23-20 (+3),,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",1
07:17,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",25 (+5),,20,,MILSAP 25-20 (+5),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",1
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",1
07:04,,25 (+2),,23,"GOOD 3PTR by MYERS,ETHAN",RC 25-23 (+2),,"GOOD 3PTR by MYERS,ETHAN",1
--,,,,,"ASSIST  by GREDIC,KWAMERE",,,"ASSIST  by GREDIC,KWAMERE",1
06:46,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by GREDIC,KWAMERE",,,"REBOUND DEF by GREDIC,KWAMERE",1
06:31,,,,,"MISS 3PTR by MYERS,ETHAN",,,"MISS 3PTR by MYERS,ETHAN",1
