Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
20:00,"MISS JUMPER by MCELVEEN,MAC",,,,,,,"MISS JUMPER by MCELVEEN,MAC",1
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1
19:47,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
19:40,"GOOD LAYUP by MCELVEEN,MAC(fastbreak)(in the paint)",2 (+2),,0,,MILLSAPS 2-0 (+2),,"GOOD LAYUP by MCELVEEN,MAC(fastbreak)(in the paint)",1
19:28,,2,,3 (+1),"GOOD 3PTR by WHALEN,MAC",BCM 2-3 (-1),,"GOOD 3PTR by WHALEN,MAC",1
18:59,"GOOD 3PTR by ROBERTSON,MARC",5 (+2),,3,,MILLSAPS 5-3 (+2),,"GOOD 3PTR by ROBERTSON,MARC",1
18:26,,,,,"TURNOVER  by WHALEN,MAC",,,"TURNOVER  by WHALEN,MAC",1
18:24,"STEAL  by FREBIS,RONNIE",,,,,,,"STEAL  by FREBIS,RONNIE",1
18:21,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",7 (+4),,3,,MILLSAPS 7-3 (+4),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",1
--,"ASSIST  by AUBERT,DUSTIN",,,,,,,"ASSIST  by AUBERT,DUSTIN",1
17:40,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:20,"FOUL  by AUBERT,DUSTIN",,,,,,,"FOUL  by AUBERT,DUSTIN",1
17:08,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",1
--,,,,,"REBOUND OFF by GRAHAM,LAKE",,,"REBOUND OFF by GRAHAM,LAKE",1
16:54,,,,,"MISS 3PTR by SMOAK,HUNTER",,,"MISS 3PTR by SMOAK,HUNTER",1
--,,,,,"REBOUND OFF by JACOBS,OWEN",,,"REBOUND OFF by JACOBS,OWEN",1
16:48,,7 (+2),,5,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 7-5 (+2),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
16:15,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",9 (+4),,5,,MILLSAPS 9-5 (+4),,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",1
16:08,"FOUL  by MCELVEEN,MAC",,,,,,,"FOUL  by MCELVEEN,MAC",1
16:08,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",1
16:08,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",1
16:08,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",1
--,"REBOUND OFF by FREBIS,RONNIE",,,,,,,"REBOUND OFF by FREBIS,RONNIE",1
16:08,"MISS LAYUP by FREBIS,RONNIE",,,,,,,"MISS LAYUP by FREBIS,RONNIE",1
--,,,,,"REBOUND DEF by SMOAK,HUNTER",,,"REBOUND DEF by SMOAK,HUNTER",1
16:08,,9 (+2),,7,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 9-7 (+2),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",1
16:08,"MISS LAYUP by ROBERTSON,MARC",,,,,,,"MISS LAYUP by ROBERTSON,MARC",1
--,"REBOUND OFF by FREBIS,RONNIE",,,,,,,"REBOUND OFF by FREBIS,RONNIE",1
16:08,"MISS LAYUP by FREBIS,RONNIE",,,,,,,"MISS LAYUP by FREBIS,RONNIE",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
16:08,,,,,"MISS 3PTR by SMOAK,HUNTER",,,"MISS 3PTR by SMOAK,HUNTER",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
16:08,,9,,9,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 9-9 (0),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
16:08,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
16:08,,9,,11 (+2),"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 9-11 (-2),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
16:08,"GOOD JUMPER by FREBIS,RONNIE",11,,11,,MILLSAPS 11-11 (0),,"GOOD JUMPER by FREBIS,RONNIE",1
--,"ASSIST  by DEILLIEU,RYAN",,,,,,,"ASSIST  by DEILLIEU,RYAN",1
16:08,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
16:08,"SUB OUT by MCELVEEN,MAC",,,,,,,"SUB OUT by MCELVEEN,MAC",1
16:08,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
16:08,,,,,"SUB IN by COTTER,DOUGLAS",,,"SUB IN by COTTER,DOUGLAS",1
16:08,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",1
13:11,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",1
13:11,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
