Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,SUM,Game Score,Team Indicator,Play,Period
13:50,,9,,11 (+2),"GOOD FT by GREEN,AVERY",SUM 9-11 (-2),,"GOOD FT by GREEN,AVERY",1
13:39,,,,,"FOUL  by GREEN,AVERY",,,"FOUL  by GREEN,AVERY",1
13:39,,,,,"SUB IN by PATTERSON,AARON",,,"SUB IN by PATTERSON,AARON",1
13:39,,,,,"SUB OUT by GREEN,AVERY",,,"SUB OUT by GREEN,AVERY",1
13:23,"MISS JUMPER by FREBIS,RONNIE",,,,,,,"MISS JUMPER by FREBIS,RONNIE",1
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",1
13:20,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by MOODY,WALT",,,"REBOUND DEF by MOODY,WALT",1
13:12,"FOUL  by FREBIS,RONNIE",,,,,,,"FOUL  by FREBIS,RONNIE",1
13:12,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
13:12,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
13:12,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
13:12,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",1
12:57,,,,,"TURNOVER  by MOODY,WALT",,,"TURNOVER  by MOODY,WALT",1
12:56,"STEAL  by ROBERTSON,MARC",,,,,,,"STEAL  by ROBERTSON,MARC",1
12:53,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by MITCHELL,BRYCE",,,"REBOUND DEF by MITCHELL,BRYCE",1
12:43,,,,,"MISS 3PTR by PATTERSON,AARON",,,"MISS 3PTR by PATTERSON,AARON",1
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",1
12:38,,,,,"FOUL  by ALSTON,XAVIER",,,"FOUL  by ALSTON,XAVIER",1
12:07,"MISS 3PTR by FILLINGIM,DANIEL",,,,,,,"MISS 3PTR by FILLINGIM,DANIEL",1
--,"REBOUND OFF by ROBERTSON,MARC",,,,,,,"REBOUND OFF by ROBERTSON,MARC",1
11:55,"GOOD JUMPER by BERGER,RYAN(in the paint)",11,,11,,MILLSAPS 11-11 (0),,"GOOD JUMPER by BERGER,RYAN(in the paint)",1
11:45,,,,,"TURNOVER  by ALSTON,XAVIER",,,"TURNOVER  by ALSTON,XAVIER",1
11:44,"STEAL  by BERGER,RYAN",,,,,,,"STEAL  by BERGER,RYAN",1
11:36,"MISS JUMPER by FILLINGIM,DANIEL",,,,,,,"MISS JUMPER by FILLINGIM,DANIEL",1
--,,,,,"REBOUND DEF by ALSTON,XAVIER",,,"REBOUND DEF by ALSTON,XAVIER",1
11:12,,,,,"TURNOVER  by ALSTON,XAVIER",,,"TURNOVER  by ALSTON,XAVIER",1
11:12,,,,,"FOUL  by ALSTON,XAVIER",,,"FOUL  by ALSTON,XAVIER",1
11:12,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",1
11:12,"SUB IN by HANTSAD,RAJAN",,,,,,,"SUB IN by HANTSAD,RAJAN",1
11:12,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
11:12,"SUB OUT by FILLINGIM,DANIEL",,,,,,,"SUB OUT by FILLINGIM,DANIEL",1
11:12,,,,,"SUB IN by LECSAINT,KEVIN",,,"SUB IN by LECSAINT,KEVIN",1
11:12,,,,,"SUB IN by RUDISILL,CJ",,,"SUB IN by RUDISILL,CJ",1
11:12,,,,,"SUB OUT by ALSTON,XAVIER",,,"SUB OUT by ALSTON,XAVIER",1
11:12,,,,,"SUB OUT by STREET,JAYLEN",,,"SUB OUT by STREET,JAYLEN",1
11:03,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",1
11:02,,,,,"STEAL  by MITCHELL,BRYCE",,,"STEAL  by MITCHELL,BRYCE",1
11:00,,11,,13 (+2),"GOOD LAYUP by MITCHELL,BRYCE(fastbreak)(in the paint)",SUM 11-13 (-2),,"GOOD LAYUP by MITCHELL,BRYCE(fastbreak)(in the paint)",1
10:27,"TURNOVER  by MCELVEEN,MAC",,,,,,,"TURNOVER  by MCELVEEN,MAC",1
10:08,,,,,"MISS 3PTR by PATTERSON,AARON",,,"MISS 3PTR by PATTERSON,AARON",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
09:57,"TURNOVER  by MCELVEEN,MAC",,,,,,,"TURNOVER  by MCELVEEN,MAC",1
09:56,,,,,"STEAL  by PATTERSON,AARON",,,"STEAL  by PATTERSON,AARON",1
09:37,"FOUL  by HANTSAD,RAJAN",,,,,,,"FOUL  by HANTSAD,RAJAN",1
09:37,,,,,"SUB IN by CARITHERS,JARED",,,"SUB IN by CARITHERS,JARED",1
09:37,,,,,"SUB OUT by MITCHELL,BRYCE",,,"SUB OUT by MITCHELL,BRYCE",1
09:36,,,,,"MISS 3PTR by CARITHERS,JARED",,,"MISS 3PTR by CARITHERS,JARED",1
--,,,,,"REBOUND OFF by PATTERSON,AARON",,,"REBOUND OFF by PATTERSON,AARON",1
09:16,,11,,16 (+5),"GOOD 3PTR by CARITHERS,JARED",SUM 11-16 (-5),,"GOOD 3PTR by CARITHERS,JARED",1
--,,,,,"ASSIST  by RUDISILL,CJ",,,"ASSIST  by RUDISILL,CJ",1
08:57,"MISS 3PTR by HANTSAD,RAJAN",,,,,,,"MISS 3PTR by HANTSAD,RAJAN",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
08:49,,,,,"FOUL  by CARITHERS,JARED",,,"FOUL  by CARITHERS,JARED",1
08:49,"GOOD FT by KASTNER,MURRAY",12,,16 (+4),,MILLSAPS 12-16 (-4),,"GOOD FT by KASTNER,MURRAY",1
08:49,"GOOD FT by KASTNER,MURRAY",13,,16 (+3),,MILLSAPS 13-16 (-3),,"GOOD FT by KASTNER,MURRAY",1
08:49,"SUB IN by DEILLIEU,RYAN",,,,,,,"SUB IN by DEILLIEU,RYAN",1
08:49,"SUB IN by FILLINGIM,DANIEL",,,,,,,"SUB IN by FILLINGIM,DANIEL",1
08:49,"SUB OUT by MCELVEEN,MAC",,,,,,,"SUB OUT by MCELVEEN,MAC",1
08:49,"SUB OUT by HANTSAD,RAJAN",,,,,,,"SUB OUT by HANTSAD,RAJAN",1
08:49,,,,,"SUB IN by SERAILE,DANTE",,,"SUB IN by SERAILE,DANTE",1
08:49,,,,,"SUB OUT by MOODY,WALT",,,"SUB OUT by MOODY,WALT",1
08:29,,,,,"MISS LAYUP by LECSAINT,KEVIN",,,"MISS LAYUP by LECSAINT,KEVIN",1
--,"REBOUND DEF by DEILLIEU,RYAN",,,,,,,"REBOUND DEF by DEILLIEU,RYAN",1
08:20,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by RUDISILL,CJ",,,"REBOUND DEF by RUDISILL,CJ",1
08:13,,,,,"MISS JUMPER by CARITHERS,JARED",,,"MISS JUMPER by CARITHERS,JARED",1
--,,,,,"REBOUND OFF by CARITHERS,JARED",,,"REBOUND OFF by CARITHERS,JARED",1
07:54,,,,,"MISS JUMPER by CARITHERS,JARED",,,"MISS JUMPER by CARITHERS,JARED",1
07:54,"BLOCK  by BERGER,RYAN",,,,,,,"BLOCK  by BERGER,RYAN",1
--,"REBOUND DEF by FILLINGIM,DANIEL",,,,,,,"REBOUND DEF by FILLINGIM,DANIEL",1
07:31,"GOOD LAYUP by BERGER,RYAN(in the paint)",15,,16 (+1),,MILLSAPS 15-16 (-1),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
07:28,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:28,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",1
07:28,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
07:19,,,,,"MISS 3PTR by RUDISILL,CJ",,,"MISS 3PTR by RUDISILL,CJ",1
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",1
07:16,,,,,"FOUL  by LECSAINT,KEVIN",,,"FOUL  by LECSAINT,KEVIN",1
07:16,"GOOD FT by FREBIS,RONNIE",16,,16,,MILLSAPS 16-16 (0),,"GOOD FT by FREBIS,RONNIE",1
07:16,"GOOD FT by FREBIS,RONNIE",17 (+1),,16,,MILLSAPS 17-16 (+1),,"GOOD FT by FREBIS,RONNIE",1
07:16,,,,,"SUB IN by MCEATHRON,ELI",,,"SUB IN by MCEATHRON,ELI",1
07:16,,,,,"SUB IN by STARKS,JIMI",,,"SUB IN by STARKS,JIMI",1
07:16,,,,,"SUB OUT by PATTERSON,AARON",,,"SUB OUT by PATTERSON,AARON",1
07:16,,,,,"SUB OUT by RUDISILL,CJ",,,"SUB OUT by RUDISILL,CJ",1
06:58,,17,,18 (+1),"GOOD JUMPER by STARKS,JIMI(in the paint)",SUM 17-18 (-1),,"GOOD JUMPER by STARKS,JIMI(in the paint)",1
06:21,"MISS JUMPER by FILLINGIM,DANIEL",,,,,,,"MISS JUMPER by FILLINGIM,DANIEL",1
--,,,,,"REBOUND DEF by LECSAINT,KEVIN",,,"REBOUND DEF by LECSAINT,KEVIN",1
06:05,,17,,20 (+3),"GOOD LAYUP by CARITHERS,JARED(in the paint)",SUM 17-20 (-3),,"GOOD LAYUP by CARITHERS,JARED(in the paint)",1
05:37,"GOOD JUMPER by FREBIS,RONNIE(in the paint)",19,,20 (+1),,MILLSAPS 19-20 (-1),,"GOOD JUMPER by FREBIS,RONNIE(in the paint)",1
--,"ASSIST  by BERGER,RYAN",,,,,,,"ASSIST  by BERGER,RYAN",1
05:21,,19,,23 (+4),"GOOD 3PTR by CARITHERS,JARED",SUM 19-23 (-4),,"GOOD 3PTR by CARITHERS,JARED",1
--,,,,,"ASSIST  by LECSAINT,KEVIN",,,"ASSIST  by LECSAINT,KEVIN",1
05:05,"MISS LAYUP by DEILLIEU,RYAN",,,,,,,"MISS LAYUP by DEILLIEU,RYAN",1
--,,,,,"REBOUND DEF by LECSAINT,KEVIN",,,"REBOUND DEF by LECSAINT,KEVIN",1
04:42,,,,,"TURNOVER  by LECSAINT,KEVIN",,,"TURNOVER  by LECSAINT,KEVIN",1
04:42,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
04:42,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
04:42,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
04:42,"SUB OUT by DEILLIEU,RYAN",,,,,,,"SUB OUT by DEILLIEU,RYAN",1
04:42,"SUB OUT by FILLINGIM,DANIEL",,,,,,,"SUB OUT by FILLINGIM,DANIEL",1
04:42,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
04:42,,,,,"SUB IN by MITCHELL,BRYCE",,,"SUB IN by MITCHELL,BRYCE",1
04:42,,,,,"SUB OUT by CARITHERS,JARED",,,"SUB OUT by CARITHERS,JARED",1
04:33,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:57,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",1
03:57,,,,,"MISS FT by MCEATHRON,ELI",,,"MISS FT by MCEATHRON,ELI",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:57,,19,,24 (+5),"GOOD FT by MCEATHRON,ELI",SUM 19-24 (-5),,"GOOD FT by MCEATHRON,ELI",1
03:57,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
03:57,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
03:57,,,,,"SUB IN by STREET,JAYLEN",,,"SUB IN by STREET,JAYLEN",1
03:57,,,,,"SUB IN by MURPH,KYLE",,,"SUB IN by MURPH,KYLE",1
03:57,,,,,"SUB OUT by SERAILE,DANTE",,,"SUB OUT by SERAILE,DANTE",1
03:57,,,,,"SUB OUT by LECSAINT,KEVIN",,,"SUB OUT by LECSAINT,KEVIN",1
03:39,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
03:29,,,,,"MISS 3PTR by MCEATHRON,ELI",,,"MISS 3PTR by MCEATHRON,ELI",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:09,,,,,"FOUL  by STARKS,JIMI",,,"FOUL  by STARKS,JIMI",1
03:09,"GOOD FT by GAGEN,BRENNAN",20,,24 (+4),,MILLSAPS 20-24 (-4),,"GOOD FT by GAGEN,BRENNAN",1
03:09,"MISS FT by GAGEN,BRENNAN",,,,,,,"MISS FT by GAGEN,BRENNAN",1
--,"REBOUND OFF by FREBIS,RONNIE",,,,,,,"REBOUND OFF by FREBIS,RONNIE",1
03:06,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by STREET,JAYLEN",,,"REBOUND DEF by STREET,JAYLEN",1
03:02,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",1
03:02,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
03:02,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",1
02:49,,,,,"MISS 3PTR by MCEATHRON,ELI",,,"MISS 3PTR by MCEATHRON,ELI",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:32,"MISS LAYUP by AUBERT,DUSTIN",,,,,,,"MISS LAYUP by AUBERT,DUSTIN",1
02:32,,,,,"BLOCK  by MURPH,KYLE",,,"BLOCK  by MURPH,KYLE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:23,,,,,"FOUL  by STARKS,JIMI",,,"FOUL  by STARKS,JIMI",1
02:23,"GOOD FT by GERCHOW,ALEX",21,,24 (+3),,MILLSAPS 21-24 (-3),,"GOOD FT by GERCHOW,ALEX",1
02:23,"GOOD FT by GERCHOW,ALEX",22,,24 (+2),,MILLSAPS 22-24 (-2),,"GOOD FT by GERCHOW,ALEX",1
02:23,"SUB IN by FILLINGIM,DANIEL",,,,,,,"SUB IN by FILLINGIM,DANIEL",1
02:23,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
02:23,,,,,"SUB IN by MOODY,WALT",,,"SUB IN by MOODY,WALT",1
02:23,,,,,"SUB OUT by STARKS,JIMI",,,"SUB OUT by STARKS,JIMI",1
02:14,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
02:14,,22,,25 (+3),"GOOD FT by STREET,JAYLEN",SUM 22-25 (-3),,"GOOD FT by STREET,JAYLEN",1
02:14,,,,,"MISS FT by STREET,JAYLEN",,,"MISS FT by STREET,JAYLEN",1
--,,,,,"REBOUND OFF by MOODY,WALT",,,"REBOUND OFF by MOODY,WALT",1
02:11,,,,,"TURNOVER  by STREET,JAYLEN",,,"TURNOVER  by STREET,JAYLEN",1
01:59,,,,,"FOUL  by MURPH,KYLE",,,"FOUL  by MURPH,KYLE",1
01:59,"GOOD FT by GERCHOW,ALEX",23,,25 (+2),,MILLSAPS 23-25 (-2),,"GOOD FT by GERCHOW,ALEX",1
01:59,"GOOD FT by GERCHOW,ALEX",24,,25 (+1),,MILLSAPS 24-25 (-1),,"GOOD FT by GERCHOW,ALEX",1
01:59,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
01:59,"SUB OUT by FILLINGIM,DANIEL",,,,,,,"SUB OUT by FILLINGIM,DANIEL",1
01:59,,,,,"SUB IN by RUDISILL,CJ",,,"SUB IN by RUDISILL,CJ",1
01:59,,,,,"SUB OUT by MURPH,KYLE",,,"SUB OUT by MURPH,KYLE",1
01:53,,,,,"TURNOVER  by MITCHELL,BRYCE",,,"TURNOVER  by MITCHELL,BRYCE",1
01:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:24,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",1
01:19,,,,,"FOUL  by STREET,JAYLEN",,,"FOUL  by STREET,JAYLEN",1
01:19,"MISS FT by GERCHOW,ALEX",,,,,,,"MISS FT by GERCHOW,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:19,"MISS FT by GERCHOW,ALEX",,,,,,,"MISS FT by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by LECSAINT,KEVIN",,,"REBOUND DEF by LECSAINT,KEVIN",1
01:19,,,,,"SUB IN by LECSAINT,KEVIN",,,"SUB IN by LECSAINT,KEVIN",1
01:19,,,,,"SUB OUT by STREET,JAYLEN",,,"SUB OUT by STREET,JAYLEN",1
01:04,,,,,"MISS JUMPER by MITCHELL,BRYCE",,,"MISS JUMPER by MITCHELL,BRYCE",1
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",1
00:30,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by RUDISILL,CJ",,,"REBOUND DEF by RUDISILL,CJ",1
00:05,,,,,"MISS 3PTR by RUDISILL,CJ",,,"MISS 3PTR by RUDISILL,CJ",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
19:50,"TURNOVER  by MCELVEEN,MAC",,,,,,,"TURNOVER  by MCELVEEN,MAC",2
19:36,,24,,28 (+4),"GOOD 3PTR by RUDISILL,CJ",SUM 24-28 (-4),,"GOOD 3PTR by RUDISILL,CJ",2
--,,,,,"ASSIST  by GREEN,AVERY",,,"ASSIST  by GREEN,AVERY",2
19:26,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
19:26,,,,,"STEAL  by RUDISILL,CJ",,,"STEAL  by RUDISILL,CJ",2
19:22,,,,,"MISS JUMPER by GREEN,AVERY",,,"MISS JUMPER by GREEN,AVERY",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
18:53,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",2
18:42,,24,,30 (+6),"GOOD JUMPER by CARITHERS,JARED",SUM 24-30 (-6),,"GOOD JUMPER by CARITHERS,JARED",2
18:15,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
18:15,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
18:02,,,,,"TURNOVER  by LECSAINT,KEVIN",,,"TURNOVER  by LECSAINT,KEVIN",2
18:02,,,,,"FOUL  by LECSAINT,KEVIN",,,"FOUL  by LECSAINT,KEVIN",2
17:36,"MISS JUMPER by FREBIS,RONNIE",,,,,,,"MISS JUMPER by FREBIS,RONNIE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:28,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",2
17:15,,24,,32 (+8),"GOOD LAYUP by RUDISILL,CJ(in the paint)",SUM 24-32 (-8),,"GOOD LAYUP by RUDISILL,CJ(in the paint)",2
--,,,,,"ASSIST  by LECSAINT,KEVIN",,,"ASSIST  by LECSAINT,KEVIN",2
17:01,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",26,,32 (+6),,MILLSAPS 26-32 (-6),,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",2
17:00,,,,,"FOUL  by STARKS,JIMI",,,"FOUL  by STARKS,JIMI",2
17:00,"GOOD FT by MCELVEEN,MAC",27,,32 (+5),,MILLSAPS 27-32 (-5),,"GOOD FT by MCELVEEN,MAC",2
17:00,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
