Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
16:26,,7 (+3),,4,"GOOD JUMPER by MCELVEEN,MAC(in the paint)",MILLSAPS 7-4 (-3),,"GOOD JUMPER by MCELVEEN,MAC(in the paint)",1
16:06,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",1
16:06,"GOOD FT by KINNEY,JORDAN",8 (+4),,4,,OUM 8-4 (-4),,"GOOD FT by KINNEY,JORDAN",1
16:06,"GOOD FT by KINNEY,JORDAN",9 (+5),,4,,OUM 9-4 (-5),,"GOOD FT by KINNEY,JORDAN",1
15:44,,9 (+3),,6,"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 9-6 (-3),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
15:32,"MISS LAYUP by DAVIS,ALEX",,,,,,,"MISS LAYUP by DAVIS,ALEX",1
--,"REBOUND OFF by KINNEY,JORDAN",,,,,,,"REBOUND OFF by KINNEY,JORDAN",1
15:29,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",11 (+5),,6,,OUM 11-6 (-5),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
15:27,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
15:27,"GOOD FT by KINNEY,JORDAN",12 (+6),,6,,OUM 12-6 (-6),,"GOOD FT by KINNEY,JORDAN",1
15:02,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by ROHLFS,VICTOR",,,,,,,"REBOUND DEF by ROHLFS,VICTOR",1
14:44,"MISS 3PTR by ROHLFS,VICTOR",,,,,,,"MISS 3PTR by ROHLFS,VICTOR",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
14:39,"FOUL  by COURSON,TYLER",,,,,,,"FOUL  by COURSON,TYLER",1
14:39,"SUB IN by ROMAGUERA,COLE",,,,,,,"SUB IN by ROMAGUERA,COLE",1
14:39,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",1
14:39,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
14:39,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
14:39,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
14:39,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
14:24,,12 (+4),,8,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 12-8 (-4),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",1
--,,,,,"ASSIST  by MCELVEEN,MAC",,,"ASSIST  by MCELVEEN,MAC",1
14:07,"MISS LAYUP by ROHLFS,VICTOR",,,,,,,"MISS LAYUP by ROHLFS,VICTOR",1
14:07,,,,,"BLOCK  by GILLIGAN,TULLY",,,"BLOCK  by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
14:00,,12 (+2),,10,"GOOD JUMPER by KASTNER,MURRAY",MILLSAPS 12-10 (-2),,"GOOD JUMPER by KASTNER,MURRAY",1
13:54,"GOOD LAYUP by SIGRIST,CONNOR(fastbreak)(in the paint)",14 (+4),,10,,OUM 14-10 (-4),,"GOOD LAYUP by SIGRIST,CONNOR(fastbreak)(in the paint)",1
--,"ASSIST  by ROHLFS,VICTOR",,,,,,,"ASSIST  by ROHLFS,VICTOR",1
13:50,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
13:50,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
13:39,,14 (+1),,13,"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 14-13 (-1),,"GOOD 3PTR by KASTNER,MURRAY",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
13:17,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
13:09,,,,,"MISS LAYUP by AUBERT,DUSTIN",,,"MISS LAYUP by AUBERT,DUSTIN",1
--,"REBOUND DEF by ROMAGUERA,COLE",,,,,,,"REBOUND DEF by ROMAGUERA,COLE",1
13:02,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
12:25,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",1
12:22,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
12:21,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",1
12:21,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",1
12:21,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
12:21,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
12:21,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",1
12:21,"SUB OUT by ROMAGUERA,COLE",,,,,,,"SUB OUT by ROMAGUERA,COLE",1
12:04,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
11:56,,14,,16 (+2),"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 14-16 (+2),,"GOOD 3PTR by KASTNER,MURRAY",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
11:27,"GOOD LAYUP by DAVIS,ALEX(in the paint)",16,,16,,OUM 16-16 (0),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",1
--,"ASSIST  by ROHLFS,VICTOR",,,,,,,"ASSIST  by ROHLFS,VICTOR",1
10:57,,16,,18 (+2),"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 16-18 (+2),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",1
10:42,"GOOD JUMPER by KINNEY,JORDAN",18,,18,,OUM 18-18 (0),,"GOOD JUMPER by KINNEY,JORDAN",1
10:40,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:40,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",1
10:40,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",1
10:34,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
10:34,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
10:32,,,,,"MISS LAYUP by FREBIS,RONNIE",,,"MISS LAYUP by FREBIS,RONNIE",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
10:28,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
10:28,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
10:14,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",1
10:05,"GOOD JUMPER by COURSON,TYLER",20 (+2),,18,,OUM 20-18 (-2),,"GOOD JUMPER by COURSON,TYLER",1
09:47,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
09:43,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",1
09:43,"GOOD FT by DAVIS,ALEX",21 (+3),,18,,OUM 21-18 (-3),,"GOOD FT by DAVIS,ALEX",1
09:43,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
09:43,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
09:43,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
09:43,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
09:43,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
09:43,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
09:42,"MISS FT by DAVIS,ALEX",,,,,,,"MISS FT by DAVIS,ALEX",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
09:23,,21 (+1),,20,"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 21-20 (-1),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
09:02,"MISS JUMPER by KINNEY,JORDAN",,,,,,,"MISS JUMPER by KINNEY,JORDAN",1
--,"REBOUND OFF by KINNEY,JORDAN",,,,,,,"REBOUND OFF by KINNEY,JORDAN",1
08:58,"MISS 3PTR by DAVIS,ALEX",,,,,,,"MISS 3PTR by DAVIS,ALEX",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
08:26,,21,,22 (+1),"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 21-22 (+1),,"GOOD JUMPER by MCELVEEN,MAC",1
08:23,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
08:23,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
08:09,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",1
08:08,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
07:49,"FOUL  by SMITH,CONNOR",,,,,,,"FOUL  by SMITH,CONNOR",1
07:30,,21,,24 (+3),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 21-24 (+3),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
07:19,"MISS 3PTR by ROHLFS,VICTOR",,,,,,,"MISS 3PTR by ROHLFS,VICTOR",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
07:10,,21,,26 (+5),"GOOD DUNK by BERGER,RYAN(fastbreak)(in the paint)",MILLSAPS 21-26 (+5),,"GOOD DUNK by BERGER,RYAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
07:10,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:58,"GOOD LAYUP by DAVIS,ALEX(in the paint)",23,,26 (+3),,OUM 23-26 (+3),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",1
06:22,,23,,29 (+6),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 23-29 (+6),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
05:58,"MISS LAYUP by DAVIS,ALEX",,,,,,,"MISS LAYUP by DAVIS,ALEX",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
05:52,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",1
05:52,"SUB OUT by ROHLFS,VICTOR",,,,,,,"SUB OUT by ROHLFS,VICTOR",1
05:37,,23,,31 (+8),"GOOD JUMPER by ROBERTSON,MARC",MILLSAPS 23-31 (+8),,"GOOD JUMPER by ROBERTSON,MARC",1
05:19,"MISS JUMPER by COURSON,TYLER",,,,,,,"MISS JUMPER by COURSON,TYLER",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
05:10,,23,,33 (+10),"GOOD LAYUP by BERGER,RYAN(fastbreak)(in the paint)",MILLSAPS 23-33 (+10),,"GOOD LAYUP by BERGER,RYAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
05:07,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:07,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
05:07,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
04:56,"SUB IN by ROHLFS,VICTOR",,,,,,,"SUB IN by ROHLFS,VICTOR",1
04:56,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
04:50,"MISS JUMPER by ROHLFS,VICTOR",,,,,,,"MISS JUMPER by ROHLFS,VICTOR",1
--,"REBOUND OFF by SMITH,CONNOR",,,,,,,"REBOUND OFF by SMITH,CONNOR",1
04:39,"MISS LAYUP by DAVIS,ALEX",,,,,,,"MISS LAYUP by DAVIS,ALEX",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
04:11,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
04:10,"STEAL  by DAVIS,ALEX",,,,,,,"STEAL  by DAVIS,ALEX",1
04:06,"GOOD LAYUP by DAVIS,ALEX(fastbreak)(in the paint)",25,,33 (+8),,OUM 25-33 (+8),,"GOOD LAYUP by DAVIS,ALEX(fastbreak)(in the paint)",1
03:20,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
03:04,"MISS JUMPER by COURSON,TYLER",,,,,,,"MISS JUMPER by COURSON,TYLER",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
02:26,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",1
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",1
02:21,"MISS LAYUP by PERRY,WILL",,,,,,,"MISS LAYUP by PERRY,WILL",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
02:15,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,"REBOUND DEF by DAVIS,ALEX",,,,,,,"REBOUND DEF by DAVIS,ALEX",1
02:07,"GOOD 3PTR by SMITH,CONNOR",28,,33 (+5),,OUM 28-33 (+5),,"GOOD 3PTR by SMITH,CONNOR",1
--,"ASSIST  by DAVIS,ALEX",,,,,,,"ASSIST  by DAVIS,ALEX",1
02:03,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:03,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
02:03,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
02:03,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
02:03,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
01:38,,,,,"MISS LAYUP by FREBIS,RONNIE",,,"MISS LAYUP by FREBIS,RONNIE",1
--,"REBOUND DEF by ROHLFS,VICTOR",,,,,,,"REBOUND DEF by ROHLFS,VICTOR",1
01:19,"GOOD LAYUP by PERRY,WILL(in the paint)",30,,33 (+3),,OUM 30-33 (+3),,"GOOD LAYUP by PERRY,WILL(in the paint)",1
00:41,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",1
00:09,"MISS 3PTR by ROHLFS,VICTOR",,,,,,,"MISS 3PTR by ROHLFS,VICTOR",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
00:00,,30,,36 (+6),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 30-36 (+6),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
19:46,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",2
19:42,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",2
19:17,"MISS LAYUP by KINNEY,JORDAN",,,,,,,"MISS LAYUP by KINNEY,JORDAN",2
--,"REBOUND OFF by DAVIS,ALEX",,,,,,,"REBOUND OFF by DAVIS,ALEX",2
19:14,"GOOD LAYUP by DAVIS,ALEX(in the paint)",32,,36 (+4),,OUM 32-36 (+4),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",2
18:55,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",2
18:44,"MISS LAYUP by DAVIS,ALEX",,,,,,,"MISS LAYUP by DAVIS,ALEX",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:24,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
18:11,,32,,39 (+7),"GOOD 3PTR by MCELVEEN,MAC",MILLSAPS 32-39 (+7),,"GOOD 3PTR by MCELVEEN,MAC",2
17:45,"TURNOVER  by DAVIS,ALEX",,,,,,,"TURNOVER  by DAVIS,ALEX",2
17:45,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",2
17:34,,32,,41 (+9),"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 32-41 (+9),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",2
17:33,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",2
17:33,,32,,42 (+10),"GOOD FT by BERGER,RYAN",MILLSAPS 32-42 (+10),,"GOOD FT by BERGER,RYAN",2
17:33,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",2
17:33,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",2
17:33,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
17:33,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
17:16,"GOOD LAYUP by DAVIS,ALEX(in the paint)",34,,42 (+8),,OUM 34-42 (+8),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",2
16:42,,34,,44 (+10),"GOOD JUMPER by AUBERT,DUSTIN(in the paint)",MILLSAPS 34-44 (+10),,"GOOD JUMPER by AUBERT,DUSTIN(in the paint)",2
16:25,"MISS JUMPER by ROHLFS,VICTOR",,,,,,,"MISS JUMPER by ROHLFS,VICTOR",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
16:17,"FOUL  by PERRY,WILL",,,,,,,"FOUL  by PERRY,WILL",2
16:17,,34,,45 (+11),"GOOD FT by GILLIGAN,TULLY",MILLSAPS 34-45 (+11),,"GOOD FT by GILLIGAN,TULLY",2
16:17,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",2
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",2
15:48,"TURNOVER  by PERRY,WILL",,,,,,,"TURNOVER  by PERRY,WILL",2
15:32,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",2
15:18,,34,,47 (+13),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 34-47 (+13),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
15:06,"MISS 3PTR by PERRY,WILL",,,,,,,"MISS 3PTR by PERRY,WILL",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
14:44,,,,,"MISS LAYUP by MCELVEEN,MAC",,,"MISS LAYUP by MCELVEEN,MAC",2
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",2
14:37,"GOOD LAYUP by COURSON,TYLER(fastbreak)(in the paint)",36,,47 (+11),,OUM 36-47 (+11),,"GOOD LAYUP by COURSON,TYLER(fastbreak)(in the paint)",2
14:34,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:34,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",2
14:34,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",2
14:34,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
14:34,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
14:15,,36,,49 (+13),"GOOD LAYUP by KASTNER,MURRAY(in the paint)",MILLSAPS 36-49 (+13),,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
13:54,"GOOD JUMPER by KINNEY,JORDAN(in the paint)",38,,49 (+11),,OUM 38-49 (+11),,"GOOD JUMPER by KINNEY,JORDAN(in the paint)",2
--,"ASSIST  by DAVIS,ALEX",,,,,,,"ASSIST  by DAVIS,ALEX",2
13:20,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",2
13:10,"TURNOVER  by DAVIS,ALEX",,,,,,,"TURNOVER  by DAVIS,ALEX",2
12:48,,38,,52 (+14),"GOOD 3PTR by MCELVEEN,MAC",MILLSAPS 38-52 (+14),,"GOOD 3PTR by MCELVEEN,MAC",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
12:39,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",2
12:39,"MISS FT by DAVIS,ALEX",,,,,,,"MISS FT by DAVIS,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:39,"GOOD FT by DAVIS,ALEX",39,,52 (+13),,OUM 39-52 (+13),,"GOOD FT by DAVIS,ALEX",2
12:39,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",2
12:39,"SUB OUT by ROHLFS,VICTOR",,,,,,,"SUB OUT by ROHLFS,VICTOR",2
12:39,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",2
12:39,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
12:39,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
12:39,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
12:14,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",2
12:07,"MISS LAYUP by DAVIS,ALEX",,,,,,,"MISS LAYUP by DAVIS,ALEX",2
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",2
11:55,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
11:51,"SUB IN by ROMAGUERA,COLE",,,,,,,"SUB IN by ROMAGUERA,COLE",2
11:51,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",2
11:34,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",2
--,"REBOUND DEF by ROMAGUERA,COLE",,,,,,,"REBOUND DEF by ROMAGUERA,COLE",2
11:24,"GOOD JUMPER by COURSON,TYLER",41,,52 (+11),,OUM 41-52 (+11),,"GOOD JUMPER by COURSON,TYLER",2
10:59,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",2
10:59,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
10:59,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
