Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
13:21,,14 (+5),,9,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 14-9 (-5),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",1
12:54,"TURNOVER  by BARRETT,JORDAN",,,,,,,"TURNOVER  by BARRETT,JORDAN",1
12:43,,,,,"TURNOVER  by MCELVEEN,MAC",,,"TURNOVER  by MCELVEEN,MAC",1
12:42,"STEAL  by BARRETT,JORDAN",,,,,,,"STEAL  by BARRETT,JORDAN",1
12:38,"MISS LAYUP by BARRETT,JORDAN",,,,,,,"MISS LAYUP by BARRETT,JORDAN",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
12:33,"MISS LAYUP by LITTLEFIELD,GEAREN",,,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
12:27,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",1
12:27,,14 (+4),,10,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 14-10 (-4),,"GOOD FT by GILLIGAN,TULLY",1
12:27,,14 (+3),,11,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 14-11 (-3),,"GOOD FT by GILLIGAN,TULLY",1
12:14,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
12:14,,,,,"STEAL  by GAGEN,BRENNAN",,,"STEAL  by GAGEN,BRENNAN",1
12:10,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",1
12:10,,14 (+2),,12,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 14-12 (-2),,"GOOD FT by AUBERT,DUSTIN",1
12:10,,14 (+1),,13,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 14-13 (-1),,"GOOD FT by AUBERT,DUSTIN",1
11:58,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:37,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
11:29,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
11:29,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
11:07,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
11:06,"STEAL  by GUMM,GABE",,,,,,,"STEAL  by GUMM,GABE",1
10:49,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
10:49,,,,,"STEAL  by GERCHOW,ALEX",,,"STEAL  by GERCHOW,ALEX",1
10:49,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",1
10:49,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",1
10:49,"SUB OUT by VANCE,LUKE",,,,,,,"SUB OUT by VANCE,LUKE",1
10:49,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
10:49,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
10:49,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
10:49,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
10:38,,14,,15 (+1),"GOOD JUMPER by ROBERTSON,MARC",MILLSAPS 14-15 (+1),,"GOOD JUMPER by ROBERTSON,MARC",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
10:23,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",1
10:23,"SUB IN by PRIMM,COLTON",,,,,,,"SUB IN by PRIMM,COLTON",1
10:23,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
10:20,"GOOD JUMPER by CONARD,ALEC(in the paint)",16 (+1),,15,,HC 16-15 (-1),,"GOOD JUMPER by CONARD,ALEC(in the paint)",1
--,"ASSIST  by GUMM,GABE",,,,,,,"ASSIST  by GUMM,GABE",1
09:54,,16,,17 (+1),"GOOD JUMPER by GILLIGAN,TULLY",MILLSAPS 16-17 (+1),,"GOOD JUMPER by GILLIGAN,TULLY",1
09:39,"GOOD 3PTR by NIKOLOVSKI,DREW",19 (+2),,17,,HC 19-17 (-2),,"GOOD 3PTR by NIKOLOVSKI,DREW",1
--,"ASSIST  by GUMM,GABE",,,,,,,"ASSIST  by GUMM,GABE",1
09:24,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",1
09:04,,,,,"MISS JUMPER by AUBERT,DUSTIN",,,"MISS JUMPER by AUBERT,DUSTIN",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
08:53,"MISS 3PTR by CONARD,ALEC",,,,,,,"MISS 3PTR by CONARD,ALEC",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
08:18,,19,,20 (+1),"GOOD 3PTR by GILLIGAN,TULLY",MILLSAPS 19-20 (+1),,"GOOD 3PTR by GILLIGAN,TULLY",1
07:45,"MISS JUMPER by CONARD,ALEC",,,,,,,"MISS JUMPER by CONARD,ALEC",1
--,"REBOUND OFF by CONARD,ALEC",,,,,,,"REBOUND OFF by CONARD,ALEC",1
07:40,"FOUL  by CONARD,ALEC",,,,,,,"FOUL  by CONARD,ALEC",1
07:27,,,,,"MISS 3PTR by BERGER,RYAN",,,"MISS 3PTR by BERGER,RYAN",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
07:12,"MISS LAYUP by CONARD,ALEC",,,,,,,"MISS LAYUP by CONARD,ALEC",1
07:12,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
07:06,"FOUL  by BARRETT,JORDAN",,,,,,,"FOUL  by BARRETT,JORDAN",1
07:06,,,,,"MISS FT by AUBERT,DUSTIN",,,"MISS FT by AUBERT,DUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:06,,19,,21 (+2),"GOOD FT by AUBERT,DUSTIN",MILLSAPS 19-21 (+2),,"GOOD FT by AUBERT,DUSTIN",1
07:06,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
07:06,"SUB IN by TAULTON,JORDAN",,,,,,,"SUB IN by TAULTON,JORDAN",1
07:06,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",1
07:06,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",1
07:06,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
07:06,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
06:45,"GOOD LAYUP by PRIMM,COLTON(in the paint)",21,,21,,HC 21-21 (0),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",1
--,"ASSIST  by CONARD,ALEC",,,,,,,"ASSIST  by CONARD,ALEC",1
06:23,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
06:11,"TURNOVER  by TAULTON,JORDAN",,,,,,,"TURNOVER  by TAULTON,JORDAN",1
06:11,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",1
06:05,,21,,23 (+2),"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",MILLSAPS 21-23 (+2),,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",1
