Time Remaining,RUSTMBB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:39,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
19:13,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
19:07,"FOUL  by CLARK,JUSTYCE",,,,,,,"FOUL  by CLARK,JUSTYCE",1
19:07,,0,,1 (+1),"GOOD FT by GERCHOW,ALEX",MILLSAPS 0-1 (+1),,"GOOD FT by GERCHOW,ALEX",1
19:07,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",1
--,"REBOUND DEF by BOWENS,JOHNATHAN",,,,,,,"REBOUND DEF by BOWENS,JOHNATHAN",1
18:50,"TURNOVER  by SEALS,JORDAN",,,,,,,"TURNOVER  by SEALS,JORDAN",1
18:49,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
18:46,,0,,3 (+3),"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",MILLSAPS 0-3 (+3),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
18:25,"GOOD 3PTR by MYERS,ETHAN",3,,3,,RUSTMBB 3-3 (0),,"GOOD 3PTR by MYERS,ETHAN",1
--,"ASSIST  by BIRKS,ANDREW",,,,,,,"ASSIST  by BIRKS,ANDREW",1
18:06,,3,,5 (+2),"GOOD JUMPER by GERCHOW,ALEX(in the paint)",MILLSAPS 3-5 (+2),,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
