Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
13:45,"TURNOVER  by WHALEN,MAC",,,,,,,"TURNOVER  by WHALEN,MAC",1
13:44,,,,,"STEAL  by AUBERT,DUSTIN",,,"STEAL  by AUBERT,DUSTIN",1
13:41,,,,,"MISS LAYUP by MCELVEEN,MAC",,,"MISS LAYUP by MCELVEEN,MAC",1
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",1
13:38,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
13:10,"MISS JUMPER by SMOAK,HUNTER",,,,,,,"MISS JUMPER by SMOAK,HUNTER",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
13:04,"FOUL  by SMOAK,HUNTER",,,,,,,"FOUL  by SMOAK,HUNTER",1
13:04,,8,,9 (+1),"GOOD FT by GILLIGAN,TULLY",MILLSAPS 8-9 (+1),,"GOOD FT by GILLIGAN,TULLY",1
13:04,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
12:56,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",1
12:56,"SUB IN by COTTER,DOUGLAS",,,,,,,"SUB IN by COTTER,DOUGLAS",1
12:56,"SUB OUT by SMOAK,HUNTER",,,,,,,"SUB OUT by SMOAK,HUNTER",1
12:56,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
12:56,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
12:47,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
12:23,"FOUL  by MCCLOUD,LEE",,,,,,,"FOUL  by MCCLOUD,LEE",1
12:23,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
12:23,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
12:04,,,,,"TURNOVER  by MCELVEEN,MAC",,,"TURNOVER  by MCELVEEN,MAC",1
11:53,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
11:19,"FOUL  by WHALEN,MAC",,,,,,,"FOUL  by WHALEN,MAC",1
11:19,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:19,,8,,10 (+2),"GOOD FT by GERCHOW,ALEX",MILLSAPS 8-10 (+2),,"GOOD FT by GERCHOW,ALEX",1
11:06,"TURNOVER  by JACOBS,OWEN",,,,,,,"TURNOVER  by JACOBS,OWEN",1
10:41,,8,,12 (+4),"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 8-12 (+4),,"GOOD JUMPER by MCELVEEN,MAC",1
10:22,"MISS LAYUP by GRAHAM,LAKE",,,,,,,"MISS LAYUP by GRAHAM,LAKE",1
10:22,,,,,"BLOCK  by MCELVEEN,MAC",,,"BLOCK  by MCELVEEN,MAC",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
10:18,"FOUL  by MCCLOUD,LEE",,,,,,,"FOUL  by MCCLOUD,LEE",1
