Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
19:31,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
19:31,"STEAL  by CHAMBERS,DIMETRI",,,,,,,"STEAL  by CHAMBERS,DIMETRI",1
19:25,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2 (+2),,0,,OU 2-0 (-2),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",1
19:04,,2,,2,"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC-M 2-2 (0),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
18:52,"MISS LAYUP by FOSTER,LANE",,,,,,,"MISS LAYUP by FOSTER,LANE",1
--,,,,,"REBOUND DEF by SIGLER,EVAN",,,"REBOUND DEF by SIGLER,EVAN",1
18:45,,2,,4 (+2),"GOOD JUMPER by GONDA,MATT",BSC-M 2-4 (+2),,"GOOD JUMPER by GONDA,MATT",1
18:19,"MISS JUMPER by EZIGBO,UBA",,,,,,,"MISS JUMPER by EZIGBO,UBA",1
--,,,,,"REBOUND DEF by GONDA,MATT",,,"REBOUND DEF by GONDA,MATT",1
18:07,,2,,7 (+5),"GOOD 3PTR by SIGLER,EVAN",BSC-M 2-7 (+5),,"GOOD 3PTR by SIGLER,EVAN",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
17:50,"GOOD JUMPER by EZIGBO,UBA(in the paint)",4,,7 (+3),,OU 4-7 (+3),,"GOOD JUMPER by EZIGBO,UBA(in the paint)",1
17:40,,4,,9 (+5),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 4-9 (+5),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by GLOVER,CAMERON",,,"ASSIST  by GLOVER,CAMERON",1
17:18,"GOOD JUMPER by EZIGBO,UBA(in the paint)",6,,9 (+3),,OU 6-9 (+3),,"GOOD JUMPER by EZIGBO,UBA(in the paint)",1
--,"ASSIST  by JENEI,RYAN",,,,,,,"ASSIST  by JENEI,RYAN",1
17:12,,,,,"TURNOVER  by GLOVER,CAMERON",,,"TURNOVER  by GLOVER,CAMERON",1
16:52,"GOOD 3PTR by SONE,CARLOS",9,,9,,OU 9-9 (0),,"GOOD 3PTR by SONE,CARLOS",1
