Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
02:40,,33 (+3),,30,"GOOD JUMPER by MADISON,DAMIEN",Hunt 33-30 (+3),,"GOOD JUMPER by MADISON,DAMIEN",1
02:11,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND DEF by TONEY,CALEB",,,"REBOUND DEF by TONEY,CALEB",1
02:04,,,,,"TURNOVER  by TAYLOR,WILLIE",,,"TURNOVER  by TAYLOR,WILLIE",1
01:53,"GOOD 3PTR by GONDA,MATT",36 (+6),,30,,BSC 36-30 (+6),,"GOOD 3PTR by GONDA,MATT",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
01:40,,,,,"MISS 3PTR by TAYLOR,WILLIE",,,"MISS 3PTR by TAYLOR,WILLIE",1
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",1
01:28,"MISS 3PTR by STEWART,CHRISTIAN",,,,,,,"MISS 3PTR by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by MADISON,DAMIEN",,,"REBOUND DEF by MADISON,DAMIEN",1
01:16,,36 (+4),,32,"GOOD LAYUP by CLARK,TY",Hunt 36-32 (+4),,"GOOD LAYUP by CLARK,TY",1
01:06,"GOOD LAYUP by STEWART,CHRISTIAN",38 (+6),,32,,BSC 38-32 (+6),,"GOOD LAYUP by STEWART,CHRISTIAN",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
00:55,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:55,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
00:55,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
00:55,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
00:55,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
00:55,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
00:55,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
00:55,,,,,"SUB IN by JOHNSON,JUSTIN",,,"SUB IN by JOHNSON,JUSTIN",1
00:55,,,,,"SUB IN by ZACHERY,CEAUNTE",,,"SUB IN by ZACHERY,CEAUNTE",1
00:55,,,,,"SUB IN by HARRIS,JAMES",,,"SUB IN by HARRIS,JAMES",1
00:55,,,,,"SUB OUT by TONEY,CALEB",,,"SUB OUT by TONEY,CALEB",1
00:55,,,,,"SUB OUT by TAYLOR,WILLIE",,,"SUB OUT by TAYLOR,WILLIE",1
00:55,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",1
00:45,"FOUL  by O'SULLIVAN,CONOR",,,,,,,"FOUL  by O'SULLIVAN,CONOR",1
00:45,,,,,"MISS FT by CLARK,TY",,,"MISS FT by CLARK,TY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:45,,38 (+5),,33,"GOOD FT by CLARK,TY",Hunt 38-33 (+5),,"GOOD FT by CLARK,TY",1
00:45,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
00:45,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
00:45,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
00:45,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
00:26,"MISS 3PTR by GONDA,MATT",,,,,,,"MISS 3PTR by GONDA,MATT",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
00:24,,,,,"FOUL  by ZACHERY,CEAUNTE",,,"FOUL  by ZACHERY,CEAUNTE",1
00:21,"GOOD FT by STEWART,CHRISTIAN",39 (+6),,33,,BSC 39-33 (+6),,"GOOD FT by STEWART,CHRISTIAN",1
00:21,"GOOD FT by STEWART,CHRISTIAN",40 (+7),,33,,BSC 40-33 (+7),,"GOOD FT by STEWART,CHRISTIAN",1
00:21,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
00:21,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
00:21,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
00:21,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
00:21,,,,,"SUB IN by MARTIN,GRAHAM",,,"SUB IN by MARTIN,GRAHAM",1
00:21,,,,,"SUB OUT by CLARK,TY",,,"SUB OUT by CLARK,TY",1
00:06,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
19:50,,40 (+4),,36,"GOOD 3PTR by MADISON,DAMIEN",Hunt 40-36 (+4),,"GOOD 3PTR by MADISON,DAMIEN",2
--,,,,,"ASSIST  by ZACHERY,CEAUNTE",,,"ASSIST  by ZACHERY,CEAUNTE",2
19:30,"GOOD LAYUP by SIGLER,EVAN",42 (+6),,36,,BSC 42-36 (+6),,"GOOD LAYUP by SIGLER,EVAN",2
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",2
19:30,,,,,"FOUL  by PAGE,SAM",,,"FOUL  by PAGE,SAM",2
19:30,"MISS FT by SIGLER,EVAN",,,,,,,"MISS FT by SIGLER,EVAN",2
--,,,,,"REBOUND DEF by TONEY,CALEB",,,"REBOUND DEF by TONEY,CALEB",2
19:23,,,,,"TURNOVER  by MADISON,DAMIEN",,,"TURNOVER  by MADISON,DAMIEN",2
19:21,"STEAL  by SPENCE,BEN",,,,,,,"STEAL  by SPENCE,BEN",2
19:19,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",2
19:17,,,,,"STEAL  by TONEY,CALEB",,,"STEAL  by TONEY,CALEB",2
19:08,,,,,"MISS LAYUP by BOHLING,DYLAN",,,"MISS LAYUP by BOHLING,DYLAN",2
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",2
19:02,"MISS LAYUP by SPENCE,BEN",,,,,,,"MISS LAYUP by SPENCE,BEN",2
--,,,,,"REBOUND DEF by TONEY,CALEB",,,"REBOUND DEF by TONEY,CALEB",2
18:48,,42 (+4),,38,"GOOD JUMPER by MADISON,DAMIEN",Hunt 42-38 (+4),,"GOOD JUMPER by MADISON,DAMIEN",2
18:34,"GOOD JUMPER by STEWART,CHRISTIAN",44 (+6),,38,,BSC 44-38 (+6),,"GOOD JUMPER by STEWART,CHRISTIAN",2
--,"ASSIST  by SIGLER,EVAN",,,,,,,"ASSIST  by SIGLER,EVAN",2
18:23,,,,,"MISS 3PTR by PAGE,SAM",,,"MISS 3PTR by PAGE,SAM",2
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",2
17:56,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,,,,,"REBOUND DEF by TONEY,CALEB",,,"REBOUND DEF by TONEY,CALEB",2
17:49,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
17:49,,44 (+5),,39,"GOOD FT by MADISON,DAMIEN",Hunt 44-39 (+5),,"GOOD FT by MADISON,DAMIEN",2
17:49,,44 (+4),,40,"GOOD FT by MADISON,DAMIEN",Hunt 44-40 (+4),,"GOOD FT by MADISON,DAMIEN",2
17:32,"GOOD JUMPER by STEWART,CHRISTIAN",46 (+6),,40,,BSC 46-40 (+6),,"GOOD JUMPER by STEWART,CHRISTIAN",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
17:12,,46 (+3),,43,"GOOD 3PTR by MADISON,DAMIEN",Hunt 46-43 (+3),,"GOOD 3PTR by MADISON,DAMIEN",2
17:01,"GOOD 3PTR by SIGLER,EVAN",49 (+6),,43,,BSC 49-43 (+6),,"GOOD 3PTR by SIGLER,EVAN",2
--,"ASSIST  by FITZGERALD,PAUL",,,,,,,"ASSIST  by FITZGERALD,PAUL",2
16:35,,,,,"MISS JUMPER by ZACHERY,CEAUNTE",,,"MISS JUMPER by ZACHERY,CEAUNTE",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
16:18,"GOOD 3PTR by SIGLER,EVAN",52 (+9),,43,,BSC 52-43 (+9),,"GOOD 3PTR by SIGLER,EVAN",2
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",2
16:06,,,,,"TURNOVER  by ZACHERY,CEAUNTE",,,"TURNOVER  by ZACHERY,CEAUNTE",2
16:04,"STEAL  by FITZGERALD,PAUL",,,,,,,"STEAL  by FITZGERALD,PAUL",2
16:02,,,,,"FOUL  by ZACHERY,CEAUNTE",,,"FOUL  by ZACHERY,CEAUNTE",2
16:02,"GOOD FT by FITZGERALD,PAUL",53 (+10),,43,,BSC 53-43 (+10),,"GOOD FT by FITZGERALD,PAUL",2
16:02,"MISS FT by FITZGERALD,PAUL",,,,,,,"MISS FT by FITZGERALD,PAUL",2
--,,,,,"REBOUND DEF by LITTLE,JAMES",,,"REBOUND DEF by LITTLE,JAMES",2
16:02,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",2
16:02,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
16:02,,,,,"SUB IN by LITTLE,JAMES",,,"SUB IN by LITTLE,JAMES",2
16:02,,,,,"SUB IN by HARRIS,JAMES",,,"SUB IN by HARRIS,JAMES",2
16:02,,,,,"SUB OUT by TONEY,CALEB",,,"SUB OUT by TONEY,CALEB",2
16:02,,,,,"SUB OUT by ZACHERY,CEAUNTE",,,"SUB OUT by ZACHERY,CEAUNTE",2
15:54,,53 (+7),,46,"GOOD 3PTR by MADISON,DAMIEN",Hunt 53-46 (+7),,"GOOD 3PTR by MADISON,DAMIEN",2
15:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
15:54,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
15:54,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
15:54,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",2
15:54,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
15:54,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",2
15:54,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
15:54,,,,,"SUB IN by CLARK,TY",,,"SUB IN by CLARK,TY",2
15:54,,,,,"SUB IN by TAYLOR,WILLIE",,,"SUB IN by TAYLOR,WILLIE",2
15:54,,,,,"SUB OUT by BOHLING,DYLAN",,,"SUB OUT by BOHLING,DYLAN",2
15:54,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",2
15:46,"MISS 3PTR by GARRIDO,BRANDAN",,,,,,,"MISS 3PTR by GARRIDO,BRANDAN",2
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",2
15:40,"GOOD LAYUP by CHILDERS,JOSH",55 (+9),,46,,BSC 55-46 (+9),,"GOOD LAYUP by CHILDERS,JOSH",2
15:21,,55 (+6),,49,"GOOD 3PTR by MADISON,DAMIEN",Hunt 55-49 (+6),,"GOOD 3PTR by MADISON,DAMIEN",2
15:11,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,,,,,"REBOUND DEF by CLARK,TY",,,"REBOUND DEF by CLARK,TY",2
14:57,,,,,"TURNOVER  by LITTLE,JAMES",,,"TURNOVER  by LITTLE,JAMES",2
14:56,"STEAL  by SIGLER,EVAN",,,,,,,"STEAL  by SIGLER,EVAN",2
14:41,,,,,"FOUL  by LITTLE,JAMES",,,"FOUL  by LITTLE,JAMES",2
14:41,"MISS FT by GARRIDO,BRANDAN",,,,,,,"MISS FT by GARRIDO,BRANDAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:41,"MISS FT by GARRIDO,BRANDAN",,,,,,,"MISS FT by GARRIDO,BRANDAN",2
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",2
14:41,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",2
--,,,,,"REBOUND DEF by JOHNSON,JUSTIN",,,"REBOUND DEF by JOHNSON,JUSTIN",2
14:35,,55 (+4),,51,"GOOD LAYUP by HARRIS,JAMES",Hunt 55-51 (+4),,"GOOD LAYUP by HARRIS,JAMES",2
14:35,"FOUL  by SIGLER,EVAN",,,,,,,"FOUL  by SIGLER,EVAN",2
14:35,,,,,"MISS FT by HARRIS,JAMES",,,"MISS FT by HARRIS,JAMES",2
--,"REBOUND DEF by BRIGHT JR.,BRUCE",,,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",2
14:35,"SUB IN by BRIGHT JR.,BRUCE",,,,,,,"SUB IN by BRIGHT JR.,BRUCE",2
14:35,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",2
14:35,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",2
14:35,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
14:35,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
14:35,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",2
14:35,,,,,"SUB IN by BOHLING,DYLAN",,,"SUB IN by BOHLING,DYLAN",2
14:35,,,,,"SUB IN by JOHNSON,JUSTIN",,,"SUB IN by JOHNSON,JUSTIN",2
14:35,,,,,"SUB OUT by CLARK,TY",,,"SUB OUT by CLARK,TY",2
14:35,,,,,"SUB OUT by LITTLE,JAMES",,,"SUB OUT by LITTLE,JAMES",2
14:21,"MISS JUMPER by GONDA,MATT",,,,,,,"MISS JUMPER by GONDA,MATT",2
--,,,,,"REBOUND DEF by BOHLING,DYLAN",,,"REBOUND DEF by BOHLING,DYLAN",2
14:17,,55 (+2),,53,"GOOD JUMPER by MADISON,DAMIEN",Hunt 55-53 (+2),,"GOOD JUMPER by MADISON,DAMIEN",2
14:05,"MISS JUMPER by CHILDERS,JOSH",,,,,,,"MISS JUMPER by CHILDERS,JOSH",2
--,,,,,"REBOUND DEF by JOHNSON,JUSTIN",,,"REBOUND DEF by JOHNSON,JUSTIN",2
14:00,,55,,55,"GOOD LAYUP by TAYLOR,WILLIE",Hunt 55-55 (0),,"GOOD LAYUP by TAYLOR,WILLIE",2
--,,,,,"ASSIST  by JOHNSON,JUSTIN",,,"ASSIST  by JOHNSON,JUSTIN",2
13:38,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",2
13:38,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
13:38,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",2
13:38,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
13:38,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",2
13:19,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",2
--,,,,,"REBOUND OFF by BOHLING,DYLAN",,,"REBOUND OFF by BOHLING,DYLAN",2
13:16,,55,,57 (+2),"GOOD LAYUP by BOHLING,DYLAN",Hunt 55-57 (-2),,"GOOD LAYUP by BOHLING,DYLAN",2
13:05,"TURNOVER  by STEPHENS,TROY",,,,,,,"TURNOVER  by STEPHENS,TROY",2
13:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:44,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",2
--,,,,,"REBOUND OFF by BOHLING,DYLAN",,,"REBOUND OFF by BOHLING,DYLAN",2
12:40,,,,,"MISS JUMPER by TAYLOR,WILLIE",,,"MISS JUMPER by TAYLOR,WILLIE",2
--,"REBOUND DEF by BRIGHT JR.,BRUCE",,,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",2
12:23,"TURNOVER  by BRIGHT JR.,BRUCE",,,,,,,"TURNOVER  by BRIGHT JR.,BRUCE",2
12:21,,,,,"STEAL  by BOHLING,DYLAN",,,"STEAL  by BOHLING,DYLAN",2
12:16,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
12:16,,,,,"SUB IN by TONEY,CALEB",,,"SUB IN by TONEY,CALEB",2
12:16,,,,,"SUB OUT by MADISON,DAMIEN",,,"SUB OUT by MADISON,DAMIEN",2
12:00,,55,,59 (+4),"GOOD JUMPER by TAYLOR,WILLIE",Hunt 55-59 (-4),,"GOOD JUMPER by TAYLOR,WILLIE",2
11:54,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",2
11:52,,,,,"STEAL  by HARRIS,JAMES",,,"STEAL  by HARRIS,JAMES",2
11:47,,55,,61 (+6),"GOOD LAYUP by JOHNSON,JUSTIN",Hunt 55-61 (-6),,"GOOD LAYUP by JOHNSON,JUSTIN",2
--,,,,,"ASSIST  by HARRIS,JAMES",,,"ASSIST  by HARRIS,JAMES",2
11:26,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",2
--,,,,,"REBOUND DEF by JOHNSON,JUSTIN",,,"REBOUND DEF by JOHNSON,JUSTIN",2
11:18,,,,,"MISS LAYUP by BOHLING,DYLAN",,,"MISS LAYUP by BOHLING,DYLAN",2
--,"REBOUND DEF by BRIGHT JR.,BRUCE",,,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",2
11:06,"MISS 3PTR by BRIGHT JR.,BRUCE",,,,,,,"MISS 3PTR by BRIGHT JR.,BRUCE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:03,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
11:03,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",2
11:03,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",2
11:03,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
11:03,"SUB OUT by BRIGHT JR.,BRUCE",,,,,,,"SUB OUT by BRIGHT JR.,BRUCE",2
11:03,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",2
11:03,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",2
11:03,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",2
11:03,,,,,"SUB IN by CLARK,TY",,,"SUB IN by CLARK,TY",2
11:03,,,,,"SUB IN by TONEY,CALEB",,,"SUB IN by TONEY,CALEB",2
11:03,,,,,"SUB IN by JOHNSON,JUSTIN",,,"SUB IN by JOHNSON,JUSTIN",2
11:03,,,,,"SUB IN by ZACHERY,CEAUNTE",,,"SUB IN by ZACHERY,CEAUNTE",2
11:03,,,,,"SUB IN by LITTLE,JAMES",,,"SUB IN by LITTLE,JAMES",2
11:03,,,,,"SUB OUT by BOHLING,DYLAN",,,"SUB OUT by BOHLING,DYLAN",2
11:03,,,,,"SUB OUT by TONEY,CALEB",,,"SUB OUT by TONEY,CALEB",2
11:03,,,,,"SUB OUT by JOHNSON,JUSTIN",,,"SUB OUT by JOHNSON,JUSTIN",2
11:03,,,,,"SUB OUT by TAYLOR,WILLIE",,,"SUB OUT by TAYLOR,WILLIE",2
11:03,,,,,"SUB OUT by HARRIS,JAMES",,,"SUB OUT by HARRIS,JAMES",2
11:01,"GOOD LAYUP by STEWART,CHRISTIAN",57,,61 (+4),,BSC 57-61 (-4),,"GOOD LAYUP by STEWART,CHRISTIAN",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
11:01,,,,,"FOUL  by CLARK,TY",,,"FOUL  by CLARK,TY",2
11:01,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",2
--,,,,,"REBOUND DEF by ZACHERY,CEAUNTE",,,"REBOUND DEF by ZACHERY,CEAUNTE",2
10:59,,,,,"TURNOVER  by LITTLE,JAMES",,,"TURNOVER  by LITTLE,JAMES",2
10:34,,,,,"FOUL  by MARTIN,GRAHAM",,,"FOUL  by MARTIN,GRAHAM",2
10:34,"GOOD FT by FITZGERALD,PAUL",58,,61 (+3),,BSC 58-61 (-3),,"GOOD FT by FITZGERALD,PAUL",2
10:34,"GOOD FT by FITZGERALD,PAUL",59,,61 (+2),,BSC 59-61 (-2),,"GOOD FT by FITZGERALD,PAUL",2
10:34,,,,,"SUB IN by BOHLING,DYLAN",,,"SUB IN by BOHLING,DYLAN",2
10:34,,,,,"SUB IN by MADISON,DAMIEN",,,"SUB IN by MADISON,DAMIEN",2
10:34,,,,,"SUB OUT by CLARK,TY",,,"SUB OUT by CLARK,TY",2
10:34,,,,,"SUB OUT by JOHNSON,JUSTIN",,,"SUB OUT by JOHNSON,JUSTIN",2
10:15,,,,,"MISS JUMPER by LITTLE,JAMES",,,"MISS JUMPER by LITTLE,JAMES",2
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",2
10:08,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:49,,,,,"FOUL  by TONEY,CALEB",,,"FOUL  by TONEY,CALEB",2
09:42,"GOOD JUMPER by O'SULLIVAN,CONOR",61,,61,,BSC 61-61 (0),,"GOOD JUMPER by O'SULLIVAN,CONOR",2
09:07,,,,,"MISS JUMPER by TONEY,CALEB",,,"MISS JUMPER by TONEY,CALEB",2
--,,,,,"REBOUND OFF by ZACHERY,CEAUNTE",,,"REBOUND OFF by ZACHERY,CEAUNTE",2
09:00,,61,,63 (+2),"GOOD LAYUP by ZACHERY,CEAUNTE",Hunt 61-63 (-2),,"GOOD LAYUP by ZACHERY,CEAUNTE",2
09:00,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
09:00,,,,,"MISS FT by ZACHERY,CEAUNTE",,,"MISS FT by ZACHERY,CEAUNTE",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
08:58,,,,,"FOUL  by TONEY,CALEB",,,"FOUL  by TONEY,CALEB",2
08:58,"GOOD FT by STEWART,CHRISTIAN",62,,63 (+1),,BSC 62-63 (-1),,"GOOD FT by STEWART,CHRISTIAN",2
08:58,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",2
--,,,,,"REBOUND DEF by BOHLING,DYLAN",,,"REBOUND DEF by BOHLING,DYLAN",2
08:50,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
08:50,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
08:36,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
08:26,,,,,"MISS JUMPER by ZACHERY,CEAUNTE",,,"MISS JUMPER by ZACHERY,CEAUNTE",2
--,,,,,"REBOUND OFF by TONEY,CALEB",,,"REBOUND OFF by TONEY,CALEB",2
08:15,,,,,"MISS JUMPER by LITTLE,JAMES",,,"MISS JUMPER by LITTLE,JAMES",2
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",2
08:00,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,,,,,"REBOUND DEF by BOHLING,DYLAN",,,"REBOUND DEF by BOHLING,DYLAN",2
07:30,,,,,"MISS JUMPER by LITTLE,JAMES",,,"MISS JUMPER by LITTLE,JAMES",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:26,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",2
07:26,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",2
07:26,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",2
07:26,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
07:26,,,,,"SUB IN by CLARK,TY",,,"SUB IN by CLARK,TY",2
07:26,,,,,"SUB IN by TAYLOR,WILLIE",,,"SUB IN by TAYLOR,WILLIE",2
07:26,,,,,"SUB IN by HARRIS,JAMES",,,"SUB IN by HARRIS,JAMES",2
07:26,,,,,"SUB OUT by BOHLING,DYLAN",,,"SUB OUT by BOHLING,DYLAN",2
07:26,,,,,"SUB OUT by ZACHERY,CEAUNTE",,,"SUB OUT by ZACHERY,CEAUNTE",2
07:26,,,,,"SUB OUT by LITTLE,JAMES",,,"SUB OUT by LITTLE,JAMES",2
07:05,"GOOD LAYUP by SPENCE,BEN",64 (+1),,63,,BSC 64-63 (+1),,"GOOD LAYUP by SPENCE,BEN",2
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",2
06:36,,,,,"MISS LAYUP by MADISON,DAMIEN",,,"MISS LAYUP by MADISON,DAMIEN",2
--,,,,,"REBOUND OFF by TONEY,CALEB",,,"REBOUND OFF by TONEY,CALEB",2
06:32,,64,,65 (+1),"GOOD LAYUP by TONEY,CALEB",Hunt 64-65 (-1),,"GOOD LAYUP by TONEY,CALEB",2
06:21,"GOOD JUMPER by CHILDERS,JOSH",66 (+1),,65,,BSC 66-65 (+1),,"GOOD JUMPER by CHILDERS,JOSH",2
--,"ASSIST  by GARRIDO,BRANDAN",,,,,,,"ASSIST  by GARRIDO,BRANDAN",2
06:00,,,,,"TURNOVER  by CLARK,TY",,,"TURNOVER  by CLARK,TY",2
05:59,"STEAL  by SPENCE,BEN",,,,,,,"STEAL  by SPENCE,BEN",2
05:54,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",2
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",2
05:54,"GOOD LAYUP by CHILDERS,JOSH",68 (+3),,65,,BSC 68-65 (+3),,"GOOD LAYUP by CHILDERS,JOSH",2
