Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
15:00,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",1
15:00,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
14:40,"MISS 3PTR by GONDA,MATT",,,,,,,"MISS 3PTR by GONDA,MATT",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
14:35,"GOOD 3PTR by GLOVER,CAMERON",9,,9,,BSC 9-9 (0),,"GOOD 3PTR by GLOVER,CAMERON",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
14:21,,,,,"MISS JUMPER by TAYLOR,WILLIE",,,"MISS JUMPER by TAYLOR,WILLIE",1
14:21,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,,,,,"REBOUND OFF by TAYLOR,WILLIE",,,"REBOUND OFF by TAYLOR,WILLIE",1
14:13,,9,,11 (+2),"GOOD LAYUP by TAYLOR,WILLIE",Hunt 9-11 (-2),,"GOOD LAYUP by TAYLOR,WILLIE",1
14:06,,,,,"FOUL  by LITTLE,JAMES",,,"FOUL  by LITTLE,JAMES",1
14:06,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
14:06,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
14:06,,,,,"SUB IN by CLARK,TY",,,"SUB IN by CLARK,TY",1
14:06,,,,,"SUB IN by ZACHERY,CEAUNTE",,,"SUB IN by ZACHERY,CEAUNTE",1
14:06,,,,,"SUB OUT by TAYLOR,WILLIE",,,"SUB OUT by TAYLOR,WILLIE",1
14:06,,,,,"SUB OUT by MADISON,DAMIEN",,,"SUB OUT by MADISON,DAMIEN",1
14:00,"GOOD JUMPER by GLOVER,CAMERON",11,,11,,BSC 11-11 (0),,"GOOD JUMPER by GLOVER,CAMERON",1
13:57,,,,,"TURNOVER  by ZACHERY,CEAUNTE",,,"TURNOVER  by ZACHERY,CEAUNTE",1
13:57,,,,,"SUB IN by JOHNSON,JUSTIN",,,"SUB IN by JOHNSON,JUSTIN",1
13:57,,,,,"SUB OUT by MARTIN,GRAHAM",,,"SUB OUT by MARTIN,GRAHAM",1
13:48,,,,,"SUB IN by TONEY,CALEB",,,"SUB IN by TONEY,CALEB",1
13:48,,,,,"SUB OUT by LITTLE,JAMES",,,"SUB OUT by LITTLE,JAMES",1
13:43,,,,,"FOUL  by LITTLE,JAMES",,,"FOUL  by LITTLE,JAMES",1
13:43,"FOUL  by BRIGHT JR.,BRUCE",,,,,,,"FOUL  by BRIGHT JR.,BRUCE",1
13:29,,11,,13 (+2),"GOOD LAYUP by ZACHERY,CEAUNTE",Hunt 11-13 (-2),,"GOOD LAYUP by ZACHERY,CEAUNTE",1
13:22,"GOOD LAYUP by CHILDERS,JOSH",13,,13,,BSC 13-13 (0),,"GOOD LAYUP by CHILDERS,JOSH",1
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",1
13:01,,,,,"MISS 3PTR by JOHNSON,JUSTIN",,,"MISS 3PTR by JOHNSON,JUSTIN",1
--,,,,,"REBOUND OFF by TONEY,CALEB",,,"REBOUND OFF by TONEY,CALEB",1
12:56,,,,,"MISS JUMPER by TONEY,CALEB",,,"MISS JUMPER by TONEY,CALEB",1
--,,,,,"REBOUND OFF by JOHNSON,JUSTIN",,,"REBOUND OFF by JOHNSON,JUSTIN",1
12:50,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
12:50,,,,,"SUB IN by BOHLING,DYLAN",,,"SUB IN by BOHLING,DYLAN",1
12:50,,,,,"SUB OUT by CLARK,TY",,,"SUB OUT by CLARK,TY",1
12:40,,,,,"TURNOVER  by HARRIS,JAMES",,,"TURNOVER  by HARRIS,JAMES",1
