Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:55,"GOOD JUMPER by ZACHERY,CEAUNTE",2 (+2),,0,,Hunt 2-0 (-2),,"GOOD JUMPER by ZACHERY,CEAUNTE",1
19:26,,,,,"MISS JUMPER by SPENCE,BEN(in the paint)",,,"MISS JUMPER by SPENCE,BEN(in the paint)",1
19:18,,2,,2,"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC 2-2 (0),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
19:13,"GOOD 3PTR by ZACHERY,CEAUNTE",5 (+3),,2,,Hunt 5-2 (-3),,"GOOD 3PTR by ZACHERY,CEAUNTE",1
--,"ASSIST  by TONEY,CALEB",,,,,,,"ASSIST  by TONEY,CALEB",1
19:07,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",1
19:07,"STEAL  by ZACHERY,CEAUNTE",,,,,,,"STEAL  by ZACHERY,CEAUNTE",1
19:00,"GOOD 3PTR by MADISON,DAMIEN",8 (+6),,2,,Hunt 8-2 (-6),,"GOOD 3PTR by MADISON,DAMIEN",1
--,"ASSIST  by ZACHERY,CEAUNTE",,,,,,,"ASSIST  by ZACHERY,CEAUNTE",1
18:29,,,,,"MISS 3PTR by SPENCE,BEN",,,"MISS 3PTR by SPENCE,BEN",1
--,"REBOUND DEF by ZACHERY,CEAUNTE",,,,,,,"REBOUND DEF by ZACHERY,CEAUNTE",1
18:27,,,,,"FOUL  by FITZGERALD,PAUL",,,"FOUL  by FITZGERALD,PAUL",1
18:09,"GOOD LAYUP by TONEY,CALEB(in the paint)",10 (+8),,2,,Hunt 10-2 (-8),,"GOOD LAYUP by TONEY,CALEB(in the paint)",1
17:54,"FOUL  by PAGE,SAM",,,,,,,"FOUL  by PAGE,SAM",1
17:54,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
