Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
14:14,"SUB IN by SWILLING,BRETT",,,,,,,"SUB IN by SWILLING,BRETT",1
14:09,,,,,"MISS 3PTR by BRIGHT JR.,BRUCE",,,"MISS 3PTR by BRIGHT JR.,BRUCE",1
--,"REBOUND DEF by CHAMBERS,DIMETRI",,,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",1
14:00,"GOOD 3PTR by SONE,CARLOS",15 (+4),,11,,OU 15-11 (-4),,"GOOD 3PTR by SONE,CARLOS",1
--,"ASSIST  by CHAMBERS,DIMETRI",,,,,,,"ASSIST  by CHAMBERS,DIMETRI",1
13:38,,,,,"TURNOVER  by BRIGHT JR.,BRUCE",,,"TURNOVER  by BRIGHT JR.,BRUCE",1
13:21,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",1
13:12,,,,,"TURNOVER  by GLOVER,CAMERON",,,"TURNOVER  by GLOVER,CAMERON",1
13:12,"STEAL  by KRIVITZKIN,TYLER",,,,,,,"STEAL  by KRIVITZKIN,TYLER",1
13:05,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",17 (+6),,11,,OU 17-11 (-6),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",1
--,"ASSIST  by KRIVITZKIN,TYLER",,,,,,,"ASSIST  by KRIVITZKIN,TYLER",1
12:46,,,,,"TURNOVER  by CHILDERS,JOSH",,,"TURNOVER  by CHILDERS,JOSH",1
12:46,"STEAL  by JENEI,RYAN",,,,,,,"STEAL  by JENEI,RYAN",1
12:41,"MISS 3PTR by SONE,CARLOS",,,,,,,"MISS 3PTR by SONE,CARLOS",1
--,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",,,"REBOUND DEF by BRIGHT JR.,BRUCE",1
12:22,,17 (+3),,14,"GOOD 3PTR by BRIGHT JR.,BRUCE",BSC 17-14 (-3),,"GOOD 3PTR by BRIGHT JR.,BRUCE",1
--,,,,,"ASSIST  by GLOVER,CAMERON",,,"ASSIST  by GLOVER,CAMERON",1
12:17,"TURNOVER  by CHAMBERS,DIMETRI",,,,,,,"TURNOVER  by CHAMBERS,DIMETRI",1
12:17,"SUB OUT by JENEI,RYAN",,,,,,,"SUB OUT by JENEI,RYAN",1
12:17,"SUB IN by MURRAH,JACK",,,,,,,"SUB IN by MURRAH,JACK",1
11:58,,,,,"MISS 3PTR by STEPHENS,TROY",,,"MISS 3PTR by STEPHENS,TROY",1
--,"REBOUND DEF by CHAMBERS,DIMETRI",,,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",1
11:54,,,,,"FOUL  by GLOVER,CAMERON",,,"FOUL  by GLOVER,CAMERON",1
11:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:54,,,,,"SUB OUT by GLOVER,CAMERON",,,"SUB OUT by GLOVER,CAMERON",1
11:54,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
11:54,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
11:54,,,,,"SUB OUT by BRIGHT JR.,BRUCE",,,"SUB OUT by BRIGHT JR.,BRUCE",1
11:54,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
11:54,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
11:54,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",1
11:54,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
11:54,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
11:54,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
11:54,"SUB OUT by CHAMBERS,DIMETRI",,,,,,,"SUB OUT by CHAMBERS,DIMETRI",1
11:54,"SUB OUT by SONE,CARLOS",,,,,,,"SUB OUT by SONE,CARLOS",1
11:54,"SUB IN by FOSTER,LANE",,,,,,,"SUB IN by FOSTER,LANE",1
11:54,"SUB IN by PALMER,CHRISTIAN",,,,,,,"SUB IN by PALMER,CHRISTIAN",1
11:46,"TURNOVER  by FOSTER,LANE",,,,,,,"TURNOVER  by FOSTER,LANE",1
11:46,,,,,"STEAL  by GONDA,MATT",,,"STEAL  by GONDA,MATT",1
11:40,,17 (+1),,16,"GOOD LAYUP by GARRIDO,BRANDAN(fastbreak)(in the paint)",BSC 17-16 (-1),,"GOOD LAYUP by GARRIDO,BRANDAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
11:27,,,,,"FOUL  by GARRIDO,BRANDAN",,,"FOUL  by GARRIDO,BRANDAN",1
11:27,"GOOD FT by FOSTER,LANE",18 (+2),,16,,OU 18-16 (-2),,"GOOD FT by FOSTER,LANE",1
11:27,"GOOD FT by FOSTER,LANE",19 (+3),,16,,OU 19-16 (-3),,"GOOD FT by FOSTER,LANE",1
11:17,,19 (+1),,18,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 19-18 (-1),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
10:50,"MISS JUMPER by PALMER,CHRISTIAN(in the paint)",,,,,,,"MISS JUMPER by PALMER,CHRISTIAN(in the paint)",1
10:50,,,,,"BLOCK  by SPENCE,BEN",,,"BLOCK  by SPENCE,BEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
