Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:37,"GOOD 3PTR by COMAN,SEAN",3 (+3),,0,,Hend 3-0 (-3),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",1
19:07,,3,,3,"GOOD 3PTR by SPENCE,BEN",BSC 3-3 (0),,"GOOD 3PTR by SPENCE,BEN",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
18:53,"MISS JUMPER by PARKS,JACKSON(in the paint)",,,,,,,"MISS JUMPER by PARKS,JACKSON(in the paint)",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
18:48,"GOOD LAYUP by FITCH,CARL(in the paint)",5 (+2),,3,,Hend 5-3 (-2),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
18:27,,,,,"MISS JUMPER by GONDA,MATT(in the paint)",,,"MISS JUMPER by GONDA,MATT(in the paint)",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
18:06,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
17:58,,5,,6 (+1),"GOOD 3PTR by O'SULLIVAN,CONOR",BSC 5-6 (+1),,"GOOD 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"ASSIST  by SIGLER,EVAN",,,"ASSIST  by SIGLER,EVAN",1
17:46,"GOOD JUMPER by FITCH,CARL(in the paint)",7 (+1),,6,,Hend 7-6 (-1),,"GOOD JUMPER by FITCH,CARL(in the paint)",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
17:25,,7,,8 (+1),"GOOD JUMPER by SIGLER,EVAN(in the paint)",BSC 7-8 (+1),,"GOOD JUMPER by SIGLER,EVAN(in the paint)",1
17:06,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
17:06,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",1
17:03,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
16:42,,,,,"MISS 3PTR by GONDA,MATT",,,"MISS 3PTR by GONDA,MATT",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
16:19,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
16:19,"STEAL  by FITCH,CARL",,,,,,,"STEAL  by FITCH,CARL",1
16:18,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
16:16,"SUB OUT by II,CRAIG",,,,,,,"SUB OUT by II,CRAIG",1
16:16,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
16:16,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
16:16,"SUB IN by JOHNSON,DAMECKO",,,,,,,"SUB IN by JOHNSON,DAMECKO",1
16:16,"SUB IN by CUMMINGS II,ROD",,,,,,,"SUB IN by CUMMINGS II,ROD",1
16:16,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
16:02,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
16:02,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
15:59,"MISS JUMPER by PARKS,JACKSON(in the paint)",,,,,,,"MISS JUMPER by PARKS,JACKSON(in the paint)",1
15:59,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
15:47,,,,,"MISS 3PTR by CHILDERS,JOSH",,,"MISS 3PTR by CHILDERS,JOSH",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
15:33,,7,,11 (+4),"GOOD 3PTR by GONDA,MATT",BSC 7-11 (+4),,"GOOD 3PTR by GONDA,MATT",1
--,,,,,"ASSIST  by CHILDERS,JOSH",,,"ASSIST  by CHILDERS,JOSH",1
15:06,"GOOD JUMPER by STANLEY,SETH(in the paint)",9,,11 (+2),,Hend 9-11 (+2),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
