Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:45,,,,,"MISS LAYUP by HOLLOWAY,JACK",,,"MISS LAYUP by HOLLOWAY,JACK",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
19:23,"GOOD 3PTR by GONDA,MATT",3 (+3),,0,,BSC-M 3-0 (+3),,"GOOD 3PTR by GONDA,MATT",1
--,"ASSIST  by SIGLER,EVAN",,,,,,,"ASSIST  by SIGLER,EVAN",1
19:01,,,,,"MISS JUMPER by HOLLOWAY,JACK",,,"MISS JUMPER by HOLLOWAY,JACK",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
18:47,"GOOD JUMPER by SIGLER,EVAN",5 (+5),,0,,BSC-M 5-0 (+5),,"GOOD JUMPER by SIGLER,EVAN",1
18:12,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
18:12,"SUB IN by GARRIDO,BRANDON",,,,,,,"SUB IN by GARRIDO,BRANDON",1
18:12,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
17:55,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND DEF by HOLLOWAY,JACK",,,"REBOUND DEF by HOLLOWAY,JACK",1
17:36,,5 (+3),,2,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",SEWANEE 5-2 (+3),,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",1
--,,,,,"ASSIST  by HOLLOWAY,JACK",,,"ASSIST  by HOLLOWAY,JACK",1
17:25,"MISS JUMPER by GARRIDO,BRANDON",,,,,,,"MISS JUMPER by GARRIDO,BRANDON",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
17:07,,5 (+1),,4,"GOOD LAYUP by KNOX,JOEY(in the paint)",SEWANEE 5-4 (+1),,"GOOD LAYUP by KNOX,JOEY(in the paint)",1
16:48,,,,,"FOUL  by HOLLOWAY,JACK",,,"FOUL  by HOLLOWAY,JACK",1
16:48,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
16:48,,,,,"SUB OUT by HOLLOWAY,JACK",,,"SUB OUT by HOLLOWAY,JACK",1
16:45,"GOOD JUMPER by SIGLER,EVAN",7 (+3),,4,,BSC-M 7-4 (+3),,"GOOD JUMPER by SIGLER,EVAN",1
--,"ASSIST  by GARRIDO,BRANDON",,,,,,,"ASSIST  by GARRIDO,BRANDON",1
