Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
19:38,,0,,3 (+3),"GOOD 3PTR by COUCH,LUKE",BU 0-3 (-3),,"GOOD 3PTR by COUCH,LUKE",1
--,,,,,"ASSIST  by SHIELDS,RIAN",,,"ASSIST  by SHIELDS,RIAN",1
19:23,"GOOD 3PTR by STEPHENS,TROY",3,,3,,BSC 3-3 (0),,"GOOD 3PTR by STEPHENS,TROY",1
--,"ASSIST  by FITZGERALD,PAUL",,,,,,,"ASSIST  by FITZGERALD,PAUL",1
19:14,,3,,6 (+3),"GOOD 3PTR by EDWARDS,KORRI",BU 3-6 (-3),,"GOOD 3PTR by EDWARDS,KORRI",1
--,,,,,"ASSIST  by COUCH,LUKE",,,"ASSIST  by COUCH,LUKE",1
18:53,"TURNOVER  by STEPHENS,TROY",,,,,,,"TURNOVER  by STEPHENS,TROY",1
18:37,,,,,"MISS JUMPER by EDWARDS,KORRI",,,"MISS JUMPER by EDWARDS,KORRI",1
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",1
18:21,"GOOD JUMPER by O'SULLIVAN,CONOR",5,,6 (+1),,BSC 5-6 (-1),,"GOOD JUMPER by O'SULLIVAN,CONOR",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
17:52,,5,,8 (+3),"GOOD LAYUP by ANDERSON, JR.,TERRAN(in the paint)",BU 5-8 (-3),,"GOOD LAYUP by ANDERSON, JR.,TERRAN(in the paint)",1
--,,,,,"ASSIST  by MCMILLAN,MATTHEW",,,"ASSIST  by MCMILLAN,MATTHEW",1
17:52,"FOUL  by O'SULLIVAN,CONOR",,,,,,,"FOUL  by O'SULLIVAN,CONOR",1
17:52,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
17:52,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
17:52,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
17:52,"SUB IN by BRIGHT JR.,BRUCE",,,,,,,"SUB IN by BRIGHT JR.,BRUCE",1
17:52,,,,,"MISS FT by ANDERSON, JR.,TERRAN",,,"MISS FT by ANDERSON, JR.,TERRAN",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
17:34,"GOOD 3PTR by STEPHENS,TROY",8,,8,,BSC 8-8 (0),,"GOOD 3PTR by STEPHENS,TROY",1
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",1
17:14,,8,,11 (+3),"GOOD 3PTR by ANDERSON, JR.,TERRAN",BU 8-11 (-3),,"GOOD 3PTR by ANDERSON, JR.,TERRAN",1
--,,,,,"ASSIST  by SHIELDS,RIAN",,,"ASSIST  by SHIELDS,RIAN",1
17:07,"GOOD 3PTR by BRIGHT JR.,BRUCE(fastbreak)",11,,11,,BSC 11-11 (0),,"GOOD 3PTR by BRIGHT JR.,BRUCE(fastbreak)",1
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",1
16:59,,,,,"TURNOVER  by SHIELDS,RIAN",,,"TURNOVER  by SHIELDS,RIAN",1
16:59,"STEAL  by STEPHENS,TROY",,,,,,,"STEAL  by STEPHENS,TROY",1
16:52,"TURNOVER  by BRIGHT JR.,BRUCE",,,,,,,"TURNOVER  by BRIGHT JR.,BRUCE",1
16:52,,,,,"SUB OUT by EDWARDS,KORRI",,,"SUB OUT by EDWARDS,KORRI",1
16:52,,,,,"SUB OUT by SHIELDS,RIAN",,,"SUB OUT by SHIELDS,RIAN",1
16:52,,,,,"SUB IN by JONES,JOSEPH",,,"SUB IN by JONES,JOSEPH",1
16:52,,,,,"SUB IN by CHAMP,RANCE",,,"SUB IN by CHAMP,RANCE",1
16:41,,,,,"TURNOVER  by JONES,JOSEPH",,,"TURNOVER  by JONES,JOSEPH",1
16:27,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
16:27,,,,,"BLOCK  by ANDERSON, JR.,TERRAN",,,"BLOCK  by ANDERSON, JR.,TERRAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:19,,11,,13 (+2),"GOOD LAYUP by CHAMP,RANCE(in the paint)",BU 11-13 (-2),,"GOOD LAYUP by CHAMP,RANCE(in the paint)",1
--,,,,,"ASSIST  by MCMILLAN,MATTHEW",,,"ASSIST  by MCMILLAN,MATTHEW",1
16:03,"GOOD 3PTR by GLOVER,CAMERON",14 (+1),,13,,BSC 14-13 (+1),,"GOOD 3PTR by GLOVER,CAMERON",1
--,"ASSIST  by STEPHENS,TROY",,,,,,,"ASSIST  by STEPHENS,TROY",1
15:46,,,,,"TURNOVER  by JONES,JOSEPH",,,"TURNOVER  by JONES,JOSEPH",1
15:46,"STEAL  by BRIGHT JR.,BRUCE",,,,,,,"STEAL  by BRIGHT JR.,BRUCE",1
15:36,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",16 (+3),,13,,BSC 16-13 (+3),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",1
15:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:36,,,,,"SUB OUT by JONES,JOSEPH",,,"SUB OUT by JONES,JOSEPH",1
15:36,,,,,"SUB IN by EDWARDS,KORRI",,,"SUB IN by EDWARDS,KORRI",1
15:36,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
15:36,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
15:36,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
15:36,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
15:36,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",1
15:36,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
15:36,"SUB OUT by BRIGHT JR.,BRUCE",,,,,,,"SUB OUT by BRIGHT JR.,BRUCE",1
15:36,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
15:09,,,,,"MISS JUMPER by MCMILLAN,MATTHEW",,,"MISS JUMPER by MCMILLAN,MATTHEW",1
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",1
14:44,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:44,,,,,"FOUL  by COUCH,LUKE",,,"FOUL  by COUCH,LUKE",1
14:20,"MISS JUMPER by O'SULLIVAN,CONOR",,,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",1
14:20,,,,,"BLOCK  by COUCH,LUKE",,,"BLOCK  by COUCH,LUKE",1
--,,,,,"REBOUND DEF by MCMILLAN,MATTHEW",,,"REBOUND DEF by MCMILLAN,MATTHEW",1
14:11,,,,,"MISS LAYUP by EDWARDS,KORRI(in the paint)",,,"MISS LAYUP by EDWARDS,KORRI(in the paint)",1
--,,,,,"REBOUND OFF by EDWARDS,KORRI",,,"REBOUND OFF by EDWARDS,KORRI",1
14:03,,16 (+1),,15,"GOOD LAYUP by EDWARDS,KORRI(in the paint)",BU 16-15 (+1),,"GOOD LAYUP by EDWARDS,KORRI(in the paint)",1
13:55,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
13:46,,,,,"SUB OUT by MCMILLAN,MATTHEW",,,"SUB OUT by MCMILLAN,MATTHEW",1
13:46,,,,,"SUB OUT by ANDERSON, JR.,TERRAN",,,"SUB OUT by ANDERSON, JR.,TERRAN",1
13:46,,,,,"SUB IN by JONES,JOSEPH",,,"SUB IN by JONES,JOSEPH",1
13:46,,,,,"SUB IN by REED,AUSTIN",,,"SUB IN by REED,AUSTIN",1
13:46,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
13:46,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
13:46,"FOUL  by O'SULLIVAN,CONOR",,,,,,,"FOUL  by O'SULLIVAN,CONOR",1
13:46,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",1
13:19,,,,,"MISS LAYUP by COUCH,LUKE(in the paint)",,,"MISS LAYUP by COUCH,LUKE(in the paint)",1
13:19,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
13:12,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",1
13:12,,,,,"STEAL  by CHAMP,RANCE",,,"STEAL  by CHAMP,RANCE",1
13:07,,,,,"MISS LAYUP by CHAMP,RANCE(in the paint)",,,"MISS LAYUP by CHAMP,RANCE(in the paint)",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
13:00,"GOOD 3PTR by FITZGERALD,PAUL(fastbreak)",19 (+4),,15,,BSC 19-15 (+4),,"GOOD 3PTR by FITZGERALD,PAUL(fastbreak)",1
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",1
12:47,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:29,,,,,"MISS JUMPER by COUCH,LUKE(in the paint)",,,"MISS JUMPER by COUCH,LUKE(in the paint)",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
12:12,"MISS LAYUP by O'SULLIVAN,CONOR(in the paint)",,,,,,,"MISS LAYUP by O'SULLIVAN,CONOR(in the paint)",1
12:12,,,,,"BLOCK  by EDWARDS,KORRI",,,"BLOCK  by EDWARDS,KORRI",1
--,,,,,"REBOUND DEF by EDWARDS,KORRI",,,"REBOUND DEF by EDWARDS,KORRI",1
12:02,,,,,"MISS LAYUP by EDWARDS,KORRI(in the paint)",,,"MISS LAYUP by EDWARDS,KORRI(in the paint)",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
11:43,,,,,"FOUL  by COUCH,LUKE",,,"FOUL  by COUCH,LUKE",1
11:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:43,,,,,"SUB OUT by COUCH,LUKE",,,"SUB OUT by COUCH,LUKE",1
11:43,,,,,"SUB IN by MCMILLAN,MATTHEW",,,"SUB IN by MCMILLAN,MATTHEW",1
11:43,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
11:43,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
11:43,"SUB IN by BARNETT,CHARLIE",,,,,,,"SUB IN by BARNETT,CHARLIE",1
11:43,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
11:43,"MISS FT by FITZGERALD,PAUL",,,,,,,"MISS FT by FITZGERALD,PAUL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:43,"MISS FT by FITZGERALD,PAUL",,,,,,,"MISS FT by FITZGERALD,PAUL",1
--,,,,,"REBOUND DEF by REED,AUSTIN",,,"REBOUND DEF by REED,AUSTIN",1
11:35,,19 (+2),,17,"GOOD LAYUP by JONES,JOSEPH(in the paint)",BU 19-17 (+2),,"GOOD LAYUP by JONES,JOSEPH(in the paint)",1
11:35,"FOUL  by BARNETT,CHARLIE",,,,,,,"FOUL  by BARNETT,CHARLIE",1
11:35,,,,,"SUB OUT by REED,AUSTIN",,,"SUB OUT by REED,AUSTIN",1
11:35,,,,,"SUB IN by PHILLIPS,BRANDON",,,"SUB IN by PHILLIPS,BRANDON",1
11:35,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
11:35,"SUB IN by BRIGHT JR.,BRUCE",,,,,,,"SUB IN by BRIGHT JR.,BRUCE",1
11:35,,19 (+1),,18,"GOOD FT by JONES,JOSEPH",BU 19-18 (+1),,"GOOD FT by JONES,JOSEPH",1
11:05,,,,,"FOUL  by PHILLIPS,BRANDON",,,"FOUL  by PHILLIPS,BRANDON",1
11:05,"SUB OUT by BARNETT,CHARLIE",,,,,,,"SUB OUT by BARNETT,CHARLIE",1
