Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
19:35,"GOOD LAYUP by BORN,LEO(in the paint)",2 (+2),,0,,SEWANEE 2-0 (+2),,"GOOD LAYUP by BORN,LEO(in the paint)",1
19:04,,2,,3 (+1),"GOOD 3PTR by SPRAGG,BAILEY",CCM 2-3 (-1),,"GOOD 3PTR by SPRAGG,BAILEY",1
18:50,,,,,"FOUL  by DRYDEN,BERTO",,,"FOUL  by DRYDEN,BERTO",1
18:40,"GOOD 3PTR by WILLIAMS,JORDEN",5 (+2),,3,,SEWANEE 5-3 (+2),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
18:27,,5,,6 (+1),"GOOD 3PTR by SPRAGG,BAILEY",CCM 5-6 (-1),,"GOOD 3PTR by SPRAGG,BAILEY",1
--,,,,,"ASSIST  by ARIMA,Z",,,"ASSIST  by ARIMA,Z",1
18:12,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
18:09,,,,,"STEAL  by TWAGIRAYEZU,PATJO",,,"STEAL  by TWAGIRAYEZU,PATJO",1
18:03,,5,,8 (+3),"GOOD JUMPER by ARIMA,Z(in the paint)",CCM 5-8 (-3),,"GOOD JUMPER by ARIMA,Z(in the paint)",1
17:43,"MISS JUMPER by BORN,LEO",,,,,,,"MISS JUMPER by BORN,LEO",1
--,,,,,"REBOUND DEF by TWAGIRAYEZU,PATJO",,,"REBOUND DEF by TWAGIRAYEZU,PATJO",1
17:34,,,,,"MISS LAYUP by DRYDEN,BERTO",,,"MISS LAYUP by DRYDEN,BERTO",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
17:21,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
17:05,,,,,"MISS JUMPER by TWAGIRAYEZU,PATJO",,,"MISS JUMPER by TWAGIRAYEZU,PATJO",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
16:49,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
16:47,,,,,"STEAL  by DRYDEN,BERTO",,,"STEAL  by DRYDEN,BERTO",1
16:44,,5,,10 (+5),"GOOD LAYUP by ARIMA,Z(fastbreak)(in the paint)",CCM 5-10 (-5),,"GOOD LAYUP by ARIMA,Z(fastbreak)(in the paint)",1
16:26,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:24,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
16:12,,5,,12 (+7),"GOOD LAYUP by HAYNES,CALEB(in the paint)",CCM 5-12 (-7),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
--,,,,,"ASSIST  by DRYDEN,BERTO",,,"ASSIST  by DRYDEN,BERTO",1
16:11,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
16:11,,5,,13 (+8),"GOOD FT by HAYNES,CALEB",CCM 5-13 (-8),,"GOOD FT by HAYNES,CALEB",1
16:11,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
16:11,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
15:48,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
15:48,,,,,"STEAL  by DRYDEN,BERTO",,,"STEAL  by DRYDEN,BERTO",1
15:36,,,,,"MISS 3PTR by ARIMA,Z",,,"MISS 3PTR by ARIMA,Z",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
15:25,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:25,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
15:25,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
15:25,,,,,"SUB IN by PORTLOCK,WILL",,,"SUB IN by PORTLOCK,WILL",1
15:25,,,,,"SUB IN by ALLEN,ZACK",,,"SUB IN by ALLEN,ZACK",1
15:25,,,,,"SUB OUT by DRYDEN,BERTO",,,"SUB OUT by DRYDEN,BERTO",1
15:25,,,,,"SUB OUT by ARIMA,Z",,,"SUB OUT by ARIMA,Z",1
15:10,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by HAYNES,CALEB",,,"REBOUND DEF by HAYNES,CALEB",1
14:43,,5,,15 (+10),"GOOD JUMPER by PORTLOCK,WILL",CCM 5-15 (-10),,"GOOD JUMPER by PORTLOCK,WILL",1
14:27,,,,,"FOUL  by ALLEN,ZACK",,,"FOUL  by ALLEN,ZACK",1
14:27,"GOOD FT by BUESCHER,HUNTER",6,,15 (+9),,SEWANEE 6-15 (-9),,"GOOD FT by BUESCHER,HUNTER",1
14:27,"MISS FT by BUESCHER,HUNTER",,,,,,,"MISS FT by BUESCHER,HUNTER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:27,"MISS FT by BUESCHER,HUNTER",,,,,,,"MISS FT by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by SPRAGG,BAILEY",,,"REBOUND DEF by SPRAGG,BAILEY",1
14:13,,6,,17 (+11),"GOOD LAYUP by PORTLOCK,WILL(in the paint)",CCM 6-17 (-11),,"GOOD LAYUP by PORTLOCK,WILL(in the paint)",1
--,,,,,"ASSIST  by TWAGIRAYEZU,PATJO",,,"ASSIST  by TWAGIRAYEZU,PATJO",1
13:57,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
13:56,,,,,"STEAL  by PORTLOCK,WILL",,,"STEAL  by PORTLOCK,WILL",1
13:42,,6,,19 (+13),"GOOD JUMPER by PORTLOCK,WILL",CCM 6-19 (-13),,"GOOD JUMPER by PORTLOCK,WILL",1
13:16,,,,,"FOUL  by SPRAGG,BAILEY",,,"FOUL  by SPRAGG,BAILEY",1
13:16,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",1
13:16,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
13:16,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
13:16,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",1
13:16,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
13:16,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
13:16,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
13:16,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
13:16,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
13:16,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
13:16,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",1
13:16,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",1
13:06,,,,,"FOUL  by ARIMA,Z",,,"FOUL  by ARIMA,Z",1
13:06,,,,,"SUB IN by BRYAN,WILLIAM",,,"SUB IN by BRYAN,WILLIAM",1
