Time Remaining,SEWM,Away Team Score,Play Team Indicator,Home Team Score,MUM,Game Score,Team Indicator,Play,Period
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
15:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:59,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:59,,,,,"SUB IN by AUGHBURNS,IRVING",,,"SUB IN by AUGHBURNS,IRVING",1
15:59,,,,,"SUB OUT by DAVIS,BLAKE",,,"SUB OUT by DAVIS,BLAKE",1
15:43,,,,,"MISS 3PTR by ROUSE,BRYAN",,,"MISS 3PTR by ROUSE,BRYAN",1
--,,,,,"REBOUND OFF by WHITLEY,JACKSON",,,"REBOUND OFF by WHITLEY,JACKSON",1
15:33,,11 (+2),,9,"GOOD DUNK by WHITLEY,JACKSON(in the paint)",MUM 11-9 (+2),,"GOOD DUNK by WHITLEY,JACKSON(in the paint)",1
--,,,,,"ASSIST  by ROUSE,BRYAN",,,"ASSIST  by ROUSE,BRYAN",1
15:17,"MISS LAYUP by WILLIAMS,JORDEN",,,,,,,"MISS LAYUP by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by AUGHBURNS,IRVING",,,"REBOUND DEF by AUGHBURNS,IRVING",1
15:07,,11,,11,"GOOD LAYUP by HILL,RAE(in the paint)",MUM 11-11 (0),,"GOOD LAYUP by HILL,RAE(in the paint)",1
14:51,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",1
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",1
14:32,,,,,"MISS JUMPER by WHITLEY,JACKSON",,,"MISS JUMPER by WHITLEY,JACKSON",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
14:18,"GOOD 3PTR by WILLIAMS,JORDEN",14 (+3),,11,,SEWM 14-11 (+3),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
14:00,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
14:00,,14 (+2),,12,"GOOD FT by WHITLEY,JACKSON",MUM 14-12 (+2),,"GOOD FT by WHITLEY,JACKSON",1
14:00,,14 (+1),,13,"GOOD FT by WHITLEY,JACKSON",MUM 14-13 (+1),,"GOOD FT by WHITLEY,JACKSON",1
14:00,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",1
14:00,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
14:00,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",1
14:00,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
14:00,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
14:00,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
14:00,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
14:00,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
14:00,,,,,"SUB IN by REESE,TROYNELL",,,"SUB IN by REESE,TROYNELL",1
14:00,,,,,"SUB IN by DAVIS,BLAKE",,,"SUB IN by DAVIS,BLAKE",1
14:00,,,,,"SUB OUT by WHITLEY,JACKSON",,,"SUB OUT by WHITLEY,JACKSON",1
14:00,,,,,"SUB OUT by HILL,RAE",,,"SUB OUT by HILL,RAE",1
13:44,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND OFF by WILLIAMS,JORDEN",,,,,,,"REBOUND OFF by WILLIAMS,JORDEN",1
13:35,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:20,,14,,15 (+1),"GOOD LAYUP by AUGHBURNS,IRVING(in the paint)",MUM 14-15 (-1),,"GOOD LAYUP by AUGHBURNS,IRVING(in the paint)",1
--,,,,,"ASSIST  by DAVIS,BLAKE",,,"ASSIST  by DAVIS,BLAKE",1
13:06,"FOUL  by SPENCER,JC",,,,,,,"FOUL  by SPENCER,JC",1
13:06,"TURNOVER  by SPENCER,JC",,,,,,,"TURNOVER  by SPENCER,JC",1
13:06,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
13:06,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
13:06,"SUB OUT by SPENCER,JC",,,,,,,"SUB OUT by SPENCER,JC",1
13:06,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",1
12:55,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
12:49,,14,,17 (+3),"GOOD JUMPER by ROUSE,BRYAN(in the paint)",MUM 14-17 (-3),,"GOOD JUMPER by ROUSE,BRYAN(in the paint)",1
12:30,"GOOD 3PTR by BORN,CLAY",17,,17,,SEWM 17-17 (0),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
12:10,,,,,"MISS JUMPER by REESE,TROYNELL",,,"MISS JUMPER by REESE,TROYNELL",1
--,,,,,"REBOUND OFF by AUGHBURNS,IRVING",,,"REBOUND OFF by AUGHBURNS,IRVING",1
12:07,,,,,"MISS TIPIN by AUGHBURNS,IRVING",,,"MISS TIPIN by AUGHBURNS,IRVING",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
11:39,"MISS 3PTR by LEE,MATTHEW",,,,,,,"MISS 3PTR by LEE,MATTHEW",1
--,"REBOUND OFF by BORN,CLAY",,,,,,,"REBOUND OFF by BORN,CLAY",1
11:34,"GOOD TIPIN by BORN,CLAY(in the paint)",19 (+2),,17,,SEWM 19-17 (+2),,"GOOD TIPIN by BORN,CLAY(in the paint)",1
11:16,,,,,"MISS LAYUP by ROUSE,BRYAN",,,"MISS LAYUP by ROUSE,BRYAN",1
11:16,"BLOCK  by BORN,CLAY",,,,,,,"BLOCK  by BORN,CLAY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:16,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:16,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
11:16,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
11:16,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
11:16,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
11:04,,19,,20 (+1),"GOOD 3PTR by AYABARRENO,DAVION",MUM 19-20 (-1),,"GOOD 3PTR by AYABARRENO,DAVION",1
--,,,,,"ASSIST  by AUGHBURNS,IRVING",,,"ASSIST  by AUGHBURNS,IRVING",1
10:42,"GOOD LAYUP by STONE,BRODY(in the paint)",21 (+1),,20,,SEWM 21-20 (+1),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
10:24,,,,,"MISS JUMPER by AYABARRENO,DAVION",,,"MISS JUMPER by AYABARRENO,DAVION",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
10:10,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by ROUSE,BRYAN",,,"REBOUND DEF by ROUSE,BRYAN",1
09:52,,21,,23 (+2),"GOOD 3PTR by ROUSE,BRYAN",MUM 21-23 (-2),,"GOOD 3PTR by ROUSE,BRYAN",1
--,,,,,"ASSIST  by DAVIS,BLAKE",,,"ASSIST  by DAVIS,BLAKE",1
09:26,,,,,"FOUL  by ROUSE,BRYAN",,,"FOUL  by ROUSE,BRYAN",1
09:26,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:26,"GOOD FT by STONE,BRODY",22,,23 (+1),,SEWM 22-23 (-1),,"GOOD FT by STONE,BRODY",1
09:26,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
09:26,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
09:26,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
09:26,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
09:26,,,,,"SUB IN by WHITLEY,JACKSON",,,"SUB IN by WHITLEY,JACKSON",1
09:26,,,,,"SUB IN by HILL,RAE",,,"SUB IN by HILL,RAE",1
09:26,,,,,"SUB OUT by AYABARRENO,DAVION",,,"SUB OUT by AYABARRENO,DAVION",1
09:26,,,,,"SUB OUT by ROUSE,BRYAN",,,"SUB OUT by ROUSE,BRYAN",1
09:11,,,,,"MISS JUMPER by HILL,RAE",,,"MISS JUMPER by HILL,RAE",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
08:53,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
08:39,,22,,25 (+3),"GOOD DUNK by WHITLEY,JACKSON(in the paint)",MUM 22-25 (-3),,"GOOD DUNK by WHITLEY,JACKSON(in the paint)",1
--,,,,,"ASSIST  by DAVIS,BLAKE",,,"ASSIST  by DAVIS,BLAKE",1
08:23,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
07:59,,22,,27 (+5),"GOOD LAYUP by HILL,RAE(in the paint)",MUM 22-27 (-5),,"GOOD LAYUP by HILL,RAE(in the paint)",1
07:43,"GOOD JUMPER by STONE,BRODY",24,,27 (+3),,SEWM 24-27 (-3),,"GOOD JUMPER by STONE,BRODY",1
07:25,,,,,"MISS JUMPER by WHITLEY,JACKSON",,,"MISS JUMPER by WHITLEY,JACKSON",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
07:11,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",1
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",1
06:49,,24,,30 (+6),"GOOD 3PTR by HILL,RAE",MUM 24-30 (-6),,"GOOD 3PTR by HILL,RAE",1
06:24,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
06:23,,,,,"STEAL  by REESE,TROYNELL",,,"STEAL  by REESE,TROYNELL",1
06:13,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
06:13,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
06:13,,24,,31 (+7),"GOOD FT by AUGHBURNS,IRVING",MUM 24-31 (-7),,"GOOD FT by AUGHBURNS,IRVING",1
06:13,,,,,"MISS FT by AUGHBURNS,IRVING",,,"MISS FT by AUGHBURNS,IRVING",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
06:13,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
06:13,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
06:13,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
06:13,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
06:13,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
06:13,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
05:51,,,,,"FOUL  by WHITLEY,JACKSON",,,"FOUL  by WHITLEY,JACKSON",1
05:51,,,,,"SUB IN by AYABARRENO,DAVION",,,"SUB IN by AYABARRENO,DAVION",1
05:51,,,,,"SUB OUT by AUGHBURNS,IRVING",,,"SUB OUT by AUGHBURNS,IRVING",1
05:32,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",1
05:29,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
05:29,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
05:29,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
05:29,,,,,"SUB IN by JENERETTE,ZACH",,,"SUB IN by JENERETTE,ZACH",1
05:29,,,,,"SUB IN by ROUSE,BRYAN",,,"SUB IN by ROUSE,BRYAN",1
05:29,,,,,"SUB OUT by WHITLEY,JACKSON",,,"SUB OUT by WHITLEY,JACKSON",1
05:29,,,,,"SUB OUT by REESE,TROYNELL",,,"SUB OUT by REESE,TROYNELL",1
05:09,,,,,"MISS 3PTR by ROUSE,BRYAN",,,"MISS 3PTR by ROUSE,BRYAN",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
04:51,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",26,,31 (+5),,SEWM 26-31 (-5),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by CRUMLY,JONNY",,,,,,,"ASSIST  by CRUMLY,JONNY",1
04:34,,26,,33 (+7),"GOOD LAYUP by DAVIS,BLAKE(in the paint)",MUM 26-33 (-7),,"GOOD LAYUP by DAVIS,BLAKE(in the paint)",1
04:14,"GOOD 3PTR by WILLIAMS,JORDEN",29,,33 (+4),,SEWM 29-33 (-4),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
03:55,,,,,"MISS 3PTR by AYABARRENO,DAVION",,,"MISS 3PTR by AYABARRENO,DAVION",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:52,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
03:52,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:52,,,,,"SUB IN by REESE,TROYNELL",,,"SUB IN by REESE,TROYNELL",1
03:52,,,,,"SUB OUT by JENERETTE,ZACH",,,"SUB OUT by JENERETTE,ZACH",1
03:48,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
03:48,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
03:35,,,,,"TURNOVER  by HILL,RAE",,,"TURNOVER  by HILL,RAE",1
03:35,"STEAL  by WILLIAMS,JORDEN",,,,,,,"STEAL  by WILLIAMS,JORDEN",1
03:06,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
03:04,,,,,"STEAL  by REESE,TROYNELL",,,"STEAL  by REESE,TROYNELL",1
02:56,,,,,"FOUL  by AYABARRENO,DAVION",,,"FOUL  by AYABARRENO,DAVION",1
02:56,,,,,"TURNOVER  by AYABARRENO,DAVION",,,"TURNOVER  by AYABARRENO,DAVION",1
02:56,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
02:56,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
02:42,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
02:41,,,,,"STEAL  by AYABARRENO,DAVION",,,"STEAL  by AYABARRENO,DAVION",1
02:35,,29,,35 (+6),"GOOD LAYUP by HILL,RAE(in the paint)",MUM 29-35 (-6),,"GOOD LAYUP by HILL,RAE(in the paint)",1
02:29,,,,,"FOUL  by HILL,RAE",,,"FOUL  by HILL,RAE",1
02:29,,,,,"SUB IN by AUGHBURNS,IRVING",,,"SUB IN by AUGHBURNS,IRVING",1
02:29,,,,,"SUB OUT by HILL,RAE",,,"SUB OUT by HILL,RAE",1
02:18,"GOOD JUMPER by WILLIAMS,JORDEN",31,,35 (+4),,SEWM 31-35 (-4),,"GOOD JUMPER by WILLIAMS,JORDEN",1
01:56,,31,,37 (+6),"GOOD JUMPER by ROUSE,BRYAN",MUM 31-37 (-6),,"GOOD JUMPER by ROUSE,BRYAN",1
01:35,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND DEF by DAVIS,BLAKE",,,"REBOUND DEF by DAVIS,BLAKE",1
01:28,,,,,"MISS LAYUP by DAVIS,BLAKE",,,"MISS LAYUP by DAVIS,BLAKE",1
--,,,,,"REBOUND OFF by AYABARRENO,DAVION",,,"REBOUND OFF by AYABARRENO,DAVION",1
01:24,,31,,39 (+8),"GOOD LAYUP by AYABARRENO,DAVION(in the paint)",MUM 31-39 (-8),,"GOOD LAYUP by AYABARRENO,DAVION(in the paint)",1
01:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:22,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
01:22,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
01:01,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
00:46,,,,,"MISS JUMPER by ROUSE,BRYAN",,,"MISS JUMPER by ROUSE,BRYAN",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
00:38,"GOOD JUMPER by BORN,CLAY(fastbreak)",33,,39 (+6),,SEWM 33-39 (-6),,"GOOD JUMPER by BORN,CLAY(fastbreak)",1
00:26,,,,,"MISS LAYUP by DAVIS,BLAKE",,,"MISS LAYUP by DAVIS,BLAKE",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
00:04,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
00:01,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
00:01,,,,,"MISS FT by DAVIS,BLAKE",,,"MISS FT by DAVIS,BLAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:01,,33,,40 (+7),"GOOD FT by DAVIS,BLAKE",MUM 33-40 (-7),,"GOOD FT by DAVIS,BLAKE",1
19:48,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
19:35,,33,,42 (+9),"GOOD JUMPER by AYABARRENO,DAVION",MUM 33-42 (-9),,"GOOD JUMPER by AYABARRENO,DAVION",2
--,,,,,"ASSIST  by ROUSE,BRYAN",,,"ASSIST  by ROUSE,BRYAN",2
19:17,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
18:58,,,,,"MISS LAYUP by AYABARRENO,DAVION",,,"MISS LAYUP by AYABARRENO,DAVION",2
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",2
18:43,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
18:40,"GOOD LAYUP by STONE,BRODY(in the paint)",35,,42 (+7),,SEWM 35-42 (-7),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
18:22,,35,,44 (+9),"GOOD DUNK by WHITLEY,JACKSON(in the paint)",MUM 35-44 (-9),,"GOOD DUNK by WHITLEY,JACKSON(in the paint)",2
--,,,,,"ASSIST  by HILL,RAE",,,"ASSIST  by HILL,RAE",2
18:22,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
18:22,,35,,45 (+10),"GOOD FT by WHITLEY,JACKSON",MUM 35-45 (-10),,"GOOD FT by WHITLEY,JACKSON",2
18:10,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",2
--,,,,,"REBOUND DEF by AYABARRENO,DAVION",,,"REBOUND DEF by AYABARRENO,DAVION",2
17:46,,35,,47 (+12),"GOOD LAYUP by AYABARRENO,DAVION(in the paint)",MUM 35-47 (-12),,"GOOD LAYUP by AYABARRENO,DAVION(in the paint)",2
17:19,"MISS JUMPER by BUESCHER,HUNTER",,,,,,,"MISS JUMPER by BUESCHER,HUNTER",2
17:19,,,,,"BLOCK  by DAVIS,BLAKE",,,"BLOCK  by DAVIS,BLAKE",2
--,,,,,"REBOUND DEF by AYABARRENO,DAVION",,,"REBOUND DEF by AYABARRENO,DAVION",2
17:02,,,,,"MISS JUMPER by AYABARRENO,DAVION",,,"MISS JUMPER by AYABARRENO,DAVION",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
16:46,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,,,,,"REBOUND DEF by AYABARRENO,DAVION",,,"REBOUND DEF by AYABARRENO,DAVION",2
16:26,,,,,"MISS LAYUP by WHITLEY,JACKSON",,,"MISS LAYUP by WHITLEY,JACKSON",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
16:03,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by ROUSE,BRYAN",,,"REBOUND DEF by ROUSE,BRYAN",2
15:51,,,,,"FOUL  by AYABARRENO,DAVION",,,"FOUL  by AYABARRENO,DAVION",2
15:51,,,,,"TURNOVER  by AYABARRENO,DAVION",,,"TURNOVER  by AYABARRENO,DAVION",2
15:51,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
15:51,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
15:51,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
15:51,,,,,"SUB IN by REESE,TROYNELL",,,"SUB IN by REESE,TROYNELL",2
15:51,,,,,"SUB OUT by AYABARRENO,DAVION",,,"SUB OUT by AYABARRENO,DAVION",2
15:24,"GOOD 3PTR by WILLIAMS,JORDEN",38,,47 (+9),,SEWM 38-47 (-9),,"GOOD 3PTR by WILLIAMS,JORDEN",2
15:02,,,,,"MISS 3PTR by ROUSE,BRYAN",,,"MISS 3PTR by ROUSE,BRYAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:44,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",2
--,,,,,"REBOUND DEF by HILL,RAE",,,"REBOUND DEF by HILL,RAE",2
14:25,,,,,"MISS 3PTR by HILL,RAE",,,"MISS 3PTR by HILL,RAE",2
--,,,,,"REBOUND OFF by REESE,TROYNELL",,,"REBOUND OFF by REESE,TROYNELL",2
14:20,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
14:20,,,,,"SUB IN by AUGHBURNS,IRVING",,,"SUB IN by AUGHBURNS,IRVING",2
14:20,,,,,"SUB OUT by ROUSE,BRYAN",,,"SUB OUT by ROUSE,BRYAN",2
14:12,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
14:12,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
14:12,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
