Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:48,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
19:46,"STEAL  by SPRAGG,BAILEY",,,,,,,"STEAL  by SPRAGG,BAILEY",1
19:42,"MISS LAYUP by TWAGIRAYEZU,PATJO",,,,,,,"MISS LAYUP by TWAGIRAYEZU,PATJO",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
19:40,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",1
19:39,"TURNOVER  by SEARS,CONNOR",,,,,,,"TURNOVER  by SEARS,CONNOR",1
19:37,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",1
19:31,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by SEARS,CONNOR",,,,,,,"REBOUND DEF by SEARS,CONNOR",1
19:19,"TURNOVER  by SPRAGG,BAILEY",,,,,,,"TURNOVER  by SPRAGG,BAILEY",1
19:18,,,,,"STEAL  by BORN,LEO",,,"STEAL  by BORN,LEO",1
19:09,,0,,2 (+2),"GOOD JUMPER by BORN,LEO(in the paint)",SEWANEE 0-2 (+2),,"GOOD JUMPER by BORN,LEO(in the paint)",1
18:56,"MISS 3PTR by SPRAGG,BAILEY",,,,,,,"MISS 3PTR by SPRAGG,BAILEY",1
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",1
18:42,,0,,5 (+5),"GOOD 3PTR by BORN,CLAY",SEWANEE 0-5 (+5),,"GOOD 3PTR by BORN,CLAY",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
18:22,"GOOD LAYUP by SEARS,CONNOR(in the paint)",2,,5 (+3),,CCM 2-5 (+3),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",1
--,"ASSIST  by TWAGIRAYEZU,PATJO",,,,,,,"ASSIST  by TWAGIRAYEZU,PATJO",1
18:04,"FOUL  by ARIMA,Z",,,,,,,"FOUL  by ARIMA,Z",1
17:42,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
17:41,"STEAL  by DRYDEN,BERTO",,,,,,,"STEAL  by DRYDEN,BERTO",1
17:39,"GOOD LAYUP by DRYDEN,BERTO(fastbreak)(in the paint)",4,,5 (+1),,CCM 4-5 (+1),,"GOOD LAYUP by DRYDEN,BERTO(fastbreak)(in the paint)",1
17:14,,4,,7 (+3),"GOOD JUMPER by BORN,CLAY(in the paint)",SEWANEE 4-7 (+3),,"GOOD JUMPER by BORN,CLAY(in the paint)",1
17:14,"FOUL  by SEARS,CONNOR",,,,,,,"FOUL  by SEARS,CONNOR",1
17:14,,,,,"MISS FT by BORN,CLAY",,,"MISS FT by BORN,CLAY",1
--,,,,,"REBOUND OFF by BORN,LEO",,,"REBOUND OFF by BORN,LEO",1
17:14,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by SEARS,CONNOR",,,,,,,"REBOUND DEF by SEARS,CONNOR",1
17:09,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",1
17:01,"MISS LAYUP by DRYDEN,BERTO",,,,,,,"MISS LAYUP by DRYDEN,BERTO",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
16:32,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
16:27,"FOUL  by DRYDEN,BERTO",,,,,,,"FOUL  by DRYDEN,BERTO",1
16:27,"SUB IN by ALLEN,ZACK",,,,,,,"SUB IN by ALLEN,ZACK",1
16:27,"SUB OUT by ARIMA,Z",,,,,,,"SUB OUT by ARIMA,Z",1
16:20,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
16:17,"STEAL  by SEARS,CONNOR",,,,,,,"STEAL  by SEARS,CONNOR",1
16:05,"MISS JUMPER by SEARS,CONNOR",,,,,,,"MISS JUMPER by SEARS,CONNOR",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
15:39,,4,,9 (+5),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 4-9 (+5),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
15:33,"TURNOVER  by TWAGIRAYEZU,PATJO",,,,,,,"TURNOVER  by TWAGIRAYEZU,PATJO",1
15:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:33,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by ALLEN,ZACK",,,,,,,"REBOUND DEF by ALLEN,ZACK",1
15:33,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
15:33,"SUB OUT by SEARS,CONNOR",,,,,,,"SUB OUT by SEARS,CONNOR",1
15:08,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
14:57,"GOOD 3PTR by ALLEN,ZACK",7,,9 (+2),,CCM 7-9 (+2),,"GOOD 3PTR by ALLEN,ZACK",1
--,"ASSIST  by DRYDEN,BERTO",,,,,,,"ASSIST  by DRYDEN,BERTO",1
14:45,"SUB IN by ARIMA,Z",,,,,,,"SUB IN by ARIMA,Z",1
14:45,"SUB OUT by SPRAGG,BAILEY",,,,,,,"SUB OUT by SPRAGG,BAILEY",1
14:26,,7,,12 (+5),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 7-12 (+5),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by CALDWELL,CAM",,,"ASSIST  by CALDWELL,CAM",1
13:54,"MISS LAYUP by DRYDEN,BERTO",,,,,,,"MISS LAYUP by DRYDEN,BERTO",1
13:54,,,,,"BLOCK  by LEE,MATTHEW",,,"BLOCK  by LEE,MATTHEW",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
13:41,,,,,"TURNOVER  by LEE,MATTHEW",,,"TURNOVER  by LEE,MATTHEW",1
13:41,"SUB IN by PHELPS,BEN",,,,,,,"SUB IN by PHELPS,BEN",1
