Time Remaining,SEWANEEM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
19:48,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",1
--,,,,,"REBOUND OFF by THOM,IAN",,,"REBOUND OFF by THOM,IAN",1
19:29,,0,,2 (+2),"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 0-2 (-2),,"GOOD LAYUP by THOM,IAN(in the paint)",1
18:56,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
18:56,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
18:38,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",1
18:37,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",1
18:30,"GOOD 3PTR by BORN,LEO",3 (+1),,2,,SEWANEEM 3-2 (+1),,"GOOD 3PTR by BORN,LEO",1
18:09,,,,,"TURNOVER  by RUDAK,MATTY",,,"TURNOVER  by RUDAK,MATTY",1
18:07,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",1
17:52,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
17:47,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",1
--,"REBOUND OFF by BORN,CLAY",,,,,,,"REBOUND OFF by BORN,CLAY",1
17:29,"MISS JUMPER by BORN,LEO",,,,,,,"MISS JUMPER by BORN,LEO",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
17:07,,3,,4 (+1),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 3-4 (-1),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,,,,,"ASSIST  by RUDAK,MATTY",,,"ASSIST  by RUDAK,MATTY",1
16:40,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
16:37,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
16:37,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
16:21,,3,,6 (+3),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 3-6 (-3),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,,,,,"ASSIST  by RUDAK,MATTY",,,"ASSIST  by RUDAK,MATTY",1
15:59,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
15:58,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",1
15:52,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",1
15:50,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",1
15:48,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
15:48,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:48,"GOOD FT by CALDWELL,CAM",4,,6 (+2),,SEWANEEM 4-6 (-2),,"GOOD FT by CALDWELL,CAM",1
15:48,"GOOD FT by CALDWELL,CAM",5,,6 (+1),,SEWANEEM 5-6 (-1),,"GOOD FT by CALDWELL,CAM",1
15:48,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
15:48,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
15:48,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
15:48,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
15:35,,5,,9 (+4),"GOOD 3PTR by BAK,CALVIN",16BSC-M 5-9 (-4),,"GOOD 3PTR by BAK,CALVIN",1
15:01,"GOOD JUMPER by BUESCHER,HUNTER",7,,9 (+2),,SEWANEEM 7-9 (-2),,"GOOD JUMPER by BUESCHER,HUNTER",1
14:41,,7,,11 (+4),"GOOD JUMPER by DENEKA,HARRISON(in the paint)",16BSC-M 7-11 (-4),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
14:14,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
14:14,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",1
14:14,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
14:14,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
14:14,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
14:14,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
14:14,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
14:14,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
14:14,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
14:14,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
14:14,SUB OUT by 0,,,,,,,SUB OUT by 0,1
14:14,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
14:14,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
14:14,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
14:14,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
14:14,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
14:14,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
14:14,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
14:14,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
14:14,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
14:14,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
14:00,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",1
13:47,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",1
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",1
13:34,"FOUL  by SPENCER,JC",,,,,,,"FOUL  by SPENCER,JC",1
13:34,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
13:34,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
13:18,"FOUL  by LEE,MATTHEW",,,,,,,"FOUL  by LEE,MATTHEW",1
13:15,"FOUL  by SPENCER,JC",,,,,,,"FOUL  by SPENCER,JC",1
13:15,,,,,"MISS FT by MOORE,KADEN",,,"MISS FT by MOORE,KADEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:15,,7,,12 (+5),"GOOD FT by MOORE,KADEN",16BSC-M 7-12 (-5),,"GOOD FT by MOORE,KADEN",1
13:15,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
13:15,SUB IN by 0,,,,,,,SUB IN by 0,1
13:15,"SUB OUT by SPENCER,JC",,,,,,,"SUB OUT by SPENCER,JC",1
13:15,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
12:49,,,,,"FOUL  by GRAHAM,CHRIS",,,"FOUL  by GRAHAM,CHRIS",1
12:49,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
