Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,LIP,Game Score,Team Indicator,Play,Period
19:45,,0,,1 (+1),"GOOD FT by MATHEWS,GARRISON",LIP 0-1 (-1),,"GOOD FT by MATHEWS,GARRISON",1
19:45,,0,,2 (+2),"GOOD FT by MATHEWS,GARRISON",LIP 0-2 (-2),,"GOOD FT by MATHEWS,GARRISON",1
19:45,,0,,3 (+3),"GOOD FT by MATHEWS,GARRISON",LIP 0-3 (-3),,"GOOD FT by MATHEWS,GARRISON",1
19:44,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
19:16,,,,,"TURNOVER  by MATHEWS,GARRISON",,,"TURNOVER  by MATHEWS,GARRISON",1
19:04,,,,,"FOUL  by KORN,AARON",,,"FOUL  by KORN,AARON",1
18:59,,,,,"FOUL  by KORN,AARON",,,"FOUL  by KORN,AARON",1
18:59,,,,,"SUB IN by BUCKLAND,MICHAEL",,,"SUB IN by BUCKLAND,MICHAEL",1
18:59,,,,,"SUB OUT by KORN,AARON",,,"SUB OUT by KORN,AARON",1
18:49,"GOOD 3PTR by BUESCHER,HUNTER",3,,3,,SEWANE~1 3-3 (0),,"GOOD 3PTR by BUESCHER,HUNTER",1
18:41,,,,,"MISS LAYUP by MARBERRY,ROB",,,"MISS LAYUP by MARBERRY,ROB",1
--,,,,,"REBOUND OFF by MARBERRY,ROB",,,"REBOUND OFF by MARBERRY,ROB",1
18:37,,3,,5 (+2),"GOOD JUMPER by MARBERRY,ROB",LIP 3-5 (-2),,"GOOD JUMPER by MARBERRY,ROB",1
18:37,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
18:37,,,,,"MISS FT by MARBERRY,ROB",,,"MISS FT by MARBERRY,ROB",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
18:37,,,,,"FOUL  by MATHEWS,GARRISON",,,"FOUL  by MATHEWS,GARRISON",1
