Time Remaining,JOHNSON,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
15:36,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
15:26,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
15:26,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
15:26,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
15:15,"TURNOVER  by FLEMMING,TRENT",,,,,,,"TURNOVER  by FLEMMING,TRENT",1
15:08,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",1
15:07,"STEAL  by GILPIN,TAYLOR",,,,,,,"STEAL  by GILPIN,TAYLOR",1
15:05,"MISS JUMPER by GILPIN,TAYLOR",,,,,,,"MISS JUMPER by GILPIN,TAYLOR",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
14:47,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
14:47,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",1
14:47,"SUB IN by GUILLON,KENTON",,,,,,,"SUB IN by GUILLON,KENTON",1
14:47,"SUB IN by JOHN,GUNNER ST",,,,,,,"SUB IN by JOHN,GUNNER ST",1
14:47,"SUB OUT by KALU,ED",,,,,,,"SUB OUT by KALU,ED",1
14:47,"SUB OUT by SINKHORN,ISSAC",,,,,,,"SUB OUT by SINKHORN,ISSAC",1
14:47,,,,,"SUB IN by HOWELL,TAYLOR",,,"SUB IN by HOWELL,TAYLOR",1
14:47,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
14:30,"MISS JUMPER by JOHN,GUNNER ST",,,,,,,"MISS JUMPER by JOHN,GUNNER ST",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
14:21,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,"REBOUND DEF by GILPIN,TAYLOR",,,,,,,"REBOUND DEF by GILPIN,TAYLOR",1
14:19,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
14:19,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
14:19,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
14:03,"TURNOVER  by FLEMMING,TRENT",,,,,,,"TURNOVER  by FLEMMING,TRENT",1
14:01,,,,,"STEAL  by BORN,CLAY",,,"STEAL  by BORN,CLAY",1
13:54,,5,,18 (+13),"GOOD 3PTR by BORN,CLAY",SEWANEE 5-18 (+13),,"GOOD 3PTR by BORN,CLAY",1
13:40,"MISS JUMPER by GUILLON,KENTON",,,,,,,"MISS JUMPER by GUILLON,KENTON",1
13:40,,,,,"BLOCK  by BORN,LEO",,,"BLOCK  by BORN,LEO",1
--,,,,,"REBOUND DEF by LEE,MATTHEW",,,"REBOUND DEF by LEE,MATTHEW",1
13:34,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
13:28,"FOUL  by JOHN,GUNNER ST",,,,,,,"FOUL  by JOHN,GUNNER ST",1
13:28,,5,,19 (+14),"GOOD FT by BORN,LEO",SEWANEE 5-19 (+14),,"GOOD FT by BORN,LEO",1
13:28,,5,,20 (+15),"GOOD FT by BORN,LEO",SEWANEE 5-20 (+15),,"GOOD FT by BORN,LEO",1
13:28,"SUB IN by KALU,ED",,,,,,,"SUB IN by KALU,ED",1
13:28,"SUB IN by WHITE,KENNY",,,,,,,"SUB IN by WHITE,KENNY",1
13:28,"SUB OUT by JOHN,GUNNER ST",,,,,,,"SUB OUT by JOHN,GUNNER ST",1
13:28,"SUB OUT by KING,TREVOR",,,,,,,"SUB OUT by KING,TREVOR",1
13:28,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
13:28,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
13:09,"GOOD JUMPER by KALU,ED",7,,20 (+13),,JOHNSON 7-20 (+13),,"GOOD JUMPER by KALU,ED",1
12:39,,7,,23 (+16),"GOOD 3PTR by HOWELL,TAYLOR",SEWANEE 7-23 (+16),,"GOOD 3PTR by HOWELL,TAYLOR",1
--,,,,,"ASSIST  by THOMAS,ADRIAN",,,"ASSIST  by THOMAS,ADRIAN",1
12:23,"GOOD 3PTR by GILPIN,TAYLOR",10,,23 (+13),,JOHNSON 10-23 (+13),,"GOOD 3PTR by GILPIN,TAYLOR",1
--,"ASSIST  by FLEMMING,TRENT",,,,,,,"ASSIST  by FLEMMING,TRENT",1
12:13,"FOUL  by KALU,ED",,,,,,,"FOUL  by KALU,ED",1
12:13,"SUB IN by JOHN,GUNNER ST",,,,,,,"SUB IN by JOHN,GUNNER ST",1
12:13,"SUB OUT by KALU,ED",,,,,,,"SUB OUT by KALU,ED",1
12:13,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
12:13,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
12:08,,10,,26 (+16),"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 10-26 (+16),,"GOOD 3PTR by BUESCHER,HUNTER",1
12:01,,,,,"FOUL  by LEE,MATTHEW",,,"FOUL  by LEE,MATTHEW",1
12:01,"MISS FT by FLEMMING,TRENT",,,,,,,"MISS FT by FLEMMING,TRENT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:01,"GOOD FT by FLEMMING,TRENT",11,,26 (+15),,JOHNSON 11-26 (+15),,"GOOD FT by FLEMMING,TRENT",1
12:01,"SUB IN by CAMP,BRETT",,,,,,,"SUB IN by CAMP,BRETT",1
12:01,"SUB OUT by GUILLON,KENTON",,,,,,,"SUB OUT by GUILLON,KENTON",1
11:36,,,,,"TURNOVER  by HOWELL,TAYLOR",,,"TURNOVER  by HOWELL,TAYLOR",1
11:35,"STEAL  by GILPIN,TAYLOR",,,,,,,"STEAL  by GILPIN,TAYLOR",1
11:32,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:32,"TURNOVER  by WHITE,KENNY",,,,,,,"TURNOVER  by WHITE,KENNY",1
11:05,,11,,28 (+17),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 11-28 (+17),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",1
10:56,"GOOD LAYUP by GILPIN,TAYLOR(in the paint)",13,,28 (+15),,JOHNSON 13-28 (+15),,"GOOD LAYUP by GILPIN,TAYLOR(in the paint)",1
--,"ASSIST  by FLEMMING,TRENT",,,,,,,"ASSIST  by FLEMMING,TRENT",1
10:43,"FOUL  by CAMP,BRETT",,,,,,,"FOUL  by CAMP,BRETT",1
10:43,"SUB IN by GUILLON,KENTON",,,,,,,"SUB IN by GUILLON,KENTON",1
10:43,"SUB OUT by GILPIN,TAYLOR",,,,,,,"SUB OUT by GILPIN,TAYLOR",1
10:25,,,,,"TURNOVER  by LEE,MATTHEW",,,"TURNOVER  by LEE,MATTHEW",1
10:25,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
10:25,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
10:11,"GOOD JUMPER by JOHN,GUNNER ST",15,,28 (+13),,JOHNSON 15-28 (+13),,"GOOD JUMPER by JOHN,GUNNER ST",1
09:49,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
09:46,,15,,30 (+15),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 15-30 (+15),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
09:34,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
09:34,"MISS FT by JOHN,GUNNER ST",,,,,,,"MISS FT by JOHN,GUNNER ST",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:34,"GOOD FT by JOHN,GUNNER ST",16,,30 (+14),,JOHNSON 16-30 (+14),,"GOOD FT by JOHN,GUNNER ST",1
09:34,"SUB IN by CRESSWELL,TAYLOR",,,,,,,"SUB IN by CRESSWELL,TAYLOR",1
09:34,"SUB OUT by JOHN,GUNNER ST",,,,,,,"SUB OUT by JOHN,GUNNER ST",1
09:34,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
09:34,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
09:23,,16,,32 (+16),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 16-32 (+16),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
09:13,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
09:13,"GOOD FT by FLEMMING,TRENT",17,,32 (+15),,JOHNSON 17-32 (+15),,"GOOD FT by FLEMMING,TRENT",1
09:13,"GOOD FT by FLEMMING,TRENT",18,,32 (+14),,JOHNSON 18-32 (+14),,"GOOD FT by FLEMMING,TRENT",1
09:13,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
09:13,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
08:58,,18,,35 (+17),"GOOD 3PTR by BORN,CLAY",SEWANEE 18-35 (+17),,"GOOD 3PTR by BORN,CLAY",1
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",1
08:49,"GOOD 3PTR by CAMP,BRETT",21,,35 (+14),,JOHNSON 21-35 (+14),,"GOOD 3PTR by CAMP,BRETT",1
--,"ASSIST  by FLEMMING,TRENT",,,,,,,"ASSIST  by FLEMMING,TRENT",1
08:29,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by GUILLON,KENTON",,,,,,,"REBOUND DEF by GUILLON,KENTON",1
08:21,"GOOD 3PTR by CAMP,BRETT",24,,35 (+11),,JOHNSON 24-35 (+11),,"GOOD 3PTR by CAMP,BRETT",1
--,"ASSIST  by FLEMMING,TRENT",,,,,,,"ASSIST  by FLEMMING,TRENT",1
07:48,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",1
--,"REBOUND DEF by GUILLON,KENTON",,,,,,,"REBOUND DEF by GUILLON,KENTON",1
07:40,"MISS 3PTR by FLEMMING,TRENT",,,,,,,"MISS 3PTR by FLEMMING,TRENT",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
07:22,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
07:22,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:22,"SUB IN by KING,TREVOR",,,,,,,"SUB IN by KING,TREVOR",1
07:22,"SUB IN by GILPIN,TAYLOR",,,,,,,"SUB IN by GILPIN,TAYLOR",1
07:22,"SUB IN by JOHN,GUNNER ST",,,,,,,"SUB IN by JOHN,GUNNER ST",1
07:22,"SUB OUT by CRESSWELL,TAYLOR",,,,,,,"SUB OUT by CRESSWELL,TAYLOR",1
07:22,"SUB OUT by FLEMMING,TRENT",,,,,,,"SUB OUT by FLEMMING,TRENT",1
07:22,"SUB OUT by CAMP,BRETT",,,,,,,"SUB OUT by CAMP,BRETT",1
07:22,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
07:22,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
07:06,"MISS JUMPER by JOHN,GUNNER ST",,,,,,,"MISS JUMPER by JOHN,GUNNER ST",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
06:46,,,,,"MISS LAYUP by BUESCHER,HUNTER",,,"MISS LAYUP by BUESCHER,HUNTER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:35,"MISS JUMPER by WHITE,KENNY",,,,,,,"MISS JUMPER by WHITE,KENNY",1
--,"REBOUND OFF by KING,TREVOR",,,,,,,"REBOUND OFF by KING,TREVOR",1
06:26,"GOOD JUMPER by WHITE,KENNY",26,,35 (+9),,JOHNSON 26-35 (+9),,"GOOD JUMPER by WHITE,KENNY",1
--,"ASSIST  by KING,TREVOR",,,,,,,"ASSIST  by KING,TREVOR",1
06:26,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
06:26,"MISS FT by WHITE,KENNY",,,,,,,"MISS FT by WHITE,KENNY",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
06:26,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
06:26,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
06:10,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND OFF by BORN,LEO",,,"REBOUND OFF by BORN,LEO",1
06:06,,26,,37 (+11),"GOOD LAYUP by BORN,LEO(in the paint)",SEWANEE 26-37 (+11),,"GOOD LAYUP by BORN,LEO(in the paint)",1
05:54,"MISS JUMPER by JOHN,GUNNER ST",,,,,,,"MISS JUMPER by JOHN,GUNNER ST",1
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",1
05:45,,,,,"MISS JUMPER by BORN,LEO",,,"MISS JUMPER by BORN,LEO",1
--,"REBOUND DEF by JOHN,GUNNER ST",,,,,,,"REBOUND DEF by JOHN,GUNNER ST",1
05:38,"GOOD JUMPER by WHITE,KENNY",28,,37 (+9),,JOHNSON 28-37 (+9),,"GOOD JUMPER by WHITE,KENNY",1
05:10,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by WHITE,KENNY",,,,,,,"REBOUND DEF by WHITE,KENNY",1
05:02,"GOOD 3PTR by WHITE,KENNY",31,,37 (+6),,JOHNSON 31-37 (+6),,"GOOD 3PTR by WHITE,KENNY",1
04:52,"SUB IN by FLEMMING,TRENT",,,,,,,"SUB IN by FLEMMING,TRENT",1
04:52,"SUB IN by CRESSWELL,TAYLOR",,,,,,,"SUB IN by CRESSWELL,TAYLOR",1
04:52,"SUB OUT by JOHN,GUNNER ST",,,,,,,"SUB OUT by JOHN,GUNNER ST",1
04:52,"SUB OUT by KING,TREVOR",,,,,,,"SUB OUT by KING,TREVOR",1
04:47,,31,,40 (+9),"GOOD 3PTR by BORN,LEO",SEWANEE 31-40 (+9),,"GOOD 3PTR by BORN,LEO",1
--,,,,,"ASSIST  by HOWELL,TAYLOR",,,"ASSIST  by HOWELL,TAYLOR",1
04:37,"MISS JUMPER by FLEMMING,TRENT",,,,,,,"MISS JUMPER by FLEMMING,TRENT",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
04:27,,31,,42 (+11),"GOOD JUMPER by STONE,BRODY",SEWANEE 31-42 (+11),,"GOOD JUMPER by STONE,BRODY",1
--,,,,,"ASSIST  by HOWELL,TAYLOR",,,"ASSIST  by HOWELL,TAYLOR",1
04:09,"GOOD 3PTR by GILPIN,TAYLOR",34,,42 (+8),,JOHNSON 34-42 (+8),,"GOOD 3PTR by GILPIN,TAYLOR",1
--,"ASSIST  by GUILLON,KENTON",,,,,,,"ASSIST  by GUILLON,KENTON",1
03:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:41,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
03:41,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
03:41,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
03:41,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
03:37,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
03:36,"STEAL  by GILPIN,TAYLOR",,,,,,,"STEAL  by GILPIN,TAYLOR",1
03:34,"MISS LAYUP by FLEMMING,TRENT",,,,,,,"MISS LAYUP by FLEMMING,TRENT",1
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",1
03:19,,,,,"MISS 3PTR by CRUMLY,JONNY",,,"MISS 3PTR by CRUMLY,JONNY",1
--,"REBOUND DEF by GILPIN,TAYLOR",,,,,,,"REBOUND DEF by GILPIN,TAYLOR",1
03:15,"TURNOVER  by GILPIN,TAYLOR",,,,,,,"TURNOVER  by GILPIN,TAYLOR",1
03:14,,,,,"STEAL  by HOWELL,TAYLOR",,,"STEAL  by HOWELL,TAYLOR",1
02:59,,34,,44 (+10),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 34-44 (+10),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
--,,,,,"ASSIST  by LEE,MATTHEW",,,"ASSIST  by LEE,MATTHEW",1
02:48,"GOOD JUMPER by WHITE,KENNY",36,,44 (+8),,JOHNSON 36-44 (+8),,"GOOD JUMPER by WHITE,KENNY",1
02:23,,36,,46 (+10),"GOOD JUMPER by STONE,BRODY",SEWANEE 36-46 (+10),,"GOOD JUMPER by STONE,BRODY",1
02:21,"FOUL  by WHITE,KENNY",,,,,,,"FOUL  by WHITE,KENNY",1
02:21,,36,,47 (+11),"GOOD FT by STONE,BRODY",SEWANEE 36-47 (+11),,"GOOD FT by STONE,BRODY",1
02:21,"SUB IN by JOHN,GUNNER ST",,,,,,,"SUB IN by JOHN,GUNNER ST",1
02:21,"SUB IN by CAMP,BRETT",,,,,,,"SUB IN by CAMP,BRETT",1
02:21,"SUB OUT by GILPIN,TAYLOR",,,,,,,"SUB OUT by GILPIN,TAYLOR",1
02:21,"SUB OUT by CRESSWELL,TAYLOR",,,,,,,"SUB OUT by CRESSWELL,TAYLOR",1
02:21,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
02:21,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
02:21,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",1
02:21,,,,,"SUB OUT by HOWELL,TAYLOR",,,"SUB OUT by HOWELL,TAYLOR",1
02:17,"MISS JUMPER by FLEMMING,TRENT",,,,,,,"MISS JUMPER by FLEMMING,TRENT",1
--,"REBOUND OFF by FLEMMING,TRENT",,,,,,,"REBOUND OFF by FLEMMING,TRENT",1
02:12,"GOOD JUMPER by JOHN,GUNNER ST",38,,47 (+9),,JOHNSON 38-47 (+9),,"GOOD JUMPER by JOHN,GUNNER ST",1
--,"ASSIST  by FLEMMING,TRENT",,,,,,,"ASSIST  by FLEMMING,TRENT",1
01:46,,38,,50 (+12),"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 38-50 (+12),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,,,,,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",1
01:30,"MISS 3PTR by GUILLON,KENTON",,,,,,,"MISS 3PTR by GUILLON,KENTON",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
01:15,,38,,52 (+14),"GOOD JUMPER by STONE,BRODY",SEWANEE 38-52 (+14),,"GOOD JUMPER by STONE,BRODY",1
00:58,"MISS 3PTR by WHITE,KENNY",,,,,,,"MISS 3PTR by WHITE,KENNY",1
--,,,,,"REBOUND DEF by LEE,MATTHEW",,,"REBOUND DEF by LEE,MATTHEW",1
00:50,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",1
00:49,"STEAL  by FLEMMING,TRENT",,,,,,,"STEAL  by FLEMMING,TRENT",1
00:29,,,,,"FOUL  by LEE,MATTHEW",,,"FOUL  by LEE,MATTHEW",1
00:29,"GOOD FT by FLEMMING,TRENT",39,,52 (+13),,JOHNSON 39-52 (+13),,"GOOD FT by FLEMMING,TRENT",1
00:29,"MISS FT by FLEMMING,TRENT",,,,,,,"MISS FT by FLEMMING,TRENT",1
--,"REBOUND OFF by GUILLON,KENTON",,,,,,,"REBOUND OFF by GUILLON,KENTON",1
00:29,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
00:29,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
00:07,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",1
00:07,"GOOD FT by JOHN,GUNNER ST",40,,52 (+12),,JOHNSON 40-52 (+12),,"GOOD FT by JOHN,GUNNER ST",1
00:07,"GOOD FT by JOHN,GUNNER ST",41,,52 (+11),,JOHNSON 41-52 (+11),,"GOOD FT by JOHN,GUNNER ST",1
00:07,"GOOD FT by JOHN,GUNNER ST",42,,52 (+10),,JOHNSON 42-52 (+10),,"GOOD FT by JOHN,GUNNER ST",1
00:01,,,,,"MISS JUMPER by BUESCHER,HUNTER",,,"MISS JUMPER by BUESCHER,HUNTER",1
