Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:41,,0,,2 (+2),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE-M 0-2 (-2),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
19:25,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
19:24,,,,,"STEAL  by SPITZER,JAKOB",,,"STEAL  by SPITZER,JAKOB",1
19:06,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
18:42,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
18:32,,0,,5 (+5),"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 0-5 (-5),,"GOOD 3PTR by RAKES,BAILEY",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
18:15,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
18:04,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
18:04,,0,,6 (+6),"GOOD FT by SPITZER,JAKOB",CENTRE-M 0-6 (-6),,"GOOD FT by SPITZER,JAKOB",1
18:04,,0,,7 (+7),"GOOD FT by SPITZER,JAKOB",CENTRE-M 0-7 (-7),,"GOOD FT by SPITZER,JAKOB",1
17:34,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
17:32,"GOOD LAYUP by STONE,BRODY(in the paint)",2,,7 (+5),,SEWANEE 2-7 (-5),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
17:32,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
17:32,"GOOD FT by STONE,BRODY",3,,7 (+4),,SEWANEE 3-7 (-4),,"GOOD FT by STONE,BRODY",1
17:10,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",1
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",1
17:02,"GOOD JUMPER by BORN,CLAY",5,,7 (+2),,SEWANEE 5-7 (-2),,"GOOD JUMPER by BORN,CLAY",1
16:54,,5,,9 (+4),"GOOD LAYUP by RAKES,BAILEY(in the paint)",CENTRE-M 5-9 (-4),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
16:54,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
16:54,,5,,10 (+5),"GOOD FT by RAKES,BAILEY",CENTRE-M 5-10 (-5),,"GOOD FT by RAKES,BAILEY",1
16:54,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
16:54,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
16:45,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
16:45,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
16:25,,5,,12 (+7),"GOOD JUMPER by GUMP,MATT",CENTRE-M 5-12 (-7),,"GOOD JUMPER by GUMP,MATT",1
16:03,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
15:55,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
