Time Remaining,STE,Away Team Score,Play Team Indicator,Home Team Score,SEWM,Game Score,Team Indicator,Play,Period
19:44,"MISS JUMPER by HAYES,CAMERON",,,,,,,"MISS JUMPER by HAYES,CAMERON",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
19:27,,0,,3 (+3),"GOOD 3PTR by BORN,CLAY",SEWM 0-3 (+3),,"GOOD 3PTR by BORN,CLAY",1
--,,,,,"ASSIST  by BORN,LEO",,,"ASSIST  by BORN,LEO",1
19:09,"GOOD LAYUP by HAYES,CAMERON(in the paint)",2,,3 (+1),,STE 2-3 (+1),,"GOOD LAYUP by HAYES,CAMERON(in the paint)",1
18:57,,2,,6 (+4),"GOOD 3PTR by WILLIAMS,JORDEN",SEWM 2-6 (+4),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",1
18:43,"MISS 3PTR by MCNEAL,TIM",,,,,,,"MISS 3PTR by MCNEAL,TIM",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
18:31,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND DEF by WOOLDRIDGE,KYLE",,,,,,,"REBOUND DEF by WOOLDRIDGE,KYLE",1
18:17,"GOOD 3PTR by WOOLDRIDGE,KYLE",5,,6 (+1),,STE 5-6 (+1),,"GOOD 3PTR by WOOLDRIDGE,KYLE",1
17:44,"FOUL  by CORNISH,CLIFF",,,,,,,"FOUL  by CORNISH,CLIFF",1
17:44,,5,,7 (+2),"GOOD FT by BORN,LEO",SEWM 5-7 (+2),,"GOOD FT by BORN,LEO",1
17:44,,5,,8 (+3),"GOOD FT by BORN,LEO",SEWM 5-8 (+3),,"GOOD FT by BORN,LEO",1
17:24,"TURNOVER  by MCNEAL,TIM",,,,,,,"TURNOVER  by MCNEAL,TIM",1
17:23,,,,,"STEAL  by CALDWELL,CAM",,,"STEAL  by CALDWELL,CAM",1
17:05,,5,,10 (+5),"GOOD JUMPER by BORN,LEO",SEWM 5-10 (+5),,"GOOD JUMPER by BORN,LEO",1
16:47,"GOOD 3PTR by HAYES,CAMERON",8,,10 (+2),,STE 8-10 (+2),,"GOOD 3PTR by HAYES,CAMERON",1
16:16,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",1
16:16,"BLOCK  by WOOLDRIDGE,KYLE",,,,,,,"BLOCK  by WOOLDRIDGE,KYLE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:13,"SUB IN by TERRELL,MARK",,,,,,,"SUB IN by TERRELL,MARK",1
16:13,"SUB OUT by CORNISH,CLIFF",,,,,,,"SUB OUT by CORNISH,CLIFF",1
16:13,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
16:13,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
15:57,"GOOD JUMPER by HAYES,CAMERON",10,,10,,STE 10-10 (0),,"GOOD JUMPER by HAYES,CAMERON",1
15:27,,10,,12 (+2),"GOOD JUMPER by BORN,LEO(in the paint)",SEWM 10-12 (+2),,"GOOD JUMPER by BORN,LEO(in the paint)",1
15:13,"MISS LAYUP by WIEBUSCH,BEN",,,,,,,"MISS LAYUP by WIEBUSCH,BEN",1
--,"REBOUND OFF by TERRELL,MARK",,,,,,,"REBOUND OFF by TERRELL,MARK",1
15:11,"MISS LAYUP by TERRELL,MARK",,,,,,,"MISS LAYUP by TERRELL,MARK",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
14:58,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,"REBOUND DEF by MCNEAL,TIM",,,,,,,"REBOUND DEF by MCNEAL,TIM",1
14:45,"GOOD JUMPER by HAYES,CAMERON",12,,12,,STE 12-12 (0),,"GOOD JUMPER by HAYES,CAMERON",1
14:28,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by HAYES,CAMERON",,,,,,,"REBOUND DEF by HAYES,CAMERON",1
14:16,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",1
14:16,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
14:16,"SUB IN by JR,KOREY HAYMAN",,,,,,,"SUB IN by JR,KOREY HAYMAN",1
14:16,"SUB OUT by WOOLDRIDGE,KYLE",,,,,,,"SUB OUT by WOOLDRIDGE,KYLE",1
14:16,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
14:16,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
14:16,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
14:16,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
14:05,"GOOD JUMPER by HAYES,CAMERON(in the paint)",14 (+2),,12,,STE 14-12 (-2),,"GOOD JUMPER by HAYES,CAMERON(in the paint)",1
--,"ASSIST  by JR,KOREY HAYMAN",,,,,,,"ASSIST  by JR,KOREY HAYMAN",1
13:47,,14,,15 (+1),"GOOD 3PTR by BUESCHER,HUNTER",SEWM 14-15 (+1),,"GOOD 3PTR by BUESCHER,HUNTER",1
13:29,"MISS JUMPER by WIEBUSCH,BEN",,,,,,,"MISS JUMPER by WIEBUSCH,BEN",1
--,"REBOUND OFF by JR,KOREY HAYMAN",,,,,,,"REBOUND OFF by JR,KOREY HAYMAN",1
13:16,"FOUL  by JR,KOREY HAYMAN",,,,,,,"FOUL  by JR,KOREY HAYMAN",1
13:16,"TURNOVER  by JR,KOREY HAYMAN",,,,,,,"TURNOVER  by JR,KOREY HAYMAN",1
13:16,"SUB IN by COLLINS,CHRISTIAN",,,,,,,"SUB IN by COLLINS,CHRISTIAN",1
13:16,"SUB OUT by WIEBUSCH,BEN",,,,,,,"SUB OUT by WIEBUSCH,BEN",1
13:14,,,,,"SUB IN by SPENCER,JC",,,"SUB IN by SPENCER,JC",1
13:14,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
13:14,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
13:14,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
13:07,,14,,18 (+4),"GOOD 3PTR by BUESCHER,HUNTER",SEWM 14-18 (+4),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,,,,,"ASSIST  by SPENCER,JC",,,"ASSIST  by SPENCER,JC",1
12:49,,,,,"FOUL  by SPENCER,JC",,,"FOUL  by SPENCER,JC",1
12:45,"MISS LAYUP by JR,KOREY HAYMAN",,,,,,,"MISS LAYUP by JR,KOREY HAYMAN",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
12:27,,,,,"MISS JUMPER by BUESCHER,HUNTER",,,"MISS JUMPER by BUESCHER,HUNTER",1
12:27,"BLOCK  by COLLINS,CHRISTIAN",,,,,,,"BLOCK  by COLLINS,CHRISTIAN",1
--,"REBOUND DEF by JR,KOREY HAYMAN",,,,,,,"REBOUND DEF by JR,KOREY HAYMAN",1
12:20,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
12:20,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
12:19,"GOOD JUMPER by HAYES,CAMERON",16,,18 (+2),,STE 16-18 (+2),,"GOOD JUMPER by HAYES,CAMERON",1
12:02,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by HAYES,CAMERON",,,,,,,"REBOUND DEF by HAYES,CAMERON",1
11:54,"MISS LAYUP by COLLINS,CHRISTIAN",,,,,,,"MISS LAYUP by COLLINS,CHRISTIAN",1
--,"REBOUND OFF by HAYES,CAMERON",,,,,,,"REBOUND OFF by HAYES,CAMERON",1
