Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,APSU,Game Score,Team Indicator,Play,Period
19:47,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2 (+2),,0,,SEWANE~1 2-0 (+2),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
19:35,,2,,2,"GOOD JUMPER by MURRY,JOHN",APSU 2-2 (0),,"GOOD JUMPER by MURRY,JOHN",1
19:19,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND OFF by BORN,LEO",,,,,,,"REBOUND OFF by BORN,LEO",1
19:10,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
19:09,,,,,"STEAL  by PORTER-BUNTON,CHRIS",,,"STEAL  by PORTER-BUNTON,CHRIS",1
19:07,,,,,"MISS LAYUP by JONES,KENNY",,,"MISS LAYUP by JONES,KENNY",1
--,,,,,"REBOUND OFF by SAVAGE,JARED",,,"REBOUND OFF by SAVAGE,JARED",1
19:02,,,,,"MISS LAYUP by SAVAGE,JARED",,,"MISS LAYUP by SAVAGE,JARED",1
--,,,,,"REBOUND OFF by SAVAGE,JARED",,,"REBOUND OFF by SAVAGE,JARED",1
19:02,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
19:02,,2,,3 (+1),"GOOD FT by SAVAGE,JARED",APSU 2-3 (-1),,"GOOD FT by SAVAGE,JARED",1
19:02,,2,,4 (+2),"GOOD FT by SAVAGE,JARED",APSU 2-4 (-2),,"GOOD FT by SAVAGE,JARED",1
18:48,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
18:46,,,,,"STEAL  by MURRY,JOHN",,,"STEAL  by MURRY,JOHN",1
18:43,,2,,6 (+4),"GOOD DUNK by JONES,KENNY(fastbreak)(in the paint)",APSU 2-6 (-4),,"GOOD DUNK by JONES,KENNY(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MURRY,JOHN",,,"ASSIST  by MURRY,JOHN",1
18:17,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by SAVAGE,JARED",,,"REBOUND DEF by SAVAGE,JARED",1
18:09,,,,,"MISS JUMPER by ROBINSON,JOSH",,,"MISS JUMPER by ROBINSON,JOSH",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
