Time Remaining,TUOTS,Away Team Score,Play Team Indicator,Home Team Score,E&HM,Game Score,Team Indicator,Play,Period
19:43,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
19:43,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
19:29,,,,,"MISS 3PTR by GRAVLEY,RYAN",,,"MISS 3PTR by GRAVLEY,RYAN",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
19:10,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
19:09,,,,,"STEAL  by TURNER,MYLES",,,"STEAL  by TURNER,MYLES",1
19:07,,0,,2 (+2),"GOOD LAYUP by TURNER,MYLES(fastbreak)(in the paint)",E&HM 0-2 (-2),,"GOOD LAYUP by TURNER,MYLES(fastbreak)(in the paint)",1
18:49,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",1
18:49,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
18:28,,0,,4 (+4),"GOOD LAYUP by WYNN,ALIC(in the paint)",E&HM 0-4 (-4),,"GOOD LAYUP by WYNN,ALIC(in the paint)",1
18:08,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:46,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",1
17:46,,,,,"BLOCK  by WYNN,ALIC",,,"BLOCK  by WYNN,ALIC",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
17:38,"GOOD LAYUP by BORN,LEO(in the paint)",2,,4 (+2),,TUOTS 2-4 (-2),,"GOOD LAYUP by BORN,LEO(in the paint)",1
17:17,,,,,"TURNOVER  by GRAVLEY,RYAN",,,"TURNOVER  by GRAVLEY,RYAN",1
17:16,"STEAL  by BUESCHER,HUNTER",,,,,,,"STEAL  by BUESCHER,HUNTER",1
17:10,"MISS LAYUP by BORN,CLAY",,,,,,,"MISS LAYUP by BORN,CLAY",1
--,,,,,"REBOUND DEF by SHELOR,JOHN",,,"REBOUND DEF by SHELOR,JOHN",1
