Time Remaining,MARYVILL,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:39,"MISS JUMPER by BROOKS,JOSHUA",,,,,,,"MISS JUMPER by BROOKS,JOSHUA",1
--,"REBOUND OFF by NOKES,COLT",,,,,,,"REBOUND OFF by NOKES,COLT",1
19:27,"GOOD JUMPER by NOKES,COLT(in the paint)",2 (+2),,0,,MARYVILL 2-0 (-2),,"GOOD JUMPER by NOKES,COLT(in the paint)",1
19:16,,2,,2,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",SEWANEE 2-2 (0),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
--,,,,,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",1
18:55,"GOOD JUMPER by NOKES,COLT(in the paint)",4 (+2),,2,,MARYVILL 4-2 (-2),,"GOOD JUMPER by NOKES,COLT(in the paint)",1
18:40,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by HOPPA,DANTE",,,,,,,"REBOUND DEF by HOPPA,DANTE",1
--,"ASSIST  by BROOKS,JOSHUA",,,,,,,"ASSIST  by BROOKS,JOSHUA",1
18:25,"GOOD 3PTR by GARCIA,EMANUELLE",7 (+5),,2,,MARYVILL 7-2 (-5),,"GOOD 3PTR by GARCIA,EMANUELLE",1
--,"ASSIST  by SPICER,TYLER",,,,,,,"ASSIST  by SPICER,TYLER",1
18:02,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
18:01,"STEAL  by GARCIA,EMANUELLE",,,,,,,"STEAL  by GARCIA,EMANUELLE",1
17:45,"GOOD LAYUP by NOKES,COLT(in the paint)",9 (+7),,2,,MARYVILL 9-2 (-7),,"GOOD LAYUP by NOKES,COLT(in the paint)",1
--,"ASSIST  by NOKES,COLT",,,,,,,"ASSIST  by NOKES,COLT",1
17:28,,9 (+4),,5,"GOOD 3PTR by BORN,CLAY",SEWANEE 9-5 (-4),,"GOOD 3PTR by BORN,CLAY",1
17:10,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
17:10,"GOOD FT by GARCIA,EMANUELLE",10 (+5),,5,,MARYVILL 10-5 (-5),,"GOOD FT by GARCIA,EMANUELLE",1
17:10,"MISS FT by GARCIA,EMANUELLE",,,,,,,"MISS FT by GARCIA,EMANUELLE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:10,"GOOD FT by GARCIA,EMANUELLE",11 (+6),,5,,MARYVILL 11-5 (-6),,"GOOD FT by GARCIA,EMANUELLE",1
16:45,,11 (+4),,7,"GOOD JUMPER by BORN,CLAY",SEWANEE 11-7 (-4),,"GOOD JUMPER by BORN,CLAY",1
16:17,"TURNOVER  by SPICER,TYLER",,,,,,,"TURNOVER  by SPICER,TYLER",1
16:16,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",1
16:12,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by NOKES,COLT",,,,,,,"REBOUND DEF by NOKES,COLT",1
16:08,"TURNOVER  by NOKES,COLT",,,,,,,"TURNOVER  by NOKES,COLT",1
16:06,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",1
15:51,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
15:50,"STEAL  by GARCIA,EMANUELLE",,,,,,,"STEAL  by GARCIA,EMANUELLE",1
15:47,"MISS LAYUP by GARCIA,EMANUELLE",,,,,,,"MISS LAYUP by GARCIA,EMANUELLE",1
15:47,,,,,"BLOCK  by STONE,BRODY",,,"BLOCK  by STONE,BRODY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:45,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:45,"SUB IN by BOWMAN,EMIER",,,,,,,"SUB IN by BOWMAN,EMIER",1
15:45,"SUB OUT by SPICER,TYLER",,,,,,,"SUB OUT by SPICER,TYLER",1
15:42,"TURNOVER  by BROOKS,JOSHUA",,,,,,,"TURNOVER  by BROOKS,JOSHUA",1
15:41,,,,,"STEAL  by BORN,CLAY",,,"STEAL  by BORN,CLAY",1
15:32,"STEAL  by BOWMAN,EMIER",,,,,,,"STEAL  by BOWMAN,EMIER",1
15:16,,11 (+1),,10,"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 11-10 (-1),,"GOOD 3PTR by WILLIAMS,JORDEN",1
14:53,"MISS JUMPER by NOKES,COLT",,,,,,,"MISS JUMPER by NOKES,COLT",1
--,"REBOUND OFF by BOWMAN,EMIER",,,,,,,"REBOUND OFF by BOWMAN,EMIER",1
14:42,"GOOD TIPIN by BOWMAN,EMIER(in the paint)",13 (+3),,10,,MARYVILL 13-10 (-3),,"GOOD TIPIN by BOWMAN,EMIER(in the paint)",1
14:23,"STEAL  by GARCIA,EMANUELLE",,,,,,,"STEAL  by GARCIA,EMANUELLE",1
14:23,,,,,"MISS LAYUP by STONE,BRODY",,,"MISS LAYUP by STONE,BRODY",1
--,"REBOUND DEF by NOKES,COLT",,,,,,,"REBOUND DEF by NOKES,COLT",1
14:07,"GOOD LAYUP by SONGSTER,CALVIN(in the paint)",15 (+5),,10,,MARYVILL 15-10 (-5),,"GOOD LAYUP by SONGSTER,CALVIN(in the paint)",1
13:55,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
13:55,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
13:49,"SUB IN by ESTES,KALEB",,,,,,,"SUB IN by ESTES,KALEB",1
13:49,"SUB IN by BOWMAN,BLAKE",,,,,,,"SUB IN by BOWMAN,BLAKE",1
13:49,"SUB IN by SONGSTER,CALVIN",,,,,,,"SUB IN by SONGSTER,CALVIN",1
13:49,"SUB IN by WATSON,CHRIS",,,,,,,"SUB IN by WATSON,CHRIS",1
13:49,"SUB OUT by NOKES,COLT",,,,,,,"SUB OUT by NOKES,COLT",1
13:49,"SUB OUT by HOPPA,DANTE",,,,,,,"SUB OUT by HOPPA,DANTE",1
