Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,Sewanee,Game Score,Team Indicator,Play,Period
16:50,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",1
16:50,,3,,3,"GOOD FT by STONE,BRODY",Sewanee 3-3 (0),,"GOOD FT by STONE,BRODY",1
16:50,,3,,4 (+1),"GOOD FT by STONE,BRODY",Sewanee 3-4 (+1),,"GOOD FT by STONE,BRODY",1
16:31,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
16:31,"MISS FT by EDWARDS,JUSTIN",,,,,,,"MISS FT by EDWARDS,JUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:31,"GOOD FT by EDWARDS,JUSTIN",4,,4,,OU 4-4 (0),,"GOOD FT by EDWARDS,JUSTIN",1
16:31,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
16:31,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
16:08,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",1
--,"REBOUND DEF by EDWARDS,JUSTIN",,,,,,,"REBOUND DEF by EDWARDS,JUSTIN",1
15:57,"MISS LAYUP by EDWARDS,JUSTIN",,,,,,,"MISS LAYUP by EDWARDS,JUSTIN",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
15:49,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
15:41,"MISS LAYUP by LAWRENCE,CHRIS",,,,,,,"MISS LAYUP by LAWRENCE,CHRIS",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
15:13,,4,,6 (+2),"GOOD JUMPER by STONE,BRODY",Sewanee 4-6 (+2),,"GOOD JUMPER by STONE,BRODY",1
14:55,"GOOD 3PTR by PATRICK,DREW",7 (+1),,6,,OU 7-6 (-1),,"GOOD 3PTR by PATRICK,DREW",1
--,"ASSIST  by TURNER,MIKE",,,,,,,"ASSIST  by TURNER,MIKE",1
14:36,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
14:36,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
14:36,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
14:36,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",1
14:36,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
14:36,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
14:36,"SUB OUT by TURNER,MIKE",,,,,,,"SUB OUT by TURNER,MIKE",1
14:36,"SUB OUT by EDWARDS,JUSTIN",,,,,,,"SUB OUT by EDWARDS,JUSTIN",1
14:36,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
14:36,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
14:36,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
14:36,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
14:36,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
14:27,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",1
14:26,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",1
14:12,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
13:51,"MISS 3PTR by HUGHES,JUSTIN",,,,,,,"MISS 3PTR by HUGHES,JUSTIN",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
13:40,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
13:32,"MISS LAYUP by PATRICK,DREW",,,,,,,"MISS LAYUP by PATRICK,DREW",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:30,"SUB IN by TURNER,MIKE",,,,,,,"SUB IN by TURNER,MIKE",1
13:30,"SUB IN by EDWARDS,JUSTIN",,,,,,,"SUB IN by EDWARDS,JUSTIN",1
13:30,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
13:30,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
13:11,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:45,"GOOD JUMPER by ANDINO,GEORGE(in the paint)",9 (+3),,6,,OU 9-6 (-3),,"GOOD JUMPER by ANDINO,GEORGE(in the paint)",1
12:13,,9,,9,"GOOD 3PTR by BUESCHER,HUNTER",Sewanee 9-9 (0),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,,,,,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",1
11:48,"TURNOVER  by EDWARDS,JUSTIN",,,,,,,"TURNOVER  by EDWARDS,JUSTIN",1
11:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:48,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
11:48,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
11:48,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",1
11:48,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
11:48,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
11:48,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
11:48,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
11:48,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
11:48,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
11:48,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
11:33,,9,,12 (+3),"GOOD 3PTR by WILLIAMS,JORDEN",Sewanee 9-12 (+3),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",1
11:09,"MISS JUMPER by INUNGU,TOM",,,,,,,"MISS JUMPER by INUNGU,TOM",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
10:51,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",1
10:51,,9,,13 (+4),"GOOD FT by WILLIAMS,JORDEN",Sewanee 9-13 (+4),,"GOOD FT by WILLIAMS,JORDEN",1
10:51,,9,,14 (+5),"GOOD FT by WILLIAMS,JORDEN",Sewanee 9-14 (+5),,"GOOD FT by WILLIAMS,JORDEN",1
10:51,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",1
10:51,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
10:41,"GOOD 3PTR by HUGHES,JUSTIN",12,,14 (+2),,OU 12-14 (+2),,"GOOD 3PTR by HUGHES,JUSTIN",1
--,"ASSIST  by PATRICK,DREW",,,,,,,"ASSIST  by PATRICK,DREW",1
10:17,,,,,"MISS LAYUP by STONE,BRODY",,,"MISS LAYUP by STONE,BRODY",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
10:14,,,,,"MISS LAYUP by STONE,BRODY",,,"MISS LAYUP by STONE,BRODY",1
--,"REBOUND DEF by ANDINO,GEORGE",,,,,,,"REBOUND DEF by ANDINO,GEORGE",1
09:54,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",1
09:54,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
09:54,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
09:52,"TURNOVER  by EDWARDS,JUSTIN",,,,,,,"TURNOVER  by EDWARDS,JUSTIN",1
09:51,,,,,"STEAL  by BORN,LEO",,,"STEAL  by BORN,LEO",1
09:46,,12,,17 (+5),"GOOD 3PTR by WILLIAMS,JORDEN",Sewanee 12-17 (+5),,"GOOD 3PTR by WILLIAMS,JORDEN",1
09:33,"TURNOVER  by HUGHES,JUSTIN",,,,,,,"TURNOVER  by HUGHES,JUSTIN",1
09:33,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
09:33,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
09:33,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",1
09:33,"SUB OUT by TURNER,MIKE",,,,,,,"SUB OUT by TURNER,MIKE",1
09:33,,,,,"SUB IN by SPENCER,JC",,,"SUB IN by SPENCER,JC",1
09:33,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
09:06,,12,,20 (+8),"GOOD 3PTR by WILLIAMS,JORDEN",Sewanee 12-20 (+8),,"GOOD 3PTR by WILLIAMS,JORDEN",1
08:49,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,"REBOUND OFF by LAWRENCE,CHRIS",,,,,,,"REBOUND OFF by LAWRENCE,CHRIS",1
08:41,"GOOD LAYUP by EDWARDS,JUSTIN(in the paint)",14,,20 (+6),,OU 14-20 (+6),,"GOOD LAYUP by EDWARDS,JUSTIN(in the paint)",1
08:41,,,,,"FOUL  by SPENCER,JC",,,"FOUL  by SPENCER,JC",1
08:41,"MISS FT by EDWARDS,JUSTIN",,,,,,,"MISS FT by EDWARDS,JUSTIN",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
08:41,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
08:41,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
08:41,,,,,"SUB OUT by SPENCER,JC",,,"SUB OUT by SPENCER,JC",1
08:41,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
08:22,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND DEF by EDWARDS,JUSTIN",,,,,,,"REBOUND DEF by EDWARDS,JUSTIN",1
08:08,"GOOD 3PTR by PATRICK,DREW",17,,20 (+3),,OU 17-20 (+3),,"GOOD 3PTR by PATRICK,DREW",1
--,"ASSIST  by EDWARDS,JUSTIN",,,,,,,"ASSIST  by EDWARDS,JUSTIN",1
07:42,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
07:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:42,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:42,,17,,21 (+4),"GOOD FT by CALDWELL,CAM",Sewanee 17-21 (+4),,"GOOD FT by CALDWELL,CAM",1
07:42,"SUB IN by MCGRATH,JOSH",,,,,,,"SUB IN by MCGRATH,JOSH",1
07:42,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
07:38,"GOOD LAYUP by HUGHES,JUSTIN(in the paint)",19,,21 (+2),,OU 19-21 (+2),,"GOOD LAYUP by HUGHES,JUSTIN(in the paint)",1
--,"ASSIST  by LAWRENCE,CHRIS",,,,,,,"ASSIST  by LAWRENCE,CHRIS",1
07:17,,19,,23 (+4),"GOOD JUMPER by STONE,BRODY(in the paint)",Sewanee 19-23 (+4),,"GOOD JUMPER by STONE,BRODY(in the paint)",1
06:52,"FOUL  by LAWRENCE,CHRIS",,,,,,,"FOUL  by LAWRENCE,CHRIS",1
06:52,"TURNOVER  by LAWRENCE,CHRIS",,,,,,,"TURNOVER  by LAWRENCE,CHRIS",1
06:52,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
06:52,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
06:34,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",1
06:17,"MISS LAYUP by EDWARDS,JUSTIN",,,,,,,"MISS LAYUP by EDWARDS,JUSTIN",1
--,"REBOUND OFF by MCGRATH,JOSH",,,,,,,"REBOUND OFF by MCGRATH,JOSH",1
05:52,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",1
05:52,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
05:52,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
05:52,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
05:52,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
05:42,"TURNOVER  by ANDINO,GEORGE",,,,,,,"TURNOVER  by ANDINO,GEORGE",1
05:40,,,,,"STEAL  by THOMAS,ADRIAN",,,"STEAL  by THOMAS,ADRIAN",1
05:38,,,,,"MISS LAYUP by THOMAS,ADRIAN",,,"MISS LAYUP by THOMAS,ADRIAN",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
05:26,"GOOD LAYUP by PATRICK,DREW(in the paint)",21,,23 (+2),,OU 21-23 (+2),,"GOOD LAYUP by PATRICK,DREW(in the paint)",1
05:11,,,,,"MISS JUMPER by BORN,CLAY",,,"MISS JUMPER by BORN,CLAY",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
05:01,"GOOD 3PTR by PATRICK,DREW",24 (+1),,23,,OU 24-23 (-1),,"GOOD 3PTR by PATRICK,DREW",1
04:46,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
04:46,"SUB OUT by EDWARDS,JUSTIN",,,,,,,"SUB OUT by EDWARDS,JUSTIN",1
04:40,,,,,"MISS LAYUP by THOMAS,ADRIAN",,,"MISS LAYUP by THOMAS,ADRIAN",1
--,,,,,"REBOUND OFF by LEE,MATTHEW",,,"REBOUND OFF by LEE,MATTHEW",1
04:35,,,,,"TURNOVER  by LEE,MATTHEW",,,"TURNOVER  by LEE,MATTHEW",1
04:30,"SUB IN by TURNER,MIKE",,,,,,,"SUB IN by TURNER,MIKE",1
04:30,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",1
04:30,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
04:30,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
04:26,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",1
04:26,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
04:09,"MISS 3PTR by ANDINO,GEORGE",,,,,,,"MISS 3PTR by ANDINO,GEORGE",1
--,,,,,"REBOUND DEF by LEE,MATTHEW",,,"REBOUND DEF by LEE,MATTHEW",1
03:47,"FOUL  by MCGRATH,JOSH",,,,,,,"FOUL  by MCGRATH,JOSH",1
03:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:47,,24,,24,"GOOD FT by STONE,BRODY",Sewanee 24-24 (0),,"GOOD FT by STONE,BRODY",1
03:47,"SUB IN by EDWARDS,JUSTIN",,,,,,,"SUB IN by EDWARDS,JUSTIN",1
03:47,"SUB OUT by MCGRATH,JOSH",,,,,,,"SUB OUT by MCGRATH,JOSH",1
03:44,,24,,26 (+2),"GOOD LAYUP by STONE,BRODY(in the paint)",Sewanee 24-26 (+2),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
03:30,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
03:30,"GOOD FT by LAWRENCE,CHRIS",25,,26 (+1),,OU 25-26 (+1),,"GOOD FT by LAWRENCE,CHRIS",1
03:30,"GOOD FT by LAWRENCE,CHRIS",26,,26,,OU 26-26 (0),,"GOOD FT by LAWRENCE,CHRIS",1
03:30,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
03:30,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
03:30,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
03:30,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",1
03:12,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by TURNER,MIKE",,,,,,,"REBOUND DEF by TURNER,MIKE",1
03:04,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,"REBOUND OFF by SIGRIST,CONNOR",,,,,,,"REBOUND OFF by SIGRIST,CONNOR",1
02:58,"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",28 (+2),,26,,OU 28-26 (-2),,"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",1
02:48,"FOUL  by SIGRIST,CONNOR",,,,,,,"FOUL  by SIGRIST,CONNOR",1
02:48,,28,,28,"GOOD LAYUP by STONE,BRODY(in the paint)",Sewanee 28-28 (0),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
02:48,"TURNOVER  by TURNER,MIKE",,,,,,,"TURNOVER  by TURNER,MIKE",1
02:48,,,,,"STEAL  by BORN,CLAY",,,"STEAL  by BORN,CLAY",1
02:48,"FOUL  by TURNER,MIKE",,,,,,,"FOUL  by TURNER,MIKE",1
02:48,,28,,29 (+1),"GOOD FT by BORN,CLAY",Sewanee 28-29 (+1),,"GOOD FT by BORN,CLAY",1
02:48,,28,,30 (+2),"GOOD FT by BORN,CLAY",Sewanee 28-30 (+2),,"GOOD FT by BORN,CLAY",1
02:48,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
02:48,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
02:21,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,"REBOUND OFF by PATRICK,DREW",,,,,,,"REBOUND OFF by PATRICK,DREW",1
02:03,"MISS LAYUP by SIGRIST,CONNOR",,,,,,,"MISS LAYUP by SIGRIST,CONNOR",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
01:58,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND DEF by EDWARDS,JUSTIN",,,,,,,"REBOUND DEF by EDWARDS,JUSTIN",1
01:38,,,,,"FOUL  by LEE,MATTHEW",,,"FOUL  by LEE,MATTHEW",1
01:38,"GOOD FT by LAWRENCE,CHRIS",29,,30 (+1),,OU 29-30 (+1),,"GOOD FT by LAWRENCE,CHRIS",1
01:38,"GOOD FT by LAWRENCE,CHRIS",30,,30,,OU 30-30 (0),,"GOOD FT by LAWRENCE,CHRIS",1
01:38,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
01:38,"SUB IN by HUFFMAN,DEVIN",,,,,,,"SUB IN by HUFFMAN,DEVIN",1
01:38,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",1
01:38,"SUB OUT by TURNER,MIKE",,,,,,,"SUB OUT by TURNER,MIKE",1
01:09,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
00:55,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,"REBOUND OFF by HUFFMAN,DEVIN",,,,,,,"REBOUND OFF by HUFFMAN,DEVIN",1
00:50,"TURNOVER  by HUFFMAN,DEVIN",,,,,,,"TURNOVER  by HUFFMAN,DEVIN",1
00:48,,,,,"STEAL  by LEE,MATTHEW",,,"STEAL  by LEE,MATTHEW",1
00:44,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:42,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
00:42,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
00:28,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",32 (+2),,30,,OU 32-30 (-2),,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",1
00:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:22,"FOUL  by HUFFMAN,DEVIN",,,,,,,"FOUL  by HUFFMAN,DEVIN",1
00:22,,,,,"MISS FT by BORN,CLAY",,,"MISS FT by BORN,CLAY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:22,,32 (+1),,31,"GOOD FT by BORN,CLAY",Sewanee 32-31 (-1),,"GOOD FT by BORN,CLAY",1
00:22,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
00:22,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",1
00:22,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
00:22,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
00:22,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
00:22,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
00:07,"SUB IN by TURNER,MIKE",,,,,,,"SUB IN by TURNER,MIKE",1
00:07,"SUB OUT by HUFFMAN,DEVIN",,,,,,,"SUB OUT by HUFFMAN,DEVIN",1
00:07,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
00:07,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
00:00,"GOOD LAYUP by EDWARDS,JUSTIN(fastbreak)(in the paint)",34 (+3),,31,,OU 34-31 (-3),,"GOOD LAYUP by EDWARDS,JUSTIN(fastbreak)(in the paint)",1
19:45,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",2
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",2
19:17,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",2
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",2
19:03,"MISS LAYUP by LAWRENCE,CHRIS",,,,,,,"MISS LAYUP by LAWRENCE,CHRIS",2
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",2
18:48,,,,,"MISS LAYUP by THOMAS,ADRIAN",,,"MISS LAYUP by THOMAS,ADRIAN",2
--,,,,,"REBOUND OFF by THOMAS,ADRIAN",,,"REBOUND OFF by THOMAS,ADRIAN",2
18:31,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",2
18:30,"STEAL  by INUNGU,TOM",,,,,,,"STEAL  by INUNGU,TOM",2
18:28,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",2
18:26,,,,,"STEAL  by CALDWELL,CAM",,,"STEAL  by CALDWELL,CAM",2
18:13,,,,,"MISS LAYUP by BORN,CLAY",,,"MISS LAYUP by BORN,CLAY",2
--,,,,,"REBOUND OFF by BORN,CLAY",,,"REBOUND OFF by BORN,CLAY",2
18:06,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",2
18:05,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
