Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,PCM,Game Score,Team Indicator,Play,Period
19:38,"GOOD 3PTR by WILLIAMS,JORDEN",3 (+3),,0,,SEWANE~1 3-0 (+3),,"GOOD 3PTR by WILLIAMS,JORDEN",1
19:33,,,,,"TURNOVER  by GAINES,TRAE",,,"TURNOVER  by GAINES,TRAE",1
19:06,"GOOD LAYUP by STONE,BRODY(in the paint)",5 (+5),,0,,SEWANE~1 5-0 (+5),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
18:51,,,,,"MISS LAYUP by ENGLAND,CHASE",,,"MISS LAYUP by ENGLAND,CHASE",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
18:27,,,,,"FOUL  by VALLEJO,JUSTIN",,,"FOUL  by VALLEJO,JUSTIN",1
18:02,"GOOD LAYUP by BORN,LEO(in the paint)",7 (+7),,0,,SEWANE~1 7-0 (+7),,"GOOD LAYUP by BORN,LEO(in the paint)",1
17:42,,7 (+5),,2,"GOOD JUMPER by ASSINESI,KELLY(in the paint)",PCM 7-2 (+5),,"GOOD JUMPER by ASSINESI,KELLY(in the paint)",1
--,,,,,"ASSIST  by ENGLAND,CHASE",,,"ASSIST  by ENGLAND,CHASE",1
17:22,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
17:07,,7 (+3),,4,"GOOD JUMPER by VALLEJO,JUSTIN(in the paint)",PCM 7-4 (+3),,"GOOD JUMPER by VALLEJO,JUSTIN(in the paint)",1
16:38,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
16:37,,,,,"STEAL  by ENGLAND,CHASE",,,"STEAL  by ENGLAND,CHASE",1
16:32,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
16:32,,7 (+2),,5,"GOOD FT by ENGLAND,CHASE",PCM 7-5 (+2),,"GOOD FT by ENGLAND,CHASE",1
