Time Remaining,BOYCE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:37,"GOOD 3PTR by MCKAY,DREW",3 (+3),,0,,BOYCE 3-0 (-3),,"GOOD 3PTR by MCKAY,DREW",1
--,"ASSIST  by STEWART,TREY",,,,,,,"ASSIST  by STEWART,TREY",1
19:18,"FOUL  by WELLS,BRYCE",,,,,,,"FOUL  by WELLS,BRYCE",1
19:18,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:18,,3 (+2),,1,"GOOD FT by STONE,BRODY",SEWANEE 3-1 (-2),,"GOOD FT by STONE,BRODY",1
18:57,"MISS 3PTR by WELLS,BRYCE",,,,,,,"MISS 3PTR by WELLS,BRYCE",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
18:50,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by STEWART,TREY",,,,,,,"REBOUND DEF by STEWART,TREY",1
18:37,"TURNOVER  by RABKE,ADAM",,,,,,,"TURNOVER  by RABKE,ADAM",1
18:36,,,,,"STEAL  by BORN,LEO",,,"STEAL  by BORN,LEO",1
18:35,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
18:23,"GOOD JUMPER by STEWART,TREY(in the paint)",5 (+4),,1,,BOYCE 5-1 (-4),,"GOOD JUMPER by STEWART,TREY(in the paint)",1
--,"ASSIST  by TUCKER,DEMETRIUS",,,,,,,"ASSIST  by TUCKER,DEMETRIUS",1
17:58,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by MCKAY,DREW",,,,,,,"REBOUND DEF by MCKAY,DREW",1
17:50,"GOOD 3PTR by STEWART,TREY",8 (+7),,1,,BOYCE 8-1 (-7),,"GOOD 3PTR by STEWART,TREY",1
--,"ASSIST  by MCKAY,DREW",,,,,,,"ASSIST  by MCKAY,DREW",1
17:47,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:33,,8 (+5),,3,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",SEWANEE 8-3 (-5),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
