Time Remaining,,Away Team Score,Play Team Indicator,Home Team Score,,Game Score,Team Indicator,Play,Period
19:45,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
19:24,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
19:24,"GOOD FT by SPENCE,BEN",0,,1 (+1),,0-1 (+1),,"GOOD FT by SPENCE,BEN",1
19:24,"MISS FT by SPENCE,BEN",,,,,,,"MISS FT by SPENCE,BEN",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
19:24,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",1
19:24,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
19:14,"GOOD LAYUP by LINK,JACOB(in the paint)",2 (+1),,1,,2-1 (-1),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
18:56,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",1
18:39,"MISS 3PTR by COMMAN,SEAN",,,,,,,"MISS 3PTR by COMMAN,SEAN",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
18:27,"GOOD 3PTR by SPENCE,BEN",2,,4 (+2),,2-4 (+2),,"GOOD 3PTR by SPENCE,BEN",1
--,"ASSIST  by DENBESTEN,COLE",,,,,,,"ASSIST  by DENBESTEN,COLE",1
18:03,"MISS JUMPER by COMMAN,SEAN",,,,,,,"MISS JUMPER by COMMAN,SEAN",1
18:03,"BLOCK  by STEWART,CHRISTIAN",,,,,,,"BLOCK  by STEWART,CHRISTIAN",1
--,"REBOUND OFF by COMMAN,SEAN",,,,,,,"REBOUND OFF by COMMAN,SEAN",1
17:55,"GOOD LAYUP by COMMAN,SEAN(in the paint)",4,,4,,4-4 (0),,"GOOD LAYUP by COMMAN,SEAN(in the paint)",1
17:39,"MISS JUMPER by SPENCE,BEN",,,,,,,"MISS JUMPER by SPENCE,BEN",1
--,"REBOUND DEF by COMMAN,SEAN",,,,,,,"REBOUND DEF by COMMAN,SEAN",1
17:30,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
17:30,"SUB IN by HOLLIFIELD,MALCOLM",,,,,,,"SUB IN by HOLLIFIELD,MALCOLM",1
