Time Remaining,PCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
19:48,"MISS 3PTR by MCCRILLIS,JARED",,,,,,,"MISS 3PTR by MCCRILLIS,JARED",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
19:41,,,,,"MISS 3PTR by STEPHENS,TROY",,,"MISS 3PTR by STEPHENS,TROY",1
--,,,,,"REBOUND OFF by ALLISON,ZACHARY",,,"REBOUND OFF by ALLISON,ZACHARY",1
19:33,,,,,"MISS JUMPER by ALLISON,ZACHARY",,,"MISS JUMPER by ALLISON,ZACHARY",1
--,"REBOUND DEF by ROSE,TYLER",,,,,,,"REBOUND DEF by ROSE,TYLER",1
19:23,"TURNOVER  by JOHNSON,IAN",,,,,,,"TURNOVER  by JOHNSON,IAN",1
19:23,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",1
19:15,,,,,"MISS JUMPER by BAK,CALVIN",,,"MISS JUMPER by BAK,CALVIN",1
--,,,,,"REBOUND OFF by STEPHENS,TROY",,,"REBOUND OFF by STEPHENS,TROY",1
19:07,,0,,2 (+2),"GOOD JUMPER by STEPHENS,TROY(in the paint)",BSC-M 0-2 (+2),,"GOOD JUMPER by STEPHENS,TROY(in the paint)",1
18:57,"GOOD JUMPER by JOHNSON,IAN",2,,2,,PCM 2-2 (0),,"GOOD JUMPER by JOHNSON,IAN",1
18:48,,,,,"MISS 3PTR by SPENCE,BEN",,,"MISS 3PTR by SPENCE,BEN",1
--,"REBOUND DEF by MCCRILLIS,JARED",,,,,,,"REBOUND DEF by MCCRILLIS,JARED",1
18:41,"GOOD LAYUP by ROSE,TYLER(in the paint)",4 (+2),,2,,PCM 4-2 (-2),,"GOOD LAYUP by ROSE,TYLER(in the paint)",1
--,"ASSIST  by JOHNSON,IAN",,,,,,,"ASSIST  by JOHNSON,IAN",1
18:18,"FOUL  by SHOEMO,RODNEY",,,,,,,"FOUL  by SHOEMO,RODNEY",1
18:18,"FOUL  by SHOEMO,RODNEY",,,,,,,"FOUL  by SHOEMO,RODNEY",1
18:18,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:18,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",1
--,"REBOUND DEF by SHOEMO,RODNEY",,,,,,,"REBOUND DEF by SHOEMO,RODNEY",1
18:18,"MISS LAYUP by ROSE,TYLER",,,,,,,"MISS LAYUP by ROSE,TYLER",1
--,"REBOUND OFF by JOHNSON,IAN",,,,,,,"REBOUND OFF by JOHNSON,IAN",1
18:18,"TURNOVER  by JOHNSON,IAN",,,,,,,"TURNOVER  by JOHNSON,IAN",1
18:18,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",1
18:08,"FOUL  by ROSE,TYLER",,,,,,,"FOUL  by ROSE,TYLER",1
18:08,"FOUL  by ROSE,TYLER",,,,,,,"FOUL  by ROSE,TYLER",1
17:57,"SUB IN by POOLE,ADAM",,,,,,,"SUB IN by POOLE,ADAM",1
17:57,"SUB OUT by SHOEMO,RODNEY",,,,,,,"SUB OUT by SHOEMO,RODNEY",1
17:57,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
17:57,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
17:49,,,,,"MISS JUMPER by YANCEY,RICH",,,"MISS JUMPER by YANCEY,RICH",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
17:30,,4,,5 (+1),"GOOD 3PTR by BAK,CALVIN",BSC-M 4-5 (+1),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
17:14,"TURNOVER  by POOLE,ADAM",,,,,,,"TURNOVER  by POOLE,ADAM",1
17:01,,4,,8 (+4),"GOOD 3PTR by YANCEY,RICH",BSC-M 4-8 (+4),,"GOOD 3PTR by YANCEY,RICH",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
16:39,"TURNOVER  by PRATT,DAKOTA",,,,,,,"TURNOVER  by PRATT,DAKOTA",1
16:39,,,,,"SUB IN by HOLLIFIELD,MALCOLM",,,"SUB IN by HOLLIFIELD,MALCOLM",1
16:39,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
