Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
02:11,"GOOD FT by KING,ISAIAH",37,,41 (+4),,HCM 37-41 (+4),,"GOOD FT by KING,ISAIAH",1
02:11,"GOOD FT by KING,ISAIAH",38,,41 (+3),,HCM 38-41 (+3),,"GOOD FT by KING,ISAIAH",1
02:11,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
02:11,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
01:47,"FOUL  by HARRIS,JAMES",,,,,,,"FOUL  by HARRIS,JAMES",1
01:47,,,,,"MISS FT by SPENCE,BEN",,,"MISS FT by SPENCE,BEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:47,,38,,42 (+4),"GOOD FT by SPENCE,BEN",BSC-M 38-42 (+4),,"GOOD FT by SPENCE,BEN",1
01:47,"SUB IN by REID,BRYANT",,,,,,,"SUB IN by REID,BRYANT",1
01:47,"SUB OUT by HARRIS,JAMES",,,,,,,"SUB OUT by HARRIS,JAMES",1
01:47,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
01:47,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
01:31,"TURNOVER  by KING,ISAIAH",,,,,,,"TURNOVER  by KING,ISAIAH",1
01:18,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",1
01:17,"STEAL  by REID,BRYANT",,,,,,,"STEAL  by REID,BRYANT",1
01:15,"GOOD LAYUP by REID,BRYANT(fastbreak)(in the paint)",40,,42 (+2),,HCM 40-42 (+2),,"GOOD LAYUP by REID,BRYANT(fastbreak)(in the paint)",1
00:56,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
00:55,"STEAL  by LIVINGSTON,TREY",,,,,,,"STEAL  by LIVINGSTON,TREY",1
00:52,"GOOD LAYUP by KING,ISAIAH(fastbreak)(in the paint)",42,,42,,HCM 42-42 (0),,"GOOD LAYUP by KING,ISAIAH(fastbreak)(in the paint)",1
00:44,"FOUL  by LIVINGSTON,TREY",,,,,,,"FOUL  by LIVINGSTON,TREY",1
00:44,,42,,43 (+1),"GOOD FT by ALLISON,ZACHARY",BSC-M 42-43 (+1),,"GOOD FT by ALLISON,ZACHARY",1
00:44,,42,,44 (+2),"GOOD FT by ALLISON,ZACHARY",BSC-M 42-44 (+2),,"GOOD FT by ALLISON,ZACHARY",1
00:44,"SUB IN by WOODS,MYKEL",,,,,,,"SUB IN by WOODS,MYKEL",1
00:44,"SUB OUT by LIVINGSTON,TREY",,,,,,,"SUB OUT by LIVINGSTON,TREY",1
00:39,"MISS LAYUP by REID,BRYANT",,,,,,,"MISS LAYUP by REID,BRYANT",1
00:39,,,,,"BLOCK  by STEWART,CHRISTIAN",,,"BLOCK  by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
00:11,,42,,47 (+5),"GOOD 3PTR by ALLISON,ZACHARY",BSC-M 42-47 (+5),,"GOOD 3PTR by ALLISON,ZACHARY",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
00:01,"GOOD JUMPER by WOODS,MYKEL",44,,47 (+3),,HCM 44-47 (+3),,"GOOD JUMPER by WOODS,MYKEL",1
--,"ASSIST  by BARKER,BJ",,,,,,,"ASSIST  by BARKER,BJ",1
19:59,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",2
19:51,"GOOD 3PTR by CHAMPION,JACOB",47,,47,,HCM 47-47 (0),,"GOOD 3PTR by CHAMPION,JACOB",2
19:48,,,,,"MISS 3PTR by GONDA,MATT",,,"MISS 3PTR by GONDA,MATT",2
--,"REBOUND DEF by CHADWICK,SCOTTY",,,,,,,"REBOUND DEF by CHADWICK,SCOTTY",2
19:42,"GOOD JUMPER by PINES,KYANTE(fastbreak)",49 (+2),,47,,HCM 49-47 (-2),,"GOOD JUMPER by PINES,KYANTE(fastbreak)",2
--,"ASSIST  by CHADWICK,SCOTTY",,,,,,,"ASSIST  by CHADWICK,SCOTTY",2
18:51,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
--,"REBOUND DEF by KING,ISAIAH",,,,,,,"REBOUND DEF by KING,ISAIAH",2
18:42,"GOOD LAYUP by PINES,KYANTE(in the paint)",51 (+4),,47,,HCM 51-47 (-4),,"GOOD LAYUP by PINES,KYANTE(in the paint)",2
--,"ASSIST  by KING,ISAIAH",,,,,,,"ASSIST  by KING,ISAIAH",2
18:42,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",2
18:42,"GOOD FT by PINES,KYANTE",52 (+5),,47,,HCM 52-47 (-5),,"GOOD FT by PINES,KYANTE",2
18:37,"TURNOVER  by CHADWICK,SCOTTY",,,,,,,"TURNOVER  by CHADWICK,SCOTTY",2
18:33,"MISS LAYUP by HARRIS,JAMES",,,,,,,"MISS LAYUP by HARRIS,JAMES",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:26,"FOUL  by CHADWICK,SCOTTY",,,,,,,"FOUL  by CHADWICK,SCOTTY",2
18:26,"SUB IN by LIVINGSTON,TREY",,,,,,,"SUB IN by LIVINGSTON,TREY",2
18:26,"SUB OUT by CHADWICK,SCOTTY",,,,,,,"SUB OUT by CHADWICK,SCOTTY",2
18:22,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",2
--,"REBOUND DEF by HARRIS,JAMES",,,,,,,"REBOUND DEF by HARRIS,JAMES",2
18:16,"GOOD LAYUP by PINES,KYANTE(fastbreak)(in the paint)",54 (+7),,47,,HCM 54-47 (-7),,"GOOD LAYUP by PINES,KYANTE(fastbreak)(in the paint)",2
--,"ASSIST  by HARRIS,JAMES",,,,,,,"ASSIST  by HARRIS,JAMES",2
18:01,,54 (+4),,50,"GOOD 3PTR by GONDA,MATT(fastbreak)",BSC-M 54-50 (-4),,"GOOD 3PTR by GONDA,MATT(fastbreak)",2
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",2
17:58,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:58,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
17:42,"GOOD LAYUP by HARRIS,JAMES(in the paint)",56 (+6),,50,,HCM 56-50 (-6),,"GOOD LAYUP by HARRIS,JAMES(in the paint)",2
17:21,,56 (+3),,53,"GOOD 3PTR by SPENCE,BEN",BSC-M 56-53 (-3),,"GOOD 3PTR by SPENCE,BEN",2
17:19,"FOUL  by PINES,KYANTE",,,,,,,"FOUL  by PINES,KYANTE",2
17:19,"SUB IN by ZACHERY,CEAUNTE",,,,,,,"SUB IN by ZACHERY,CEAUNTE",2
17:19,"SUB OUT by PINES,KYANTE",,,,,,,"SUB OUT by PINES,KYANTE",2
17:12,,,,,"MISS LAYUP by GONDA,MATT",,,"MISS LAYUP by GONDA,MATT",2
--,"REBOUND DEF by LIVINGSTON,TREY",,,,,,,"REBOUND DEF by LIVINGSTON,TREY",2
17:08,"GOOD LAYUP by KING,ISAIAH(fastbreak)(in the paint)",58 (+5),,53,,HCM 58-53 (-5),,"GOOD LAYUP by KING,ISAIAH(fastbreak)(in the paint)",2
16:54,,,,,"MISS LAYUP by ALLISON,ZACHARY",,,"MISS LAYUP by ALLISON,ZACHARY",2
--,"REBOUND DEF by LIVINGSTON,TREY",,,,,,,"REBOUND DEF by LIVINGSTON,TREY",2
16:45,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",2
16:45,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",2
16:45,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",2
16:45,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",2
16:34,"MISS LAYUP by HARRIS,JAMES",,,,,,,"MISS LAYUP by HARRIS,JAMES",2
--,,,,,"REBOUND DEF by STEPHENS,TROY",,,"REBOUND DEF by STEPHENS,TROY",2
16:14,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
--,"REBOUND DEF by LIVINGSTON,TREY",,,,,,,"REBOUND DEF by LIVINGSTON,TREY",2
15:58,"MISS LAYUP by ZACHERY,CEAUNTE",,,,,,,"MISS LAYUP by ZACHERY,CEAUNTE",2
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",2
15:52,,,,,"TURNOVER  by STEPHENS,TROY",,,"TURNOVER  by STEPHENS,TROY",2
15:51,"STEAL  by KING,ISAIAH",,,,,,,"STEAL  by KING,ISAIAH",2
15:50,"GOOD LAYUP by KING,ISAIAH(fastbreak)(in the paint)",60 (+7),,53,,HCM 60-53 (-7),,"GOOD LAYUP by KING,ISAIAH(fastbreak)(in the paint)",2
15:42,,60 (+4),,56,"GOOD 3PTR by SPENCE,BEN(fastbreak)",BSC-M 60-56 (-4),,"GOOD 3PTR by SPENCE,BEN(fastbreak)",2
--,,,,,"ASSIST  by MOORE,KADEN",,,"ASSIST  by MOORE,KADEN",2
15:17,"MISS 3PTR by KING,ISAIAH",,,,,,,"MISS 3PTR by KING,ISAIAH",2
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",2
15:02,,60 (+1),,59,"GOOD 3PTR by SPENCE,BEN",BSC-M 60-59 (-1),,"GOOD 3PTR by SPENCE,BEN",2
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",2
14:48,"GOOD JUMPER by HARRIS,JAMES",62 (+3),,59,,HCM 62-59 (-3),,"GOOD JUMPER by HARRIS,JAMES",2
--,"ASSIST  by CHAMPION,JACOB",,,,,,,"ASSIST  by CHAMPION,JACOB",2
14:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:33,"SUB IN by WOODS,MYKEL",,,,,,,"SUB IN by WOODS,MYKEL",2
14:33,"SUB IN by BARKER,BJ",,,,,,,"SUB IN by BARKER,BJ",2
14:33,"SUB IN by SCHMITT,LUCAS",,,,,,,"SUB IN by SCHMITT,LUCAS",2
14:33,"SUB IN by REID,BRYANT",,,,,,,"SUB IN by REID,BRYANT",2
14:33,"SUB IN by BOYD,CAM",,,,,,,"SUB IN by BOYD,CAM",2
14:33,"SUB OUT by LIVINGSTON,TREY",,,,,,,"SUB OUT by LIVINGSTON,TREY",2
14:33,"SUB OUT by ZACHERY,CEAUNTE",,,,,,,"SUB OUT by ZACHERY,CEAUNTE",2
14:33,"SUB OUT by CHAMPION,JACOB",,,,,,,"SUB OUT by CHAMPION,JACOB",2
14:33,"SUB OUT by HARRIS,JAMES",,,,,,,"SUB OUT by HARRIS,JAMES",2
14:33,"SUB OUT by KING,ISAIAH",,,,,,,"SUB OUT by KING,ISAIAH",2
14:33,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",2
14:33,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",2
14:33,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
14:33,,,,,"SUB OUT by ALLISON,ZACHARY",,,"SUB OUT by ALLISON,ZACHARY",2
14:32,"FOUL  by REID,BRYANT",,,,,,,"FOUL  by REID,BRYANT",2
14:13,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
14:11,"FOUL  by REID,BRYANT",,,,,,,"FOUL  by REID,BRYANT",2
14:11,"SUB IN by WASHINGTON,AARON",,,,,,,"SUB IN by WASHINGTON,AARON",2
14:11,"SUB OUT by REID,BRYANT",,,,,,,"SUB OUT by REID,BRYANT",2
14:02,,,,,"MISS 3PTR by STEPHENS,TROY",,,"MISS 3PTR by STEPHENS,TROY",2
--,,,,,"REBOUND OFF by MOORE,KADEN",,,"REBOUND OFF by MOORE,KADEN",2
13:59,,,,,"FOUL  by MOORE,KADEN",,,"FOUL  by MOORE,KADEN",2
13:59,,,,,"TURNOVER  by MOORE,KADEN",,,"TURNOVER  by MOORE,KADEN",2
13:53,,,,,"FOUL  by MOORE,KADEN",,,"FOUL  by MOORE,KADEN",2
13:53,"MISS FT by WOODS,MYKEL",,,,,,,"MISS FT by WOODS,MYKEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:53,"GOOD FT by WOODS,MYKEL",63 (+4),,59,,HCM 63-59 (-4),,"GOOD FT by WOODS,MYKEL",2
13:53,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",2
13:53,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",2
13:26,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",2
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",2
13:05,,63 (+1),,62,"GOOD 3PTR by DENBESTEN,COLE",BSC-M 63-62 (-1),,"GOOD 3PTR by DENBESTEN,COLE",2
--,,,,,"ASSIST  by WALDRUM,AIDAN",,,"ASSIST  by WALDRUM,AIDAN",2
12:53,"MISS 3PTR by WASHINGTON,AARON",,,,,,,"MISS 3PTR by WASHINGTON,AARON",2
--,"REBOUND OFF by SCHMITT,LUCAS",,,,,,,"REBOUND OFF by SCHMITT,LUCAS",2
12:46,"GOOD JUMPER by WOODS,MYKEL",65 (+3),,62,,HCM 65-62 (-3),,"GOOD JUMPER by WOODS,MYKEL",2
12:39,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",2
12:37,"STEAL  by BOYD,CAM",,,,,,,"STEAL  by BOYD,CAM",2
12:35,"MISS LAYUP by BOYD,CAM",,,,,,,"MISS LAYUP by BOYD,CAM",2
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",2
12:27,"FOUL  by BOYD,CAM",,,,,,,"FOUL  by BOYD,CAM",2
12:27,"SUB IN by PINES,KYANTE",,,,,,,"SUB IN by PINES,KYANTE",2
12:27,"SUB OUT by SCHMITT,LUCAS",,,,,,,"SUB OUT by SCHMITT,LUCAS",2
12:16,,65,,65,"GOOD 3PTR by SPENCE,BEN",BSC-M 65-65 (0),,"GOOD 3PTR by SPENCE,BEN",2
--,,,,,"ASSIST  by DENBESTEN,COLE",,,"ASSIST  by DENBESTEN,COLE",2
11:55,"MISS JUMPER by WASHINGTON,AARON",,,,,,,"MISS JUMPER by WASHINGTON,AARON",2
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",2
11:52,,65,,67 (+2),"GOOD LAYUP by DENBESTEN,COLE(fastbreak)(in the paint)",BSC-M 65-67 (+2),,"GOOD LAYUP by DENBESTEN,COLE(fastbreak)(in the paint)",2
11:37,"GOOD LAYUP by BARKER,BJ(in the paint)",67,,67,,HCM 67-67 (0),,"GOOD LAYUP by BARKER,BJ(in the paint)",2
11:34,,,,,"FOUL  by WALDRUM,AIDAN",,,"FOUL  by WALDRUM,AIDAN",2
11:34,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:34,"GOOD FT by BARKER,BJ",68 (+1),,67,,HCM 68-67 (-1),,"GOOD FT by BARKER,BJ",2
11:34,,,,,"SUB IN by HOLLIFIELD,MALCOLM",,,"SUB IN by HOLLIFIELD,MALCOLM",2
11:34,,,,,"SUB IN by ALLISON,ZACHARY",,,"SUB IN by ALLISON,ZACHARY",2
11:34,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",2
11:34,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",2
11:20,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",2
--,"REBOUND DEF by BARKER,BJ",,,,,,,"REBOUND DEF by BARKER,BJ",2
11:15,"MISS LAYUP by PINES,KYANTE",,,,,,,"MISS LAYUP by PINES,KYANTE",2
--,"REBOUND OFF by WOODS,MYKEL",,,,,,,"REBOUND OFF by WOODS,MYKEL",2
11:12,"MISS TIPIN by WOODS,MYKEL",,,,,,,"MISS TIPIN by WOODS,MYKEL",2
--,"REBOUND OFF by WOODS,MYKEL",,,,,,,"REBOUND OFF by WOODS,MYKEL",2
11:05,"MISS LAYUP by WOODS,MYKEL",,,,,,,"MISS LAYUP by WOODS,MYKEL",2
--,"REBOUND OFF by BOYD,CAM",,,,,,,"REBOUND OFF by BOYD,CAM",2
10:49,"SUB IN by HARRIS,JAMES",,,,,,,"SUB IN by HARRIS,JAMES",2
10:49,"SUB OUT by BOYD,CAM",,,,,,,"SUB OUT by BOYD,CAM",2
10:46,"MISS LAYUP by WASHINGTON,AARON",,,,,,,"MISS LAYUP by WASHINGTON,AARON",2
--,,,,,"REBOUND DEF by HOLLIFIELD,MALCOLM",,,"REBOUND DEF by HOLLIFIELD,MALCOLM",2
10:38,,68,,70 (+2),"GOOD 3PTR by SPENCE,BEN(fastbreak)",BSC-M 68-70 (+2),,"GOOD 3PTR by SPENCE,BEN(fastbreak)",2
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",2
10:14,"GOOD LAYUP by PINES,KYANTE(in the paint)",70,,70,,HCM 70-70 (0),,"GOOD LAYUP by PINES,KYANTE(in the paint)",2
--,"ASSIST  by HARRIS,JAMES",,,,,,,"ASSIST  by HARRIS,JAMES",2
09:51,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",2
--,"REBOUND DEF by HARRIS,JAMES",,,,,,,"REBOUND DEF by HARRIS,JAMES",2
09:47,,,,,"FOUL  by DENBESTEN,COLE",,,"FOUL  by DENBESTEN,COLE",2
09:47,"SUB IN by KING,ISAIAH",,,,,,,"SUB IN by KING,ISAIAH",2
09:47,"SUB OUT by WASHINGTON,AARON",,,,,,,"SUB OUT by WASHINGTON,AARON",2
09:42,"GOOD JUMPER by HARRIS,JAMES",72 (+2),,70,,HCM 72-70 (-2),,"GOOD JUMPER by HARRIS,JAMES",2
09:24,,,,,"MISS 3PTR by HOLLIFIELD,MALCOLM",,,"MISS 3PTR by HOLLIFIELD,MALCOLM",2
--,"REBOUND DEF by PINES,KYANTE",,,,,,,"REBOUND DEF by PINES,KYANTE",2
08:57,"GOOD LAYUP by ZACHERY,CEAUNTE(in the paint)",74 (+4),,70,,HCM 74-70 (-4),,"GOOD LAYUP by ZACHERY,CEAUNTE(in the paint)",2
08:52,,,,,"TURNOVER  by HOLLIFIELD,MALCOLM",,,"TURNOVER  by HOLLIFIELD,MALCOLM",2
08:51,"STEAL  by KING,ISAIAH",,,,,,,"STEAL  by KING,ISAIAH",2
08:49,"GOOD LAYUP by KING,ISAIAH(in the paint)",76 (+6),,70,,HCM 76-70 (-6),,"GOOD LAYUP by KING,ISAIAH(in the paint)",2
08:42,,76 (+4),,72,"GOOD LAYUP by HOLLIFIELD,MALCOLM(fastbreak)(in the paint)",BSC-M 76-72 (-4),,"GOOD LAYUP by HOLLIFIELD,MALCOLM(fastbreak)(in the paint)",2
08:31,"TURNOVER  by HARRIS,JAMES",,,,,,,"TURNOVER  by HARRIS,JAMES",2
08:31,"SUB IN by REID,BRYANT",,,,,,,"SUB IN by REID,BRYANT",2
08:31,"SUB IN by CHADWICK,SCOTTY",,,,,,,"SUB IN by CHADWICK,SCOTTY",2
08:31,"SUB IN by CHAMPION,JACOB",,,,,,,"SUB IN by CHAMPION,JACOB",2
08:31,"SUB OUT by HARRIS,JAMES",,,,,,,"SUB OUT by HARRIS,JAMES",2
08:31,"SUB OUT by WOODS,MYKEL",,,,,,,"SUB OUT by WOODS,MYKEL",2
08:31,"SUB OUT by BARKER,BJ",,,,,,,"SUB OUT by BARKER,BJ",2
08:31,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",2
08:31,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",2
08:31,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",2
08:31,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",2
08:31,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",2
08:31,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",2
08:31,,,,,"SUB OUT by HOLLIFIELD,MALCOLM",,,"SUB OUT by HOLLIFIELD,MALCOLM",2
08:31,,,,,"SUB OUT by ALLISON,ZACHARY",,,"SUB OUT by ALLISON,ZACHARY",2
08:08,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",2
07:58,"MISS JUMPER by KING,ISAIAH",,,,,,,"MISS JUMPER by KING,ISAIAH",2
--,"REBOUND OFF by PINES,KYANTE",,,,,,,"REBOUND OFF by PINES,KYANTE",2
07:45,,,,,"FOUL  by YANCEY,RICH",,,"FOUL  by YANCEY,RICH",2
07:45,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:45,"GOOD FT by PINES,KYANTE",77 (+5),,72,,HCM 77-72 (-5),,"GOOD FT by PINES,KYANTE",2
07:45,"GOOD FT by PINES,KYANTE",78 (+6),,72,,HCM 78-72 (-6),,"GOOD FT by PINES,KYANTE",2
07:37,,,,,"FOUL  by YANCEY,RICH",,,"FOUL  by YANCEY,RICH",2
07:37,,,,,"TURNOVER  by YANCEY,RICH",,,"TURNOVER  by YANCEY,RICH",2
07:22,"GOOD JUMPER by KING,ISAIAH(in the paint)",80 (+8),,72,,HCM 80-72 (-8),,"GOOD JUMPER by KING,ISAIAH(in the paint)",2
06:58,"FOUL  by KING,ISAIAH",,,,,,,"FOUL  by KING,ISAIAH",2
06:58,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",2
06:58,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",2
06:58,,,,,"SUB IN by ALLISON,ZACHARY",,,"SUB IN by ALLISON,ZACHARY",2
06:58,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",2
06:58,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",2
06:58,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",2
06:47,"FOUL  by CHAMPION,JACOB",,,,,,,"FOUL  by CHAMPION,JACOB",2
06:47,,,,,"MISS FT by MOORE,KADEN",,,"MISS FT by MOORE,KADEN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:47,,,,,"MISS FT by MOORE,KADEN",,,"MISS FT by MOORE,KADEN",2
--,,,,,"REBOUND OFF by MOORE,KADEN",,,"REBOUND OFF by MOORE,KADEN",2
06:47,"SUB IN by BARKER,BJ",,,,,,,"SUB IN by BARKER,BJ",2
06:47,"SUB OUT by KING,ISAIAH",,,,,,,"SUB OUT by KING,ISAIAH",2
06:43,,80 (+5),,75,"GOOD 3PTR by STEPHENS,TROY",BSC-M 80-75 (-5),,"GOOD 3PTR by STEPHENS,TROY",2
--,,,,,"ASSIST  by DENBESTEN,COLE",,,"ASSIST  by DENBESTEN,COLE",2
06:24,"GOOD JUMPER by PINES,KYANTE(in the paint)",82 (+7),,75,,HCM 82-75 (-7),,"GOOD JUMPER by PINES,KYANTE(in the paint)",2
06:02,,82 (+4),,78,"GOOD 3PTR by STEPHENS,TROY",BSC-M 82-78 (-4),,"GOOD 3PTR by STEPHENS,TROY",2
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",2
05:35,"MISS JUMPER by PINES,KYANTE",,,,,,,"MISS JUMPER by PINES,KYANTE",2
--,"REBOUND OFF by PINES,KYANTE",,,,,,,"REBOUND OFF by PINES,KYANTE",2
05:35,"FOUL  by PINES,KYANTE",,,,,,,"FOUL  by PINES,KYANTE",2
05:35,"TURNOVER  by PINES,KYANTE",,,,,,,"TURNOVER  by PINES,KYANTE",2
05:35,"SUB IN by SCHMITT,LUCAS",,,,,,,"SUB IN by SCHMITT,LUCAS",2
05:35,"SUB OUT by PINES,KYANTE",,,,,,,"SUB OUT by PINES,KYANTE",2
05:15,,,,,"TURNOVER  by DENBESTEN,COLE",,,"TURNOVER  by DENBESTEN,COLE",2
05:03,"MISS 3PTR by CHAMPION,JACOB",,,,,,,"MISS 3PTR by CHAMPION,JACOB",2
--,"REBOUND OFF by BARKER,BJ",,,,,,,"REBOUND OFF by BARKER,BJ",2
04:59,"MISS JUMPER by BARKER,BJ",,,,,,,"MISS JUMPER by BARKER,BJ",2
04:59,,,,,"BLOCK  by SPENCE,BEN",,,"BLOCK  by SPENCE,BEN",2
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",2
04:52,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",2
04:52,"SUB IN by LIVINGSTON,TREY",,,,,,,"SUB IN by LIVINGSTON,TREY",2
04:52,"SUB IN by HARRIS,JAMES",,,,,,,"SUB IN by HARRIS,JAMES",2
04:52,"SUB OUT by CHADWICK,SCOTTY",,,,,,,"SUB OUT by CHADWICK,SCOTTY",2
04:52,"SUB OUT by REID,BRYANT",,,,,,,"SUB OUT by REID,BRYANT",2
04:31,"MISS 3PTR by HARRIS,JAMES",,,,,,,"MISS 3PTR by HARRIS,JAMES",2
--,,,,,"REBOUND DEF by ALLISON,ZACHARY",,,"REBOUND DEF by ALLISON,ZACHARY",2
04:21,,,,,"TURNOVER  by ALLISON,ZACHARY",,,"TURNOVER  by ALLISON,ZACHARY",2
04:19,"STEAL  by CHAMPION,JACOB",,,,,,,"STEAL  by CHAMPION,JACOB",2
04:00,"MISS 3PTR by BARKER,BJ",,,,,,,"MISS 3PTR by BARKER,BJ",2
--,,,,,"REBOUND DEF by STEPHENS,TROY",,,"REBOUND DEF by STEPHENS,TROY",2
03:40,,82 (+1),,81,"GOOD 3PTR by DENBESTEN,COLE",BSC-M 82-81 (-1),,"GOOD 3PTR by DENBESTEN,COLE",2
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",2
03:18,"MISS JUMPER by LIVINGSTON,TREY",,,,,,,"MISS JUMPER by LIVINGSTON,TREY",2
03:18,,,,,"BLOCK  by SPENCE,BEN",,,"BLOCK  by SPENCE,BEN",2
--,,,,,"REBOUND DEF by ALLISON,ZACHARY",,,"REBOUND DEF by ALLISON,ZACHARY",2
03:01,"FOUL  by LIVINGSTON,TREY",,,,,,,"FOUL  by LIVINGSTON,TREY",2
03:01,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
03:01,,82,,82,"GOOD FT by ALLISON,ZACHARY",BSC-M 82-82 (0),,"GOOD FT by ALLISON,ZACHARY",2
