Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
14:12,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
14:12,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
14:12,,,,,"SUB OUT by ALLISON,ZACHARY",,,"SUB OUT by ALLISON,ZACHARY",1
14:10,,14,,17 (+3),"GOOD 3PTR by STEPHENS,TROY",BSC-M 14-17 (+3),,"GOOD 3PTR by STEPHENS,TROY",1
14:00,"TURNOVER  by ZACHERY,CEAUNTE",,,,,,,"TURNOVER  by ZACHERY,CEAUNTE",1
13:58,,,,,"STEAL  by MOORE,KADEN",,,"STEAL  by MOORE,KADEN",1
13:53,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
13:48,,14,,19 (+5),"GOOD JUMPER by SPENCE,BEN",BSC-M 14-19 (+5),,"GOOD JUMPER by SPENCE,BEN",1
13:34,"MISS LAYUP by BARKER,BJ",,,,,,,"MISS LAYUP by BARKER,BJ",1
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",1
13:27,,14,,21 (+7),"GOOD LAYUP by STEPHENS,TROY(in the paint)",BSC-M 14-21 (+7),,"GOOD LAYUP by STEPHENS,TROY(in the paint)",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
13:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:10,"MISS 3PTR by BOYD,CAM",,,,,,,"MISS 3PTR by BOYD,CAM",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
12:58,"FOUL  by BOYD,CAM",,,,,,,"FOUL  by BOYD,CAM",1
12:45,,14,,24 (+10),"GOOD 3PTR by STEPHENS,TROY",BSC-M 14-24 (+10),,"GOOD 3PTR by STEPHENS,TROY",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
