Time Remaining,ALTM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
19:52,"MISS LAYUP by GARDNER-NICHOLSON,C",,,,,,,"MISS LAYUP by GARDNER-NICHOLSON,C",1
--,"REBOUND OFF by GARDNER-NICHOLSON,C",,,,,,,"REBOUND OFF by GARDNER-NICHOLSON,C",1
19:50,"TURNOVER  by GARDNER-NICHOLSON,C",,,,,,,"TURNOVER  by GARDNER-NICHOLSON,C",1
19:41,,0,,2 (+2),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 0-2 (+2),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
19:33,"MISS LAYUP by KRISE,AUSTIN",,,,,,,"MISS LAYUP by KRISE,AUSTIN",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
19:19,,,,,"MISS LAYUP by STEPHENS,TROY",,,"MISS LAYUP by STEPHENS,TROY",1
19:19,"BLOCK  by GARDNER-NICHOLSON,C",,,,,,,"BLOCK  by GARDNER-NICHOLSON,C",1
--,"REBOUND DEF by KRISE,AUSTIN",,,,,,,"REBOUND DEF by KRISE,AUSTIN",1
19:12,"GOOD LAYUP by ARCHIE-DAVIS,JALEN(fastbreak)(in the paint)",2,,2,,ALTM 2-2 (0),,"GOOD LAYUP by ARCHIE-DAVIS,JALEN(fastbreak)(in the paint)",1
19:03,,,,,"TURNOVER  by ALLISON,ZACHARY",,,"TURNOVER  by ALLISON,ZACHARY",1
19:02,"STEAL  by KRISE,AUSTIN",,,,,,,"STEAL  by KRISE,AUSTIN",1
18:52,"GOOD LAYUP by ARCHIE-DAVIS,JALEN(in the paint)",4 (+2),,2,,ALTM 4-2 (-2),,"GOOD LAYUP by ARCHIE-DAVIS,JALEN(in the paint)",1
18:52,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
18:52,"GOOD FT by ARCHIE-DAVIS,JALEN",5 (+3),,2,,ALTM 5-2 (-3),,"GOOD FT by ARCHIE-DAVIS,JALEN",1
18:50,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
18:49,"STEAL  by KRISE,AUSTIN",,,,,,,"STEAL  by KRISE,AUSTIN",1
18:38,"MISS JUMPER by ARCHIE-DAVIS,JALEN",,,,,,,"MISS JUMPER by ARCHIE-DAVIS,JALEN",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
18:33,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
18:32,"STEAL  by HIGLEY,MARSHALL",,,,,,,"STEAL  by HIGLEY,MARSHALL",1
18:30,"MISS LAYUP by HIGLEY,MARSHALL",,,,,,,"MISS LAYUP by HIGLEY,MARSHALL",1
--,"REBOUND OFF by GARDNER-NICHOLSON,C",,,,,,,"REBOUND OFF by GARDNER-NICHOLSON,C",1
18:25,"MISS 3PTR by KRISE,AUSTIN",,,,,,,"MISS 3PTR by KRISE,AUSTIN",1
--,"REBOUND OFF by GARDNER-NICHOLSON,C",,,,,,,"REBOUND OFF by GARDNER-NICHOLSON,C",1
18:20,"TURNOVER  by GARDNER-NICHOLSON,C",,,,,,,"TURNOVER  by GARDNER-NICHOLSON,C",1
18:19,,,,,"STEAL  by STEPHENS,TROY",,,"STEAL  by STEPHENS,TROY",1
18:03,,5 (+1),,4,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 5-4 (-1),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
17:51,"GOOD LAYUP by BAILEY,SHEVELLE(in the paint)",7 (+3),,4,,ALTM 7-4 (-3),,"GOOD LAYUP by BAILEY,SHEVELLE(in the paint)",1
17:30,,,,,"MISS JUMPER by STEPHENS,TROY",,,"MISS JUMPER by STEPHENS,TROY",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
