Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by MOORE,KADEN",,,,,,,"REBOUND OFF by MOORE,KADEN",1
08:40,"GOOD LAYUP by MOORE,KADEN(in the paint)",10,,13 (+3),,BSC-M 10-13 (-3),,"GOOD LAYUP by MOORE,KADEN(in the paint)",1
08:18,,,,,"MISS JUMPER by KING,ISAIAH",,,"MISS JUMPER by KING,ISAIAH",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
08:11,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
08:11,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
08:11,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
08:11,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",1
08:11,,,,,"SUB IN by LIVINGSTON,TREY",,,"SUB IN by LIVINGSTON,TREY",1
08:11,,,,,"SUB IN by TONEY,CALEB",,,"SUB IN by TONEY,CALEB",1
08:11,,,,,"SUB IN by CHAMPION,JACOB",,,"SUB IN by CHAMPION,JACOB",1
08:11,,,,,"SUB OUT by HARRIS,JAMES",,,"SUB OUT by HARRIS,JAMES",1
08:11,,,,,"SUB OUT by HOBSON,CHARVEZ'",,,"SUB OUT by HOBSON,CHARVEZ'",1
08:11,,,,,"SUB OUT by KING,ISAIAH",,,"SUB OUT by KING,ISAIAH",1
07:54,"TURNOVER  by MOORE,KADEN",,,,,,,"TURNOVER  by MOORE,KADEN",1
07:53,,,,,"STEAL  by TONEY,CALEB",,,"STEAL  by TONEY,CALEB",1
07:50,,,,,"TURNOVER  by TONEY,CALEB",,,"TURNOVER  by TONEY,CALEB",1
07:50,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:50,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
07:50,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
07:50,"SUB IN by HOLLIFIELD,MALCOLM",,,,,,,"SUB IN by HOLLIFIELD,MALCOLM",1
07:50,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
07:50,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",1
07:50,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
07:50,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",1
07:50,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
07:50,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
07:50,"SUB OUT by ALLISON,ZACHARY",,,,,,,"SUB OUT by ALLISON,ZACHARY",1
07:45,"TURNOVER  by SIGLER,EVAN",,,,,,,"TURNOVER  by SIGLER,EVAN",1
07:20,,,,,"MISS LAYUP by LIVINGSTON,TREY",,,"MISS LAYUP by LIVINGSTON,TREY",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
07:06,,,,,"SUB IN by WOODS,MYKEL",,,"SUB IN by WOODS,MYKEL",1
07:06,,,,,"SUB OUT by SCHMITT,LUCAS",,,"SUB OUT by SCHMITT,LUCAS",1
07:04,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND DEF by CHAMPION,JACOB",,,"REBOUND DEF by CHAMPION,JACOB",1
06:51,,10,,15 (+5),"GOOD JUMPER by WOODS,MYKEL",HCM 10-15 (-5),,"GOOD JUMPER by WOODS,MYKEL",1
06:27,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",12,,15 (+3),,BSC-M 12-15 (-3),,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",1
06:21,,,,,"TURNOVER  by WOODS,MYKEL",,,"TURNOVER  by WOODS,MYKEL",1
06:21,,,,,"SUB IN by WASHINGTON,AARON",,,"SUB IN by WASHINGTON,AARON",1
06:21,,,,,"SUB OUT by CHAMPION,JACOB",,,"SUB OUT by CHAMPION,JACOB",1
06:12,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
06:01,"FOUL  by HOLLIFIELD,MALCOLM",,,,,,,"FOUL  by HOLLIFIELD,MALCOLM",1
06:01,,12,,16 (+4),"GOOD FT by LIVINGSTON,TREY",HCM 12-16 (-4),,"GOOD FT by LIVINGSTON,TREY",1
06:01,,,,,"MISS FT by LIVINGSTON,TREY",,,"MISS FT by LIVINGSTON,TREY",1
--,"REBOUND DEF by HOLLIFIELD,MALCOLM",,,,,,,"REBOUND DEF by HOLLIFIELD,MALCOLM",1
06:01,,,,,"SUB IN by PINES,KYANTE",,,"SUB IN by PINES,KYANTE",1
06:01,,,,,"SUB IN by MADISON,DAMIEN",,,"SUB IN by MADISON,DAMIEN",1
06:01,,,,,"SUB OUT by WOODS,MYKEL",,,"SUB OUT by WOODS,MYKEL",1
06:01,,,,,"SUB OUT by TONEY,CALEB",,,"SUB OUT by TONEY,CALEB",1
05:52,"FOUL  by HOLLIFIELD,MALCOLM",,,,,,,"FOUL  by HOLLIFIELD,MALCOLM",1
05:52,,,,,"SUB IN by HOBSON,CHARVEZ'",,,"SUB IN by HOBSON,CHARVEZ'",1
05:52,,,,,"SUB OUT by LIVINGSTON,TREY",,,"SUB OUT by LIVINGSTON,TREY",1
05:24,,,,,"MISS LAYUP by MADISON,DAMIEN",,,"MISS LAYUP by MADISON,DAMIEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:14,"SUB IN by ALLISON,ZACHARY",,,,,,,"SUB IN by ALLISON,ZACHARY",1
05:14,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
05:06,"TURNOVER  by HOLLIFIELD,MALCOLM",,,,,,,"TURNOVER  by HOLLIFIELD,MALCOLM",1
05:06,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
05:06,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
05:06,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
05:06,"SUB OUT by HOLLIFIELD,MALCOLM",,,,,,,"SUB OUT by HOLLIFIELD,MALCOLM",1
04:44,,12,,18 (+6),"GOOD JUMPER by WASHINGTON,AARON",HCM 12-18 (-6),,"GOOD JUMPER by WASHINGTON,AARON",1
--,,,,,"ASSIST  by PINES,KYANTE",,,"ASSIST  by PINES,KYANTE",1
04:33,"GOOD LAYUP by YANCEY,RICH(in the paint)",14,,18 (+4),,BSC-M 14-18 (-4),,"GOOD LAYUP by YANCEY,RICH(in the paint)",1
04:16,,14,,20 (+6),"GOOD LAYUP by BARKER,BJ(in the paint)",HCM 14-20 (-6),,"GOOD LAYUP by BARKER,BJ(in the paint)",1
04:06,"FOUL  by ALLISON,ZACHARY",,,,,,,"FOUL  by ALLISON,ZACHARY",1
04:06,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",1
04:06,"SUB OUT by ALLISON,ZACHARY",,,,,,,"SUB OUT by ALLISON,ZACHARY",1
03:40,,14,,22 (+8),"GOOD LAYUP by BARKER,BJ(in the paint)",HCM 14-22 (-8),,"GOOD LAYUP by BARKER,BJ(in the paint)",1
03:27,"TURNOVER  by STEPHENS,TROY",,,,,,,"TURNOVER  by STEPHENS,TROY",1
03:25,,,,,"STEAL  by BARKER,BJ",,,"STEAL  by BARKER,BJ",1
03:22,,,,,"MISS LAYUP by BARKER,BJ",,,"MISS LAYUP by BARKER,BJ",1
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",1
03:16,"GOOD LAYUP by STEPHENS,TROY(fastbreak)(in the paint)",16,,22 (+6),,BSC-M 16-22 (-6),,"GOOD LAYUP by STEPHENS,TROY(fastbreak)(in the paint)",1
--,"ASSIST  by YANCEY,RICH",,,,,,,"ASSIST  by YANCEY,RICH",1
02:45,,16,,24 (+8),"GOOD JUMPER by WASHINGTON,AARON",HCM 16-24 (-8),,"GOOD JUMPER by WASHINGTON,AARON",1
02:44,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:44,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
02:44,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
02:44,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",1
02:44,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",1
02:44,,,,,"SUB IN by WOODS,MYKEL",,,"SUB IN by WOODS,MYKEL",1
02:44,,,,,"SUB IN by LIVINGSTON,TREY",,,"SUB IN by LIVINGSTON,TREY",1
02:44,,,,,"SUB IN by HARRIS,JAMES",,,"SUB IN by HARRIS,JAMES",1
02:44,,,,,"SUB IN by KING,ISAIAH",,,"SUB IN by KING,ISAIAH",1
02:44,,,,,"SUB OUT by BARKER,BJ",,,"SUB OUT by BARKER,BJ",1
02:44,,,,,"SUB OUT by MADISON,DAMIEN",,,"SUB OUT by MADISON,DAMIEN",1
02:44,,,,,"SUB OUT by WASHINGTON,AARON",,,"SUB OUT by WASHINGTON,AARON",1
02:44,,,,,"SUB OUT by HOBSON,CHARVEZ'",,,"SUB OUT by HOBSON,CHARVEZ'",1
02:25,"MISS LAYUP by MOORE,KADEN",,,,,,,"MISS LAYUP by MOORE,KADEN",1
--,"REBOUND OFF by MOORE,KADEN",,,,,,,"REBOUND OFF by MOORE,KADEN",1
02:21,"MISS LAYUP by MOORE,KADEN",,,,,,,"MISS LAYUP by MOORE,KADEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:54,,,,,"MISS JUMPER by WOODS,MYKEL",,,"MISS JUMPER by WOODS,MYKEL",1
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",1
01:46,,,,,"FOUL  by HARRIS,JAMES",,,"FOUL  by HARRIS,JAMES",1
01:46,"MISS FT by STEPHENS,TROY",,,,,,,"MISS FT by STEPHENS,TROY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:46,"GOOD FT by STEPHENS,TROY",17,,24 (+7),,BSC-M 17-24 (-7),,"GOOD FT by STEPHENS,TROY",1
01:46,,,,,"SUB IN by BARKER,BJ",,,"SUB IN by BARKER,BJ",1
01:46,,,,,"SUB OUT by HARRIS,JAMES",,,"SUB OUT by HARRIS,JAMES",1
01:33,,,,,"MISS JUMPER by WOODS,MYKEL",,,"MISS JUMPER by WOODS,MYKEL",1
01:33,"BLOCK  by MOORE,KADEN",,,,,,,"BLOCK  by MOORE,KADEN",1
--,,,,,"REBOUND OFF by WOODS,MYKEL",,,"REBOUND OFF by WOODS,MYKEL",1
01:16,,,,,"MISS JUMPER by LIVINGSTON,TREY",,,"MISS JUMPER by LIVINGSTON,TREY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:54,"MISS 3PTR by MOORE,KADEN",,,,,,,"MISS 3PTR by MOORE,KADEN",1
--,,,,,"REBOUND DEF by BARKER,BJ",,,"REBOUND DEF by BARKER,BJ",1
00:48,,17,,26 (+9),"GOOD LAYUP by KING,ISAIAH(in the paint)",HCM 17-26 (-9),,"GOOD LAYUP by KING,ISAIAH(in the paint)",1
00:48,"FOUL  by O'SULLIVAN,CONOR",,,,,,,"FOUL  by O'SULLIVAN,CONOR",1
00:48,,,,,"MISS FT by KING,ISAIAH",,,"MISS FT by KING,ISAIAH",1
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",1
00:48,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND DEF by HOBSON,CHARVEZ'",,,"REBOUND DEF by HOBSON,CHARVEZ'",1
00:48,,,,,"SUB IN by CHAMPION,JACOB",,,"SUB IN by CHAMPION,JACOB",1
00:48,,,,,"SUB IN by HOBSON,CHARVEZ'",,,"SUB IN by HOBSON,CHARVEZ'",1
00:48,,,,,"SUB OUT by WOODS,MYKEL",,,"SUB OUT by WOODS,MYKEL",1
00:48,,,,,"SUB OUT by LIVINGSTON,TREY",,,"SUB OUT by LIVINGSTON,TREY",1
00:12,,,,,"MISS 3PTR by PINES,KYANTE",,,"MISS 3PTR by PINES,KYANTE",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
00:05,,,,,"FOUL  by PINES,KYANTE",,,"FOUL  by PINES,KYANTE",1
00:05,"GOOD FT by STEPHENS,TROY",18,,26 (+8),,BSC-M 18-26 (-8),,"GOOD FT by STEPHENS,TROY",1
00:05,"GOOD FT by STEPHENS,TROY",19,,26 (+7),,BSC-M 19-26 (-7),,"GOOD FT by STEPHENS,TROY",1
00:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:05,"SUB IN by HOLLIFIELD,MALCOLM",,,,,,,"SUB IN by HOLLIFIELD,MALCOLM",1
00:05,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
00:04,,,,,"TURNOVER  by PINES,KYANTE",,,"TURNOVER  by PINES,KYANTE",1
00:03,"STEAL  by HOLLIFIELD,MALCOLM",,,,,,,"STEAL  by HOLLIFIELD,MALCOLM",1
00:00,"GOOD LAYUP by SPENCE,BEN(in the paint)",21,,26 (+5),,BSC-M 21-26 (-5),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
--,"ASSIST  by HOLLIFIELD,MALCOLM",,,,,,,"ASSIST  by HOLLIFIELD,MALCOLM",1
