Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,ALST,Game Score,Team Indicator,Play,Period
19:38,,0,,2 (+2),"GOOD JUMPER by GEE,REGINALD",ALST 0-2 (-2),,"GOOD JUMPER by GEE,REGINALD",1
19:12,"MISS JUMPER by ALLISON,ZACHARY",,,,,,,"MISS JUMPER by ALLISON,ZACHARY",1
19:12,,,,,"BLOCK  by EWUOSHO,TOBI",,,"BLOCK  by EWUOSHO,TOBI",1
--,,,,,"REBOUND DEF by EWUOSHO,TOBI",,,"REBOUND DEF by EWUOSHO,TOBI",1
19:11,"FOUL  by GONDA,MATT",,,,,,,"FOUL  by GONDA,MATT",1
19:11,,,,,"MISS FT by GEE,REGINALD",,,"MISS FT by GEE,REGINALD",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:11,,,,,"MISS FT by GEE,REGINALD",,,"MISS FT by GEE,REGINALD",1
--,"REBOUND DEF by ALLISON,ZACHARY",,,,,,,"REBOUND DEF by ALLISON,ZACHARY",1
18:53,"GOOD LAYUP by GONDA,MATT(in the paint)",2,,2,,BSC-M 2-2 (0),,"GOOD LAYUP by GONDA,MATT(in the paint)",1
--,"ASSIST  by GONDA,MATT",,,,,,,"ASSIST  by GONDA,MATT",1
18:35,,,,,"MISS 3PTR by ROSS,JACOBY",,,"MISS 3PTR by ROSS,JACOBY",1
--,,,,,"REBOUND OFF by EWUOSHO,TOBI",,,"REBOUND OFF by EWUOSHO,TOBI",1
18:30,,,,,"MISS LAYUP by EWUOSHO,TOBI",,,"MISS LAYUP by EWUOSHO,TOBI",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:30,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",1
18:30,,2,,3 (+1),"GOOD FT by JOHNSON,BRANDEN",ALST 2-3 (-1),,"GOOD FT by JOHNSON,BRANDEN",1
18:30,,2,,4 (+2),"GOOD FT by JOHNSON,BRANDEN",ALST 2-4 (-2),,"GOOD FT by JOHNSON,BRANDEN",1
18:23,,,,,"FOUL  by EWUOSHO,TOBI",,,"FOUL  by EWUOSHO,TOBI",1
18:14,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND DEF by GEE,REGINALD",,,"REBOUND DEF by GEE,REGINALD",1
18:08,,,,,"TURNOVER  by GEE,REGINALD",,,"TURNOVER  by GEE,REGINALD",1
18:07,"STEAL  by ALLISON,ZACHARY",,,,,,,"STEAL  by ALLISON,ZACHARY",1
18:05,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",1
--,,,,,"REBOUND DEF by JOHNSON,BRANDEN",,,"REBOUND DEF by JOHNSON,BRANDEN",1
17:53,,,,,"MISS 3PTR by ROSS,JACOBY",,,"MISS 3PTR by ROSS,JACOBY",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
17:28,"MISS 3PTR by STEWART,CHRISTIAN",,,,,,,"MISS 3PTR by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by ROGERS,AUSTIN",,,"REBOUND DEF by ROGERS,AUSTIN",1
17:17,,2,,6 (+4),"GOOD LAYUP by EWUOSHO,TOBI(in the paint)",ALST 2-6 (-4),,"GOOD LAYUP by EWUOSHO,TOBI(in the paint)",1
16:58,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND DEF by JOHNSON,BRANDEN",,,"REBOUND DEF by JOHNSON,BRANDEN",1
16:49,,,,,"TURNOVER  by EWUOSHO,TOBI",,,"TURNOVER  by EWUOSHO,TOBI",1
16:49,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
16:49,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
16:49,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
16:49,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
16:30,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",1
16:28,,,,,"STEAL  by ROSS,JACOBY",,,"STEAL  by ROSS,JACOBY",1
16:26,,2,,8 (+6),"GOOD DUNK by ROGERS,AUSTIN(in the paint)",ALST 2-8 (-6),,"GOOD DUNK by ROGERS,AUSTIN(in the paint)",1
--,,,,,"ASSIST  by ROSS,JACOBY",,,"ASSIST  by ROSS,JACOBY",1
16:08,"GOOD 3PTR by BAK,CALVIN",5,,8 (+3),,BSC-M 5-8 (-3),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by ALLISON,ZACHARY",,,,,,,"ASSIST  by ALLISON,ZACHARY",1
15:59,,,,,"MISS 3PTR by ROGERS,AUSTIN",,,"MISS 3PTR by ROGERS,AUSTIN",1
--,,,,,"REBOUND OFF by JOHNSON,BRANDEN",,,"REBOUND OFF by JOHNSON,BRANDEN",1
15:55,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",1
15:55,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:55,,,,,"MISS FT by JOHNSON,BRANDEN",,,"MISS FT by JOHNSON,BRANDEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:55,,,,,"MISS FT by JOHNSON,BRANDEN",,,"MISS FT by JOHNSON,BRANDEN",1
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",1
15:24,"TURNOVER  by YANCEY,RICH",,,,,,,"TURNOVER  by YANCEY,RICH",1
15:02,,,,,"MISS JUMPER by EWUOSHO,TOBI",,,"MISS JUMPER by EWUOSHO,TOBI",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
14:51,,,,,"FOUL  by EWUOSHO,TOBI",,,"FOUL  by EWUOSHO,TOBI",1
14:51,"GOOD FT by ALLISON,ZACHARY",6,,8 (+2),,BSC-M 6-8 (-2),,"GOOD FT by ALLISON,ZACHARY",1
14:51,"GOOD FT by ALLISON,ZACHARY",7,,8 (+1),,BSC-M 7-8 (-1),,"GOOD FT by ALLISON,ZACHARY",1
