Time Remaining,,Away Team Score,Play Team Indicator,Home Team Score,,Game Score,Team Indicator,Play,Period
19:42,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",0,,2 (+2),,0-2 (+2),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
19:21,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
19:21,"STEAL  by STEWART,CHRISTIAN",,,,,,,"STEAL  by STEWART,CHRISTIAN",1
18:53,"MISS JUMPER by ALLISON,ZACH",,,,,,,"MISS JUMPER by ALLISON,ZACH",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
18:45,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",1
18:22,"GOOD JUMPER by SPENCE,BEN(in the paint)",0,,4 (+4),,0-4 (+4),,"GOOD JUMPER by SPENCE,BEN(in the paint)",1
17:53,"GOOD 3PTR by SINE,TUCKER",3,,4 (+1),,3-4 (+1),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
17:32,"GOOD JUMPER by BAK,CALVIN(in the paint)",3,,6 (+3),,3-6 (+3),,"GOOD JUMPER by BAK,CALVIN(in the paint)",1
17:11,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
17:05,"GOOD LAYUP by BATES,JACOB(in the paint)",5,,6 (+1),,5-6 (+1),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
16:54,"GOOD 3PTR by STEWART,CHRISTIAN",5,,9 (+4),,5-9 (+4),,"GOOD 3PTR by STEWART,CHRISTIAN",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
16:28,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
16:18,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
15:50,"GOOD LAYUP by WALKER,ART(in the paint)",7,,9 (+2),,7-9 (+2),,"GOOD LAYUP by WALKER,ART(in the paint)",1
15:30,"GOOD JUMPER by GONDA,MATT(in the paint)",7,,11 (+4),,7-11 (+4),,"GOOD JUMPER by GONDA,MATT(in the paint)",1
15:04,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",1
14:53,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",7,,13 (+6),,7-13 (+6),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
14:26,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",1
14:21,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",1
14:21,"BLOCK  by AYERS,PERRY",,,,,,,"BLOCK  by AYERS,PERRY",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
14:13,"GOOD LAYUP by WALKER,ART(in the paint)",9,,13 (+4),,9-13 (+4),,"GOOD LAYUP by WALKER,ART(in the paint)",1
13:52,"GOOD 3PTR by ALLISON,ZACH",9,,16 (+7),,9-16 (+7),,"GOOD 3PTR by ALLISON,ZACH",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
13:17,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
13:03,"MISS 3PTR by ALLISON,ZACH",,,,,,,"MISS 3PTR by ALLISON,ZACH",1
--,"REBOUND OFF by GONDA,MATT",,,,,,,"REBOUND OFF by GONDA,MATT",1
12:59,"GOOD LAYUP by GONDA,MATT(in the paint)",9,,18 (+9),,9-18 (+9),,"GOOD LAYUP by GONDA,MATT(in the paint)",1
