Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
15:00,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
15:00,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
15:00,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
15:00,,,,,"SUB OUT by ALLISON,ZACHARY",,,"SUB OUT by ALLISON,ZACHARY",1
14:46,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",,,"MISS 3PTR by JR,BRUCE BRIGHT",1
--,"REBOUND DEF by MIGUEZ,JASE",,,,,,,"REBOUND DEF by MIGUEZ,JASE",1
14:38,"TURNOVER  by AUSTIN,DENZEL",,,,,,,"TURNOVER  by AUSTIN,DENZEL",1
14:36,,,,,"STEAL  by STEWART,CHRISTIAN",,,"STEAL  by STEWART,CHRISTIAN",1
14:33,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
14:32,"STEAL  by AUSTIN,DENZEL",,,,,,,"STEAL  by AUSTIN,DENZEL",1
14:28,"GOOD LAYUP by MIGUEZ,JASE(fastbreak)(in the paint)",11,,12 (+1),,LCM 11-12 (+1),,"GOOD LAYUP by MIGUEZ,JASE(fastbreak)(in the paint)",1
--,"ASSIST  by AUSTIN,DENZEL",,,,,,,"ASSIST  by AUSTIN,DENZEL",1
14:23,,,,,"MISS LAYUP by STEWART,CHRISTIAN",,,"MISS LAYUP by STEWART,CHRISTIAN",1
14:23,"BLOCK  by HOLLIS,REX",,,,,,,"BLOCK  by HOLLIS,REX",1
--,,,,,"REBOUND OFF by JR,BRUCE BRIGHT",,,"REBOUND OFF by JR,BRUCE BRIGHT",1
14:19,,11,,14 (+3),"GOOD JUMPER by JR,BRUCE BRIGHT(in the paint)",BSC-M 11-14 (+3),,"GOOD JUMPER by JR,BRUCE BRIGHT(in the paint)",1
14:00,"GOOD 3PTR by AUSTIN,DENZEL",14,,14,,LCM 14-14 (0),,"GOOD 3PTR by AUSTIN,DENZEL",1
--,"ASSIST  by HOLLIS,REX",,,,,,,"ASSIST  by HOLLIS,REX",1
13:47,,,,,"TURNOVER  by JR,BRUCE BRIGHT",,,"TURNOVER  by JR,BRUCE BRIGHT",1
13:46,"STEAL  by AUSTIN,DENZEL",,,,,,,"STEAL  by AUSTIN,DENZEL",1
13:44,"MISS LAYUP by MIGUEZ,JASE",,,,,,,"MISS LAYUP by MIGUEZ,JASE",1
--,"REBOUND OFF by AUSTIN,DENZEL",,,,,,,"REBOUND OFF by AUSTIN,DENZEL",1
13:41,"GOOD LAYUP by AUSTIN,DENZEL(in the paint)",16 (+2),,14,,LCM 16-14 (-2),,"GOOD LAYUP by AUSTIN,DENZEL(in the paint)",1
13:40,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:40,"SUB IN by WALLACE,KD",,,,,,,"SUB IN by WALLACE,KD",1
13:40,"SUB IN by STOKES,TIMOTHY",,,,,,,"SUB IN by STOKES,TIMOTHY",1
13:40,"SUB OUT by MIGUEZ,JASE",,,,,,,"SUB OUT by MIGUEZ,JASE",1
13:40,"SUB OUT by RHONE,JAYLEN",,,,,,,"SUB OUT by RHONE,JAYLEN",1
13:40,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
13:40,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",1
13:19,,16,,16,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 16-16 (0),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
12:55,"TURNOVER  by WALLACE,KD",,,,,,,"TURNOVER  by WALLACE,KD",1
12:53,,,,,"STEAL  by STEPHENS,TROY",,,"STEAL  by STEPHENS,TROY",1
12:40,,16,,19 (+3),"GOOD 3PTR by SPENCE,BEN",BSC-M 16-19 (+3),,"GOOD 3PTR by SPENCE,BEN",1
--,,,,,"ASSIST  by DENBESTEN,COLE",,,"ASSIST  by DENBESTEN,COLE",1
12:35,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:35,"SUB IN by POWELL,LASHARD",,,,,,,"SUB IN by POWELL,LASHARD",1
12:35,"SUB OUT by WALLACE,KD",,,,,,,"SUB OUT by WALLACE,KD",1
12:35,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
12:35,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
12:25,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
12:25,"GOOD FT by WASHINGTON,DEVON",17,,19 (+2),,LCM 17-19 (+2),,"GOOD FT by WASHINGTON,DEVON",1
12:25,"GOOD FT by WASHINGTON,DEVON",18,,19 (+1),,LCM 18-19 (+1),,"GOOD FT by WASHINGTON,DEVON",1
12:25,"SUB IN by HARDY,BAILEY",,,,,,,"SUB IN by HARDY,BAILEY",1
12:25,"SUB OUT by AUSTIN,DENZEL",,,,,,,"SUB OUT by AUSTIN,DENZEL",1
12:15,,,,,"MISS LAYUP by STEWART,CHRISTIAN",,,"MISS LAYUP by STEWART,CHRISTIAN",1
12:15,"BLOCK  by HOLLIS,REX",,,,,,,"BLOCK  by HOLLIS,REX",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:06,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",1
12:04,"STEAL  by HOLLIS,REX",,,,,,,"STEAL  by HOLLIS,REX",1
12:01,"MISS LAYUP by HOLLIS,REX",,,,,,,"MISS LAYUP by HOLLIS,REX",1
--,"REBOUND OFF by WASHINGTON,DEVON",,,,,,,"REBOUND OFF by WASHINGTON,DEVON",1
11:57,"MISS JUMPER by WASHINGTON,DEVON",,,,,,,"MISS JUMPER by WASHINGTON,DEVON",1
--,,,,,"REBOUND DEF by STEPHENS,TROY",,,"REBOUND DEF by STEPHENS,TROY",1
11:49,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:49,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
11:49,,,,,"SUB IN by ZHOU,ANDY",,,"SUB IN by ZHOU,ANDY",1
11:49,,,,,"SUB IN by HOLLIFIELD,MALCOLM",,,"SUB IN by HOLLIFIELD,MALCOLM",1
11:49,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
11:49,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
11:49,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
11:36,"FOUL  by HARDY,BAILEY",,,,,,,"FOUL  by HARDY,BAILEY",1
11:36,,,,,"MISS FT by ZHOU,ANDY",,,"MISS FT by ZHOU,ANDY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:36,,,,,"MISS FT by ZHOU,ANDY",,,"MISS FT by ZHOU,ANDY",1
--,"REBOUND DEF by POWELL,LASHARD",,,,,,,"REBOUND DEF by POWELL,LASHARD",1
11:36,"SUB IN by COLEMAN,JACQUEZ",,,,,,,"SUB IN by COLEMAN,JACQUEZ",1
11:36,"SUB OUT by HARDY,BAILEY",,,,,,,"SUB OUT by HARDY,BAILEY",1
11:24,"MISS 3PTR by POWELL,LASHARD",,,,,,,"MISS 3PTR by POWELL,LASHARD",1
--,"REBOUND OFF by STOKES,TIMOTHY",,,,,,,"REBOUND OFF by STOKES,TIMOTHY",1
11:10,"TURNOVER  by POWELL,LASHARD",,,,,,,"TURNOVER  by POWELL,LASHARD",1
11:09,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",1
