Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:42,,,,,"FOUL  by WATSON,DOUG",,,"FOUL  by WATSON,DOUG",1
19:32,"GOOD JUMPER by KAHL,COLIN",2 (+2),,0,,Sewan 2-0 (-2),,"GOOD JUMPER by KAHL,COLIN",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
19:17,,2,,2,"GOOD JUMPER by URSIN,AARON(in the paint)",Mill 2-2 (0),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
19:01,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",1
19:01,,,,,"STEAL  by WATSON,DOUG",,,"STEAL  by WATSON,DOUG",1
18:57,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",1
18:57,,,,,"MISS FT by WATSON,DOUG(fastbreak)",,,"MISS FT by WATSON,DOUG(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:57,,2,,3 (+1),"GOOD FT by WATSON,DOUG(fastbreak)",Mill 2-3 (+1),,"GOOD FT by WATSON,DOUG(fastbreak)",1
18:32,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",4 (+1),,3,,Sewan 4-3 (-1),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",1
18:07,,4,,5 (+1),"GOOD JUMPER by URSIN,AARON",Mill 4-5 (+1),,"GOOD JUMPER by URSIN,AARON",1
17:48,"GOOD JUMPER by CRUMP,JOHN(in the paint)",6 (+1),,5,,Sewan 6-5 (-1),,"GOOD JUMPER by CRUMP,JOHN(in the paint)",1
17:23,,6,,7 (+1),"GOOD JUMPER by URSIN,AARON",Mill 6-7 (+1),,"GOOD JUMPER by URSIN,AARON",1
--,,,,,"ASSIST  by WILLIAMS,CAMERON",,,"ASSIST  by WILLIAMS,CAMERON",1
17:03,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",1
17:03,,,,,"STEAL  by WATSON,DOUG",,,"STEAL  by WATSON,DOUG",1
16:58,,,,,"MISS LAYUP by WATSON,DOUG(in the paint)",,,"MISS LAYUP by WATSON,DOUG(in the paint)",1
--,"REBOUND DEF by BOULDIN,BLAKE",,,,,,,"REBOUND DEF by BOULDIN,BLAKE",1
