Time Remaining,Cent,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:53,"MISS 3PTR by BEHR,JALEN",,,,,,,"MISS 3PTR by BEHR,JALEN",1
--,"REBOUND OFF by BOARD,BRAEDEN",,,,,,,"REBOUND OFF by BOARD,BRAEDEN",1
19:48,"MISS 3PTR by TAYLOR,JARELL",,,,,,,"MISS 3PTR by TAYLOR,JARELL",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
19:34,,0,,2 (+2),"GOOD JUMPER by WILLIAMS,CAMERON",Mill 0-2 (+2),,"GOOD JUMPER by WILLIAMS,CAMERON",1
19:16,"MISS 3PTR by BOARD,BRAEDEN",,,,,,,"MISS 3PTR by BOARD,BRAEDEN",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
18:49,,0,,5 (+5),"GOOD 3PTR by WILLIAMS,CAMERON",Mill 0-5 (+5),,"GOOD 3PTR by WILLIAMS,CAMERON",1
18:19,"GOOD 3PTR by JOHNSON,RALPH",3,,5 (+2),,Cent 3-5 (+2),,"GOOD 3PTR by JOHNSON,RALPH",1
--,"ASSIST  by BEHR,JALEN",,,,,,,"ASSIST  by BEHR,JALEN",1
17:55,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by BAKER,TEVIN",,,,,,,"REBOUND DEF by BAKER,TEVIN",1
17:47,"TURNOVER  by JOHNSON,RALPH",,,,,,,"TURNOVER  by JOHNSON,RALPH",1
17:47,,,,,"STEAL  by URSIN,AARON",,,"STEAL  by URSIN,AARON",1
17:39,,,,,"MISS JUMPER by BROWN,BRYCE",,,"MISS JUMPER by BROWN,BRYCE",1
--,"REBOUND DEF by TAYLOR,JARELL",,,,,,,"REBOUND DEF by TAYLOR,JARELL",1
17:34,"TURNOVER  by BAKER,TEVIN",,,,,,,"TURNOVER  by BAKER,TEVIN",1
17:34,,,,,"STEAL  by WATSON,DOUG",,,"STEAL  by WATSON,DOUG",1
17:34,"FOUL  by BEHR,JALEN",,,,,,,"FOUL  by BEHR,JALEN",1
17:16,,,,,"MISS LAYUP by BROWN,BRYCE(in the paint)",,,"MISS LAYUP by BROWN,BRYCE(in the paint)",1
--,"REBOUND DEF by TAYLOR,JARELL",,,,,,,"REBOUND DEF by TAYLOR,JARELL",1
17:05,"MISS LAYUP by BOARD,BRAEDEN(in the paint)",,,,,,,"MISS LAYUP by BOARD,BRAEDEN(in the paint)",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
16:57,,,,,"TURNOVER  by WILLIAMS,CAMERON",,,"TURNOVER  by WILLIAMS,CAMERON",1
16:57,"STEAL  by BOARD,BRAEDEN",,,,,,,"STEAL  by BOARD,BRAEDEN",1
16:51,"FOUL  by BOARD,BRAEDEN",,,,,,,"FOUL  by BOARD,BRAEDEN",1
16:51,"TURNOVER  by BOARD,BRAEDEN",,,,,,,"TURNOVER  by BOARD,BRAEDEN",1
16:51,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
16:51,"SUB OUT by BOARD,BRAEDEN",,,,,,,"SUB OUT by BOARD,BRAEDEN",1
16:51,"SUB IN by WIGGINS,JOSEPH",,,,,,,"SUB IN by WIGGINS,JOSEPH",1
16:51,,,,,"SUB OUT by BROWN,BRYCE",,,"SUB OUT by BROWN,BRYCE",1
16:34,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,"REBOUND DEF by JOHNSON,RALPH",,,,,,,"REBOUND DEF by JOHNSON,RALPH",1
16:28,"TURNOVER  by TAYLOR,JARELL",,,,,,,"TURNOVER  by TAYLOR,JARELL",1
16:28,,,,,"STEAL  by WILLIAMS,CAMERON",,,"STEAL  by WILLIAMS,CAMERON",1
16:21,,,,,"TURNOVER  by WILLIAMS,CAMERON",,,"TURNOVER  by WILLIAMS,CAMERON",1
16:21,"STEAL  by BAKER,TEVIN",,,,,,,"STEAL  by BAKER,TEVIN",1
16:15,"MISS 3PTR by BEHR,JALEN",,,,,,,"MISS 3PTR by BEHR,JALEN",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
16:00,,3,,8 (+5),"GOOD 3PTR by WATSON,DOUG",Mill 3-8 (+5),,"GOOD 3PTR by WATSON,DOUG",1
--,,,,,"ASSIST  by URSIN,AARON",,,"ASSIST  by URSIN,AARON",1
